gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.048661582999317436,-0.005774608916142059,-0.03529997531186918,0.011664861736094257,655.3746222222222,1338.3094,2301.4328888888886,242.80720000000002,-0.5874999999999999,0.2863164478966335,0.20177227162317676,0.0010124410202826176,53795.62,6124.32,201986.4,6115.64,((((x)*(x))*((2)*(4)))*((x)*((x)*((4)-(8))))),(((3)*(5))-((x)*(3))),AddRandomSubTreeR|MutateNonTerminalR|AddXD|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR,21,20,22,22,0
22,x*x*x*x,25,-10,-0.03846836177460463,0.011810547640831266,-0.03521559518363613,0.014679033553036952,749.9881,241.55879999999996,2342.7508000000003,216.9784,-0.5748856358645928,0.5087943686166141,0.20762095759802016,0.11163734422089927,55677.380000000005,5644.02,208163.2,4209.2,((((x)*(7))*((x)*(7)))-((2)*((x)+((x)*(x))))),((((x)*(9))*((9)+(5)))-((4)*((x)*((2)-(x))))),AddRandomSubTreeR|MutateNonTerminalR|AddXD|MultXD|AddTreeWithSub,SubXD|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,MutateNonTerminalR,SubXD,21,22,23,23,0
23,x*x*x*x,25,-10,-0.03930850787478761,0.010384931682676249,-0.038820860018298264,0.012442257781429133,338.59880000000004,253.9355,577.3824000000001,236.1456,-0.9383920402561756,0.3343913960826783,0.024582448035534974,0.027628988554291307,12111.7,5993.51,30167.2,5703.68,((((3)*(9))*((3)*(x)))*((x)*((9)-(1)))),((((x)*(9))-((4)*((3)+(1))))*(((x)*(1))-((x)-((x)*(x))))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|SubXD|AddTreeWithSub,SubXD|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,AddRandomSubTreeR,SubXD,22,22,24,24,0
24,x*x*x*x,25,-10,-0.03925940869657561,0.0058057762844539685,-0.03845277087962358,0.012414343596542003,362.64090000000004,319.4506,757.6223999999999,236.38479999999998,-0.9142476473663574,0.2987658009223818,0.03642191730347668,0.007831210310900347,15240.05,6091.23,41989.84,6008.96,((((x)*(x))*((6)*(9)))+((4)*((7)*((x)-(0))))),((((x)*(5))-((0)*(9)))-((x)+((x)-((x)*(x))))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|SubXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,22,24,25,25,0
25,x*x*x*x,25,-10,-0.03717118207587244,0.01145028894448905,-0.03029337014769311,0.01590819127284949,1385.1703,244.64590000000004,4752.9872,206.4456,-0.1819985949549078,0.4911216087532909,0.4006616462056485,0.10213878746634057,106287.09,5670.57,400545.84,4360.64,((((4)*(x))*((5)*(x)))*((5)-((1)*((9)*(x))))),((((x)+(6))*((9)+(6)))*((4)-((x)*(x)))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,25,25,26,26,0
26,x*x*x*x,25,-10,-0.03870868901940923,0.003115085026538361,-0.03682801104430793,0.018443434098250465,632.3085,1984.1844999999998,1553.2087999999997,184.72079999999997,-0.8539117435629329,0.6161846257258622,0.06268530768107668,0.17741499732853735,28694.29,5531.42,71534.16,3288.96,((((x)*(x))*((5)*(6)))*((2)-((6)*(x)))),((((x)+(x))-((2)*(5)))*((x)*((x)-((x)*(x))))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,26,25,27,27,0
27,x*x*x*x,25,-10,-0.03931040509410535,-0.00013876467609039378,-0.03872446738988368,0.016218841608006424,337.6698,663.7670000000002,624.5824,203.7836,-0.9582788197621226,0.32468211438280714,0.014614186190552792,0.019464605126407946,9695.52,6037.02,20429.36,5786.88,((((7)+(7))*((x)*(x)))*((x)*((x)-(9)))),((x)*((6)*(x))),AddTreeWithAdd|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,27,27,28,28,0
28,x*x*x*x,25,-10,-0.03797531450137237,0.00036822359279100827,-0.033344213174748394,0.014442649887036243,991.4155999999999,805.5626000000001,3259.0991999999997,219.00400000000002,-0.3945944974513135,0.28772149298877836,0.2965143138834899,0.0068417370540091145,78656.74,6159.88,296445.28,6103.6,((((x)*(4))+((3)-(x)))*((x)*((9)*((9)*(9))))),((x)*(9)),AddRandomSubTreeR|DeleteTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,28,25,29,29,0
29,x*x*x*x,25,-10,-0.037185668131616785,0.002495291347935961,-0.03019561005097373,0.015995014657281027,1378.0769999999998,1764.8468000000003,4800.8568,205.70160000000004,-0.5340702195791399,0.35092518251582433,0.22656194857225903,0.032733696406064786,61740.5,5976.280000000001,228149.04,5562,((((7)-(1))*((x)*(9)))*((4)*((8)*((3)*(7))))),((((x)+(3))-((x)+((4)*(x))))-(((x)*(2))*((x)-((x)*(x))))),AddTreeWithAdd|MutateNonTerminalR|AddTreeWithMult|DivXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|MultXD|ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR,27,29,30,30,0
30,x*x*x*x,25,-10,-0.04802769388805385,0.007991716878252982,-0.04322597863024441,0.02495098679911123,965.7673000000001,836.4491,3316.9944,128.95680000000002,-0.35760064043915823,0.7563343727243871,0.3149560020049973,0.259832367301787,83225.94,5339.42,314559.84,2088,((((x)*(7))*((9)*(x)))*((x)-((0)-((8)*(x))))),((((x)*(0))+((x)-((6)*(x))))*((x)+((7)-((x)*(x))))),AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|DeleteTerminalR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,29,30,31,31,0
