gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
75,x*x*x*x,25,-10,-0.02564469534849632,0.01142857142857143,-0.00026321316760963054,0.01142857142857143,15453.8326,244.832,53155.9008,244.832,0.8653198653198654,0.28571428571428575,0.8813663188325036,0,948266.3,6120.8,3635755.2,6120.8,((((7)*(x))*((x)*(5)))*((8)+((9)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|SubXD|DeleteNonTerminalR|FellTreeD,MultXD,SubXD,74,74,76,76,0
76,x*x*x*x,25,-10,-0.016848657590327564,0.01142857142857143,0.01081688704461079,0.01142857142857143,18965.2942,244.832,42127.295999999995,244.832,0.801675506289953,0.28571428571428575,0.9815516521142549,0,1189156.9000000001,6120.8,2469004.16,6120.8,((((x)*(x))*((x)*(7)))*((0)-((5)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|SubXD|DeleteNonTerminalR|FellTreeD,MultXD,SubXD,75,74,77,77,0
77,x*x*x*x,25,-10,-0.015820252058115773,0.01142857142857143,0.033664051663963204,0.01142857142857143,88656.51599999997,244.832,343324.62799999997,244.832,0.9806293983438844,0.28571428571428575,0.9048450238447524,0,6387326.399999999,6120.8,25278719.2,6120.8,((((5)*(x))*((6)*(x)))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchXR|SubXD|SkipD|DeleteNonTerminalR|FellTreeD,AddRandomSubTreeR,SubXD,76,75,78,78,0
78,x*x*x*x,25,-10,-0.021901043720490537,0.011513189218962976,-0.00024837281208868077,0.012143230576768678,19745.9414,244.1069,62509.5224,238.708,0.9033540951183728,0.32144724312414813,0.9288507433629583,0.018182064458883065,1433708.4200000002,6048.290000000001,5066577.84,5814.6,((((3)*(3))*((x)*((x)*(x))))*((4)+((4)*((x)*(x))))),((((0)*(x))*((8)+((5)-(1))))-(((x)*(x))*((x)-((x)-(x))))),AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|MultXD|MutateNonTerminalR,ReplaceBranchXR|SubXD|SubXD|DeleteNonTerminalR|DeleteTerminalR,AddRandomSubTreeR,SubXD,78,76,79,79,0
79,x*x*x*x,25,-10,-0.01675905380701236,0.011434172937244434,0.009323192809154805,0.011454385047706184,19269.4002,244.78400000000002,55094.672,244.61079999999998,0.8342256218861613,0.28771215714099,0.8567223179165556,0.0011254787860214214,827051.1199999999,6113.29,2953797.84,6103.68,((((7)*(5))+((1)*((7)*(x))))*((x)*((x)*((x)*(x))))),((0)+((4)*(6))),AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchXR|SubXD|SubXD|DeleteNonTerminalR|DeleteTerminalR,AddRandomSubTreeR,SubXD,79,76,80,80,0
80,x*x*x*x,25,-10,-0.022444329122415382,0.011385346453311428,0.007106883288145314,0.01154526952592565,10161.518399999999,245.2024,29327.0984,243.832,0.6124769408014968,0.28571428571428575,0.711728873338342,0,396577.32000000007,6120.8,1263573.84,6120.8,((((x)*(1))+((9)+(8)))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,FellTreeD,75,78,81,81,0
81,x*x*x*x,25,-10,-0.012877727526042953,0.01142857142857143,0.011247306858124105,0.01142857142857143,21342.036399999997,244.832,51130.0584,244.832,0.627906976744186,0.28571428571428575,0.7218995617566816,0,763291.9199999999,6120.8,1315972,6120.8,((((6)*(x))*((x)-(0)))*((4)*((9)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MultXD|SubXD,ReplaceBranchXR|SubXD|SubXD|DeleteNonTerminalR|FellTreeD,MultXD,SubXD,81,80,82,82,0
82,x*x*x*x,25,-10,-0.02111359719429024,0.01142857142857143,-0.0017579920376061475,0.01142857142857143,20037.533199999998,244.832,49711.83359999999,244.832,0.7994987468671679,0.28571428571428575,0.8480129097278842,0,1321509,6120.8,2442199.2,6120.8,((((x)*(x))*((3)+((2)*(8))))+((2)*((8)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|AddTreeWithMult|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,82,81,83,83,0
83,x*x*x*x,25,-10,-0.0044968209210876735,0.01142857142857143,0.030895591181277063,0.01142857142857143,74493.80320000001,244.832,210269.65039999998,244.832,0.9589266240055067,0.28571428571428575,0.30841408145051086,0,4890453.5600000005,6120.8,11921688.64,6120.8,((((7)+(8))*((x)*((8)*(x))))+((7)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,82,82,84,84,0
84,x*x*x*x,25,-10,-0.007253143379317723,0.01142857142857143,0.023054741533021242,0.01142857142857143,245741.55719999998,244.832,765291.0528000001,244.832,0.9930830046560777,0.28571428571428575,0.8216033711649561,0,22814643.599999998,6120.8,70791431.2,6120.8,((((x)*(x))*((6)+((8)*(6))))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,83,83,85,85,0
85,x*x*x*x,25,-10,-0.011107087137070213,0.01142857142857143,0.024222799135399063,0.01142857142857143,20964.761400000003,244.832,58532.9992,244.832,0.7994987468671679,0.28571428571428575,0.8780989795452566,0,627382,6120.8,2442199.2,6120.8,((((8)*(5))*((x)*((x)*(8))))+((2)-((0)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,85,83,86,86,0
86,x*x*x*x,25,-10,-0.021720846599987614,0.01142857142857143,0.009337164835182201,0.01142857142857143,15429.88,244.832,50075.58,244.832,0.8264300907972416,0.28571428571428575,0.8283379461257911,0,791063.1200000001,6120.8,2821134.16,6120.8,((((x)*(x))*((5)-((5)+(8))))*((5)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,86,85,87,87,0
87,x*x*x*x,25,-10,-0.02122234440632291,0.01142857142857143,0.014884235301123212,0.01142857142857143,12764.4862,244.832,41153.811200000004,244.832,0.6463808634319983,0.28571428571428575,0.752789543878259,0,443617.38,6120.8,1384721.44,6120.8,((((x)*(x))*((x)*((x)+(9))))+((0)+((1)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,87,83,88,88,0
88,x*x*x*x,25,-10,-0.0030900345712393446,0.01142857142857143,0.028526387651789224,0.01142857142857143,65258.4604,244.832,168638.224,244.832,0.9516965638877851,0.28571428571428575,1.0928149857438514,0,3859239.88,6120.8,10137249.84,6120.8,((((0)+(2))*((8)*((9)*(x))))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,DeleteNonTerminalR,88,83,89,89,0
89,x*x*x*x,25,-10,-0.020040120536997236,0.01142857142857143,0.0037800658026734425,0.01142857142857143,20299.4306,244.832,56410.0968,244.832,0.8214547100596362,0.28571428571428575,0.7696227972916501,0,1195987.5,6120.8,2742519.84,6120.8,((((3)*(1))*((9)+((4)*(x))))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,88,83,90,90,0
90,x*x*x*x,25,-10,-0.01697790324139974,0.01142857142857143,0.015343657474595927,0.01142857142857143,21371.4756,244.832,62931.676799999994,244.832,0.8076080625951481,0.28571428571428575,0.7055303385720437,0,807971.2999999999,6120.8,2545137.84,6120.8,((((7)*(9))*((9)*(1)))+((7)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,90,89,91,91,0
91,x*x*x*x,25,-10,-0.007503591370684958,0.01142857142857143,0.023985214388873716,0.01142857142857143,30485.578800000003,244.832,86304.6256,244.832,0.9142234547392087,0.28571428571428575,0.8091047473019655,0,1686007.4,6120.8,5708600.16,6120.8,((((x)*(9))*((x)*((x)*(2))))-((3)+((8)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,91,90,92,92,0
92,x*x*x*x,25,-10,-0.003023474098674708,0.01142857142857143,0.026945822715692524,0.01142857142857143,174920.90079999997,244.832,657222.4744000001,244.832,0.9919521359094803,0.28571428571428575,0.8294947584827796,0,15461906,6120.8,60843969.84,6120.8,((((x)*(x))*((x)*((7)+(5))))*((9)*((8)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,91,91,93,93,0
93,x*x*x*x,25,-10,-0.015491490511474701,0.00025605702024634303,0.005659261089873935,0.012452620572474187,16260.121000000001,375.8688166666667,35014.48,236.0568,0.7386109929605013,0.28571428571428575,0.9030307066101546,0,751563,6120.8,1873315.2,6120.8,((((x)+(6))+((9)*((6)+(7))))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,SubXD,92,92,94,94,0
94,x*x*x*x,25,-10,-0.0033463192146309852,0.01142857142857143,0.030807233388867462,0.01142857142857143,43191.986600000004,244.832,123678.52160000001,244.832,0.925106785356081,0.28571428571428575,0.8270247888721265,0,2105842.2,6120.8,6538162.4,6120.8,((((x)*(7))*((9)-((0)*(8))))+((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchXR,94,91,95,95,0
95,x*x*x*x,25,-10,-0.016111460036344675,0.01142857142857143,0.008235331365333911,0.01142857142857143,21749.9808,244.832,56632.536799999994,244.832,0.8724845128515895,0.28571428571428575,0.7898204361746001,0,1531077.96,6120.8,3840035.52,6120.8,((((4)*(x))+((2)+((7)*(x))))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,DeleteNonTerminalR,92,94,96,96,0
96,x*x*x*x,25,-10,-0.02791888650704137,0.01142857142857143,-0.008255401602600191,0.01142857142857143,45904.5504,244.832,175499.6432,244.832,0.9711295561169253,0.28571428571428575,0.8590783385927989,0,4351657.96,6120.8,16960736.8,6120.8,((((9)*(7))*((x)*((2)+(9))))*((4)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|DeleteNonTerminalR,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,AddToLeafR,FellTreeD,95,94,97,97,0
97,x*x*x*x,25,-10,-0.016837906769225967,0.01142857142857143,0.005984389123915194,0.01142857142857143,16452.3684,244.832,41476.6,244.832,0.8058709388084951,0.28571428571428575,0.816355560960502,0,705927.42,6120.8,2522363.2,6120.8,((((x)*(x))*((4)-(1)))*((x)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|MultXD|MultXD,ReplaceBranchXR|SubXD|DeleteNonTerminalR|DeleteNonTerminalR|DivXD,MultXD,DeleteNonTerminalR,97,96,98,98,0
98,x*x*x*x,25,-10,-0.01248540798771526,-0.011428571428571429,0.020641404000932787,-0.011428571428571429,99537.42,511.29400000000004,249516.168,511.29400000000004,0.9740764744005185,0.28571428571428575,0.6628786011788362,0,8340083.92,6120.8,18888788.8,6120.8,((((x)*(7))*((2)+((5)*(x))))*((9)*((7)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|MultXD|DeleteNonTerminalR,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,AddRandomSubTreeR,MutateNonTerminalR,95,97,99,99,0
99,x*x*x*x,25,-10,-0.01930771935336864,0.01142857142857143,0.03301093084688357,0.01142857142857143,30432.619600000005,244.832,116952.2432,244.832,0.8608695652173913,0.28571428571428575,0.8975875782334175,0,904843.74,6120.8,3519460,6120.8,((((8)*(9))*((x)*(4)))*((2)*((x)*((x)*(x))))),(0),AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|SkipD|MultXD,ReplaceBranchXR|SubXD|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,DeleteNonTerminalR,98,98,99,99,0
