gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
34,x*x*x*x,25,-10,-0.03194922064364465,0.01283564706761021,-0.013999411655744453,0.01704343036391135,4218.3518,232.7746,13836.252,196.71759999999998,0.37538656936216425,0.5906790895681236,0.6827538334500823,0.15098348116701873,199622.26,5447.85,783947.28,3507.52,((((x)*(x))*((x)*(x)))-((1)*((x)*(x)))),((((x)*(x))-((0)*(1)))+((7)+((7)+((6)*(x))))),SubXD|MultXD|AddXD|AddRandomSubTreeR|MutateNonTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,SubXD,AddTreeWithAdd,34,33,35,35,1
35,x*x*x*x,25,-10,-0.03922153783002222,0.011455190264577928,-0.03827050630636518,0.011805552962264508,381.18489999999997,244.60389999999998,846.8708000000001,241.6016,-0.8646631159325578,0.30680396586814057,0.06124900971015711,0.010125107483865432,21289.78,6067.04,66269.6,5940.08,((((x)*(x))*((x)*(x)))-((4)+((6)*(x)))),((((2)+(5))*((8)+(9)))+((9)*((1)*((x)-(0))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,MultXD,AddTreeWithAdd,35,33,36,36,1
36,x*x*x*x,25,-10,-0.03946453833649197,0.012180177194391024,-0.03910546823944582,0.013984493156823574,262.1963,238.3914,438.0200000000001,222.93,-0.9625081688668148,0.3971282932203074,0.01556478000627053,0.052363340245321105,9223.44,5810.63,18358.4,5166.08,((((x)*(x))*((x)*(x)))-((x)*((3)-(5)))),((((8)+(5))+((x)*(x)))*((x)-((1)*((1)-(0))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,SubXD,AddTreeWithAdd,36,36,37,37,1
37,x*x*x*x,25,-10,-0.03635464052901582,0.011390936292174693,-0.02695424536008365,0.011598530537558119,1785.0013000000001,245.15450000000004,6388.036400000001,243.37560000000002,-0.14541024049143897,0.2929589035980358,0.42194297982339074,0.0024492978175614816,108550.44,6091.56,418461.84,6058.72,((((x)*(x))*((6)*(1)))*((x)*((x)*(x)))),((((1)+(7))+((6)-(6)))-((x)-((x)-((x)*(x))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,SubXD,AddTreeWithAdd,37,36,38,38,1
38,x*x*x*x,25,-10,-0.035004332653767484,0.01239059553373042,-0.02169785603658349,0.015942640551188453,5057.317,236.5883,19406.375200000002,206.15039999999996,0.7419300217500946,0.5995668166626211,0.8646895286577372,0.157103878358904,478961.28,5450.610000000001,1897407.84,3431.36,((((x)*(x))*((x)*(3)))*((9)*((x)*(x)))),(((4)+((9)+(0)))*((x)*((x)*(x)))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,MultXD,AddTreeWithAdd,38,38,39,39,1
39,x*x*x*x,25,-10,-0.028871033032223527,0.012584115988572923,-0.015475593480880918,0.017189302985604123,6142.981599999999,234.92999999999995,14473.4696,195.46759999999998,0.5011151715825395,0.5731650391172022,0.7201381476890314,0.15238098737595104,434472.42,5568.459999999999,981517.12,3657.6,((((x)*(x))*((x)*(x)))-((x)*((7)*((2)*(x))))),((((5)+(6))*((x)+(8)))+((7)*((x)*(x)))),SubXD|AddXD|SkipD|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,AddXD,AddTreeWithAdd,37,38,40,40,1
40,x*x*x*x,25,-10,-0.021507813649323165,0.009556832701319176,0.00662567423553963,0.012030686931680268,17958.878,272.0743,58446.5944,239.67239999999998,0.8835912524630688,0.31158391993576945,0.8545705148676478,0.014072268287059696,1156672.2,6064.24,4206419.28,5899.12,((((x)*(x))*((x)*(x)))-((x)*((x)*((5)*(x))))),((((3)+(1))+((x)*(x)))*((x)-((5)+((x)*(0))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,MultXD,AddTreeWithAdd,40,38,41,41,1
41,x*x*x*x,25,-10,-0.013537718277926379,0.010958274760531232,0.00505011431950885,0.014167149018802401,15139.513,249.47920000000002,28084.672799999997,221.3648,0.41477257516129895,0.2944152958530165,0.4426046044752133,0.004036782691702748,560434.1,6097.66,836707.2,6046.24,((((x)*(x))*((x)*(x)))-((0)-((0)*((x)*(x))))),((((2)+(x))+((3)*(x)))+((x)*((5)+(0)))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithAdd,MultXD,AddTreeWithAdd,41,38,42,42,1
42,x*x*x*x,25,-10,-0.010300211131495141,0.0063137272268017795,0.020790092640553266,0.013215779449931851,22776.6052,2252.2695000000003,60957.802400000015,229.5172,0.8544776394412957,0.38761973224788543,0.7867810452175671,0.04929406911164455,1173835.42,5878.18,3364871.2,5247.56,((((x)*(x))*((4)*(x)))*((x)-((x)*((x)*(x))))),((((0)+(5))+((9)*((x)*(x))))-((5)-((x)*((x)+(x))))),SubXD|MultXD|SkipD|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd,MultXD,DeleteNonTerminalR,42,42,43,43,1
43,x*x*x*x,25,-10,-0.01499213612989124,0.009154209620572794,0.011845431359062455,0.016417975241331668,14722.164600000002,421.04839999999996,33642.8968,202.07719999999998,0.6123378016751405,0.46372089549451995,0.8589574652934726,0.08924077190410241,510944.22000000003,5742.379999999999,1263120.32,4595.44,((((x)*(x))*((x)*(x)))-((x)*((6)*((3)*(x))))),((((2)+(7))+((x)*(x)))*((3)*((9)+(0)))),FellTreeD|MultXD|AddTreeWithMult|AddTreeWithDiv|MultXD,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd,MultXD,DeleteNonTerminalR,43,42,44,44,1
44,x*x*x*x,25,-10,-0.01253449718859053,0.011347419571671307,0.025011571176767094,0.012972907369718248,75745.17229999999,245.52739999999997,232808.9316,231.59839999999997,0.9752135095783954,0.31976212259835324,0.9870694496062739,0.005186636051288582,6431746.55,6114.01,19755277.64,5829.04,((((8)*(5))*((x)*((7)*(x))))*((x)-((x)*((x)*(x))))),((((x)*(3))-((0)*((6)+(5))))+((7)*((9)+((x)-(0))))),FellTreeD|MultXD|AddTreeWithMult|AddTreeWithDiv|MultXD,AddRandomSubTreeR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddRandomSubTreeR,43,44,45,45,1
45,x*x*x*x,25,-10,-0.027554236629648832,0.007378009512251466,0.0042488716751048275,0.014478592901021346,11385.178600000001,348.2045,42830.824799999995,218.696,0.8301434963882321,0.29163321321209185,0.8955889601976642,0.0025645314308133486,736046.46,6102.610000000001,2882809.84,6070.08,((((x)*(9))*((5)-((4)*(x))))*((x)-((x)*((x)*(x))))),((9)+((1)*(8))),FellTreeD|MultXD|AddTreeWithMult|AddTreeWithDiv|MultXD,FellTreeD|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd,MultXD,FellTreeD,43,45,46,46,1
46,x*x*x*x,25,-10,-0.008393882339952797,0.004925997445018217,0.024522979977454604,0.01257618051795284,22345.938,1115.2573,56815.5104,234.998,0.6648871140203965,0.3152155647254328,0.3515134067018503,0.013680655807139598,814490.48,6036.96,1461191.2,5868,((((x)*(x))*((8)-((0)*(x))))-((x)*((5)*((6)*(x))))),((((x)*(8))-((2)*((6)+(5))))*(((4)*(2))-((6)*((x)+(5))))),FellTreeD|MultXD|AddTreeWithMult|AddTreeWithDiv|MultXD,AddRandomSubTreeR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,AddToLeafR,43,44,47,47,1
47,x*x*x*x,25,-10,-0.019365416043463642,0.004654935393074811,0.010794996520917245,0.016987975428048627,25458.7453,320.61580000000004,86285.8416,197.19279999999998,0.9273118433314186,0.7149485594786864,0.7915501706764048,0.2157688111062155,1903700.05,5215.76,6736503.2,2442.64,((((x)*(x))*((x)*((x)-(0))))/((2)*((x)*((8)*(x))))),((((x)*(x))*((x)+(8)))*((6)-((8)*(x)))),FellTreeD|MultXD|AddTreeWithMult|AddTreeWithDiv|MultXD,DeleteNonTerminalR|SkipD|AddTreeWithMult|AddToLeafR|AddTreeWithMult,MultXD,AddTreeWithMult,43,47,48,48,1
48,x*x*x*x,25,-10,-0.04820020174520256,-0.000460887465690758,-0.02484841431972014,0.011694176298149637,NaN,NaN,8546.4514,242.55599999999998,0.3783120773731694,0.299101891442762,0.6665643094283782,0.012228621619192314,215498.79499999998,6097.900000000001,787636.34,6006.08,((((x)*(x))*((9)/((4)*(x))))*((5)-((x)*((x)*(x))))),((((9)*(4))*((x)/(1)))*((9)*((3)*((1)*(6))))),SubXD|MultXD|AddTreeWithMult|AddTreeWithDiv|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,AddRandomSubTreeR,48,44,49,49,1
49,x*x*x*x,25,-10,-0.03024330475751653,-0.011427876935868154,-0.00948047927875666,0.01144212507980296,NaN,NaN,21117.819519999997,244.7158571361589,0.6123045053956105,0.28706798364359476,0.5924812792299727,0.0006646889787917253,518141.22000000003,6115.54,1263011.84,6109.2,((((8)*(x))*((x)*((9)/(4))))*((x)-((x)*((x)*(x))))),(((2)+((9)*(0)))+((2)*((3)*(x)))),SubXD|MultXD|AddTreeWithMult|AddTreeWithDiv|MutateTerminalR,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv,DeleteNonTerminalR,48,49,50,50,1
50,x*x*x*x,25,-10,-0.034364588351772675,-0.033006029711610346,-0.0036130542463315507,0.007184300825513314,NaN,NaN,36805.04171428571,383.2664,0.800970130789431,0.590324327352167,1.1946387190730912,1.4142061444650513,728924.6599999999,18781.71,2460253.84,3510.56,((((x)*(x))*((7)*((5)/(1))))*((x)-((x)*((x)*(x))))),((((3)*(x))*((8)+(x)))*((4)-((1)*(x)))),SubXD|MultXD|AddTreeWithMult|AddTreeWithDiv|MultXD,DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,MultXD,SkipD,50,50,51,51,1
