gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
40,x*x*x*x,25,-10,-0.039500305924062215,0.005731206938402077,-0.0395,0.01149625632503688,244.68220000000002,311.3025,244.832,244.252,-0.9875,0.29224937916612215,0,0.0032675467259181967,6120.8,6106.8,6120.8,6064.8,(((0)*((0)*(x)))*((x)*(x))),((0)+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,AddXD,38,40,41,41,4
41,x*x*x*x,25,-10,-0.03950035493726311,0.0058136074649438926,-0.0395,0.011700804750079357,244.6582,310.5964,244.832,242.49920000000003,-0.9875,0.2985324047276734,0,0.005233326034091432,6120.8,6065.571111111111,6120.8,6010.96,((1)-((0)*(0))),(((x)-((0)-(3)))/((3)+((x)*(x)))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,SubXD,41,40,42,42,4
42,x*x*x*x,25,-10,-0.0395,0.005811531905926664,-0.0395,0.011624624232126521,244.832,310.6141857142857,244.832,243.15200000000002,-0.9875,0.29224937916612215,0,0.00006935201214197662,6120.8,6065.097142857143,6120.8,6064.8,(((x)*((x)*(0)))*((0)*(x))),((0)+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|MutateNonTerminalR|MultXD|DeleteNonTerminalR,DeleteMaliciousR,SubXD,38,42,43,43,4
43,x*x*x*x,25,-10,-0.03950008781531826,0.005762605395053069,-0.0395,0.011624624232126521,244.78900000000002,311.03344285714286,244.832,243.15200000000002,-0.9875,0.29224937916612215,0,0.0032675467259181967,6120.8,6106.8,6120.8,6064.8,(((x)-((0)*(0)))*((0)*(x))),((0)+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|MutateNonTerminalR|MultXD|DeleteNonTerminalR,DeleteMaliciousR,SubXD,38,42,44,44,4
44,x*x*x*x,25,-10,-0.0395,0.011447243124148106,-0.0395,0.011568609145396496,244.832,244.672,244.832,243.632,-0.9875,0.29971805739679225,0,0.005723364564155798,6120.8,6062.8,6120.8,6000.8,(((1)*((0)*(0)))*((0)*(x))),((((x)*(x))*((3)/(8)))-((0)-((x)+((x)*(x))))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,SubXD,38,44,45,45,4
45,x*x*x*x,25,-10,-0.03950003961900406,0.01141347847464695,-0.0395,0.011559273297608159,244.81260000000003,244.9613333333333,244.832,243.71200000000002,-0.9875,0.29224937916612215,0,0.0032675467259181967,6120.8,6106.8,6120.8,6064.8,(((2)-((9)*(0)))*((0)*(x))),(((0)+((0)*(x)))-((0)+((x)*(x)))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,SubXD|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,DeleteMaliciousR,DeleteNonTerminalR,38,44,46,46,4
46,x*x*x*x,25,-10,-0.03950028591033852,0.005729652519745319,-0.0395,0.011490038650409843,244.692,311.31582000000003,244.832,244.30528,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(((0)-((0)*(x)))*((x)*(x))),((((0)*(x))*((6)/(4)))-((x)+((x)*(x)))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,ReplaceBranchR|AddTreeWithDiv|AddXD|MultXD|MutateNonTerminalR,DeleteMaliciousR,ReplaceBranchR,38,45,47,47,4
47,x*x*x*x,25,-10,-0.0395,0.011543273988460894,-0.0395,0.011654779020482852,244.832,243.84910000000002,244.832,242.8936,-0.9875,0.2933696809007227,0,0.0009532170330984771,6120.8,6065,6120.8,6055.2,(((x)*((x)*(0)))-((0)*(x))),(((0)+(5))+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|MultXD|DeleteTerminalR,ReplaceBranchR|AddTreeWithDiv|AddXD|MultXD|MutateNonTerminalR,DeleteMaliciousR,MultXD,38,45,48,48,4
48,x*x*x*x,25,-10,-0.03950028591033852,0.011036126146642164,-0.0395,0.011822544205239281,244.692,248.19491071428573,244.832,241.456,-0.9875,0.29224937916612215,0,0.0032675467259181967,6120.8,6078.8,6120.8,6064.8,(((x)*((0)*(0)))*((0)*(x))),((0)+((x)*(x))),MultXD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|DeleteTerminalR,ReplaceBranchR|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,MultXD,ReplaceBranchR,47,48,49,49,4
49,x*x*x*x,25,-10,-0.039500069026924586,0.011602330227607972,-0.0395,0.011804133913400681,244.7982,243.34304,244.832,241.61375999999996,-0.9875,0.30211550310883756,0,0.007750027734080425,6120.8,6071.664,6120.8,5980.2559999999985,((0)*(0)),((((8)/(5))*((4)*(8)))+((0)+((x)*(x)))),MultXD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|DeleteTerminalR,ReplaceBranchR|AddTreeWithDiv|AddXD|MultXD|DeleteNonTerminalR,MultXD,AddTreeWithDiv,47,49,50,50,4
