gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03953332550483597,0.011445072539537318,-0.039499359560841725,0.011494809268629686,228.51370000000003,244.69060000000002,245.14559999999997,244.26440000000002,-0.9874916677558488,0.2869979647851822,0.000012964586142057305,0.0005202240100327347,6120.2,6113.42,6124.88,6109.8,((((0)+(8))*((x)*(0)))*((x)-((x)-(x)))),(((3)*(3))+((x)+(x))),DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,7,11,12,12,3
12,x*x*x*x,25,-10,-0.039556840200627365,0.01147359355453069,-0.03948652872173572,0.011604785555576305,216.99939999999998,244.44619999999998,251.4284,243.32200000000003,-0.9861836688014639,0.29195063203689536,0.0009030387339818068,0.0028526486482438563,6175.4400000000005,6103.83,6765.36,6067.36,((((x)*(x))*((4)-(6)))*((x)-((x)-(x)))),((((1)*(4))*((x)*(7)))-((0)+((x)+(x)))),DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,7,12,13,13,3
13,x*x*x*x,25,-10,-0.03940440056855313,0.011479288421681577,-0.03898555580969808,0.011565528315626348,291.6436,244.3974,496.7368,243.65839999999997,-0.9360805777022612,0.29224937916612215,0.025743837102436634,0.0029086560071793248,12390.46,6100.54,31299.04,6064.8,((((x)*(x))*((7)*(9)))*((x)-((x)-(x)))),((x)*(x)),DeleteMaliciousR|AddTreeWithMult|AddXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,13,12,14,14,3
14,x*x*x*x,25,-10,-0.039509333543000916,0.011525839292716174,-0.03949966344268723,0.01174925780010083,240.26170000000002,243.99850000000004,244.9968,242.08399999999997,-0.9874828453796889,0.313451089493437,0.000004411188079977979,0.013251685591949256,6125.96,6053.41,6129.2,5883.12,((((0)*(x))*((x)*(5)))*((x)-((x)-(x)))),((((5)*(x))*((9)-(x)))-((x)+((x)+(x)))),DeleteMaliciousR|AddTreeWithMult|AddXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|FellTreeD|ReplaceBranchR,SubXD,DeleteNonTerminalR,13,14,15,15,3
15,x*x*x*x,25,-10,-0.039317284505293426,0.011920640625875238,-0.03862491667755849,0.01447411169408294,334.30120000000005,240.61540000000002,673.3288,218.7344,-0.9000081688668148,0.4038127602367571,0.044423389555603814,0.05852953524526355,16361.060000000001,5861.110000000001,48962.4,5108.8,((((x)*(x))*((9)*(x)))*((x)-((x)-(x)))),((((6)*(2))*((5)*((x)*(0))))+(((x)-(4))-((x)+((x)+(x))))),DeleteMaliciousR|AddTreeWithMult|SubXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,15,14,16,16,3
16,x*x*x*x,25,-10,-0.03933833975950855,0.0087491202535401,-0.038815805123513264,0.011498590286983967,323.9912,272.3437,579.8575999999999,244.232,-0.9441277284015162,0.2865871874824954,0.02239887792725549,0.0005663069016026784,10961.36,6117.97,27358.64,6113.32,((((x)*(x))*((7)*(8)))*((x)-((x)-((x)-(x))))),((1)*((7)+(x))),DeleteMaliciousR|AddTreeWithMult|SubXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchXR,SubXD,AddXD,15,15,17,17,3
17,x*x*x*x,25,-10,-0.0394219783361652,0.010810725021939244,-0.03912836393935433,0.011578971936441553,283.0364,250.1264,426.80879999999996,243.54319999999998,-0.9601958894262188,0.2898360625128369,0.013200115061545148,0.0018976990911882454,9858.3,6109.780000000001,19490.64,6085.48,((((x)*(x))*((7)*(6)))*((x)-((x)-((x)-(x))))),(((8)*((6)+(9)))-((6)+(x))),DeleteMaliciousR|AddTreeWithMult|SubXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,17,17,18,18,3
18,x*x*x*x,25,-10,-0.039196615434256954,0.009786407609367586,-0.038304710168605406,0.011467828668521389,393.38849999999996,263.89820000000003,830.1224000000001,244.49560000000002,-0.9375122533002221,0.2866852138842729,0.02516234516198276,0.0002711249518644528,12760.1,6114.89,30598,6112.48,((((6)*(x))*((x)*(x)))*((x)-((x)-((x)-(x))))),((((0)*(1))*((x)-((2)*(x))))-(((x)-(x))-((x)+((x)+(x))))),DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,18,17,19,19,3
19,x*x*x*x,25,-10,-0.03949356150339825,0.010508176036766223,-0.03939860884198144,0.011462553914520984,247.9847,252.9054,294.4796,244.5408,-0.9774117762384001,0.28661986294975456,0.005037821853352498,0.000256137481249389,7360.379999999999,6115.53,11060.64,6113.04,((((x)*(9))*((3)*(x)))*((x)-((x)-((x)-(x))))),((3)*((x)+(x))),DeleteMaliciousR|AddTreeWithMult|SubXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,19,18,20,20,3
20,x*x*x*x,25,-10,-0.03951365691576264,0.009174042661945249,-0.0394675148673376,0.011472776667849209,238.14469999999997,285.71869999999996,260.73879999999997,244.4532,-0.9874874199451051,0.2867645685904737,0,0.0004696524557404196,6126.96,6114.79,6126.96,6111.8,((((0)*(x))*((x)*(4)))*((7)-((x)-((x)-(x))))),((1)+((8)+(x))),DeleteMaliciousR|AddTreeWithMult|SubXD|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,20,19,21,21,3
