gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
73,x*x*x*x,25,-10,-0.03780147815645014,0.005071125488531353,-0.03281989772578748,0.011851298616427362,1076.537,564.4226055555556,3515.8376000000003,241.2096,-0.6178988040778983,0.3056043094273392,0.18594468206944573,0.00852514383578303,50543.14,6016.775,187101.2,5950.36,((((7)-(2))*((6)*((x)+(1))))*((x)*((x)*((x)-(x))))),((((x)+(1))-((3)*(x)))*((0)+((0)-(x)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,71,72,74,74,3
74,x*x*x*x,25,-10,-0.03809304890700562,-0.015611225095000267,-0.03510578927591164,0.011771568994434356,933.7653,600.8646831746031,2396.5188,241.8928126984127,-0.7929249444517056,0.363883339246037,0.08136413019129425,0.04236395298168622,44810.48,5798.530000000001,101397.2,5450.96,((((8)*(6))-((1)*((3)*(x))))*((x)*((9)+((7)-(x))))),((((7)+(9))*((x)+((0)*(4))))*(((3)-(4))*((7)+((1)-(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,73,74,75,75,3
75,x*x*x*x,25,-10,-0.03844277545418899,0.009154709195734814,-0.03556621029930728,0.012379427525813622,762.5167999999999,280.0983,2171.0672,236.68400000000003,-0.7625040844334073,0.33989021043000917,0.11262305876828134,0.033752157554047514,33572.33,6071.58,116293.2,5656.56,((((x)*(5))*((x)+((0)*(8))))-((4)*((x)*((x)-(x))))),((((x)+((6)*(6)))*((8)+((7)+(8))))-(((4)*(0))*((6)*((7)*(2))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|DeleteNonTerminalR,AddTreeWithAdd|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,74,75,76,76,3
76,x*x*x*x,25,-10,-0.03925416816429225,0.007982624141183503,-0.03872911384132793,0.015360083649196188,365.207,301.75890000000004,622.3072,211.14239999999998,-0.9365349300745001,0.6053923856825438,0.024056043896678325,0.17273373545708812,14133.24,5563.86,31076.56,3381.44,((((x)*(x))*((x)*((2)*(5))))+((1)*((5)-((9)-(x))))),((((x)*((5)*(4)))+((8)+((2)+(1))))*(((4)+(2))-((5)*((2)-((4)-(x)))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|DeleteNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,74,76,77,77,3
77,x*x*x*x,25,-10,-0.03919412004966671,0.008388619626663193,-0.03861094791530519,0.01349664843064399,394.6104,289.778,680.1688,227.1104,-0.9153827114102732,0.3178902851167915,0.03123790556036183,0.014756775158384496,20545.83,6111.87,41434.04,5845.08,((((x)*(8))*((6)+((5)*(4))))-((x)+((1)*((x)-(x))))),((((9)+((9)*(x)))*((9)*((2)+(x))))-(((9)+(2))*((3)-((x)-(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|DeleteNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,74,76,78,78,3
78,x*x*x*x,25,-10,-0.03911401797967586,0.003048987577954053,-0.03828373088485166,0.015480609444143627,433.83349999999996,483.3429000000001,840.3952,210.1096,-0.9377099398771402,0.34926340160950026,0.024311348774604228,0.03202803108279601,16428.96,5966.4400000000005,30501.2,5576.24,((((x)*(x))*((8)*((6)+(x))))-((7)*((8)+((6)-(x))))),((((2)-(2))+((4)*((0)-(x))))+(((7)*(x))+((2)-((5)*(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddTreeWithAdd,MutateTerminalR,78,78,79,79,3
79,x*x*x*x,25,-10,-0.03935689329826166,0.00821103150503304,-0.03880613645275127,0.0117926694923166,314.9062,369.25620000000004,584.5920000000001,241.71200000000002,-0.918132760423474,0.3039191889015442,0.03551771043044987,0.01964591013536071,14035.800000000001,6098.219999999999,40087.44,5964.8,((((8)+(8))*((3)+((8)*(7))))*((x)-((9)*((x)-(x))))),((((3)*(6))+((x)*(2)))-((4)-((1)+((1)-(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddTreeWithAdd,MutateTerminalR,79,78,80,80,3
80,x*x*x*x,25,-10,-0.03749310057508822,0.003392171130958319,-0.031931306365181024,0.012357955075900444,1227.5384000000001,443.4545,3950.9488,236.868,-0.4361088419814403,0.30220139290849,0.275544242244795,0.021331708889331648,73731.32,6351.85,276117.2,5979.52,((((x)*(9))-((1)*((9)*(x))))*((7)+((7)*((5)-(x))))),((((8)*((8)-(9)))+((3)*((5)-(1))))+(((6)*(x))*((4)-((3)*(3))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|MutateTerminalR,AddTreeWithMult,MutateTerminalR,79,78,81,81,3
81,x*x*x*x,25,-10,-0.03913715139360868,0.007495311303198875,-0.03802544602012809,0.01187029706667663,422.50589999999994,294.5026,966.868,241.04679999999996,-0.8600031041693896,0.3157570438971564,0.06504354346159015,0.014443191678121428,20842.920000000002,6048.52,68551.44,5863.36,((((9)-(0))*((x)*((7)+(2))))*((x)+((x)*((x)-(x))))),((((7)+(3))+((2)*(2)))*((5)*((7)-((9)-(9))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithAdd,SubXD,AddTreeWithAdd,79,81,82,82,3
82,x*x*x*x,25,-10,-0.03459965669644489,0.006980757849750632,-0.02104407100875692,0.012276639841664024,2724.9070999999994,341.0351,9604.2496,237.5648,0.22572082357862755,0.31619116081931403,0.5950741547397359,0.015829336866224394,171949.52,6005.17,632412.72,5859.64,((((7)*(5))+((x)*((x)*(x))))-((0)*((x)*((x)-(x))))),((((6)-((4)*(x)))*((3)+((6)*(2))))*(((8)+(3))-((4)*((0)+(7))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR,AddRandomSubTreeR,AddTreeWithSub,82,82,83,83,3
83,x*x*x*x,25,-10,-0.03934412454254346,0.012245178034617327,-0.038739401712194484,0.01503286218421495,321.1586,237.83440000000002,617.2696,213.94640000000004,-0.9382036661874265,0.5357376253337567,0.024820403018276985,0.12059570876170869,12032.36,5516.030000000001,30259.44,3978.32,((((x)*(6))*((x)*((x)-(9))))*((2)*((x)+((4)-(x))))),((((3)-(0))+((x)+((3)*(6))))*((9)*((x)+((0)+(4))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,82,83,84,84,3
84,x*x*x*x,25,-10,-0.03884350615932558,0.003849523485413776,-0.0372400535877663,0.011995537464757176,566.2934,697.4830999999999,1351.4464,239.9736,-0.7674645471180238,0.29950800082155465,0.10516279896235908,0.00959671456391841,37486.64,6114.820000000001,113864.24,6002.6,((((9)*(8))*((8)*((8)+(8))))*((4)-((2)*((x)-(x))))),((((x)*(4))*((4)*((1)+(4))))+((3)*((x)-((3)-(x))))),AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,SubXD,AddTreeWithAdd,84,84,85,85,3
85,x*x*x*x,25,-10,-0.03919222977388577,0.007561806538740913,-0.038649539275911644,0.012632382321638632,395.536,316.9835,661.2720000000002,234.51640000000003,-0.9112036008364919,0.292688164012174,0.03675053907961588,0.003307283374626867,21777.760000000002,6095.73,43480.4,6061.04,((((2)-(9))*((x)*(9)))*((8)*((x)+((7)-(x))))),((((9)+(3))*((8)+(x)))-((3)-((x)*(1)))),AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,84,84,86,86,3
86,x*x*x*x,25,-10,-0.03939575892857143,0.005007494067544833,-0.039181472193177365,0.011867729708534834,295.87510000000003,483.7757000000001,400.8036000000001,241.06880000000004,-0.9623265749575218,0.319285994361148,0.012081875827995725,0.016839547525074494,9662.710000000001,6042.07,18447.32,5833.12,((((8)*(4))-((x)*((x)*(6))))-((2)+((x)*((x)-(x))))),((((x)*(9))+((7)+(4)))*((8)-((6)*(9)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,DeleteMaliciousR|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithSub,86,86,87,87,3
87,x*x*x*x,25,-10,-0.03690364433388253,0.005232211013591062,-0.02950534243159599,0.012013695688705495,1516.2252999999996,1162.4962,5139.0616,239.81800000000004,0.006458796965875045,0.2895326474597159,0.48974877387160276,0.001849669874205837,133319.41,6111.35,492847.2,6088.08,((((x)*(x))*((9)-((x)*(x))))*((8)+((6)*((x)-(x))))),(((2)+((5)+(3)))*((9)-((6)-(2)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,DeleteMaliciousR|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddRandomSubTreeR,ReplaceBranchR,86,86,88,88,3
88,x*x*x*x,25,-10,-0.03930261648804078,0.00860935271936795,-0.03896432002352634,0.01190306589241369,341.4836,308.3652,507.13520000000005,240.766,-0.9341488040778982,0.2987658009223818,0.023837559590678757,0.006606722932491514,15755.34,6093.610000000001,32244.96,6008.96,((((x)+(0))*((x)*(7)))*((x)-((2)*((x)-(x))))),((((x)+(6))-((1)+(8)))+((3)*((x)-((0)-(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddTreeWithMult,AddTreeWithAdd,86,87,89,89,3
89,x*x*x*x,25,-10,-0.03947478924323618,-0.008233118233565413,-0.03914644654293556,0.012666131411393474,257.1768,551.7613,417.9544,234.2272,-0.9627225199320351,0.3935059842784324,0.01397495918748182,0.05321368297488687,8195.68,5872.120000000001,18253.44,5197.12,((((x)*(2))+((3)*((x)*(8))))*((x)-((8)-((7)-(x))))),((((x)*(8))-((6)*(x)))+((8)*((6)*((0)+(x))))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,AddTreeWithSub,MutateNonTerminalR,86,87,90,90,3
90,x*x*x*x,25,-10,-0.037451608654097496,0.002556140887609304,-0.03158301284145863,0.010553429056892659,1247.8555000000001,939.9457000000001,4121.4956,252.3312,-0.5680389818324402,0.3048714453759546,0.20947293925040242,0.016942228487779123,57660.060000000005,6094.87,211515.76,5956.64,((((x)*(x))*((5)+((3)*(x))))*((6)*((x)-((5)-(x))))),(((6)*((4)*(5)))-((3)-((6)+(8)))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd,SubXD,AddTreeWithAdd,86,90,91,91,3
