gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x*3*x+1,25,-10,0.01677402995885383,0.011428784417890723,0.02242803130550886,0.011429474773747868,1386496.0598,8451.065,2982429.9728,8450.8608,0.9746227657313768,0.2857394387386596,0.08238443895168637,0.000011014159517866743,85107469.44,211275.61,208137535.56,211270.76,((((x)*((x)*(x)))*((x)*((x)+(7))))*(((x)+(1))*((x)*((x)+(x))))),((9)+((9)+(x))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,DeleteMaliciousR,21,21,22,22,4
22,x*x*x*x*3*x+1,25,-10,0.007651445036203967,0.011429571126058979,0.030666175281495026,0.011434172709590618,1717347.3549000002,8450.8323,3684805.9680000003,8449.4712,0.9789646154604473,0.28584316115637376,0.7572782485592996,0.000055407114994453914,125083626.58000001,211263.91999999998,251098571.08,211240.08,((((x)*((x)*(x)))*((x)*((3)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((1)+((6)*(x))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,MutateTerminalR,22,22,23,23,4
23,x*x*x*x*3*x+1,25,-10,0.022613846905682963,0.011429200930337344,0.03828949455995739,0.011430775698986994,2293497.5821999996,8450.9418,5879395.7248,8450.475999999999,0.98010370036403,0.28582138891484576,0.9873893364953409,0.00004986893447930612,77721415.18,211268.19,265474238.76,211246.52,((((x)*((x)*(x)))*((x)*((8)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((x)+((4)*(x))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,FellTreeD,23,23,24,24,4
24,x*x*x*x*3*x+1,25,-10,0.025227250803948133,0.01142977126840346,0.038354874775867784,0.011434425592147494,3540619.5472000004,8450.7731,9299592.7896,8449.396400000001,0.9900558071119788,0.2859091540375269,0.14907633167930856,0.00009551207973460197,196752869.1,211262.93,531159749.16,211220.56,((((x)*((x)*(x)))*((x)*((6)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((9)+((9)*(x))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|SubXD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,MutateTerminalR,24,24,25,25,4
25,x*x*x*x*3*x+1,25,-10,0.011946705203337545,0.011429468012182175,0.019492511489584717,0.011431024524604457,2277775.7602,8450.8628,5102002.539999999,8450.402399999999,0.9823159640389321,0.2858664209423539,0.9582021901214749,0.00006845566856740343,127734590.38000001,211258.71000000002,298684927.56,211233.2,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(x))*((9)*((x)+(x))))),((9)+((x)*(7))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,25,25,26,26,4
26,x*x*x*x*3*x+1,25,-10,-0.007353323744357039,0.011428981517530641,0.017550772476101414,0.011430800040623485,1013760.7656,8451.0067,2299343.828,8450.4688,0.9633109182083243,0.2858009689864561,1.108391849060187,0.000041470011417877624,66283488.440000005,211270.95,143965309.08,211252.56,((((x)*((x)*(x)))*((x)*((3)*(8))))*(((7)+(1))*((x)*((x)+(x))))),((1)+((4)*(x))),MultXD|DeleteMaliciousR|AddTreeWithMult|SkipD|SkipD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,SkipD,MutateTerminalR,26,26,27,27,4
27,x*x*x*x*3*x+1,25,-10,0.030162651568108413,0.011428762780880508,0.03899306468243511,0.011429461250616484,7071392.2246,8451.0714,19547618.181599997,8450.8648,0.9958012114003997,0.2857378159628936,0.01467392207250706,0.000010530907931404187,442580063.88,211275.91,1257971168.28,211271.24,((((x)*((x)*(x)))*((x)*((x)*(9))))*(((x)+(1))*((x)*((x)+(x))))),((x)+((9)-(3))),AddTreeWithDiv|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,SkipD,AddTreeWithMult,27,27,28,28,4
28,x*x*x*x*3*x+1,25,-10,0.022094821305875954,0.011428988955252904,0.03871464863061083,0.011430038688326576,2881344.5172,8451.004500000001,6839287.6,8450.694,0.9719764045801783,0.2858224707653564,0.14459868375102192,0.000050816393898872805,107993587.08000001,211268.6,188482417.08,211246.2,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((8)*(8))*((x)*((x)+(x))))),((2)+((x)*(5))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,28,28,29,29,4
29,x*x*x*x*3*x+1,25,-10,0.022003198300490422,0.011428792531769554,0.039207193512555014,0.011429117763079335,5040517.3834,8451.0626,14124150.003999999,8450.9664,0.9924241895422827,0.2857382216568351,1.0837927077779324,0.000012978625291720644,182429656.46,211274.45,697213193.16,211271.12,((((x)*((x)*(x)))*((x)*((7)*(9))))*(((x)+(1))*((x)*((x)+(x))))),((4)+((x)+(5))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,AddTreeWithMult,29,29,30,30,4
30,x*x*x*x*3*x+1,25,-10,0.014897553281063385,0.011428855752408772,0.03510228685127246,0.011429519400081436,3069249.268,8451.0439,7349803.516000002,8450.847600000001,0.9880660191733942,0.28575864158522474,0.955715625671547,0.000020608027657114032,166981264.8,211274.22,442597912.36,211265.08,((((x)*((x)*(x)))*((x)*((5)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((2)+((2)*(x))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|FellTreeD|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR,MultXD,DeleteMaliciousR,30,30,31,31,4
