gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
70,x*x*x*x*3*x+1,25,-10,0.023139627403184492,0.0017274077677825127,0.03826697823824784,0.02584180072935657,5665223.9558,394769.33629999997,14634303.261599999,4187.846399999999,0.9946013634403166,0.29552694030903326,0.02116877993482123,0.004906327297373808,358624209.61999995,210552.58000000002,978386846.68,208375.72,((((x)*((x)*(x)))*((x)*((x)*(7))))*(((x)+(1))*((x)*((x)+(x))))),((((0)*((x)*(x)))*(((x)*(1))*((3)*(x))))+(((9)*((8)*(x)))*((0)+((x)-((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|AddXD,MultXD,DeleteTerminalR,70,70,71,71,4
71,x*x*x*x*3*x+1,25,-10,0.020262719589754546,0.012613178467334264,0.0390534603085251,0.025714650838833078,4845500.721,8100.733700000001,15641780.316000002,4225.456,0.993701420854513,0.999996619217154,0.9263524749157046,0.35714116675143415,226287260.85999998,158458.90000000002,838594685.88,1,((((x)*((x)*(x)))*((x)*((6)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(0))))*(((5)*((4)*(x)))*((0)+((x)-((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|AddXD,MultXD,DeleteMaliciousR,71,71,72,72,4
72,x*x*x*x*3*x+1,25,-10,0.021527276176498095,0.008208219045515214,0.03848708046686011,0.025797831619975124,3861270.6654000003,159582.86409999998,10455401.348800002,4200.852,0.9886345623188593,0.999996619217154,0.9352049670812278,0.35064706306088883,150992585.38,155324.82,464738371.56,1,((((x)*((x)*(x)))*((x)*((7)*(6))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(1))))*(((0)*((5)*(0)))+((6)*((1)-((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|AddXD,MultXD,SubXD,72,72,73,73,4
73,x*x*x*x*3*x+1,25,-10,0.03164567217639446,0.01220459429456382,0.03874014524323651,0.018571827503804393,3744765.4614,8221.5886,7278705.664000001,6338.228,0.9771804918234571,0.999996619217154,0.931654692082857,0.35714116675143415,104858709.76000002,158458.90000000002,231466645.08,1,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((9)*(9))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(1))))*(((0)*((2)*(0)))*((0)+((x)-((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|AddXD,MultXD,AddTreeWithMult,73,73,74,74,4
74,x*x*x*x*3*x+1,25,-10,0.016350744931508857,0.001710009144550285,0.03798956294846442,0.023532842344494466,5228653.860400001,1600972.7023999998,15566572.4256,4870.812,0.9952762885328139,0.533702550881796,0.14022492695547595,0.04152412722724286,312138722.90000004,205137,1118179007.48,137925.88,((((x)*((x)*(x)))*((x)*((8)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((6)+(1))))*(((0)*(0))*((7)*((4)+((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|AddXD,MultXD,AddTreeWithMult,74,74,75,75,4
75,x*x*x*x*3*x+1,25,-10,0.015342555852309288,-0.017220111064495402,0.03736132499657985,0.011450789933435089,2490182.8033999996,1778071.9056,6769161.8856,8444.556,0.9823159640389321,0.28571428571428564,1.1123680847579482,0,101604938.06,32767,298684927.56,211278.2,((((x)*((x)*(x)))*((x)*((3)*(9))))*(((x)+(1))*((x)*((x)+(x))))),((((1)*((0)*(x)))*(((x)*(8))*((1)*(3))))*(((x)+((1)*(x)))*((0)+((x)-((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,DivXD|DeleteTerminalR|DeleteMaliciousR|SubXD|AddXD,MultXD,DeleteMaliciousR,75,75,76,76,4
76,x*x*x*x*3*x+1,25,-10,0.020751583617615327,-0.001190384049287231,0.03860545727238918,0.01144953498684267,3377691.619,631802.5414999999,7304309.248000001,8444.9272,0.9746924072441134,0.28639476968552086,0.31318143140243404,0.00034024198561760643,105836344.5,211227.88,208710289.08,211076.92,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((8)*(9))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((0)+(1))))*(((x)*((8)*(8)))*((0)+((x)-((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|AddXD,MultXD,DeleteTerminalR,76,76,77,77,4
77,x*x*x*x*3*x+1,25,-10,0.014229023900572029,0.010449838522082864,0.03412422842083258,0.011497801747377896,2329651.6346,8750.1846,5210362.8736000005,8430.6504,0.9809001603564023,0.2891259012998028,0.9213995720666799,0.0017141506429351348,110082946.58000001,211029.62,276544468.36,210269.08,((((x)*((x)*(x)))*((x)*((5)*(5))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((7)*(4))*((0)*(x))))+(((0)*(8))*((x)*((0)+((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,77,77,78,78,4
78,x*x*x*x*3*x+1,25,-10,0.027760253960306135,0.0046826929486213,0.036158636759675844,0.014070330019850603,3746251.7756,24388.0777,6221003.800000001,7669.7236,0.98010370036403,0.2859746059934247,0.01985986475090375,0.0001397830039084691,212638771.14,211263.2,265474238.76,211201.2,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(x))*((8)*((x)+(x))))),((((9)*((7)*(0)))*(((x)*(x))*((0)*(x))))+(((1)*(x))*((2)*((0)+((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,ReplaceBranchR|DeleteTerminalR|DeleteMaliciousR|DeleteMaliciousR|DeleteMaliciousR,MultXD,DeleteMaliciousR,78,78,79,79,4
79,x*x*x*x*3*x+1,25,-10,0.011303593490410734,-0.0004500889510608974,0.01849076930601374,0.01162455676246498,4449866.2536,280548.8824,9395567.146399999,8393.1576,0.9924241895422827,0.29551355240896326,0.00874095019117603,0.0049056142753832275,333732244.94,210556.22,697213193.16,208379.68,((((x)*((x)*(x)))*((x)*((7)*(9))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(1)))*(((0)*(x))*((3)*(x))))+(((8)*(9))*((x)*((0)+((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,79,79,80,80,4
80,x*x*x*x*3*x+1,25,-10,0.025409550766958534,0.011807379386231926,0.03827735554999828,0.02569434180012081,5220937.4,227443.25290000002,14191537.083999999,4231.463199999999,0.9946013634403166,0.9965566050557307,0.051832605745905716,0.4101233833430811,333759200.48,106076.17,978386846.68,1018.52,((((x)*((x)*(x)))*((x)*((7)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(1))))*(((0)*(0))*((0)*((0)+((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,80,80,81,81,4
81,x*x*x*x*3*x+1,25,-10,0.023433694107317313,0.010038429816332982,0.03830765301642176,0.018720859173220087,3492759.3754,1252606.5032,7643194.548800001,6294.146000000001,0.9810971269916708,0.999996619217154,0.7379835137963577,0.3571507456533746,121478116.69999999,158463.15,279426042.68,1,((((x)*((x)*(x)))*((x)*((x)*(2))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((x)+(1))))*(((0)*(4))*((5)+((6)*((0)-(0)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,81,81,82,82,4
82,x*x*x*x*3*x+1,25,-10,0.0358132975121353,0.011440129310886917,0.037838881997363585,0.011472107797748585,5016369.569600001,8447.7093,8925380.729600001,8438.2504,0.9840854933309189,0.2891259012998028,0.09719445663596182,0.0016506243590738478,174876861.90000004,210995.99,331895616.36,210269.08,((((x)*((x)*(x)))*((x)*((6)*(5))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(0))*((x)+(9))))*(((0)*(x))*((1)*((7)+((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,82,82,83,83,4
83,x*x*x*x*3*x+1,25,-10,0.012146916880601441,0.005236168411289152,0.021031807367746944,0.011457617762470793,3536281.6562000006,87971.77130000001,10373548.588000001,8442.5364,0.9924414196995134,0.28717370205323056,0.20491945694924082,0.0007344717671911988,191018067.08,211172.38,698802525.08,210846.52,((((x)*((x)*(x)))*((x)*((5)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(0)))*(((0)*(3))*((0)+(1))))*(((x)*(7))*((1)*((6)+((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|AddToLeafR|DeleteMaliciousR,MultXD,DeleteMaliciousR,83,83,84,84,4
84,x*x*x*x*3*x+1,25,-10,0.007335897821421031,-0.011427458812936825,0.019443661335906883,-0.011417229578279797,1914363.9988,6665.6869,5007750.023200002,6662.6612,0.968150712663518,-2,0.05681876914865403,0,76269765.9,32767,165842172.36,32767,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(5))*((x)*((x)+(x))))),((((x)*((0)*(x)))*(((x)*(3))*((0)*(9))))+(((1)*(x))*((x)+((x)/((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,DivXD|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,84,84,85,85,4
85,x*x*x*x*3*x+1,25,-10,-0.0068163609018556245,-0.006924027859273426,0.01212291787926278,0.011428429435691896,NaN,NaN,9471603.5272,8451.17,0.9925425968895085,0.28571428571428564,0.31451910425738294,0.000010818505107063059,224642207.5,211283,708283422.76,211278.2,((((x)*((x)*(x)))*((x)*((8)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((((0)*(0))*((3)*((0)*(2))))+((1)*((x)+((0)-(x))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,85,85,86,86,4
86,x*x*x*x*3*x+1,25,-10,-0.003020302816799667,-0.011422549578166201,0.005364813115062479,-0.011402759827699081,1275172.0053666667,6664.2348,2716448.240266667,6658.3812,0.9692542462052793,-2,0.07866040030183907,0,74037656.5,32767,171794617.08,32767,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)*(8))*((8)*((x)+(x))))),((((0)*((x)*(x)))*(((x)*(3))*((0)+(5))))*(((8)/(4))*((x)*((0)+((x)-(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,86,86,87,87,4
87,x*x*x*x*3*x+1,25,-10,-0.007072074060546952,0.011429563350258434,0.00039674663761790185,0.011434472923107336,1281759.959,8450.8346,3167060.8552000006,8449.3824,0.968150712663518,0.28614134620338755,0.0553850696413514,0.0002218972110029013,72351378.82,211250.32,165842172.36,211151.88,((((5)*((x)*(x)))*((x)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((0)*((x)*(0)))*((3)*((0)+(1))))*(((7)*(3))*((6)+((x)-(x))))),MultXD|MultXD|AddTreeWithMult|AddTreeWithDiv|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,87,87,88,88,4
88,x*x*x*x*3*x+1,25,-10,0.0011485254427344715,-0.011428893955254935,0.008389856564074831,0.011428287442812365,NaN,NaN,NaN,8451.212000000001,0.9823159640389321,0.28571428571428564,0.18068072829038861,0.000003989323758224472,166055599.32,211278.79,298684927.56,211278.2,((((x)*((x)*(x)))*((x)*((9)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*(x))*((0)*((0)*(4))))*((5)*((3)*((1)-(4))))),MultXD|MultXD|AddTreeWithMult|AddToLeafR|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|FellTreeD|DeleteMaliciousR,MultXD,DeleteMaliciousR,88,88,89,89,4
89,x*x*x*x*3*x+1,25,-10,0.018085578415491986,0.008456654651175692,0.038671850570011455,0.011451652709217377,3131223.5516000004,15641.7825,6645907.788,8444.3008,0.9726732385010723,0.28681939601097367,0.031083514540984715,0.0005520387087888213,119294623.08000001,211196.25,193288729.08,210951.32,((((x)*((x)*(9)))*((8)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((x)*((x)*(x)))*((x)*((0)*(0))))+(((5)+(8))*((x)*((x)+((0)*(8)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,89,89,90,90,4
90,x*x*x*x*3*x+1,25,-10,0.013879046029140217,0.010800613853052681,0.03918856065817661,0.021559372564568555,6443725.619,43956.25529999999,21480186.2608,5454.5436,0.9946013634403166,0.48991600377403544,1.1022461078794943,0.10210203108840746,258096597.83999997,196178.54,978386846.68,150877.48,((((x)*((x)*(x)))*((x)*((7)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((((0)+(2))*((4)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,90,90,91,91,4
91,x*x*x*x*3*x+1,25,-10,-0.003336211093543361,0.010406257322352331,0.019548373198035828,0.011770513271803984,2397277.0686000003,8769.0677,6011182.2248,8349.985200000001,0.9801036998903697,0.30281103979762897,0.9571985914576789,0.01044847536596078,130250532.13999999,210575.94,265474232.44,206221.16,((((x)*((x)*(x)))*((x)*((8)*(3))))*(((x)+(1))*((x)*((x)-((x)+(x)))))),((((x)*(x))*((0)+((9)*(0))))*(((3)*(3))+((1)*((0)+(x))))),MultXD|MultXD|AddTreeWithMult|SubXD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,91,91,92,92,4
92,x*x*x*x*3*x+1,25,-10,0.00878890522697422,0.001977456308860534,0.022676030259751324,0.011587354628028013,2483925.9417,211878.75170000002,4285030.884799999,8404.161600000001,0.9681507114497888,0.28571428571428564,0.0412753867945349,0,128196442.32000001,211278.2,165842166.04,211278.2,((((x)*((x)*(5)))*((x)*((x)*(3))))*(((x)+(1))*((x)*((x)-((x)+(x)))))),((((3)-(9))*((0)*((0)*(0))))*(((7)*(2))-((5)*((x)+(x))))),MultXD|MultXD|AddTreeWithMult|SubXD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,92,92,93,93,4
93,x*x*x*x*3*x+1,25,-10,-0.010465047411064118,-0.011371370611287462,0.008173458768218036,0.011884295546954542,NaN,NaN,NaN,8316.3296,0.9586697609417041,0.3065255735261443,0.9384643796362074,0.010405643905929324,64878439.18,209739.26,127798801.08,205122.44,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((8)*(5))*((x)*((x)+(x))))),((((0)-(2))*((x)+((8)*(5))))*((x)*((0)-((x)+(x))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,93,93,94,94,4
94,x*x*x*x*3*x+1,25,-10,0.022328059855002004,0.011429866606479712,0.038389914785739096,0.011438834132978628,3258217.2734000003,8450.7449,6269750.7248,8448.092400000001,0.9812866237223914,0.28622491915533976,0.9627507437211785,0.0002549136092394636,160029407.16,211240.26,282255586.68,211127.16,((((x)*((x)*(x)))*((x)*((3)*(9))))*(((x)+(1))*((x)*((x)-((x)+(x)))))),((((7)-(1))*((0)+(1)))*((x)*((x)+(0)))),MultXD|MultXD|AddTreeWithMult|SubXD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,94,94,95,95,4
95,x*x*x*x*3*x+1,25,-10,0.030245840049910065,0.011481058082254986,0.03747071766969785,0.01188638351844021,3007028.7057999996,8435.603,5884080.303200001,8315.712,0.98010370036403,0.3085091464375271,0.17334956619315003,0.011396686638068478,109325788,209592.25,265474238.76,204535.72,((((8)*((x)*(x)))*((x)*((x)*(3))))*(((x)+(1))*((x)*((x)+(x))))),((((8)-(2))*((x)+(0)))*((x)*((x)+(x)))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,95,95,96,96,4
96,x*x*x*x*3*x+1,25,-10,0.03079023922967508,0.011440277389175569,0.03826159580675461,0.011509656124348977,4529357.4354,8447.665500000001,11433680.1328,8427.144,0.9933714169261463,0.2897660863395141,0.9435750188538541,0.0019169035174956138,230470185.68,210903.41999999998,796845259.56,210079.72,((((x)*((x)*(x)))*((x)*((9)*(8))))*(((x)+(1))*((x)*((x)+(x))))),((((4)-((0)*(4)))*((x)*((3)*(x))))+(((0)*(x))*((0)*((3)+(x))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,MutateTerminalR|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|DeleteMaliciousR,MultXD,MutateTerminalR,96,96,97,97,4
97,x*x*x*x*3*x+1,25,-10,0.02018601112580462,0.00982392796850504,0.03908310139889363,0.011428584951702809,4599076.419,9071.440200000001,15716529.091999998,8451.124,0.9946013634403166,0.2857149618708549,0.10526789899720021,0.00000033807828461740463,273748121.78,211278.15000000002,978386846.68,211278,((((x)*((x)*(x)))*((x)*((7)*(x))))*(((x)+(1))*((x)*((x)+(x))))),((1)+(0)),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|MultXD|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,97,97,98,98,4
98,x*x*x*x*3*x+1,25,-10,0.02524959441039746,0.008473709465389601,0.037464901589064965,0.015737371051871077,3103157.4586,10304.8256,5717952.5088,7176.6304,0.9746924072441134,0.7046465614666214,0.039020740220293226,0.20942042459888166,137877757.3,180278.96000000002,208710289.08,87362.44,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((9)*(8))*((x)*((x)+(x))))),((((x)*((2)*(6)))*((x)*((x)*(3))))*(((x)+(0))*((2)*((0)*((x)+(x)))))),MultXD|MultXD|AddTreeWithMult|SkipD|AddXD,AddTreeWithMult|SkipD|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,98,98,99,99,4
99,x*x*x*x*3*x+1,25,-10,0.03167602793645233,0.014572622393467134,0.03871866992341783,0.023996539701141496,4289937.8046,7521.1508,7454524.483200001,4733.6552,0.9746924072441134,0.7046465614666214,0.039020740220293226,0.20942042459888166,137877757.3,180278.96000000002,208710289.08,87362.44,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((9)*(8))*((x)*((x)+(x))))),((((x)*((2)*(6)))*((x)*((x)*(3))))*(((x)+(0))*((2)*((0)*((x)+(x)))))),MultXD|MultXD|MutateTerminalR|SkipD|AddXD,AddTreeWithMult|SkipD|DeleteMaliciousR|ReplaceBranchR|DeleteMaliciousR,MultXD,DeleteMaliciousR,99,99,99,99,4
