gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x*3*x+1,25,-10,-0.03384323062199507,0.011428571428571425,-0.02269176015320085,0.011428571428571425,32519.778800000004,8451.128,91421.344,8451.128,-0.5212978755025365,0.28571428571428564,0.20692305023075405,0,1001851.04,211278.2,2528483.08,211278.2,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((1)+(1))+((7)*((0)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddXD,AddToLeafR,21,21,22,22,3
22,x*x*x*x*3*x+1,25,-10,-0.026225156256564023,0.00824907368375854,-0.004036734440289347,0.011430721606461459,99681.05099999999,61588.4577,297648.1352,8450.492,0.5400741892949626,0.28582179460878726,0.6506570182574978,0,4805018.5,211278.2,11484363.08,211246.4,((((x)*((x)*(x)))*((x)*((8)+(5))))*(((x)+(1))+((8)*((0)*(x))))),((((0)*((6)-(6)))*(((x)*(x))*((3)*(0))))+(((0)*((5)+(5)))+((1)+((x)*((x)+(x)))))),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddTreeWithMult,MultXD,22,22,23,23,3
23,x*x*x*x*3*x+1,25,-10,-0.020861800625650188,0.011428571428571425,0.01850227990427598,0.011428571428571425,186001.49899999998,8451.128,638045.8239999999,8451.128,0.80224328917143,0.28571428571428564,0.881123234908836,0,6835785.819999999,211278.2,26709359.08,211278.2,((((x)*((x)*(2)))*((x)*((x)*(9))))+(((6)*(x))+((1)+((0)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddTreeWithAdd,MultXD,23,23,24,24,3
24,x*x*x*x*3*x+1,25,-10,-0.02448860110629194,0.011428571428571425,-0.007364043989171869,0.011428571428571425,91176.16819999999,8451.128,198459.89759999997,8451.128,0.4978960371902771,0.28571428571428564,0.6658556291496153,0,6300082.919999999,211278.2,10519644.12,211278.2,((((x)*((x)*(8)))*((6)*((x)*(3))))*(((x)+(1))+((0)+((3)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddXD,MultXD,24,24,25,25,3
25,x*x*x*x*3*x+1,25,-10,-0.037472811335954204,0.011428571428571425,-0.03518789872310537,0.011428571428571425,13348.496799999999,8451.128,25417.3024,8451.128,-0.6387898723105366,0.28571428571428564,0.1576457809119751,0,720690.26,211278.2,1907895.64,211278.2,((((x)*((x)*(x)))*((6)+((5)*(3))))*(((x)+(0))+((3)*((x)*(x))))),(0),AddXD|DivXD|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,MultXD,MultXD,25,25,26,26,3
26,x*x*x*x*3*x+1,25,-10,-0.027935772488296314,0.011501713651208958,-0.0059278754729407265,0.011643832633939512,123450.9503,8429.4933,418880.4024000001,8387.456,0.8293161176798267,0.3072404062510945,0.864651206464464,0.00965435242504429,8180462.75,209114.73,30945833.48,204911,((((x)*((x)*(x)))*((x)*((3)*(x))))*(((x)+(0))+((6)+((8)*(x))))),(((((0)*(2))*((x)*(6)))*(((8)*(x))*((2)-(2))))+(((3)*((x)+(1)))+(((x)*(x))+((x)*((x)*(x)))))),AddXD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|SubXD,AddXD|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR,AddXD,MultXD,26,26,27,27,3
27,x*x*x*x*3*x+1,25,-10,-0.02310163541245698,0.006472190452031692,0.001786230196700953,0.01860330123978716,294899.8017,144076.69980000003,972511.6423999999,6328.9184000000005,0.9160418260792761,0.4882295340591558,0.9002842574997761,0.0761562012679338,20438677.76,182877.73,62911742.28,151376.32,((((x)*((x)*(x)))*((9)*((7)*(3))))+(((x)*(x))+((0)+((x)*(x))))),((((6)*(2))*((x)+((8)+(1))))+(((x)*(x))+((x)*((x)*(x))))),AddXD|DeleteNonTerminalR|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|DivXD|AddToLeafR|AddRandomSubTreeR,DeleteNonTerminalR,AddXD,27,27,28,28,3
28,x*x*x*x*3*x+1,25,-10,-0.03239221641271914,0.0018992925357298922,-0.016977442361583096,0.01145580431055222,57877.651000000005,286721.84,192378.83519999997,8443.0728,0.6674894850680166,0.28571428571428564,0.8137495905020983,0,4129689.3899999997,211278.2,15885076.6,211278.2,((((x)*((x)*(x)))*((9)+((3)*(6))))*(((3)*(x))+((1)+((0)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,DeleteMaliciousR,MultXD,28,28,29,29,3
29,x*x*x*x*3*x+1,25,-10,-0.03355879063262031,0.011428571428571425,-0.022324076729863866,0.011428571428571425,39650.0348,8451.128,115874.8584,8451.128,0.4736379180873731,0.28571428571428564,0.6862094214575589,0,2984089.8400000003,211278.2,10034831.88,211278.2,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((0)+(3))*((x)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|MultXD|MultXD|AddToLeafR|FellTreeD,AddTreeWithMult,MultXD,29,29,30,30,3
30,x*x*x*x*3*x+1,25,-10,-0.020607046047470004,0.011428571428571425,0.014708371300742214,0.011428571428571425,158597.2842,8451.128,506345.564,8451.128,0.7422681126686622,0.28571428571428564,0.8372659193108475,0,5400281.899999999,211278.2,20493991.08,211278.2,((((x)*((x)*(x)))*((7)*((9)+(5))))*(((3)*(x))+((0)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|AddTreeWithMult|MultXD|AddToLeafR|FellTreeD,AddXD,FellTreeD,30,30,31,31,3
