gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
90,x*x*x*x*3*x+1,25,-10,-0.040866219839460746,0.011427884453497128,-0.020361216649261653,0.011428644453480899,56392.29589285714,8451.3312,189143.04033333334,8451.106399999999,0.6983800312576656,0.2857168551092486,0.7656527089982876,0.000010311923418740986,5098691.475,211281.88,17511953.94,211277.44,((((x)*((9)*(6)))*((x)*((x)*(1))))+(((7)*(8))*((9)+((1)+((1)/(2)))))),((9)+((x)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SubXD,AddTreeWithMult,ReplaceBranchXR,90,90,91,91,1
91,x*x*x*x*3*x+1,25,-10,-0.040307816151800194,0.011428481161669439,-0.022147425128152643,0.011430315912519941,38017.50816111111,8451.1547,94411.364,8450.612,0.045559045982566874,0.28582138891484576,0.8389888518591239,0.000060332164091214965,1649953.13,211271.76,5534082.52,211246.52,((((x)*((x)*(x)))*((6)+((x)*(9))))*(((7)*(8))/((9)*((x)+((1)+(x)))))),((6)*((x)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|FellTreeD|SubXD,AddTreeWithMult,FellTreeD,91,91,92,92,1
92,x*x*x*x*3*x+1,25,-10,-0.035176437476683683,0.005713791781911917,-0.01554134321556475,0.011429485592252975,63551.81360833333,8004.9961,175519.17759999997,8450.8576,0.5955866207840032,0.28571671987793473,0.7543654643478502,1.142850787036107,4913798.26,166653.22,13060782.04,211277.48,((((8)*((6)*(x)))*((x)*((x)*(0))))/(((6)+(7))*((x)+((9)*((7)+(x)))))),((x)+((8)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|ReplaceBranchR|SubXD,AddTreeWithMult,ReplaceBranchR,92,92,93,93,1
93,x*x*x*x*3*x+1,25,-10,-0.03472504272521974,0.011428149168793969,-0.01234297858423541,0.011430367300419202,82425.46691428572,8451.2529,258697.5624,8450.5968,0.7418637509300665,0.28582138891484576,0.807693369932903,0.00006308656743467517,5845645.064761905,211274.51,20461887.933333334,211246.52,((((x)*((x)*(x)))*((x)*((9)*(5))))*(((3)*(x))+((x)+((3)+((4)/(3)))))),((x)*((6)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SubXD,AddTreeWithMult,ReplaceBranchXR,93,93,94,94,1
94,x*x*x*x*3*x+1,25,-10,-0.03730491788933755,0.011427929755987262,0.004993699514535119,0.011428852709704212,103687.99391428572,8451.3178,384187.26205714286,8451.044800000001,0.7315995912205606,0.2857778444317898,0.8405452395261693,0.00004077373618959274,5121043.58,211277.37,19679385.08,211259.4,((((x)*((x)*(5)))+((6)/((1)*(x))))*(((5)*(8))*((7)*((x)+((1)+(x)))))),((x)*((x)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SubXD,AddTreeWithMult,SubXD,94,94,95,95,1
95,x*x*x*x*3*x+1,25,-10,-0.03906570302259867,0.01142791555669931,-0.02125178022152783,0.011428452425015249,44549.577091269835,8451.322,99027.2532,8451.163199999999,-0.10291454584524101,0.2857129334011473,0.8594964280731261,0.000008226077581349186,2181915.21,211282.07,4738365,211278.6,((((x)*((x)*(x)))*((x)*((4)*(5))))*(((5)*(6))+((1)+((1)+((6)/(1)))))),((x)-((2)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SubXD,AddTreeWithMult,ReplaceBranchXR,95,95,96,96,1
96,x*x*x*x*3*x+1,25,-10,-0.041017482114934965,0.01142827831469868,-0.019709768935472802,0.011429385521080734,49520.281,8451.2147,168291.74039999998,8450.8872,0.6428568327907898,0.2857333533295369,1.0904859117637533,0.000008573423555563865,3822897.7300000004,211276.36,14789461.16,211272.56,((((x)*((x)*(x)))*((x)*((x)*(3))))*(((8)+(7))+((8)*((7)+((x)/(5)))))),((x)-(3)),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SkipD,AddTreeWithMult,ReplaceBranchXR,96,96,97,97,1
97,x*x*x*x*3*x+1,25,-10,-0.04015013932466593,0.0057138391128717615,-0.024565612055851154,0.01142828203355981,25728.6703,8004.982099999999,81971.4404,8451.213600000001,0.08792462210557868,0.28569575902428984,0.853770934850713,1.1428473385877909,1684929.91,166654.75,5791138.68,211283.68,((((x)*((x)*(x)))*((9)*((4)*(x))))*(((3)*(6))/((3)+((1)+((6)+(x)))))),(((4)+(7))+((0)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|AddTreeWithDiv,ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|SubXD,AddTreeWithMult,ReplaceBranchR,97,97,98,98,1
98,x*x*x*x*3*x+1,25,-10,-0.03582524059568497,0.011428437887649013,-0.009825657716732139,0.011430332140277603,58446.91816904762,8451.1675,199324.52553333333,8450.6072,0.5479598597396329,0.2858002928298869,0.7350622899965497,0.000052906907621933846,3269670.89,211276.22,11684703.48,211252.76,((((0)+((4)*(x)))*((x)*((6)*(x))))*(((x)*(x))+((8)*((9)+(x))))),((x)*((5)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|MutateTerminalR,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SubXD,AddTreeWithMult,ReplaceBranchXR,98,98,99,99,1
99,x*x*x*x*3*x+1,25,-10,-0.03397055963540979,0.011428729987286904,-0.02203375776402667,0.011430724311087737,40618.35557857143,8451.0811,129981.37460000002,8450.4912,0.5479598597396329,0.2858002928298869,0.7350622899965497,0.000052906907621933846,3269670.89,211276.22,11684703.48,211252.76,((((0)+((4)*(x)))*((x)*((6)*(x))))*(((x)*(x))+((8)*((9)+(x))))),((x)*((5)-(x))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|AddXD|MutateTerminalR,ReplaceBranchXR|DeleteTerminalR|FellTreeD|ReplaceBranchR|SkipD,AddTreeWithMult,ReplaceBranchXR,99,99,99,99,1
