gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,(x),20,-10,0.019996177494232794,0.02,0.019996177494232794,0.02,26160.85,0,26160.85,0,0.9999999971179349,1,0.00008082997154670269,0,24378346614.97,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd|MutateTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithMult|SkipD|MutateTerminalR|AddTreeWithAdd|DeleteTerminalR|AddXD|SkipD|FellTreeD|AddXD,MultXD,MutateTerminalR,21,20,22,22,1
22,(x),20,-10,0.01082851570608326,-0.013494097147231406,0.019999997050638874,0.02,1863282.5148,21646.264107867613,33905647.94,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithMult|MutateNonTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,MutateTerminalR,22,21,23,23,1
23,(x),20,-10,0.017298394706708395,0.02,0.019999994828697937,0.02,288788.49118,0,19337489.63,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|MutateTerminalR|AddTreeWithMult|SubXD|DeleteMaliciousR|AddXD|DeleteMaliciousR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,DeleteMaliciousR,23,22,24,24,1
24,(x),20,-10,0.01999999495680076,0.02,0.01999999495680076,0.02,19828683.192,0,19828683.192,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|AddRandomSubTreeR|DivXD|SkipD|SubXD|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddXD|SkipD|FellTreeD|AddXD,MultXD,SkipD,24,23,25,25,1
25,(x),20,-10,-0.01736,-0.0012055903538060976,-0.01736,0.02,0.66,0.1722,0.66,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD|AddTreeWithSub|FellTreeD|AddXD,MultXD,FellTreeD,25,24,26,26,1
26,(x),20,-10,-0.019244000000000004,0.0010449206349206356,-0.0192,0.016,0.18899999999999997,0.10339999999999999,0.2,0.02,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|ReplaceBranchR|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithMult|SubXD|AddRandomSubTreeR|AddXD|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddXD,26,25,27,27,1
27,(x),20,-10,-0.019600000000000006,0,-0.0196,0.02,0.1,0.1,0.1,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|AddTreeWithSub|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithMult|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|SkipD|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddXD,MultXD,FellTreeD,27,25,28,28,1
28,(x),20,-10,-0.019600000000000006,-0.006148238721615346,-0.0196,0.012,0.1,0.17546,0.1,0.04,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|FellTreeD|AddRandomSubTreeR|DivXD|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithAdd|DeleteTerminalR|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,28,26,29,29,1
29,(x),20,-10,-0.01736,0,-0.01736,0.02,0.66,0.1,0.66,0,0.9999999971179349,1,0,0,86743353580.5,0,86743353580.5,0,((((x)*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),SkipD|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,ReplaceBranchR|FellTreeD|ReplaceBranchR|AddTreeWithDiv|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddXD|FellTreeD|FellTreeD|AddXD,MultXD,AddTreeWithMult,28,28,30,30,1
30,(x),20,-10,-0.01736,0.02,-0.01736,0.02,0.66,0,0.66,0,0.9999999996658423,1,0.00007823813871130345,0,206345818556.63297,0,748149680920,0,(((((9)*(9))*((x)*(x)))*(((x)*(x))*((x)-(x))))*(((x)*((x)*(x)))*((x)*((x)-((x)*(x)))))),((0)+(x)),AddTreeWithMult|MultXD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD|SkipD|MultXD|MultXD|MultXD|MultXD|SubXD|MultXD,MutateNonTerminalR|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|DivXD|AddTreeWithMult|SubXD|AddXD|AddTreeWithAdd|AddTreeWithMult|MutateNonTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,30,27,31,31,1
