gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,(x),20,-10,0.019996226756822028,-0.01101449628654234,0.019996226756822024,0.02,26502.4,0.4661,26502.4,0,0.9999999990554699,1,0.000000010107333827694514,0,64900194897.55,0,264681873493.8,0,(((((9)+(7))*((8)+(9)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DeleteTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|AddRandomSubTreeR|DivXD|SubXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,21,20,22,22,7
22,(x),20,-10,0.01999957530424058,-0.008971848913188737,0.019999575304240576,0.02,235462.676,0.36848,235462.676,0,0.999999999226653,1,0.000002986615124595113,0,62351186058.41801,0,323270118682.5,0,(((((x)+(x))*((8)+(9)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|SubXD|AddToLeafR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|DeleteNonTerminalR|DivXD|DivXD|SkipD|ReplaceBranchXR|ReplaceBranchR|FellTreeD|AddXD,MultXD,MutateTerminalR,22,21,23,23,7
23,(x),20,-10,0.015283099910294655,-0.009572576877707888,0.019999997520934242,0.02,2960294.3418799997,13571.137975042211,40337776.3,0,0.9999999988536552,1,0.000000015767313543720963,0,63855459486.21801,0,218084466446.3,0,(((((8)+(8))+((9)*(9)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|MultXD|MutateNonTerminalR|AddTreeWithDiv|MultXD|AddRandomSubTreeR|DivXD|DivXD|ReplaceBranchR|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,DivXD,23,21,24,24,7
24,(x),20,-10,0.01999979392229375,0,0.019999979469926012,0.02,1349279.17102,0.1,4870903.05,0,0.9999999996695016,1,0.0000021223150336346943,0,97485103475.547,0,756433232973.8,0,(((((6)*(8))*((7)+(9)))+(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddRandomSubTreeR|AddXD|MultXD|MultXD|AddTreeWithAdd|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddToLeafR|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithSub|DeleteNonTerminalR|SubXD|DeleteMaliciousR|ReplaceBranchR|AddToLeafR|AddXD|FellTreeD|AddXD,MultXD,AddXD,24,23,25,25,7
25,(x),20,-10,0.019707217098521447,-0.002395914260013342,0.019707217098521447,0.02,341.55,192.20726662971057,341.55,0,0.9999999998078629,1,0.0000000015819172119244467,0,391284676722.757,0,1301154577333.3,0,(((((6)+(8))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|DivXD|MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|AddXD,MultXD,DivXD,25,24,26,26,7
26,(x),20,-10,0.019999965971877753,-0.01886753842175766,0.019999997955647796,0.02,10568395.69157,400674.2637580622,48915250.366000004,0,0.9999999998046938,1,0.0000000013626935151259881,0,402531000751.72296,0,1280041202595,0,(((((8)+(8))*((9)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),DeleteMaliciousR|AddTreeWithAdd|AddXD|MultXD|MutateNonTerminalR|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddToLeafR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithSub|DeleteNonTerminalR|DivXD|DivXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,26,24,27,27,7
27,(x),20,-10,0.017993921379631655,0.0016976584898542068,0.01999999986857249,0.02,22865812.98782,79.13633834887791,760875708.87,0,0.9999999998078629,1,0.0000000016062465276596709,0,362308193877.911,0,1301154577333.3,0,(((((6)+(8))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|MultXD|MultXD|DeleteNonTerminalR|SubXD|SubXD|AddXD|SkipD|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,27,26,28,28,7
28,(x),20,-10,0.016403876218640215,0.02,0.019999999770764196,0.02,70535089.48582375,0,436232030.31333315,0,0.9999999998428234,1,0.00000000019258236807599682,0,835813996680.721,0,1590567152224.1,0,(((((x)+(x))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|SubXD|AddToLeafR|MultXD|DeleteMaliciousR|MutateTerminalR|MultXD|DeleteMaliciousR|DivXD|DivXD|SkipD|DeleteTerminalR|ReplaceBranchR|FellTreeD|AddXD,MultXD,DeleteMaliciousR,28,26,29,29,7
29,(x),20,-10,0.019999994803083967,-0.0002960971055088698,0.01999999835793226,0.02,24645063.95926,0.1796,60898827.556,0,0.9999999998398855,1,0.00000000024882676135928796,0,761956111112.202,0,1561383138173.2,0,(((((8)+(9))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MultXD|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|SubXD|AddXD|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|MultXD|DeleteNonTerminalR|DivXD|DivXD|AddXD|AddToLeafR|ReplaceBranchR|FellTreeD|AddXD,MultXD,AddXD,29,28,30,30,7
30,(x),20,-10,-0.019600000000000006,-0.004404916829455858,-0.0196,0.02,0.1,14285161.823837671,0.1,0,0.9999999998483126,1,0.0000000002212870627463245,0,867755947440.4868,0,1648125991786.5,0,(((((9)+(9))*((x)+(x)))*(((x)*(x))*((x)*(x))))+(((x)*((x)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((0)+(x)),MultXD|AddTreeWithAdd|AddXD|MultXD|MultXD|MutateTerminalR|MultXD|AddXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD|MultXD,MutateTerminalR|AddXD|AddXD|ReplaceBranchR|MutateTerminalR|MultXD|AddTreeWithDiv|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|FellTreeD|AddXD,MultXD,AddXD,30,28,31,31,7
