gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03664785322180108,0.01142857142857143,-0.02810197523199582,0.01142857142857143,1641.4255999999996,244.832,5826.0344000000005,244.832,-0.33750408443340735,0.28571428571428575,0.3259714147159163,0,84984.34,6120.8,324400.4,6120.8,((((x)*(x))*((x)*(x)))*((6)*((9)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,SubXD,21,21,22,22,0
22,x*x*x*x,25,-10,-0.03889212909260227,0.01142857142857143,-0.03743298179976474,0.01142857142857143,542.4845,244.832,1256.9764000000002,244.832,-0.7875040844334075,0.28571428571428575,0.09566314069346353,0,34793.16,6120.8,104051.6,6120.8,((((x)*(x))*((6)*(3)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|FellTreeD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,FellTreeD,SubXD,22,22,23,23,0
23,x*x*x*x,25,-10,-0.03800754149784342,0.01142857142857143,-0.03400504754280486,0.01142857142857143,975.6352,244.832,2935.5124,244.832,-0.7000040844334073,0.28571428571428575,0.14213224408258032,0,42560.06,6120.8,146897.2,6120.8,((((x)*(5))*((5)*(x)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|SubXD|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,SubXD,SubXD,23,23,24,24,0
24,x*x*x*x,25,-10,-0.036695032716311596,0.01142857142857143,-0.028281437883936736,0.01142857142857143,1618.3234999999997,244.832,5738.158,244.832,-0.5125040844334073,0.28571428571428575,0.23748842782112917,0,64274.9,6120.8,238709.2,6120.8,((((x)*(x))*((5)*(8)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|AddTreeWithDiv|DeleteTerminalR|FellTreeD,MultXD,SubXD,24,24,25,25,0
25,x*x*x*x,25,-10,-0.03774292780355509,0.01142857142857143,-0.03247402627107568,0.01142857142857143,1105.2069999999999,244.832,3685.1983999999998,244.832,-0.6125040844334074,0.28571428571428575,0.1874822484713224,0,52037.84,6120.8,189742.8,6120.8,((((4)*(x))*((x)*(x)))*((8)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,AddTreeWithMult,FellTreeD,25,25,26,26,0
26,x*x*x*x,25,-10,-0.03700431928832833,0.01142857142857143,-0.033094307933603455,0.01142857142857143,1466.8769999999997,244.832,3381.4688,244.832,-0.7000040844334073,0.28571428571428575,0.1224752723067214,0,76291.16,6120.8,146897.2,6120.8,((((x)*(5))*((5)*(x)))*((x)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,SubXD,26,26,27,27,0
27,x*x*x*x,25,-10,-0.037483796848451184,0.01142857142857143,-0.03205509492223239,0.01142857142857143,1232.0941,244.832,3890.3340000000003,244.832,-0.4500040844334074,0.28571428571428575,0.2687357050883354,0,71927.9,6120.8,269313.2,6120.8,((((x)*(x))*((x)*(9)))*((5)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,AddTreeWithMult,SubXD,27,27,28,28,0
28,x*x*x*x,25,-10,-0.036913191290354204,0.01142857142857143,-0.030466009345183637,0.01142857142857143,1511.4991000000002,244.832,4668.452,244.832,-0.4299204352372239,0.28571428571428575,0.27899849383486236,0,74224.68000000001,6120.8,279147.44,6120.8,((((9)*(x))*((x)*(8)))*((7)*((x)-(x)))),(0),SkipD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,SubXD,SubXD,28,28,29,29,0
29,x*x*x*x,25,-10,-0.03919194610998562,0.01142857142857143,-0.038268621748791004,0.01142857142857143,395.67490000000004,244.832,847.7936000000002,244.832,-0.8645353548555744,0.28571428571428575,0.0614778981387049,0,21176.890000000003,6120.8,66332.16,6120.8,((((x)*(x))*((x)*(x)))*((x)-((8)*(5)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,MultXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,FellTreeD,29,29,30,30,0
30,x*x*x*x,25,-10,-0.033999202105933865,0.01142857142857143,-0.02070738302182721,0.01142857142857143,2938.3747,244.832,9446.9,244.832,-0.4207386289373938,0.28571428571428575,0.27010758994657147,0,108353.12,6120.8,283643.44,6120.8,((((8)*(x))*((x)*(8)))*((8)*((x)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,MultXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MultXD,FellTreeD,30,30,31,31,0
31,x*x*x*x,25,-10,-0.03903080275454189,0.01142857142857143,-0.03762402136975559,0.01142857142857143,474.5810000000001,244.832,1163.4312,244.832,-0.9050789112534309,0.28571428571428575,0.04120775339821818,0,16212.510000000002,6120.8,46479.44,6120.8,((((x)*(x))*((x)*(3)))*((5)*((6)-(x)))),(0),MultXD|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|FellTreeD|DeleteTerminalR|FellTreeD,MutateTerminalR,SubXD,31,31,32,32,0
