gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
23,x*x*x*x,25,-10,-0.02602141658327138,0.012296595216311594,-0.00037957072466831887,0.018356143921429507,12606.646800000002,237.3938,42448.0488,185.4688,0.806551870207708,0.4690236570382957,0.8856943300984603,0.09196143560391197,646204.58,5731.969999999999,2531241.84,4550,((((x)*(4))*((9)*(x)))*((x)*((x)*(x)))),((((3)+(x))-((2)*(x)))*((5)*((x)+((2)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,23,23,24,24,2
24,x*x*x*x,25,-10,-0.029168556018205703,-0.0000645923968855594,0.012096135427335898,0.01530518886420076,NaN,NaN,87843.85040000001,211.6128,0.9030530957261982,0.31847377560356266,0.9467806566012215,0.0160155289692368,1266203.7500000002,6045.900000000001,5050847.2,5840.08,((((x)*(x))*((x)*(6)))*((x)*((x)*(x)))),(((5)*((1)+(0)))*((x)*((x)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,ReplaceBranchXR,24,24,25,25,2
25,x*x*x*x,25,-10,-0.0328601600615711,-0.0031118860588361854,-0.02064788031294235,0.013253496274996737,3496.3988999999997,3702.7785000000003,9477.1416,229.194,0.014911517784316944,0.381304031219075,0.4745502417581375,0.0465080611698361,178896.86,5897.76,497076.16,5301.68,((((x)*(2))-((9)*(x)))*((x)*((x)*(x)))),((((x)*(x))*((x)-((0)+(3))))+((6)*((x)*((x)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,25,25,26,26,2
26,x*x*x*x,25,-10,-0.033392104915784454,0.010092958658272975,-0.014906808435847258,0.01755624848292474,3444.4548,263.8406,13122.458400000001,192.32319999999999,0.30064568702751904,0.3232817372145565,0.6443641171898586,0.003983006415644441,179418.34,6095.53,700165.84,5798.88,((((x)*(5))+((5)*(x)))*((x)*((x)*(x)))),((((x)*(3))-((2)+(0)))*((x)*((x)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,DeleteTerminalR,26,26,27,27,2
27,x*x*x*x,25,-10,-0.03371033600202288,0.002657862231030689,0.0029178739357191286,0.011494249117762388,7774.628576190476,589.6003,30001.284,244.26919999999998,0.627906976744186,0.2870633157197006,1.0871339815220153,0.0012918846579095425,331342.4742857143,6117.59,1315972,6109.24,((((x)*(6))*((9)*(4)))*((x)*((x)*(x)))),(((7)*(1))+((8)-(0))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,DeleteTerminalR,27,27,28,28,2
28,x*x*x*x,25,-10,-0.029432559978882163,-0.011078011002883685,-0.0012712194443484104,0.013735366058591783,6313.22375,737.8929,23519.0048,225.0648,0.5012943874515995,0.2867645685904737,0.7383345277709733,0.0006763283177209466,254648.965,6118.32,981869.84,6111.8,((((x)*(x))*((2)*(7)))*((x)*((x)*(x)))),(((x)+(0))+((2)+(7))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,28,28,29,29,2
29,x*x*x*x,25,-10,-0.030817716560960013,0.003660031225717962,-0.01061678316746101,0.018206210205948804,NaN,NaN,16942.036799999998,186.7536,0.5012943874515995,0.6237793379016748,1.1352408338597024,0.00589904114914019,NaN,6114.83,981869.84,3223.88,((((x)*(x))*((x)*(8)))+((6)*((x)*(x)))),((((x)*(5))+((3)*((x)*(8))))+(((9)-(4))*((x)+((7)+(x))))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|SubXD|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,29,29,30,30,2
30,x*x*x*x,25,-10,-0.034170047655373535,0.00046669607261971114,-0.020630939978876627,0.015349720858151132,3606.7747999999997,374.06382535019293,12492.559466666668,211.23120000000003,0.5346707823153611,0.28834232686670286,0.7619230880668545,0.0023142842176837562,267050.23333333334,6119.049999999999,1052295.84,6098.28,((((x)*(x))*((5)*(x)))*((3)*((x)*(x)))),((((4)+(3))*((0)*(0)))-((1)-((9)+((5)-(4))))),AddTreeWithDiv|ReplaceBranchXR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddTreeWithSub,30,30,31,31,2
31,x*x*x*x,25,-10,-0.029179844106662814,0.004084872123503087,0.009009862126043376,0.013626650111096589,9413.738833333333,336.9574647532851,35563.7172,225.9964,0.6172248803827751,0.3050488264839331,0.7876352072686992,0.010999511649405488,336226.87999999995,6090.936475328507,1279247.2,5955.12,((((x)*(7))*((5)*(x)))*((6)*((x)*(x)))),(((x)*((3)*(x)))-((2)+(x))),AddTreeWithDiv|AddToLeafR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,31,31,32,32,2
32,x*x*x*x,25,-10,-0.038852898177798106,-0.011188745168698768,-0.02825,-0.010252628041152415,NaN,NaN,5753.552,501.2172,-0.41250000000000003,0.36342588270440845,0.27720591584030285,0.04096869374326501,85758.25999999998,5977.17,287677.6,5454.88,(((6)*((8)*(x)))*((x)*((x)*(x)))),((((8)+(x))+((9)*(x)))*((7)+((2)+(x)))),AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,DeleteTerminalR,32,32,33,33,2
