gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x*3*x+1,25,-10,-0.037013914279845246,-0.010000114967576763,-0.03558026268682713,0.0000006550604842347963,15772.3704,7558.596291666667,23344.853600000002,8450.989599999999,-0.6780271925830493,0.0000009466191969244414,0.13036186179589976,1.1547006522399155,943408.64,122022.57916666666,1700645.88,211278,((((x)*((9)*(6)))*((x)*((x)*(3))))*(((9)+(4))+((9)-((0)-(1))))),(((5)-(5))-((1)-(0))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|DivXD|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,21,21,22,22,2
22,x*x*x*x*3*x+1,25,-10,-0.036564607498549305,-0.00000002034954396656718,-0.03321358095629364,0.0000005944768556365909,18145.5886,8451.1323,35845.56,8451.0024,-0.7288755773193827,0.000026694661351781535,0.10986661843469779,0.000024980164558532617,722152.38,211277.02000000002,1432067,211272.56,((((x)*((7)+(4)))*((x)*((9)*(0))))-(((3)*(7))-((0)*((x)+(1))))),(((x)-(5))-((9)-(7))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,22,22,23,23,2
23,x*x*x*x*3*x+1,25,-10,-0.03758370671465395,0.00000029818805341646967,-0.03515809612160649,0.0000011586618969699468,12762.7524,8451.065,25574.718399999998,8450.8832,-0.7892632178805007,0.000033320995729839374,0.08723704205132288,0.00001612590154735918,473294.28,211275.22,1113102.2,211271.16,((((7)*((8)*(x)))*((x)*((5)+(5))))*(((3)*(7))-((x)-((6)+(0))))),(((9)-(3))-((x)-(2))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|SkipD|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,23,23,24,24,2
24,x*x*x*x*3*x+1,25,-10,-0.048784567608016347,-0.0000002039898816730319,-0.04873177586707952,0.00000031427757336265987,6419.859200000001,8451.1711,6698.7028,8451.0616,-0.9531775867079519,0.000025369394476169968,0.003411206646024012,0.000021118375905093497,220287.12,211278.11,247313.88,211272.84,((((x)*((0)+(8)))*((x)*((x)*(8))))-(((5)*(4))-((6)+((4)*(9))))),(((8)-(7))-((5)-(x))),DivXD|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,DivXD,AddTreeWithSub,24,24,25,25,2
25,x*x*x*x*3*x+1,25,-10,-0.0354481741324945,-0.00000005064145701592124,-0.027038909494685206,0.0000006739928681732849,24042.539399999998,8451.1387,68459.8968,8450.9856,-0.3210981539979042,0.00003029181429992911,0.3207342128840165,0.00001455086403683074,1044931.2,211276.38,3585929,211271.8,((((x)*((x)*(x)))*((x)*((7)*(7))))+(((7)*(3))-((8)-((6)+(1))))),((3)-((3)-(x))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,FellTreeD,25,25,26,26,2
26,x*x*x*x*3*x+1,25,-10,-0.038344725276909776,-0.00000004306719618079992,-0.038131296461253454,0.0000006474875306596762,8743.086599999999,8451.1371,9870.408000000001,8450.9912,-0.9409534916522386,0.000026694661351781535,0.011159076013348397,0.000014450325834793238,230142.76,211276.90000000002,311881,211272.56,((((8)-((4)*(x)))*((x)*((x)-(8))))*(((5)*(5))*((3)+((8)+(1))))),((x)-((8)-(5))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,FellTreeD,26,26,27,27,2
27,x*x*x*x*3*x+1,25,-10,-0.037857761718909005,-0.00000012684504509678055,-0.03671485925192471,0.00000012116725720054296,11315.2062,8451.1548,17351.9656,8451.1024,-0.8779242079873835,0.000002839857590635573,0.035041420447268094,0.0000021915802349778114,385367.14,211277.96,644798.84,211277.6,((((x)*((x)*(2)))-((x)-((9)*(x))))*(((3)*(1))*((5)+((9)+(4))))),((4)-((8)-(9))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,AddTreeWithSub|FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,27,27,28,28,2
28,x*x*x*x*3*x+1,25,-10,-0.036775282258179026,-0.00000019070318659350457,-0.03383418495613841,0.000000728896781591872,17032.814,8451.168300000001,32567.557600000004,8450.974,-0.733635708747992,0.00003275302421173981,0.105227226413889,0.000018232170928535355,643029.94,211275.36000000002,1406924.2,211271.28,((((x)*((x)*(x)))*((x)*((4)+(8))))*(((2)-(2))*((8)+((3)-(6))))),((x)-((1)-(6))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,28,28,29,29,2
29,x*x*x*x*3*x+1,25,-10,-0.03771165085654838,-0.0000002446889292896182,-0.03672651024099978,0.0000007307900199859965,12086.957199999999,8451.1797,17290.425600000002,8450.973600000001,-0.8437202664543716,0.000003975800626972453,0.05064351773380249,0.000006094456628432243,470015.04000000004,211278.07,825462.52,211277.36,((((x)*((x)*(x)))+((8)*((6)-(1))))*(((3)*(x))+((7)*((x)-(6))))),((5)-((2)-(8))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub,MutateNonTerminalR|FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,FellTreeD,29,29,30,30,2
30,x*x*x*x*3*x+1,25,-10,-0.03834575341895188,-0.00000003833520100427397,-0.038052280718029595,0.0000006777793449615337,8737.656,8451.136100000002,10287.7656,8450.9848,-0.9446784003271516,0.00003029181429992911,0.0072596921075499836,0.000016438476587226725,236320.42,211276.7,292206.2,211271.8,((((x)*((5)-(9)))*((x)*((x)*(3))))*(((9)*(1))+((6)-((3)+(0))))),((x)-((6)-(6))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithSub,MutateNonTerminalR|FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,30,30,31,31,2
