gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
32,x*x*x*x*3*x+1,25,-10,-0.038396740335727965,0.0000005698647587580129,-0.038386961342911856,0.0000036198718088329884,8468.3454,8451.0076,8519.9976,8450.3632,-0.9586961342911857,0.0000904967952208247,0.0006519328544071223,0.00004349410474771818,212999.94,211272.86,218165.16,211259.08,((((x)*(x))*((2)-((5)*(x))))+((8)*((3)*((0)+(1))))),((3)*(x)),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,FellTreeD,32,32,33,33,4
33,x*x*x*x*3*x+1,25,-10,-0.03837351656725587,0.0000003762813207266004,-0.03829406626902349,0.0000015713878668050344,8591.0123,8451.048499999999,9010.6652,8450.796,-0.9494217197988245,0.00003256370037232737,0.00528914010058773,0.000019212383849748477,225246.7,211274.59999999998,267152.2,211271.32,((((x)*(0))-((4)*(x)))*((x)*((3)*((x)+(1))))),((x)+(4)),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|FellTreeD|AddXD|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,MutateTerminalR,33,33,34,34,4
34,x*x*x*x*3*x+1,25,-10,-0.03811727612219339,0.00000034125622271363996,-0.03713024014782405,0.00000103370816298391,9944.462800000001,8451.0559,15157.9424,8450.9096,-0.8330240147824054,0.00003275302421173981,0.06348799260879728,0.000010538129527008846,378948.56000000006,211275.43,881959.64,211271.28,((((x)*(x))*((x)*((x)*(0))))-((9)-((0)*((x)+(1))))),((x)+(5)),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddXD|MutateTerminalR|MultXD,DeleteMaliciousR,AddXD,34,34,35,35,4
35,x*x*x*x*3*x+1,25,-10,-0.04880042779614745,0.0000008557474212026041,-0.048799999999999996,0.0000028587899745478896,6336.0864,8450.9472,6338.346000000001,8450.524,-0.96,0.00026808255655346347,0,0.000117476154264247,211278.2,211258.78999999998,211278.2,211221.56,((((9)+(4))*((x)*(x)))*((0)*((0)+((0)-(5))))),((9)*(x)),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|FellTreeD|AddXD|AddXD|ReplaceBranchR,DeleteMaliciousR,AddXD,35,35,36,36,4
36,x*x*x*x*3*x+1,25,-10,-0.03846488832260025,0.00000036350177384081336,-0.038393591766684866,0.0000005641850413374883,8108.390800000001,8451.0512,8484.976,8451.0088,-0.9593616000136312,0.000035024910284275815,0.0003191999931843604,0.000013894357776149213,212121.2,211272.72,214650.2,211270.8,((((x)*(0))-((2)-((0)*(x))))*((x)*((3)*((0)+(1))))),((8)+((9)+(x))),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|FellTreeD|AddXD|AddXD|ReplaceBranchR,DeleteMaliciousR,AddXD,36,36,37,37,4
37,x*x*x*x*3*x+1,25,-10,-0.03839999948882564,0.0000006247686958325506,-0.038399995531957394,0.0000016679430248874705,8451.130700000002,8450.996000000001,8451.1516,8450.775599999999,-0.9599995531957392,0.00012040996184179118,0.0000003052050618090907,0.00005013532154145031,211278.47,211268.06,211280.56,211252.76,((0)+((0)-(9))),((x)*((3)+(x))),AddTreeWithSub|DeleteTerminalR|FellTreeD|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|FellTreeD|AddXD|AddTreeWithAdd|ReplaceBranchR,DeleteTerminalR,MutateTerminalR,37,37,38,38,4
38,x*x*x*x*3*x+1,25,-10,-0.03840000132526688,0.0000008969216890359734,-0.038399986595872175,0.000001595999965924519,8451.121,8450.9385,8451.1988,8450.7908,-0.9599987883274281,0.00003351031956925181,0.0000006205318084200405,0.0000007146818209791286,211279.85,211271.33,211284.6,211271.12,((0)+((0)-(x))),((0)+((9)+(x))),AddTreeWithSub|DeleteTerminalR|FellTreeD|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|FellTreeD|AddXD|AddXD|ReplaceBranchR,FellTreeD,AddXD,38,38,39,39,4
39,x*x*x*x*3*x+1,25,-10,-0.03839845962337809,0.0000014289216776771352,-0.03839383243514948,0.000002173437676015368,8459.2642,8450.8261,8483.7048,8450.6688,-0.9593846369384064,0.00006058362859972047,0.0003076815307967995,0,212090.78,211265.4,214528.52,211265.4,((((x)*(2))-((9)*((6)-(0))))*((x)*((3)*((0)+(1))))),((0)+((x)+(x))),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|FellTreeD|AddXD|AddXD|SkipD,DeleteMaliciousR,AddXD,39,39,40,40,4
40,x*x*x*x*3*x+1,25,-10,-0.03840581600941318,0.0000014009964113693108,-0.03839999727373671,0.0000019500355455527708,8420.4081,8450.832,8451.1424,8450.716,-0.96,0.00006058362859972047,0,0,211278.2,211265.4,211278.2,211265.4,((((0)*(x))*((x)*((x)*(3))))-((5)*((1)-((5)+(1))))),((0)+((x)+(x))),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|FellTreeD|AddXD|AddXD|SkipD,DeleteMaliciousR,AddXD,40,40,41,41,4
41,x*x*x*x*3*x+1,25,-10,-0.03840000208256223,0.0000014847722192529578,-0.03839999765238439,0.0000024574234350747925,8451.117,8450.8143,8451.1404,8450.6088,-0.96,0.00006228754315401917,0,0.0000008519572771493466,211278.2,211265.31,211278.2,211265.04,((((4)*(x))*((x)*((0)*(0))))*((6)-((0)*((x)+(1))))),(((3)+(0))+((x)+(x))),AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR|DeleteNonTerminalR|AddXD|AddXD|SkipD,DeleteMaliciousR,AddXD,41,41,42,42,4
