gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x*3*x+1,25,-10,-0.0384,0.011935417040524903,-0.0384,0.01355092412346781,8451.128,8301.208400000001,8451.128,7823.3584,-0.96,0.35198060458404395,0,0.029037974207471597,211278.2,203388.68,211278.2,191677.32,(0),(((x)*((x)*(7)))*((5)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddToLeafR|AddTreeWithMult|MultXD|SkipD,SubXD,MultXD,21,21,22,22,4
22,x*x*x*x*3*x+1,25,-10,-0.0384,0.01159893719005828,-0.0384,0.01235469496751541,8451.128,8400.7356,8451.128,8177.1904,-0.96,0.32981051253073634,0,0.020989900795483837,211278.2,207391.32,211278.2,198235,(0),(((9)*((8)*(x)))*((8)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,22,22,23,23,4
23,x*x*x*x*3*x+1,25,-10,-0.0384,0.011586542563988413,-0.0384,0.012089473905562835,8451.128,8404.4018,8451.128,8255.64,-0.96,0.29956954520492074,0,0.00907626258159238,211278.2,209723.84,211278.2,207179.96,(0),(((9)*((3)*(9)))*((3)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,23,23,24,24,4
24,x*x*x*x*3*x+1,25,-10,-0.0384,0.01172820412679991,-0.0384,0.012867968123815627,8451.128,8362.499800000001,8451.128,8025.3696,-0.96,0.33314612811787625,0,0.02179339156620025,211278.2,206454.82,211278.2,197248.36,(0),(((x)*((5)*(5)))*((x)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,24,24,25,25,4
25,x*x*x*x*3*x+1,25,-10,-0.0384,0.011486791213805168,-0.0384,0.01157765313357324,8451.128,8433.9072,8451.128,8407.0312,-0.96,0.2957081502695768,0,0.004606700771262789,211278.2,210158.41999999998,211278.2,208322.12,(0),(((8)*((x)*(3)))*((5)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,25,25,26,26,4
26,x*x*x*x*3*x+1,25,-10,-0.0384,0.011471451249719902,-0.0384,0.011724068077066158,8451.128,8438.444599999999,8451.128,8363.7232,-0.96,0.29375432824723846,0,0.003335374491027299,211278.2,210031.16,211278.2,208900.04,(0),(((4)*((3)*(x)))*((8)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|DivXD|AddTreeWithMult|MultXD|SkipD,SubXD,ReplaceBranchXR,26,26,27,27,4
27,x*x*x*x*3*x+1,25,-10,-0.0384,0.011653701139066877,-0.0384,0.012202102657606346,8451.128,8384.537,8451.128,8222.3256,-0.96,0.32080951628164733,0,0.016106388641387963,211278.2,207397.36000000002,211278.2,200897.4,(0),(((7)*((x)*(8)))*((8)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,27,27,28,28,4
28,x*x*x*x*3*x+1,25,-10,-0.0384,0.011546937707182823,-0.0384,0.011821383235130607,8451.128,8416.1165,8451.128,8334.9384,-0.96,0.3158654594477126,0,0.013226211792897687,211278.2,207894.72,211278.2,202359.8,(0),(((8)*((8)*(3)))*((9)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,28,28,29,29,4
29,x*x*x*x*3*x+1,25,-10,-0.0384,0.011496072138873903,-0.0384,0.0117515633077958,8451.128,8431.162,8451.128,8355.590400000001,-0.96,0.30943223538578857,0,0.010510421299936717,211278.2,208763.46000000002,211278.2,204262.68,(0),(((6)*((7)*(x)))*((7)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,29,29,30,30,4
30,x*x*x*x*3*x+1,25,-10,-0.0384,0.011516855163341168,-0.0384,0.011724070781692438,8451.128,8425.0146,8451.128,8363.7224,-0.96,0.3008061003386597,0,0.00762898859121872,211278.2,210197.46,211278.2,206814.2,(0),(((5)*((5)*(8)))*((4)*(x))),AddTreeWithDiv|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|MutateNonTerminalR|SubXD|MultXD|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,30,30,31,31,4
