gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.039499969366749446,-0.014996759464681859,-0.03949991831133185,0.00003084564109266929,244.847,444.65869999999995,244.872,244.6432,-0.9874959155665927,0.0008953078029016587,0.000002358148727238434,0.0004994623028864535,6121.8,6118.93,6122.8,6115.32,((0)-(x)),((0)+(7)),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,21,21,22,22,3
22,x*x*x*x,25,-10,-0.04456243873349889,-0.010040802833890382,-0.03949983662266371,0.00002862370931904397,214.25800000000004,378.3153,244.912,244.6568,-0.9874959155665927,0.0003267546725918181,0.000002358148727238434,0.0006307128196946476,6121.8,6121.34,6122.8,6118.8,((0)-(x)),((x)*((0)+(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,MultXD,22,22,23,23,3
23,x*x*x*x,25,-10,-0.03949997957783296,0.000005679702981484982,-0.03949991831133185,0.0002084041301790622,244.842,244.7989,244.872,243.5564,-0.9874959155665927,0.009149130832570905,0.000002042216703690425,0.004574565416285452,6121.3,6106.8,6122.8,6064.8,(((0)*(x))*((0)-(x))),(((x)-(0))-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,23,23,24,24,3
24,x*x*x*x,25,-10,-0.039499938733498885,-0.000005340442130943068,-0.039499877466997776,0.000013789047183375555,244.862,244.86479999999995,244.892,244.74759999999998,-0.9874959155665927,0.0003267546725918181,0.000002358148727238434,0.0004964450861946766,6121.8,6120.32,6122.8,6118.8,(((x)*(x))*((0)-(x))),((x)+(0)),ReplaceBranchXR|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchXR,DeleteTerminalR,24,24,25,25,3
25,x*x*x*x,25,-10,-0.03949992852241537,0.00020191302863010817,-0.039499877466997776,0.0012285975689452359,244.86700000000002,243.5974,244.892,237.312,-0.9874959155665927,0.05228074761469089,0.000002042216703690425,0.02710590054207284,6122.3,6026.84,6122.8,5800.8,((0)*((0)-(x))),(((x)-(0))*((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,MutateNonTerminalR,25,25,26,26,3
26,x*x*x*x,25,-10,-0.03949991831133185,0.000029115218243006435,-0.03949983662266371,0.00018938700823421784,244.872,244.65380000000002,244.912,243.6728,-0.9874959155665927,0.009149130832570905,0,0.0045227300782021,6122.8,6106.3,6122.8,6064.8,((0)-(x)),((x)*((x)-(0))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,MutateNonTerminalR,26,26,27,27,3
27,x*x*x*x,25,-10,-0.03949994894458241,0.000025490708038007078,-0.039499877466997776,0.00018951771010325446,244.857,244.676,244.892,243.672,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.004707569049879423,6121.8,6107.43,6122.8,6064.8,((0)-(x)),((x)+((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,SubXD,27,27,28,28,3
28,x*x*x*x,25,-10,-0.039499969366749446,0.0009092929028885114,-0.039499877466997776,0.003614298784472618,244.847,239.2664,244.892,222.7096,-0.9874959155665927,0.3428048621095282,0.000002042216703690425,0.17129358208699672,6121.3,5595.24,6122.8,4022.56,((0)-(x)),(((x)*((4)*(x)))+((4)-((0)*(x)))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd,DeleteNonTerminalR,MutateNonTerminalR,28,28,29,29,3
29,x*x*x*x,25,-10,-0.03949992852241537,0.000029342569598745315,-0.03949983662266371,0.0001957913998170176,244.86700000000002,244.65239999999997,244.912,243.6336,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.004574565416285452,6121.8,6106.8,6122.8,6064.8,(((x)+(8))*((0)-(x))),((x)-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,ReplaceBranchXR,29,29,30,30,3
30,x*x*x*x,25,-10,-0.03949994894458241,0.00008822642924623925,-0.039499877466997776,0.0002777414717030453,244.857,244.292,244.892,243.132,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.005378201802251027,6121.8,6093.3,6122.8,6064.8,((0)-(x)),((x)-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,ReplaceBranchXR,30,30,31,31,3
31,x*x*x*x,25,-10,-0.039499959155665926,0.00007593778591033853,-0.039499877466997776,0.0003659652333028362,244.852,244.36720000000003,244.892,242.592,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.0044111880799895435,6121.8,6105.3,6122.8,6064.8,((0)-(x)),((x)+((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,SubXD,31,31,32,32,3
32,x*x*x*x,25,-10,-0.03949994894458241,0.000056920663965494934,-0.03949983662266371,0.00019265455496013603,244.857,244.4836,244.912,243.6528,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.005282253149035917,6121.8,6092.8,6122.8,6064.8,((0)-(x)),(((x)*(0))+((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,MultXD,32,32,33,33,3
33,x*x*x*x,25,-10,-0.039499959155665926,0.00005513985099986928,-0.039499877466997776,0.00020585544373284535,244.852,244.49450000000002,244.892,243.572,-0.9874959155665927,0.009149130832570905,0.000002358148727238434,0.005093601250856062,6121.8,6091.8,6122.8,6064.8,(((x)*(7))*((0)-(x))),((x)-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,SubXD,33,33,34,34,3
