gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
25,x*x*x*x,25,-10,-0.0395,0.00006468555518341986,-0.0395,0.000188341393281925,244.832,244.4361,244.832,243.67919999999998,-0.9875,0.006620049666710305,0,0.003034348769506025,6120.8,6107.1,6120.8,6080.28,(0),((9)*(7)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithSub,AddTreeWithDiv,25,25,26,26,1
26,x*x*x*x,25,-10,-0.0395,0.000052999607894393716,-0.0395,0.00009848385831917502,244.832,244.50759999999994,244.832,244.2292,-0.9875,0.0031891256044962154,0,0.0008784455666824641,6120.8,6108.96,6120.8,6101.28,(0),((4)*(7)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,26,26,27,27,1
27,x*x*x*x,25,-10,-0.0395,0.0000434614383947319,-0.0395,0.0001559926806953362,244.832,244.56600000000006,244.832,243.8772,-0.9875,0.004561495229381792,0,0.002006528230002731,6120.8,6110.85,6120.8,6092.88,(0),((6)*(7)),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithMult,AddTreeWithMult,27,27,28,28,1
28,x*x*x*x,25,-10,-0.0395,0.00002300699516259081,-0.0395,0.00005358776630505846,244.832,244.69120000000004,244.832,244.50400000000002,-0.9875,0.0027970199973859446,0,0.0009538028034733163,6120.8,6112.22,6120.8,6103.68,(0),((6)*(4)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithMult,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithMult,ReplaceBranchR,28,28,29,29,1
29,x*x*x*x,25,-10,-0.0395,0.000060761898925681786,-0.0395,0.00019226244935302772,244.832,244.4601,244.832,243.6552,-0.9875,0.006620049666710305,0,0.0032859189480053995,6120.8,6109.35,6120.8,6080.28,(0),((9)*(7)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddXD|ReplaceBranchR,MutateTerminalR,FellTreeD,29,29,30,30,1
30,x*x*x*x,25,-10,-0.0395,0.000025900374694322786,-0.0395,0.00006691935694680439,244.832,244.6735,244.832,244.42239999999998,-0.9875,0.0028100901842896056,0,0.0012632635966887075,6120.8,6113,6120.8,6103.6,(0),((9)*(x)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,DeleteNonTerminalR|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithSub,DeleteNonTerminalR,30,30,31,31,1
31,x*x*x*x,25,-10,-0.0395,0.00004445524687330263,-0.0395,0.00017069664096196798,244.832,244.55989999999997,244.832,243.7872,-0.9875,0.0039733368187166085,0,0.0015813339558402978,6120.8,6109.51,6120.8,6096.48,(0),((4)*(9)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,FellTreeD,DeleteNonTerminalR,31,31,32,32,1
32,x*x*x*x,25,-10,-0.0395,0.00003604517355415067,-0.0395,0.00010233956345575795,244.832,244.61140000000003,244.832,244.2056,-0.9875,0.005737812050712307,0,0.0028435530661848293,6120.8,6111.02,6120.8,6085.68,(0),((9)*(6)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,DivXD,AddTreeWithDiv,32,32,33,33,1
33,x*x*x*x,25,-10,-0.0395,0.000028722409552389856,-0.0395,0.0000982224545811018,244.832,244.6562,244.832,244.2308,-0.9875,0.0027970199973859446,0,0.0011957375811696516,6120.8,6112.92,6120.8,6103.68,(0),((8)*(3)),AddTreeWithMult|DivXD|MutateTerminalR|AddRandomSubTreeR|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,DivXD,AddTreeWithDiv,33,33,34,34,1
34,x*x*x*x,25,-10,-0.0395,0.00004216769049797515,-0.0395,0.00007541497843419286,244.832,244.57389999999998,244.832,244.37040000000002,-0.9875,0.004855574434714458,0,0.0012743306555586876,6120.8,6102.57,6120.8,6091.08,(0),((5)*(9)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,DivXD,DeleteNonTerminalR,34,34,35,35,1
35,x*x*x*x,25,-10,-0.0395,0.000052563886311524476,-0.0395,0.00015723434845118397,244.832,244.5103,244.832,243.8696,-0.9875,0.009149130832570905,0,0.004696720783888107,6120.8,6106.88,6120.8,6064.8,(0),((x)*(x)),AddTreeWithMult|DivXD|MutateTerminalR|AddTreeWithSub|FellTreeD,AddTreeWithDiv|DeleteNonTerminalR|FellTreeD|AddXD|ReplaceBranchR,AddTreeWithMult,AddTreeWithDiv,35,35,36,36,1
