gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
46,x*x*x*x,25,-10,-0.03950245004737943,-0.0005661881941936863,-0.039428474219056334,0.0015728662919879774,243.6323,250.7211,279.8556,235.2048,-0.980685122859757,0.07670892693765528,0.0034108184877432307,0.03630672212386976,6952.57,5981.17,9457.8,5651.28,(((5)-((7)*(x)))*((9)*(x))),((((6)*(x))+((5)+(6)))*((8)+((x)-(x)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,46,44,47,47,2
47,x*x*x*x,25,-10,-0.039510997541171086,0.000122407099191583,-0.039482964645144426,0.0006762514703960282,239.4469,244.0828,253.1736,240.69279999999998,-0.9857191870343747,0.028689060253561684,0.0008916153078041626,0.013468709225828945,6337.98,6068.58,6992.8,5945.2,(((x)+((x)-(3)))*((9)*((x)*(x)))),(((6)*((9)*(5)))+((3)-(x))),ReplaceBranchR|SkipD|AddToLeafR|AddTreeWithMult|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,47,44,48,48,2
48,x*x*x*x,25,-10,-0.03952064619820938,-0.00002161722692797883,-0.039499887269637955,0.0006767089269376563,234.72230000000002,245.01049999999998,244.8872,240.69,-0.9874789243236178,0.011449483727617293,0.00003875430721034425,0.005226297390443981,6106,6098.530000000001,6131.12,6050.72,(((7)-((8)-(4)))*((x)*((1)-(0)))),(((3)+((x)+(7)))*((6)+((3)-(x)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,46,44,49,49,2
49,x*x*x*x,25,-10,-0.03952448781205071,-0.00000026195128447146705,-0.039498191412887206,0.00018076068487779429,232.8412,244.835,245.71759999999998,243.7256,-0.9875,0.008018559665403203,0.0003122367543094928,0.004193549256537643,6043.01,6109.790000000001,6120.8,6071.72,(((7)*((0)*(5)))+((3)*((9)+(4)))),(((7)*((7)+(3)))+((6)+((5)-(x)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|DeleteTerminalR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,48,44,50,50,2
50,x*x*x*x,25,-10,-0.03952309052738204,-0.0007089537261239484,-0.03949361521369756,0.0001917396418768798,233.52540000000002,251.2471,247.9584,243.65840000000003,-0.9869574238661614,0.007221278264279149,0.0004349517789285655,0.0035375846135142467,6122.21,6108.15,6386.48,6076.6,(((4)-((9)*(x)))*((8)+((4)+(9)))),(((x)*((x)-(9)))+((6)+((7)-(x)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|DeleteTerminalR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,48,50,51,51,2
51,x*x*x*x,25,-10,-0.03949695525911646,-0.00490194155467284,-0.03948447915305189,0.000524543943835538,246.32289999999998,310.84734285714285,252.43200000000002,241.62137142857148,-0.9863563586459286,0.021278264279179157,0.000573735805336686,0.010584815798072024,6259.57,6087.32,6680.8,5990.56,(((7)-((8)-(9)))*((x)*(x))),(((6)*((5)*(6)))+((3)-(x))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,49,44,52,52,2
52,x*x*x*x,25,-10,-0.03927835046072409,0.0003169371182790513,-0.038507020324140634,0.0009933342046791285,353.36580000000004,242.8921,731.0584,238.752,-0.8889867337602928,0.0857208208077376,0.0492555323010883,0.04116973169821798,18181.22,5971.41,54359.2,5596.12,(((4)*((5)*(9)))*((6)*((x)*(x)))),((((7)+(9))*((x)*(x)))+((x)*((0)-(x)))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,52,44,53,53,2
53,x*x*x*x,25,-10,-0.03952880750882238,0.00006542638228034873,-0.0394999027904849,0.0003209384394196845,230.72600000000006,244.43310000000002,244.87960000000004,242.8676,-0.9875,0.01776238400209127,0.00007181427864124957,0.008890246944550652,6097.110000000001,6093.59,6120.8,6012.08,(((0)*((7)*(x)))*((9)+(9))),(((2)*((4)*(9)))*((3)-(x))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,52,53,54,54,2
54,x*x*x*x,25,-10,-0.03952103095183636,0.000053801564457379135,-0.039499223957652596,0.00018494314468697016,234.5339,244.5027,245.21200000000002,243.7,-0.9874203535485557,0.010286237093190438,0.000054471622642663815,0.0047509560080226205,6135.5599999999995,6101.0599999999995,6159.8,6057.84,(((9)-(2))*((4)*(6))),(((7)-((0)*(8)))*((2)-(x))),ReplaceBranchR|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,53,53,55,55,2
55,x*x*x*x,25,-10,-0.0395038452898314,0.00011933647921565399,-0.039437315383609985,0.00045379688929551875,242.9491,244.10160000000005,275.5264,242.0544,-0.9816216834400732,0.024297477453927633,0.00302667154267234,0.011879582775781659,6790.02,6080.93,8999.2,5972.08,(((x)*((x)*(9)))*((5)*(6))),(((5)+((7)*(4)))*((7)-(x))),ReplaceBranchR|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|AddToLeafR,ReplaceBranchR|SkipD|ReplaceBranchR|SubXD|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,54,53,56,56,2
