gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
82,x*x*x*x,25,-10,-0.03950702359168736,0.000860933211344923,-0.03946339204025617,0.0018457717945366638,241.3928,239.56239999999997,262.7576,233.53439999999998,-0.9838403476669717,0.08161024702653255,0.0018422870800997111,0.02977976045977633,6559.66,5832.24,7912.8,5621.28,(((x)*((2)*(7)))*((x)*((x)-(8)))),((x)*((9)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR,AddTreeWithMult,AddToLeafR,82,81,83,83,1
83,x*x*x*x,25,-10,-0.03950104275584891,0.0005286890602535625,-0.03949575709057639,0.00154437328453797,244.32139999999998,241.59599999999998,246.90959999999998,235.37920000000003,-0.9870797934910469,0.054554960135929954,0.00021010325447656797,0.024570619991350153,6172.24,6008.84,6326.56,5786.88,(((x)+((6)*(x)))*((3)-(6))),((x)*((6)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|FellTreeD,AddToLeafR|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR,FellTreeD,AddToLeafR,81,81,84,84,1
84,x*x*x*x,25,-10,-0.03894250465625408,0.0008970265309863623,-0.037134115638478626,0.0023670761991896514,517.8174,239.34149999999997,1403.3203999999998,230.34359999999998,-0.7512705855443733,0.08161024702653255,0.11813343738445473,0.03736147162054543,35025.5,5870.639999999999,121793.84,5621.28,(((x)*((x)*(7)))*((4)*((8)*(x)))),((x)*((9)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|FellTreeD,AddToLeafR|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR,AddTreeWithSub,AddToLeafR,81,81,85,85,1
85,x*x*x*x,25,-10,-0.03945840821461247,0.00021651197910188522,-0.039333877924454315,0.0003748529603973345,265.198,243.5068,326.176,242.5376,-0.9754460201280878,0.01827212129133449,0.0060269899359561285,0.005454612488431677,7596.4,6058.2,12023.2,6008.96,(((9)*((6)*(x)))*((6)*(x))),((x)+((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|FellTreeD,MutateTerminalR|FellTreeD|MutateTerminalR|MultXD|MultXD,FellTreeD,MutateTerminalR,81,85,86,86,1
86,x*x*x*x,25,-10,-0.039498234095216314,0.003003775604016743,-0.0394884614756241,0.008649065481636388,245.69670000000002,226.45960000000002,250.482,191.8928,-0.9863563586459286,0.35535224153705397,0.0005747484753044922,0.1666875133924589,6258.700000000001,5317.240000000001,6680.8,3945.76,(((x)+((x)*(x)))*((4)-(9))),(((x)*(7))*((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|FellTreeD,MutateTerminalR|FellTreeD|MutateTerminalR|MultXD|MultXD,MutateNonTerminalR,MultXD,81,85,87,87,1
87,x*x*x*x,25,-10,-0.03950502078976605,0.0043225849984679975,-0.03949841605672462,0.015223369494183769,242.37350000000004,218.3806,245.6076,151.65279999999998,-0.9873477323225722,0.43272774800679653,0.00007439562337361779,0.1700164883076417,6141.1900000000005,4989.139999999999,6195.36,3472.16,(((0)-(x))+((9)*(x))),(((x)*(9))*((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|FellTreeD,MutateTerminalR|FellTreeD|MutateTerminalR|MultXD|MultXD,FellTreeD,MutateTerminalR,81,85,88,88,1
88,x*x*x*x,25,-10,-0.03951795210593387,0.005479266635540172,-0.03949875424781074,0.024941445562671548,236.0415,211.3118,245.442,92.17040000000001,-0.9873856358645929,1,0.00005761315926419549,0.46255008841013934,6146.88,4242.66,6176.8,0,(((x)+(0))*((0)-(x))),(((x)*(x))*((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|FellTreeD,MutateTerminalR|FellTreeD|MutateTerminalR|MultXD|MultXD,DeleteNonTerminalR,MutateTerminalR,81,85,89,89,1
89,x*x*x*x,25,-10,-0.047097672689844466,0.0021265404818288677,-0.03949721114886943,0.007982224545811009,197.0052,231.8294,246.1976,195.97439999999997,-0.9875,0.30883544634688287,0.000012393793496394727,0.15358493890294186,6115.049999999999,5538.24,6120.8,4230.48,((x)-(x)),(((x)*(6))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddToLeafR|FellTreeD|ReplaceBranchXR|MultXD|MultXD,MutateNonTerminalR,MultXD,89,88,90,90,1
90,x*x*x*x,25,-10,-0.03950151900078422,0.004604776600894803,-0.03949973451182852,0.0099113841327931,244.0882,216.6622,244.96200000000002,184.16639999999998,-0.9874897889164815,0.39738596261926545,0.000012471463658780687,0.21853173300351733,6118.5,4842.64,6125.8,3688.48,((x)-(7)),(((x)*(8))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddToLeafR|FellTreeD|ReplaceBranchXR|MultXD|MultXD,MutateNonTerminalR,MultXD,89,90,91,91,1
91,x*x*x*x,25,-10,-0.039526177950594696,0.0017683033993172277,-0.039499877466997776,0.004142726440988108,232.0136,234.0136,244.892,219.4752,-0.9875020422167037,0.11674290942360482,0.0000025823612860137935,0.04093438980658979,6118.88,5744.48,6119.8,5406.24,((x)-(1)),(((9)+(4))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddToLeafR|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,MultXD,89,91,92,92,1
92,x*x*x*x,25,-10,-0.0394970148918442,0.0035420268509809404,-0.03946902692458502,0.009289243236178277,246.29370000000003,223.2052,259.9984,187.97440000000003,-0.9857355247680042,0.43272774800679653,0.0011048940850272818,0.19007356437034045,6217.620000000001,5081.64,6984.8,3472.16,(((2)*((8)*(x)))-((x)*(x))),(((9)*(x))*((x)*(x))),MutateNonTerminalR|ReplaceBranchR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR,AddToLeafR|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,AddToLeafR,91,92,93,93,1
93,x*x*x*x,25,-10,-0.03950787682982617,0.004811203051834163,-0.03949767187295779,0.012604626846163902,240.975,215.44520000000003,245.972,167.6816,-0.9874959155665927,0.42964318389752976,0.000018345124017222915,0.24641068984627884,6117,5017.6,6122.8,3491.04,(((x)-(x))*((2)-(0))),(((7)*(8))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddToLeafR|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,AddToLeafR,93,93,94,94,1
94,x*x*x*x,25,-10,-0.03950186801561888,0.0026407332374852976,-0.0394998505097373,0.008069010586851394,243.91729999999998,228.66859999999997,244.9052,195.4432,-0.9874891354071363,0.29549078551823293,0.000007136741452057816,0.12265458850967888,6121.88,5314.799999999999,6126.12,4312.16,(((x)-((x)+(1)))-((x)*(3))),(((5)*(7))*((x)*(x))),MutateNonTerminalR|ReplaceBranchR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR,AddToLeafR|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,MultXD,91,93,95,95,1
95,x*x*x*x,25,-10,-0.03950225624101424,0.003396507105259279,-0.03949996977519279,0.012505032021957914,243.7272,224.07319999999999,244.8468,168.2912,-0.9874897889164815,0.39121683440073196,0.0000074477191400441264,0.153004518347116,6121.34,5095.2,6125.8,3726.24,((x)-(7)),(((7)*(7))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddToLeafR|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,MultXD,95,93,96,96,1
96,x*x*x*x,25,-10,-0.03950030306495883,0.003355343318296814,-0.03949944860149,0.011775715592732978,244.6836,224.3536,245.102,172.7552,-0.9874857044830742,0.46806953339432755,0.000011877674675658465,0.20812505036578002,6122.5,5128.28,6127.8,3255.84,((0)+((x)-(9))),(((9)*(7))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddToLeafR|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,AddToLeafR,95,93,97,97,1
97,x*x*x*x,25,-10,-0.039500432337276174,0.0044144312159825035,-0.03950002940792054,0.012466605672461117,244.6203,217.8584,244.81760000000003,168.5264,-0.9875,0.39738596261926545,0.000005622491239478775,0.1636571089488648,6118.84,5089.04,6120.8,3688.48,((0)*((x)+(7))),(((8)*(x))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddToLeafR|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,AddToLeafR,97,93,98,98,1
98,x*x*x*x,25,-10,-0.03950021790452229,0.0021895065863244724,-0.039498570448307416,0.007411318781858582,244.72529999999998,231.55720000000002,245.532,199.4688,-0.987371340347667,0.14309240622140898,0.00006435143329654268,0.07830389088521635,6136.55,5682.360000000001,6183.8,5244.96,(((x)-(9))-((x)*(x))),(((7)+(9))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,MultXD,95,97,99,99,1
99,x*x*x*x,25,-10,-0.039500539145209776,0.002775210626840465,-0.0395,0.00800052280747615,244.56800000000004,228.00080000000003,244.832,195.86239999999998,-0.9875,0.14309240622140898,0.00001661119533299704,0.07830389088521635,6115.389999999999,5682.360000000001,6120.8,5244.96,((x)-(x)),(((7)+(9))*((x)*(x))),MutateNonTerminalR|ReplaceBranchR|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|AddToLeafR|MultXD|MultXD,MutateNonTerminalR,MultXD,98,97,99,99,1
