gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
45,x*x*x*x,25,-10,-0.03950473916808261,0.00041824598091752817,-0.03949989788916482,0.000603319827473534,242.51139999999998,242.27199999999996,244.882,241.1392,-0.9875,0.01827212129133449,0,0.003924619708241415,6120.8,6043.32,6120.8,6008.96,(((x)-((3)*(x)))-((7)*((3)*(0)))),((x)+((x)*(x))),DeleteTerminalR|AddTreeWithSub|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddTreeWithAdd,45,45,46,46,1
46,x*x*x*x,25,-10,-0.0394945109299438,0.0005282318705462848,-0.03942861717422559,0.0016723304143249269,247.51980000000003,241.59880000000004,279.7856,234.59599999999998,-0.9811459286367795,0.0725918180629984,0.004019832454308287,0.03322976118414304,6501.5599999999995,5978.04,9232.16,5676.48,(((x)*((9)*(x)))*((x)*((1)-(2)))),((x)*((8)*(x))),AddRandomSubTreeR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,MultXD,46,45,47,47,1
47,x*x*x*x,25,-10,-0.03773980300777677,0.00044249117762384097,-0.03524963240099333,0.0009828780551561893,1106.7371,242.1236,2326.084,238.81599999999997,-0.5624959155665926,0.05228074761469089,0.18990163271074564,0.021171512204124904,92713.92,5995,214230,5800.8,((((x)*(x))*((x)*(6)))*((x)*((9)-((3)+(x))))),((x)*((x)*(x))),MultXD|AddTreeWithSub|SkipD|AddTreeWithMult|AddXD,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,MultXD,AddTreeWithAdd,47,47,48,48,1
48,x*x*x*x,25,-10,-0.03941797538720429,0.0007466344268723048,-0.039124509051104435,0.0014751012939485037,284.9965,240.262,428.69640000000004,235.8032,-0.968190759377859,0.0725918180629984,0.009652240077413613,0.031432777783967976,8486.31,5899.32,15575.84,5676.48,(((x)*((7)*(5)))-((0)*((x)*(x)))),((x)*((8)*(x))),MultXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddTreeWithAdd,48,48,49,49,1
49,x*x*x*x,25,-10,-0.039526908655731274,0.0003927591164553658,-0.039497876094628154,0.0007402953862240243,231.65580000000003,242.428,245.872,240.3008,-0.9874938733498889,0.027395111750098074,0.0000030633250555633924,0.008549044634225698,6121.55,6031.16,6123.8,5953.12,((x)-(5)),((x)*((3)*(x))),MultXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,MultXD,MultXD,48,49,50,50,1
50,x*x*x*x,25,-10,-0.03949463489249771,0.0006733760292772199,-0.03938714628806692,0.0018290419552999628,247.45909999999995,240.71040000000002,300.0924,233.63679999999997,-0.9762248398902104,0.08161024702653255,0.006390265777811031,0.04239076509527692,7088.88,5845.84,11641.84,5621.28,((((x)*(4))*((3)-(2)))*((x)*((7)*(x)))),((x)*((9)*(x))),MultXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,MultXD,FellTreeD,50,49,51,51,1
51,x*x*x*x,25,-10,-0.03950126066037119,0.0006380211737027847,-0.0395,0.0015467259181806317,244.21470000000002,240.92680000000001,244.832,235.3648,-0.9875,0.08161024702653255,0.000017563063651804267,0.03394749009887982,6116.5,5923.6,6120.8,5621.28,(((0)*((x)*(x)))+((2)*(0))),((x)*((9)*(x))),MultXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,MultXD,AddTreeWithAdd,49,51,52,52,1
52,x*x*x*x,25,-10,-0.03950112648673376,0.0006243628283884472,-0.03949959155665926,0.0010260096719383086,244.28040000000001,241.0104,245.032,238.55200000000002,-0.9874857044830742,0.0635733890994641,0.00000790947128276351,0.02602688736162351,6122.3,5919.200000000001,6127.8,5731.68,((x)-(9)),((x)*((7)*(x))),MultXD|DeleteNonTerminalR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,ReplaceBranchR,52,51,53,53,1
53,x*x*x*x,25,-10,-0.03950766729839237,0.0010275780943667502,-0.03949981620049667,0.002180891386746832,241.0776,238.54240000000001,244.922,231.4832,-0.9875,0.08161024702653255,0.000005737768864690987,0.032653215967437366,6118.8099999999995,5884.8,6120.8,5621.28,((x)-(x)),((x)*((9)*(x))),MultXD|DivXD|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,MultXD,AddTreeWithAdd,53,53,54,54,1
54,x*x*x*x,25,-10,-0.03950288054666057,0.0007253300222193184,-0.03949991831133185,0.0017655208469481132,243.4215,240.39239999999998,244.872,234.02559999999997,-0.9874897889164815,0.0725918180629984,0.000009051206418134921,0.03050551383660364,6120.59,5953.76,6125.8,5676.48,((x)-(7)),((x)*((8)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,AddTreeWithAdd,54,54,55,55,1
55,x*x*x*x,25,-10,-0.03950202935073846,0.00044752319958175457,-0.03949909488955692,0.0008346621356685417,243.8383,242.09279999999998,245.2752,239.7232,-0.9875,0.036518102208861654,0.0000052205706114142235,0.013789288762912234,6117.83,6022.4,6120.8,5897.28,((x)-(2)),((x)*((4)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,AddTreeWithAdd,55,55,56,56,1
56,x*x*x*x,25,-10,-0.039500055139851,0.0008851130571167178,-0.03949967324532741,0.0021811527904849037,244.805,239.41440000000003,244.99200000000002,231.4816,-0.9874877466997778,0.0635733890994641,0.000007525709410245797,0.027170207793500302,6121.84,5900.16,6126.8,5731.68,((x)-(8)),((x)*((7)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,FellTreeD,54,54,57,57,1
57,x*x*x*x,25,-10,-0.039500461132531695,0.0006462553914520984,-0.03949989625539145,0.0011114886942883292,244.6062,240.8764,244.88279999999997,238.02879999999996,-0.9875,0.0635733890994641,0.000002358148727238434,0.02873179086733811,6119.8,5916.5599999999995,6120.8,5731.68,((x)+((5)*(0))),((x)*((7)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,ReplaceBranchXR,57,57,58,58,1
58,x*x*x*x,25,-10,-0.03950097413736766,0.000715527382041564,-0.039499795778329634,0.0015540452228466877,244.355,240.45239999999998,244.93200000000002,235.32,-0.9874857044830742,0.045536531172395804,0.000018463852776152488,0.021149872588937482,6117.110000000001,5954.08,6127.8,5842.08,((x)-(9)),((x)*((5)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,AddTreeWithAdd,58,57,59,59,1
59,x*x*x*x,25,-10,-0.03950022137629068,0.000660077114102732,-0.03949991831133185,0.0016205724741863825,244.7236,240.7918,244.872,234.91279999999998,-0.9875,0.0725918180629984,0.000002358148727238434,0.0323006675148209,6119.8,5972.32,6120.8,5676.48,((x)-(2)),((x)*((8)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,ReplaceBranchXR,59,59,60,60,1
60,x*x*x*x,25,-10,-0.03950018155306496,0.0010864266109005373,-0.039499877466997776,0.0020571167167690524,244.74309999999997,238.18220000000002,244.892,232.24079999999998,-0.9874979577832963,0.10795974382433672,0.000001021108351872968,0.04130073381956856,6121.05,5719.96,6121.8,5460,((x)-(3)),(((x)*(2))*((6)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,ReplaceBranchXR,58,59,61,61,1
61,x*x*x*x,25,-10,-0.03950053097634296,0.0005958044700039219,-0.039499853777284016,0.0016400470526728547,244.572,241.18519999999998,244.9036,234.79359999999997,-0.9874938733498889,0.0635733890994641,0.000009399611590353428,0.029505014059224302,6119.610000000001,6000.32,6123.8,5731.68,((x)-(5)),((x)*((7)*(x))),ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,ReplaceBranchXR,MultXD,58,61,62,62,1
