generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
36,-0.9750278242055099,0.1825022202959409,-0.9742373616030434,0.2760683457956185,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyMutateNonTerminalR,StrategyReplaceBranchR,34,34,2120,2120,(((((x)-(9))-((x)*(x)))*((x)*((7)+(x))))/(x)),(((((((7)+(3))*(1))*((x)*(4)))+((x)-((x)*(9))))*(x))-(x)),5*x*x*x,5
37,-0.9750532452636712,0.19263813615055075,-0.9746076617552172,0.24998117539026637,StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyMutateNonTerminalR,StrategyReplaceBranchR,36,36,1961.5303124999998,1961.5303124999998,((((((7)*(9))*((x)-(7)))*((0)+(9)))/(x))/(x)),(((((0)*(4))+(((x)*(x))*((x)/((0)*(9)))))*(x))-(x)),5*x*x*x,5
38,-0.9750517522229224,0.1759079331914735,-0.9747482984061392,0.23510261707988983,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySubXD|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategySkipD,StrategyReplaceBranchR,37,37,1908.5,1908.5,(((((6)*(6))*(x))*(((x)-(9))*(x)))/(x)),(((((5)*(9))*(x))*(x))-(x)),5*x*x*x,5
39,-0.9750763140875195,0.18289975843777675,-0.9749104599126571,0.22812307186119202,StrategySkipD|StrategySkipD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyMutateNonTerminalR,37,37,1658.7863435374152,1658.7863435374152,(((((((x)-(8))-(7))-(0))*((8)*(9)))/(x))/(x)),(((((((x)*(0))*((9)+((2)*(1))))*((3)+((4)/((2)*(0)))))/(x))*(x))-(x)),5*x*x*x,5
40,-0.9750552410666069,0.18546343292848125,-0.9746835833668447,0.2650239953820875,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyReplaceBranchR,39,39,1672.5,1672.5,(((((5)*(x))*(((2)*(4))*((x)-((x)*(5)))))/(x))/(x)),(((((7)-(6))-((5)/((x)/((0)*(4)))))*(x))-(x)),5*x*x*x,5
41,-0.9750404805203068,0.17592941444456436,-0.9744413285496171,0.24693996390234635,StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyReplaceBranchR,40,40,2166.8288095238095,2166.8288095238095,((((((x)+(9))*((x)+((8)+(6))))*((3)-((3)*(9))))/(x))/(x)),((((((5)+(3))+((5)*(((9)+(4))*(3))))*((x)+((x)/((x)-(x)))))*(x))-(x)),5*x*x*x,5
42,-0.9750267534802877,0.18042600375543322,-0.9742095016143318,0.22948790939700037,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyReplaceBranchR,41,41,2437.413112244898,2437.413112244898,((((((x)+((9)*(9)))*(8))*(((x)-(9))-(x)))/(x))/(x)),((((((x)*(5))*((1)+(x)))+((6)+(0)))*(x))-(x)),5*x*x*x,5
43,-0.9751437235157179,0.171205859235588,-0.9746658714435767,0.2152826541274817,StrategySkipD|StrategySkipD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyReplaceBranchR,42,42,1772.1786948853617,1772.1786948853617,(((((4)*((8)*((9)+(5))))*((x)+(5)))/(x))/(x)),(((((1)-(3))+((x)/((6)*(0))))*(x))-(x)),5*x*x*x,5
44,-0.9752028007854356,0.1779263955722194,-0.9744570925816609,0.23343801652892565,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySubXD|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategySkipD,StrategyReplaceBranchR,43,43,2200,2200,((((5)*((x)*(9)))*((x)*((9)+(6))))/(x)),(((((((3)-(2))+((x)*(8)))*((6)-(2)))-(x))*(x))-(x)),5*x*x*x,5
45,-0.9746177618206391,0.18287656354407433,-0.9659282764003672,0.2561372279845434,StrategySkipD|StrategySkipD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategySkipD,StrategyReplaceBranchR,44,42,14657.5,14657.5,((((x)*(7))*(((5)*(((4)+(8))*(7)))*(x)))/(x)),(((((x)*((5)*((7)+(0))))+((0)-(4)))*(x))-(x)),5*x*x*x,5
