gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
27,x*x*x*x,25,-10,-0.03840159586982094,0.011457664264241838,-0.03839921578878578,0.01173898836753366,244.58780000000002,244.58270000000002,244.952,242.17199999999997,-0.9599934649065482,0.3003622308941876,0.000019756889220308984,0.007794076548393532,6117.700000000001,6093.37,6121.8,5995.28,((0)-(1)),((9)*((x)*(9))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|ReplaceBranchR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,27,27,28,28,4
28,x*x*x*x,25,-10,-0.038400313030976345,0.011429820098213122,-0.038399346490654816,0.011449016935227891,244.78410000000002,244.8213,244.93200000000002,244.6568,-0.9599738596261927,0.2863958026028344,0.000019468729649778864,0.00028694129761396394,6121.290000000001,6117.360000000001,6124.8,6114.96,((0)-(4)),((x)*(3)),FellTreeD|AddToLeafR|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,DeleteTerminalR,28,28,29,29,4
29,x*x*x*x,25,-10,-0.03840070644360215,0.011442120077674256,-0.038399798719121685,0.011524917377747074,244.72390000000004,244.7159,244.8628,244.00639999999999,-0.9599803947196446,0.29224937916612215,0.000013638788569562173,0.003288956536545686,6121.63,6106.27,6123.8,6064.8,((5)-(8)),((x)*(x)),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddTreeWithAdd|SkipD|ReplaceBranchR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,ReplaceBranchR,29,29,30,30,4
30,x*x*x*x,25,-10,-0.03840181152790485,0.011485006628451932,-0.03839986929813097,0.01164278245607484,244.5548,244.3484,244.852,242.9964,-0.9600000000000001,0.3029109173404038,0.00002174985398168973,0.009975084593999182,6118.25,6088.17,6120.8,5973.44,((3)*(0)),(((9)*(8))+((1)*(4))),FellTreeD|SkipD|AddToLeafR|SubXD|MutateTerminalR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,SkipD,AddTreeWithAdd,30,30,31,31,4
31,x*x*x*x,25,-10,-0.03840080250947588,0.011465144612282242,-0.03839802901581493,0.011613234497824747,244.7092,244.5186,245.1336,243.24960000000002,-0.9597908770095414,0.29308960546707247,0.00016472146944333116,0.0029822554396563995,6121.370000000001,6085.26,6152.8,6057.6,((3)-((7)*(5))),(((9)*(3))+((3)+(6))),DivXD|SkipD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,31,31,32,32,4
32,x*x*x*x,25,-10,-0.03840068945235917,0.011455633717347875,-0.03839882368317867,0.011559086580652394,244.72650000000002,244.60010000000003,245.012,243.7136,-0.9598758332244152,0.29195063203689536,0.00005463734177650487,0.0028956621002404646,6127.84,6102.74,6139.8,6067.36,((8)-((3)*(9))),(((2)*(9))+((6)*(x))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,32,32,33,33,4
33,x*x*x*x,25,-10,-0.038401002483335514,0.011429901786881268,-0.03839921578878578,0.011570382956476277,244.67860000000002,244.8206,244.952,243.6168,-0.9599281139720299,0.29216535653602704,0.00006011168276100278,0.0034554838023830897,6122.06,6107.29,6131.8,6065.52,((0)-((x)+(9))),(((2)+((5)+(8)))*((0)+(6))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,33,33,34,34,4
34,x*x*x*x,25,-10,-0.03840037119330806,0.011435094852213532,-0.038398366226637046,0.011550450921448178,244.7752,244.77609999999996,245.082,243.78760000000003,-0.9599411841589336,0.28975203988274184,0.00004162008060951488,0.001834286219424705,6120.8099999999995,6109.360000000001,6129.8,6086.2,((0)-((1)*(9))),(((9)+((5)+(6)))+((4)*(x))),ReplaceBranchXR|SkipD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,34,34,35,35,4
35,x*x*x*x,25,-10,-0.03840016272382695,0.01151446122822414,-0.038395033328976605,0.011733340179621713,244.8071,244.09599999999998,245.592,242.2204,-0.9596863155143119,0.3011464421084079,0.000189372470212731,0.007510360259840531,6128.74,6085,6168.8,5988.56,((0)-((8)*(6))),(((6)*(7))+((2)*(5))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,35,35,36,36,4
36,x*x*x*x,25,-10,-0.03840015161416808,0.011434546371155967,-0.03839764736635734,0.011501017607408933,244.80880000000002,244.78080000000003,245.192,244.2112,-0.9598889034113188,0.2878988740967568,0.00006318346091803064,0.0009823466262556674,6128.75,6116.290000000001,6137.8,6102.08,(((0)-(8))+((5)+(4))),(((2)*((0)+(5)))+((5)+(x))),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,36,36,37,37,4
37,x*x*x*x,25,-10,-0.03840612861063913,0.01141664488302183,-0.03839848385831918,0.011564874806281163,243.89419999999998,244.93420000000003,245.06399999999996,243.66400000000002,-0.9599346490654818,0.28995276061019115,0.0000395673510023398,0.002123976757395408,6122.08,6104.969999999999,6130.8,6084.48,((0)-((3)+(7))),(((4)+((0)+(3)))*((8)-((0)+(0)))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,37,37,38,38,4
38,x*x*x*x,25,-10,-0.03840030976342962,0.011459624792277388,-0.03839501241667756,0.011566321862688354,244.78459999999998,244.56590000000003,245.5952,243.6516,-0.9595817540190825,0.29624045409563643,0.00017979426572972012,0.005136757033857984,6143.55,6088.16,6184.8,6030.6,((0)-((8)*(8))),(((0)+((8)+(7)))*((7)-((0)-(x)))),FellTreeD|MultXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,38,38,39,39,4
39,x*x*x*x,25,-10,-0.03840049274604627,0.01145368485912206,-0.03839797412102994,0.011537427413783448,244.7566,244.6168,245.142,243.8992,-0.9598300875702523,0.2895326474597159,0.00008709793156036037,0.0014836509801680574,6126.82,6106.32,6146.8,6088.08,(((0)+(4))-((5)*(6))),(((0)+((2)*(5)))*((5)+(0))),AddXD|SubXD|AddToLeafR|AddToLeafR|AddToLeafR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,39,39,40,40,4
40,x*x*x*x,25,-10,-0.03839891452097765,0.011544721044868084,-0.038394379819631425,0.012019623952051089,244.99809999999997,243.83669999999998,245.692,239.7672,-0.9597647366357339,0.31277890845267664,0.00012626287627262285,0.0145936857476361,6127.94,6045.89,6156.8,5888.88,((1)-((7)*(6))),((((3)+(0))+((9)*(0)))+((8)+((8)*(x)))),FellTreeD|SkipD|AddToLeafR|ReplaceBranchR|AddToLeafR,AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,40,40,41,41,4
