gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
88,x*x*x*x,25,-10,-0.038292742125212394,0.01151014339862203,-0.03761711671676905,0.011770636891536122,261.2446,244.13299999999998,364.62880000000007,241.9008,-0.8862946020128087,0.2978042086001831,0.03682439468787151,0.006036708542992903,8946.9,6077.74,17399.2,6017.2,((((7)*(5))*((3)*(x)))*((4)*((x)-(0)))),((7)*((9)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,FellTreeD,88,88,89,89,4
89,x*x*x*x,25,-10,-0.03841942229773886,0.012849067348805946,-0.03838523068879885,0.019834008626323358,241.86,232.65959999999998,247.092,172.8048,-0.9588890341131879,0.6938962227159848,0.0005082691468489963,0.18360793852355556,6184.18,4974.54,6290.8,2623.04,((((x)*(x))*((0)+(0)))+((0)-((3)-(x)))),((((x)+(3))*((9)*(9)))+((7)-((2)+((2)*(x))))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,89,89,90,90,4
90,x*x*x*x,25,-10,-0.03844621748791008,0.008717345696059739,-0.03826064566723304,0.01179621711447617,237.75979999999998,343.23339999999996,266.156,241.6816,-0.9463259704613776,0.30409657000952267,0.006961190086157397,0.007729337771140338,6640.3099999999995,6063.4400000000005,8213.2,5963.28,((((8)+(8))*((9)+(7)))*((x)*((x)-(x)))),((((9)+(x))-((9)-(0)))-((9)*((7)*(x)))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|DeleteTerminalR,AddToLeafR,ReplaceBranchR,90,90,91,91,4
91,x*x*x*x,25,-10,-0.038406676904979745,0.012021064709978156,-0.038325646320742396,0.022744365815859736,243.81029999999998,326.67960000000005,256.20959999999997,147.8656,-0.9558052542151353,0.6175289878073827,0.0024227738691634023,0.15937555761493752,6228.61,5041.42,6762.68,3277.44,((((4)+(3))*((x)*(4)))-((4)*((9)-((4)-(5))))),((((4)+(3))*((x)*(1)))*((9)-((x)-((6)*(x))))),ReplaceBranchR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,AddToLeafR,ReplaceBranchR,91,91,92,92,4
92,x*x*x*x,25,-10,-0.03810204875179715,-0.016958623261157466,-0.03735664357600314,-0.008546128423922175,290.4245,3909.3695999999995,404.48640000000006,486.594,-0.8581607632989152,0.2859476819089942,0.04879351352272462,0,10649.720000000001,6118.8,21704.24,6118.8,((((9)*(4))*((x)*(7)))*((2)*((2)+((6)-(x))))),((0)*((x)+(x))),ReplaceBranchR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR,AddTreeWithAdd|AddTreeWithSub|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,92,92,93,93,4
93,x*x*x*x,25,-10,-0.038358455103907986,0.009251705798713393,-0.03809537576787348,0.01811350523741061,251.18919999999997,526.648,291.44559999999996,187.548,-0.9298721735720822,0.29620777862837727,0.01578766912259649,0.0047839426275382,7158.23,6090.76,10730.96,6030.88,((((5)+(7))*((1)-(7)))*((x)*((4)*((7)-(x))))),((9)*((6)*(x))),ReplaceBranchR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,FellTreeD,93,93,94,94,4
94,x*x*x*x,25,-10,-0.0383847686576918,0.0116129544223911,-0.038163445301267813,0.01269619284127192,247.16269999999997,243.252,281.0296,233.96959999999999,-0.9470322833616521,0.34400731930466616,0.006750709190992177,0.029146516795190203,6557.25,5995.92,8105.12,5621.28,((((x)*(x))*((8)+(9)))*((x)+((6)-(x)))),((9)*((x)*(x))),ReplaceBranchR|SubXD|DeleteTerminalR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddTreeWithDiv|AddTreeWithAdd|MultXD|AddTreeWithMult,ReplaceBranchR,AddTreeWithAdd,94,94,95,95,4
95,x*x*x*x,25,-10,-0.03767752319958175,0.011701855032955545,-0.03553884198144033,0.01275631570102881,355.38539999999995,242.49020000000002,682.6464,233.45440000000002,-0.674174356293295,0.3311238493567601,0.1394818925906252,0.0219342023522419,17971.3,6013.16,49857.84,5731.68,((((4)*(x))*((8)*(x)))*((x)*((3)-(0)))),((7)*((x)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,95,95,96,96,4
96,x*x*x*x,25,-10,-0.038429032806169126,0.011569309333980619,-0.03835980917527121,0.011868103142446369,240.38940000000002,243.62599999999998,250.982,241.0656,-0.9560201280878318,0.31179864443490124,0.0024074397256697105,0.012427822635749281,6304.98,6054.02,6729.8,5897.28,((((0)-(x))+((5)*(x)))*((x)-((9)*(1)))),((x)*((4)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,FellTreeD,96,96,97,97,4
97,x*x*x*x,25,-10,-0.038395791399817025,0.011752408648729396,-0.03837315122206248,0.013099408107250222,245.47600000000003,242.05699999999996,248.94039999999998,230.5144,-0.9585016337733631,0.34400731930466616,0.0008158440503436748,0.028647326816944155,6168.870000000001,5988.98,6350.08,5621.28,((((x)*(2))-((6)+(3)))*((7)+((6)-(x)))),((x)*((9)*(x))),ReplaceBranchR|SubXD|AddToLeafR|MutateNonTerminalR|AddToLeafR,MultXD|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,AddToLeafR,MultXD,97,97,98,98,4
98,x*x*x*x,25,-10,-0.03840729316429225,0.011623573949250333,-0.03838846425303882,0.012425920047799542,243.71599999999998,243.16099999999997,246.59720000000002,236.28560000000002,-0.9590981571036467,0.3311238493567601,0.0003922671794210409,0.020779057378859878,6191.4800000000005,5990.3,6258.8,5731.68,(((6)+((0)-(6)))*((6)*(4))),((x)*((7)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,MultXD|FellTreeD|FellTreeD|MultXD|DeleteMaliciousR,AddToLeafR,FellTreeD,98,98,99,99,4
99,x*x*x*x,25,-10,-0.03838795974382434,0.012037735496760462,-0.03837281401124037,0.013244953974270404,246.67440000000002,239.612,248.99200000000002,229.2672,-0.9590981571036467,0.3311238493567601,0.0003922671794210409,0.020779057378859878,6191.4800000000005,5990.3,6258.8,5731.68,(((6)+((0)-(6)))*((6)*(4))),((x)*((7)*(x))),ReplaceBranchR|SubXD|AddToLeafR|MutateNonTerminalR|AddToLeafR,MultXD|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,MultXD,99,99,99,99,4
