gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
29,x*x*x*x,25,-10,-0.03841167036988628,0.011460511697817281,-0.03831778852437591,0.01148552010008029,243.04620000000003,244.55830000000003,257.41200000000003,244.34399999999997,-0.9598954385047707,0.28773549676046095,0.00007437506759193273,0.0008455376461500857,6121.92,6111.13,6136.8,6103.48,(((x)*((x)*(0)))-((8)+(8))),((7)*((3)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|MutateTerminalR,AddTreeWithMult|MutateTerminalR|SkipD|AddToLeafR|AddXD,DeleteMaliciousR,AddTreeWithMult,29,29,30,30,2
30,x*x*x*x,25,-10,-0.03840031760554176,0.011474188714827194,-0.03839830087570253,0.011528138245234054,244.7834,244.44109999999998,245.092,243.9788,-0.9599281139720299,0.2896260059375993,0.000048022933135172785,0.0014401862814083942,6122.8,6104.5,6131.8,6087.28,((0)-((8)+(3))),((8)*((6)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteNonTerminalR,AddXD,30,30,31,31,2
31,x*x*x*x,25,-10,-0.03841353613906679,0.011460815112870401,-0.038398039471964455,0.011559460014563925,242.76069999999999,244.5557,245.132,243.71040000000002,-0.9599477192523854,0.2907463076721997,0.000060157514178310776,0.0024682770404727186,6120.42,6109.16,6128.8,6077.68,(((x)*((x)*(0)))-((8)+(0))),((8)*((8)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,AddXD,31,31,32,32,2
32,x*x*x*x,25,-10,-0.03841852502940792,0.011495929570364286,-0.03839973859626193,0.01160464551785948,241.9973,244.2548,244.872,243.32319999999999,-0.9599477192523854,0.29018615680489956,0.00003421194761595807,0.0016438582948255004,6121.9400000000005,6096.86,6128.8,6082.48,(((0)*((0)*(x)))-((6)+(2))),((7)*((8)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,AddToLeafR,32,32,33,33,2
33,x*x*x*x,25,-10,-0.03839942948634165,0.011477386242694702,-0.03839692850607764,0.011540181488881007,244.9193,244.41370000000003,245.30200000000002,243.87560000000002,-0.9599150437851262,0.29018615680489956,0.00003594301398512911,0.0017901812715212032,6125.55,6104.15,6133.8,6082.48,((0)-((6)+(7))),((8)*((7)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,MutateTerminalR,33,33,34,34,2
34,x*x*x*x,25,-10,-0.03841451901712195,0.011488437552514146,-0.03839927591164554,0.011626117967772655,242.6103,244.31900000000002,244.94279999999998,243.1392,-0.9599803947196446,0.2924734395130422,0.000038071953570321096,0.0028387921371361086,6120.23,6098.29,6123.8,6062.88,((0)-((2)+(1))),((x)*((x)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|DivXD|AddToLeafR|AddXD,DeleteMaliciousR,AddTreeWithMult,34,34,35,35,2
35,x*x*x*x,25,-10,-0.038411721343615216,0.011457979349104695,-0.03839849692850608,0.011582052766211704,243.0384,244.58000000000004,245.062,243.5168,-0.9599411841589336,0.29224937916612215,0.000022872827081410474,0.003145948685060399,6124.55,6104.74,6129.8,6064.8,(((0)*((0)*(x)))-((6)+(3))),((x)*(x)),DeleteMaliciousR|SkipD|SubXD|AddXD|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|DeleteMaliciousR,DeleteMaliciousR,AddTreeWithMult,35,35,36,36,2
36,x*x*x*x,25,-10,-0.03840643314599399,0.011447324812816254,-0.038398758332244154,0.011580278955131917,243.84760000000003,244.6713,245.02200000000002,243.532,-0.9599869298130964,0.29224937916612215,0.000021043000914933163,0.0033732525212896236,6121.1900000000005,6106.88,6122.8,6064.8,(((x)*((0)*(9)))+((9)-(x))),((x)*(x)),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|AddTreeWithMult|FellTreeD|AddToLeafR|ReplaceBranchXR,SubXD,AddTreeWithMult,36,36,37,37,2
37,x*x*x*x,25,-10,-0.038411765128741344,0.011435164871071945,-0.03839893347274866,0.011474037007300635,243.03170000000003,244.7755,244.9952,244.44240000000002,-0.9599477192523854,0.2872920439905149,0.000043754748538283354,0.0005226459493630643,6122.360000000001,6113.45,6128.8,6107.28,((0)-((0)+(8))),((x)*(7)),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|ReplaceBranchXR,DeleteMaliciousR,AddTreeWithMult,37,37,38,38,2
38,x*x*x*x,25,-10,-0.03839954319696772,0.011470571073809215,-0.03839764736635734,0.01159941744309801,244.9019,244.47209999999998,245.192,243.368,-0.9599346490654818,0.29224937916612215,0.00004694556905523961,0.00281689095935454,6124.68,6100.17,6130.8,6064.8,(((x)*((x)*(0)))-((4)+(6))),((x)*(x)),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|ReplaceBranchXR,SubXD,MutateTerminalR,38,38,39,39,2
