gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03839927787217358,0.011189083593181097,-0.038398431577571564,0.011497563343727247,244.9425,246.88420000000002,245.072,244.2408,-0.9599411841589336,0.2864144742984111,0.000022872827081410474,0.0003199798557065303,6124.55,6118.07,6129.8,6114.8,(((0)*((x)*(x)))*((8)+((0)-(9)))),(((x)*(6))-((1)+(5))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithMult|DeleteTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR,AddTreeWithAdd,AddToLeafR,21,21,22,22,1
22,x*x*x*x,25,-10,-0.0383953398248595,0.00929102490784513,-0.03837842896353418,0.011842522919506325,245.5451,275.5435,248.13279999999997,241.2848,-0.9578951771010326,0.3052822226786415,0.001123487843252565,0.009226290916784261,6187.84,6060.85,6442.88,5953.12,(((0)-((x)*(x)))*((x)-(x))),(((x)*((0)+(1)))+((0)*((x)*(3)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR,AddTreeWithAdd,AddTreeWithAdd,22,22,23,23,1
23,x*x*x*x,25,-10,-0.038399928113972026,0.011144259853987344,-0.03839947719252386,0.01164805721007525,244.84300000000002,247.2683,244.912,242.9512,-0.9599869298130964,0.2946673637433016,0,0.004397617672136624,6122.8,6100.570000000001,6122.8,6044.08,(((0)*(x))*((x)-(x))),(((x)*((2)*(x)))-((0)+(8))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddTreeWithAdd,DeleteMaliciousR,23,23,24,24,1
24,x*x*x*x,25,-10,-0.038398009410534575,0.012199362361596057,-0.03838771402431055,0.017033907799167244,245.13660000000004,238.227,246.71200000000002,196.79919999999998,-0.9587844726179585,0.5601695389958362,0.0006121514279503901,0.13686755093390643,6166.3,5528.17,6306.8,3768.96,(((x)-((9)+(0)))*((x)*((x)-(x)))),(((9)+((6)*(x)))*((3)*((x)+(2)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR,AddTreeWithAdd,AddToLeafR,24,24,25,25,1
25,x*x*x*x,25,-10,-0.038404560188210694,0.011374213454823836,-0.038397516664488304,0.011955299960789444,244.1342,245.29780000000002,245.21200000000002,240.3184,-0.9599869298130964,0.29224937916612215,0.000006535093451831564,0.0031793039686236367,6122.3,6105.5,6122.8,6064.8,(((0)*(x))*((x)-(x))),((x)*(x)),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,25,25,26,26,1
26,x*x*x*x,25,-10,-0.03842878512612731,0.011245973915641281,-0.03839915043785126,0.011600537744832612,240.42729999999995,246.39669999999998,244.96200000000002,243.3584,-0.9599869298130964,0.2929589035980358,0,0.003481328335288363,6122.8,6103.32,6122.8,6058.72,(((5)*(x))*((0)-(x))),((8)+((x)*(x))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,26,26,27,27,1
27,x*x*x*x,25,-10,-0.03841027316690629,0.011423086617995784,-0.038398431577571564,0.011688434751759808,243.26,244.87900000000002,245.072,242.6052,-0.959882368317867,0.300679649718991,0.000056971623886311544,0.007361268620912382,6125.8,6087.06,6138.8,5992.56,((0)-((9)+(9))),(((6)+((9)+(8)))+((8)*((x)+(4)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,SubXD,AddTreeWithAdd,27,27,28,28,1
28,x*x*x*x,25,-10,-0.038501186772970854,0.009384659821689869,-0.038396863155143124,0.011531639188154676,229.3484,275.82169999999996,245.312,243.9488,-0.9597908770095414,0.29038220960845457,0.00010039401055897541,0.0022535628369183833,6129.8,6109.55,6152.8,6080.8,(((0)*((x)*(x)))-((4)*(8))),(((0)-((x)-(5)))*((x)*((0)-(x)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,SubXD,MutateTerminalR,28,28,29,29,1
29,x*x*x*x,25,-10,-0.03839931381518756,0.009445148545673457,-0.0383985622794406,0.011615755176727603,244.937,270.33709999999996,245.05200000000002,243.22799999999998,-0.9599085086916743,0.28706798364359476,0.0000392105607110449,0.0004390392734573543,6125.8,6112.83,6134.8,6109.2,(((x)*((x)*(0)))-((5)+(9))),((x)*(6)),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|FellTreeD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,AddTreeWithAdd,AddTreeWithAdd,29,29,30,30,1
30,x*x*x*x,25,-10,-0.03842048032936871,0.011447919973112761,-0.03839947719252386,0.011487947420505257,241.6981,244.6662,244.912,244.32320000000004,-0.9599869298130964,0.28772149298877836,0,0.0009922971268214213,6122.8,6114.08,6122.8,6103.6,((0)-(x)),((x)*(9)),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|FellTreeD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR,DeleteNonTerminalR,AddTreeWithAdd,30,30,31,31,1
