gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
21,0.7681890892115047,0.06298920669720405,0.9555227499746131,0.4086506613108418,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,20,20,478959452,478959452,(((((((((5)*(x))*((x)*(((8)*(1))+(7))))*((2)*((x)+(7))))+(x))*(x))*(x))*(x))*(x)),(((((5)*((5)+((x)-(2))))*((4)+(3)))+(((7)+((2)+(4)))+(((1)/(0))*((4)*((6)-(9))))))/(x)),5*x*x*x+2*x+7,5
22,0.8395910438020545,-0.04116276465196138,0.9040368880353713,0.25799418870964114,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,20,21,260354056.2,260354056.2,((((((((((4)+(5))*(x))*((x)*(x)))*((2)*((1)+(7))))+((4)-(5)))*(x))*(x))*(x))*(x)),((((((3)*(0))*(((8)/(0))*(4)))*((((3)*(8))+(5))-((0)-(5))))*(((x)+((7)+(x)))*((x)*(((3)-(0))*((x)*(x))))))/(x)),5*x*x*x+2*x+7,5
23,0.8476642171933394,0.1044200616176187,0.9718643173882645,0.24607426766851784,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,22,22,26599183.2,26599183.2,(((((((((8)+((9)+(8)))*(((8)*(6))*(x)))+((2)*((x)+(7))))+(x))*(x))*(x))*(x))*(x)),((((((8)-(5))*((x)*(x)))*(((8)+(9))*(((5)+(((4)/(0))-(3)))*(1))))+((5)-(6)))+((6)-(2))),5*x*x*x+2*x+7,5
24,0.8020679993190795,-0.0008393511036937584,0.9339618091034418,0.20105525789698203,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,23,23,11001523.1,11001523.1,(((((((((5)*(7))*((x)*(x)))+((2)*((x)+(7))))+((4)+(x)))*(x))*((8)+(6)))*(x))*(x)),((((((2)*((3)/(0)))*((0)-(2)))*(((x)*((8)*(2)))+((2)+(x))))+(((7)*((5)-(4)))+(((6)-(x))*((x)*((x)*(x))))))/(x)),5*x*x*x+2*x+7,5
25,0.7922698763906658,0.044098335330820346,0.9334864757800071,0.31160823475948013,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,23,24,8910404.4,8910404.4,(((((((((((7)*(6))+(3))*(x))*((x)*(x)))+((2)*((x)+(7))))+(x))-(9))*(x))*(x))*(x)),(((((8)+(0))*((4)-(x)))-(((7)*((1)/(0)))*((x)*((x)*(((6)-(3))*((0)-(5)))))))/(x)),5*x*x*x+2*x+7,5
26,0.7236232239798406,0.10336373013897893,0.9670181634583038,0.24495161472723187,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,25,25,46030862.5,46030862.5,((((((((((7)+(4))*((3)*(x)))*((x)*(7)))+((2)*((x)*(7))))+(x))*(x))*(x))*(x))*(x)),(((1)*(4))/((7)/(0))),5*x*x*x+2*x+7,5
27,0.8076551144802318,-0.012504777151132056,0.9806504786415381,0.16469756762934623,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,26,26,218870733.8,218870733.8,((((((((((x)-(4))*(x))*((x)*(x)))*((2)*((x)+(2))))+((6)+(5)))*(x))*(x))*(x))*(x)),((((0)*(7))+((((5)-(6))+((3)+(1)))*((x)*((x)*(((8)/(0))*(5))))))/(x)),5*x*x*x+2*x+7,5
28,0.7503927470345552,-0.053241044382326574,0.9403888830661339,0.17720519812194474,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,27,27,85939891,85939891,(((((((((5)*(x))*((x)*(x)))+((2)*(((5)*(8))+((6)+(1)))))*(x))*(x))*(x))*(x))*(x)),(((((2)*(((7)/(0))+(0)))+((9)*(5)))*(((1)+(x))*((7)-(3))))/((1)-(0))),5*x*x*x+2*x+7,5
29,0.7342628118765574,0.08553392550897514,0.9550915266233917,0.3481184694284988,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,28,28,957898957,957898957,((((((((((7)+(3))*(x))*((x)*(x)))*((2)*((x)+(7))))+(5))*((9)+(6)))*(x))*(x))*(x)),((((((5)/(0))*((8)+(2)))+(((2)*((5)+(1)))+((x)*(0))))+((0)+(x)))/((9)-(0))),5*x*x*x+2*x+7,5
30,0.7678268755078947,0.04790686619183334,0.93926331062448,0.16924951106345468,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,29,28,34730969.5,34730969.5,(((((((((5)*((5)+(0)))*((x)*((x)*(7))))+((2)*((x)+(x))))+(x))*(x))*(x))*(x))*(x)),(((2)*(3))*((5)*(x))),5*x*x*x+2*x+7,5
