gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
84,x*x*x*x,25,-10,-0.03929068810449615,-0.004531574597098433,-0.038650934518363614,0.001116716769049798,347.32449999999994,412.00260000000003,660.5888,237.9968,-0.9083681871650765,0.05228074761469089,0.03957356384035273,0.0263824458046961,15802.18,6034.52,44868.8,5800.8,(((x)*((x)*(x)))*((4)-((x)*(8)))),((x)*((x)*(x))),DeleteTerminalR|SkipD|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,84,84,85,85,4
85,x*x*x*x,25,-10,-0.03951009631093975,-0.001174448460714677,-0.039444084106652726,0.007249771271729186,239.88819999999998,330.72119999999995,272.212,200.4576,-0.9866994510521501,0.35239837929682394,0.0004217718673860965,0.17417694468071762,6204.89,5562.040000000001,6512.8,3963.84,(((x)*((x)*(8)))-((7)-(8))),((((x)*(x))*((7)*(1)))-((7)*((5)*(x)))),DeleteTerminalR|SkipD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,MutateTerminalR,85,85,86,86,4
86,x*x*x*x,25,-10,-0.039466187426480205,-0.003777047321609098,-0.03936275486864462,0.002097503594301399,261.38879999999995,364.191,312.036,231.99360000000001,-0.9755706770356817,0.05259443210037905,0.00596575145982017,0.022994020104370298,7580.34,5996.219999999999,11962.16,5798.88,(((x)*((x)*(x)))*((7)*((5)-(7)))),(((x)*((x)-(0)))-((1)*(x))),DeleteTerminalR|SkipD|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,ReplaceBranchR,MultXD,86,86,87,87,4
87,x*x*x*x,25,-10,-0.039501584147497056,-0.004045763189387808,-0.039434802640177756,0.0027291857273559032,244.05630000000002,329.0922,276.75680000000006,228.1272,-0.9840731603711933,0.0071101816755980325,0.0017120716811425674,0,6541.3099999999995,6120.8,7798.8,6077.28,((((x)*(1))-((3)*(3)))*((5)*((x)+(x)))),((x)-((6)*(x))),DeleteTerminalR|SkipD|AddToLeafR|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|FellTreeD,DeleteTerminalR,AddToLeafR,87,87,88,88,4
88,x*x*x*x,25,-10,-0.03949185584400732,-0.0018192734068264648,-0.03946713909946412,0.0009062867599006684,248.8199,284.899,260.9228,239.2848,-0.9842200365965234,0,0.001638610733744323,0,6523.34,6120.8,7726.88,6120.8,((((x)*(1))-((6)*(x)))*((x)+((x)+(x)))),(0),DeleteTerminalR|MutateNonTerminalR|AddXD|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|FellTreeD,AddXD,FellTreeD,88,88,89,89,4
89,x*x*x*x,25,-10,-0.03948878169520324,0,-0.039454252712063785,0,250.32519999999997,244.832,267.2328,244.832,-0.9842200365965234,0,0.0016440798775513715,0,6519.3099999999995,6120.8,7726.88,6120.8,((((x)*(x))*((4)-(9)))*((x)+((x)+(x)))),(0),DeleteTerminalR|SkipD|AddXD|AddXD|AddTreeWithSub,AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|FellTreeD,AddXD,FellTreeD,89,89,90,90,4
90,x*x*x*x,25,-10,-0.03949116557476147,0,-0.039436456835707755,0,249.1579,244.832,275.9468,244.832,-0.9811558946542935,0,0.003850527194573853,0,6561.31,6120.8,9227.28,6120.8,((((x)*(x))*((x)*(4)))-((5)-((8)+(x)))),(0),DeleteTerminalR|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,AddToLeafR,90,90,91,91,4
91,x*x*x*x,25,-10,-0.03950582419781728,0,-0.039484152398379296,0,241.9801,244.832,252.592,244.832,-0.9875040844334074,0,0,0,6118.8,6120.8,6118.8,6120.8,((((5)-(9))*((x)*(0)))*((9)-((6)+(x)))),(0),DeleteTerminalR|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,ReplaceBranchR,91,91,92,92,4
92,x*x*x*x,25,-10,-0.03891133083093713,0,-0.03820685367925761,0,533.0821000000001,244.832,878.0392000000002,244.832,-0.864548915174487,0,0.06679874612463076,0,34152.18,6120.8,66325.52,6120.8,((((x)*(3))-((x)-(1)))*((x)*((x)*((x)+(x))))),(0),DeleteMaliciousR|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,FellTreeD,92,92,93,93,4
93,x*x*x*x,25,-10,-0.03828742300843027,0,-0.03674452359168736,0,838.5872999999999,244.832,1594.0896000000002,244.832,-0.8561617762384002,0,0.054133533300847234,0,35970.79,6120.8,70432.4,6120.8,((((x)*(x))*((x)*(x)))*((x)-((1)-((2)+(x))))),(0),MultXD|SkipD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,ReplaceBranchR,93,93,94,94,4
94,x*x*x*x,25,-10,-0.04322503900633905,0,-0.03650023199581754,0,869.1345,244.832,1713.7103999999997,244.832,-0.8375040844334074,0,0.07678355905328443,0,41243.44,6120.8,79568.4,6120.8,((((x)*(x))*((x)*(0)))-((6)-((6)*((x)+(x))))),(0),MultXD|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,FellTreeD,94,94,95,95,4
95,x*x*x*x,25,-10,-0.03792303640863939,0,-0.03441672902235002,0,1017.0143,244.832,2733.9267999999997,244.832,-0.7625040844334073,0,0.11027460768139444,0,35456.06,6120.8,116293.2,6120.8,((((x)*(0))-((9)-(9)))*((x)*((x)*((x)+(x))))),(0),MultXD|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,AddToLeafR,95,95,96,96,4
96,x*x*x*x,25,-10,-0.03838032385472487,0.0010719552452376406,-0.036885993660959356,0.004296431838975298,793.0971,238.27079999999998,1524.8168000000003,218.53439999999998,-0.8645662331721344,0.42964318389752976,0.057039837146561065,0.21496657347873113,26817.129999999997,5464.68,66317.04,3491.04,((((x)*(x))*((2)-(x)))*((x)*((x)+((1)-(2))))),((((x)*(8))*((x)-((8)-(8))))*(((7)-(0))*((7)+((x)+(x))))),MultXD|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithAdd,AddTreeWithSub,AddToLeafR,96,96,97,97,4
97,x*x*x*x,25,-10,-0.03813943132433669,0.000016890724524273506,-0.03580680629983009,0.01119487648673376,911.0535000000001,259.0736,2053.256,176.31040000000002,-0.8559191608940008,0,0.07317932244654067,0,37932.62,6120.8,70551.2,6120.8,((((x)*(x))*((x)*(1)))-((0)-((x)*((x)+(x))))),(0),MultXD|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,97,97,98,98,4
98,x*x*x*x,25,-10,-0.03759661665958698,0,-0.0354949892170958,0,1176.8503,244.832,2205.9416,244.832,-0.7999959155665927,0,0.0988261665177629,0,52891.47,6120.8,97934.8,6120.8,((((x)*(x))*((x)*(8)))-((0)-((9)*((x)+(x))))),(0),MultXD|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,AddToLeafR,98,98,99,99,4
99,x*x*x*x,25,-10,-0.035679366259312506,0,-0.03199983662266371,0,2115.6588,244.832,3917.3920000000003,244.832,-0.7999959155665927,0,0.0988261665177629,0,52891.47,6120.8,97934.8,6120.8,((((x)*(x))*((x)*(8)))-((0)-((9)*((x)+(x))))),(0),MultXD|SkipD|AddTreeWithSub|AddXD|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,AddToLeafR,99,99,99,99,4
