gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03950037107077506,0.000014109100590296141,-0.03949981620049667,0.0004633381257351986,244.65030000000002,244.7486,244.922,241.99599999999998,-0.9874877466997778,0.027395111750098074,0.000008337314780419873,0.015072572900378074,6122.8,6089.02,6126.8,5953.12,((x)-(8)),(((0)-((2)-(5)))*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD,DeleteNonTerminalR,AddToLeafR,21,21,22,22,4
22,x*x*x*x,25,-10,-0.039500342071297864,-0.0002153570927990354,-0.03949983662266371,0.000950856097242192,244.66449999999998,246.7664,244.912,239.01199999999997,-0.9874897889164815,0.023591687361129352,0.00000838264658117135,0.01053190906742442,6121.6900000000005,6064.5,6125.8,5976.4,((x)-(7)),(((x)-((9)-(x)))*((3)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,DeleteTerminalR,AddToLeafR,22,22,23,23,4
23,x*x*x*x,25,-10,-0.03950087182231081,0.0007451954572516547,-0.03949989462161809,0.006850739532897462,244.40510000000003,240.333,244.8836,202.9,-0.9874877466997778,0.33028362305580977,0.000017681209824657034,0.17594712788966502,6118.46,5694.18,6126.8,4099.2,((x)-(8)),(((x)*((8)-(3)))*((8)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,DeleteNonTerminalR,AddToLeafR,23,23,24,24,4
24,x*x*x*x,25,-10,-0.039500184003725,0.00024638530121741636,-0.039499714089661485,0.0014204679126911524,244.7419,243.3289,244.972,236.1376,-0.9875,0.05228074761469089,0,0.024668990139504823,6120.8,6024.360000000001,6120.8,5800.8,((0)*((7)+(0))),((x)*((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|AddRandomSubTreeR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,MultXD,MutateNonTerminalR,24,24,25,25,4
25,x*x*x*x,25,-10,-0.03950026548817148,0.001630268192296802,-0.03949957113449223,0.005648411972291205,244.702,234.8536,245.042,210.2592,-0.9874877466997778,0.39121683440073196,0.000011196315330758522,0.1934552025239798,6122.0599999999995,5502.18,6126.8,3726.24,((x)-(8)),(((x)*(7))*((7)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteNonTerminalR,MutateNonTerminalR,25,25,26,26,4
26,x*x*x*x,25,-10,-0.039500791971637694,0.0009623284450679137,-0.03950007842112142,0.0032495098679911124,244.4442,238.953,244.7936,224.94240000000002,-0.9875,0.10454842504247812,0.000006606016005760507,0.044861748710505016,6116.58,5845.58,6120.8,5480.88,((x)-(2)),(((x)*(x))+((x)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,26,26,27,27,4
27,x*x*x*x,25,-10,-0.039500449287674815,0.0007589530780290156,-0.03949989788916482,0.00164971899098157,244.61199999999997,240.1866,244.882,234.73440000000002,-0.9874938733498889,0.0903934126258005,0.000013573189432064285,0.03879141856643557,6115.9,5916.52,6123.8,5567.52,((x)-(5)),(((x)+(x))*((9)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,FellTreeD,MultXD,27,27,28,28,4
28,x*x*x*x,25,-10,-0.03950035412037642,0.0006011967076822777,-0.039499714089661485,0.0022133054502679406,244.6586,241.19799999999998,244.972,231.2848,-0.9874857044830742,0.08161024702653255,0.000016153766307301075,0.03374845010762268,6119.67,5909.16,6127.8,5621.28,((x)-(9)),((x)*((9)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,FellTreeD,ReplaceBranchXR,28,28,29,29,4
29,x*x*x*x,25,-10,-0.03950027855835839,0.0005830586421290351,-0.03950008005489478,0.00313658345314338,244.69559999999998,241.3396,244.79280000000003,225.6336,-0.9874959155665927,0.10454842504247812,0.000005063818976180589,0.048786522251008255,6120.32,5928.78,6122.8,5480.88,((x)-(4)),(((x)*(x))+((x)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|SkipD|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,29,29,30,30,4
30,x*x*x*x,25,-10,-0.039500605925695986,0.0014939550385570529,-0.03949985622794406,0.003794536661874267,244.53529999999998,235.68779999999998,244.90240000000003,221.6064,-0.9874918311331853,0.09776499803947206,0.000005865820896082849,0.04770682958603312,6121.05,5819.38,6124.8,5522.4,((x)-(6)),(((x)*(x))+((5)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,30,30,31,31,4
31,x*x*x*x,25,-10,-0.03950048380113711,0.0008699348195343008,-0.03949996814141942,0.0020888772709449764,244.59510000000003,239.58379999999997,244.84759999999997,232.0464,-0.9874877466997778,0.08161024702653255,0.000016543585631298525,0.025587837745948958,6116.26,5936.76,6126.8,5621.28,((x)-(8)),((x)*((9)*(x))),DeleteTerminalR|DeleteNonTerminalR|FellTreeD|DivXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,ReplaceBranchXR,31,31,32,32,4
32,x*x*x*x,25,-10,-0.03950020810188211,0.0005877347396716282,-0.03949977535616259,0.002903672722519933,244.7301,241.2346,244.942,227.05919999999998,-0.9875040844334074,0.08161024702653255,0,0.035368504560764936,6118.8,5933.4,6118.8,5621.28,((0)*((x)+(x))),((x)*((9)*(x))),DeleteTerminalR|MutateTerminalR|FellTreeD|MultXD|AddXD,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,FellTreeD,AddToLeafR,32,32,33,33,4
33,x*x*x*x,25,-10,-0.039500179102404914,0.00029358425708100205,-0.03949989788916482,0.0010918834139328202,244.7443,243.0548,244.882,238.14879999999997,-0.9874857044830742,0.03509345183636129,0.000012151469687980525,0.01153078119091685,6119.89,6006.42,6127.8,5906,((x)-(9)),(((x)-(1))*((4)*(x))),DeleteTerminalR|MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,MultXD,AddToLeafR,33,33,34,34,4
34,x*x*x*x,25,-10,-0.03950048706868383,0.0008123774669977793,-0.039499652823160376,0.003264409881061302,244.59350000000003,239.8596,245.002,224.85119999999998,-0.9874897889164815,0.08161024702653255,0.000009364196422123567,0.034458208627652906,6121.4400000000005,5896.8,6125.8,5621.28,((x)-(7)),(((x)*(9))-((0)*(x))),DeleteTerminalR|MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|DeleteNonTerminalR,MutateTerminalR,DeleteNonTerminalR,34,34,35,35,4
35,x*x*x*x,25,-10,-0.039500689860802504,0.0010429682394458247,-0.03949991014246503,0.0036965102600967194,244.4942,238.44819999999999,244.87599999999998,222.2064,-0.9874857044830742,0.2085217618611947,0.00001841223438657717,0.09900880675218343,6118.18,5747.36,6127.8,4844.48,((x)-(9)),(((x)*(x))*((4)*(x))),DeleteTerminalR|MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,ReplaceBranchXR,AddToLeafR,35,35,36,36,4
36,x*x*x*x,25,-10,-0.03950071783917135,0.003897857599428523,-0.0395,0.014191086132531698,244.48050000000003,220.97400000000002,244.832,157.97119999999998,-0.9874979577832963,1,0.000012816077324648018,0.5001111211695113,6116.1900000000005,4591.62,6121.8,0,((x)-(3)),(((x)*(x))*((x)*(x))),DeleteTerminalR|MutateTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,MultXD,36,36,37,37,4
