gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03946853291236439,0.0003001422381266586,-0.03935978140112403,0.00034394196837014834,260.24030000000005,242.99490000000003,313.49199999999996,242.7268,-0.9782621552738204,0.009149130832570905,0.004578076779785716,0,7438.55,6064.8,10644.24,6064.8,((((1)-(x))-((4)-(0)))*((x)*((x)*((x)-(x))))),((0)+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,21,21,22,22,3
22,x*x*x*x,25,-10,-0.03949340139360868,0.00027447392497712713,-0.03938287642138282,0.0003659652333028362,248.06309999999996,243.15200000000002,302.1832,242.592,-0.9790007842112142,0.009149130832570905,0.0053374461813377036,0,7370.379999999999,6064.8,10282.56,6064.8,((((6)-(9))-((1)-(9)))*((x)*((x)*((x)-(x))))),((0)+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|ReplaceBranchXR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,22,22,23,23,3
23,x*x*x*x,25,-10,-0.03945894123317214,0.0003659652333028362,-0.03934531107044831,0.0003659652333028362,264.93699999999995,242.592,320.57759999999996,242.592,-0.9785047706182198,0.009149130832570905,0.005202171562249817,0,7410.219999999999,6064.8,10525.44,6064.8,((((x)*(x))*((x)*(3)))-((5)-((7)-((x)-(x))))),((0)+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddXD,23,23,24,24,3
24,x*x*x*x,25,-10,-0.03946077636910208,0.0003659652333028362,-0.039030066331198536,0.0003659652333028362,264.0384,242.592,474.94160000000005,242.592,-0.9614315122206248,0.009149130832570905,0.013015209696490894,0,9334.38,6064.8,18885.6,6064.8,((((x)*(x))*((5)-(x)))-((7)-((x)*((x)-(x))))),((0)+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,DeleteMaliciousR,24,24,25,25,3
25,x*x*x*x,25,-10,-0.03951608123121161,0.0003659652333028362,-0.039308373088485164,0.0003659652333028362,236.9576,242.592,338.6648,242.592,-0.9756494249117763,0.009149130832570905,0.0076783290371436035,0,6577.88,6064.8,11923.6,6064.8,((((x)*(8))-((7)-(x)))-((0)*((x)*((x)-(x))))),((0)+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,25,25,26,26,3
26,x*x*x*x,25,-10,-0.039507819647758464,0.0003659652333028362,-0.039448657855182326,0.0003659652333028362,241.00300000000004,242.592,269.9724,242.592,-0.985532773493661,0.009149130832570905,0.0009282034906300684,0,6441.74,6064.8,7084.08,6064.8,((((x)*(3))-((3)-(3)))*((x)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,26,26,27,27,3
27,x*x*x*x,25,-10,-0.03943576064403346,0.0003659652333028362,-0.03932302150045745,0.0003659652333028362,276.28770000000003,242.592,331.492,242.592,-0.9783941641615476,0.009149130832570905,0.005067579487848185,0,8135.12,6064.8,10579.6,6064.8,((((x)*(x))*((8)-(x)))*((x)-((7)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,27,27,28,28,3
28,x*x*x*x,25,-10,-0.03918014801986668,0.0003659652333028362,-0.038029693013985094,0.0003659652333028362,401.45200000000006,242.592,964.7883999999999,242.592,-0.8999959155665925,0.009149130832570905,0.0438838804190306,0,16737.620000000003,6064.8,48968.4,6064.8,((((x)*(x))*((x)*(1)))-((8)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,MultXD,28,28,29,29,3
29,x*x*x*x,25,-10,-0.039451876388707355,0.0003659652333028362,-0.0393350387204287,0.0003659652333028362,268.39639999999997,242.592,325.6076,242.592,-0.9776688504770618,0.009149130832570905,0.00512665301007398,0,7188.6900000000005,6064.8,10934.76,6064.8,((((3)-(9))*((x)*(x)))*((x)+((x)-(x)))),((0)+((x)*(x))),DeleteMaliciousR|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,DeleteMaliciousR,AddXD,29,29,30,30,3
30,x*x*x*x,25,-10,-0.039470102764344525,0.0003659652333028362,-0.039254206149522936,0.0003659652333028362,259.47159999999997,242.592,365.18840000000006,242.592,-0.967056103777284,0.009149130832570905,0.010221354359098255,0,8623.9,6064.8,16131.44,6064.8,((((x)*(x))*((x)*(7)))-((3)*((9)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,MultXD,30,30,31,31,3
31,x*x*x*x,25,-10,-0.03947074218239446,0.0003659652333028362,-0.0393540092798327,0.0003659652333028362,259.1585,242.592,316.3184,242.592,-0.9773856358645928,0.009149130832570905,0.005059166546354919,0,7357.51,6064.8,11073.44,6064.8,((((x)*(9))*((x)*(9)))-((6)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddXD,31,31,32,32,3
32,x*x*x*x,25,-10,-0.04956955647137629,0.0003659652333028362,-0.049363702457195145,0.0003659652333028362,210.77269999999996,242.592,311.572,242.592,-0.9625040844334074,0.009149130832570905,0.01223218222929257,0,9382.5,6064.8,18360.4,6064.8,((((x)*(x))*((x)*(7)))-((3)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|FellTreeD|AddXD|MultXD,AddTreeWithSub,FellTreeD,32,32,33,33,3
33,x*x*x*x,25,-10,-0.03950487926414848,0.00027447392497712713,-0.03944957031760555,0.00027447392497712713,242.44279999999998,243.15200000000002,269.5256,243.15200000000002,-0.9842020650895308,0.009149130832570905,0.0016401537322136108,0,6531.02,6064.8,7735.68,6064.8,((((4)-(2))-((7)*(x)))*((x)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|DivXD|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,DivXD,DeleteMaliciousR,33,33,34,34,3
34,x*x*x*x,25,-10,-0.041884814135588665,-0.009679584368056464,-0.038733478466867075,0.0003675336557312785,301.2343711111111,376.1018,620.1700000000001,242.58239999999998,-0.9124959155665926,0.009149130832570905,0.03874296103434037,0,14411.18,6064.8,42847.6,6064.8,((((x)*(x))*((x)*(1)))-((7)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,DeleteMaliciousR,34,34,35,35,3
35,x*x*x*x,25,-10,-0.039516544814403344,0.0003659652333028362,-0.03939215462031107,0.0003659652333028362,236.73060000000004,242.592,297.64,242.592,-0.9773856358645928,0.009149130832570905,0.0046173163573062954,0,7974.740000000001,6064.8,11073.44,6064.8,((((7)-(4))*((x)*(x)))*((9)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,DeleteMaliciousR,35,35,36,36,3
36,x*x*x*x,25,-10,-0.03937580912625801,0.0003659652333028362,-0.03894693667494445,0.0003659652333028362,305.6438,242.592,515.6472,242.592,-0.9441015880277088,0.009149130832570905,0.021540699074702185,0,11550.04,6064.8,27371.44,6064.8,((((9)-(1))*((x)*(x)))*((7)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|FellTreeD|AddXD|MultXD,AddTreeWithSub,FellTreeD,36,36,37,37,3
37,x*x*x*x,25,-10,-0.03952921595216312,0.0002770740245655176,-0.039460134296170436,0.00028225068618481275,230.52599999999998,243.1361,264.3528,243.10440000000003,-0.986123545941707,0.009149130832570905,0.0006164291755939263,0,6373.09,6064.8,6794.8,6064.8,(((6)-((9)-(9)))*((x)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|FellTreeD|AddXD|MultXD,AddTreeWithSub,FellTreeD,37,37,38,38,3
38,x*x*x*x,25,-10,-0.03948216634263495,0.0003659652333028362,-0.03932753316559927,0.0003659652333028362,253.56449999999998,242.592,329.2828,242.592,-0.9749959155665926,0.009149130832570905,0.0063836279913354315,0,7559.57,6064.8,12243.6,6064.8,((((x)*(x))*((x)*(5)))-((6)*((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|ReplaceBranchXR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|FellTreeD|AddXD|MultXD,AddTreeWithSub,FellTreeD,38,38,39,39,3
