gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03683288377336297,-0.00990884270433393,-0.03409398934779768,0.00029251078290419547,1550.8227999999997,1608.5929999999998,2891.9607999999994,243.0416,-0.4468989347797674,0.029251078290419546,0.30807899731691546,0.017183450291691743,136734.36,6095.98,270833.68,5941.76,((((9)*(5))-((2)*(x)))*((x)*((1)+((x)*(x))))),((((x)*(6))-((0)*((8)*(5))))+((6)*((5)+((4)+(0))))),AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|SkipD|SkipD,AddTreeWithSub,SkipD,21,21,22,22,1
22,x*x*x*x,25,-10,-0.03618109479153052,-0.014770099085688769,-0.030717884917004314,0.0019687622533002234,1869.9804000000001,3000.7575,4545.1176000000005,232.7816,-0.5625,0.09843811266501118,0.19708783546697822,0.049092691514156364,91004.2,5918.179999999999,214228,5518.28,((((x)*(5))*((3)-(9)))*((6)*((x)*((x)*(x))))),((((x)*(7))*((8)*((0)+(9))))*((3)+((7)+((x)*(x))))),AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithMult|SkipD|SkipD,AddTreeWithMult,SkipD,22,22,23,23,1
23,x*x*x*x,25,-10,-0.03800595510390799,-0.006287720549372765,-0.035518741014246506,0.0004794579002858455,976.4119999999999,436.3689,2194.3112,241.92520000000002,-0.8594121683440074,0.013906678865507758,0.0554004580037549,0.00584304937245562,35610.8,6075.39,68840.8,6035.68,((((8)*(4))*((2)-(9)))*((x)*((7)-((2)*(x))))),((((x)*(x))+((7)+(4)))+((5)*((1)*(x)))),AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|SkipD|SkipD,AddTreeWithSub,SkipD,23,23,24,24,1
24,x*x*x*x,25,-10,-0.03822303211998432,-0.002438875855126123,-0.035707876421382824,0.010533002221931773,870.1172,530.3397,2101.6983999999998,180.3616,-0.8430886485426742,0.0026009671938308837,0.06322246696694037,0.0020843272642973296,40492.28,6113.860000000001,76833.84,6104.88,((((7)+(5))*((9)+(3)))*((x)*((x)*(x)))),(((6)+((7)+(8)))+((7)-(6))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|SkipD|SkipD,ReplaceBranchR,SkipD,24,24,25,25,1
25,x*x*x*x,25,-10,-0.03495253038619214,-0.00586862420073447,-0.02798439614939542,0.007138413279309895,2472.3106,552.9544999999999,5886.594399999999,201.1392,0.02439024390243898,0.15015030714939223,0.4830176784920417,0.08609155205553361,210861.32,5962.969999999999,501905.6,5201.76,((((x)*(1))-((4)*(7)))*((x)*((3)*((x)*(x))))),((((x)*(x))*((2)*((6)+(2))))+(((x)*(4))-((9)+((x)+(1))))),AddTreeWithSub|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|SkipD|SkipD,AddTreeWithSub,SkipD,25,25,26,26,1
26,x*x*x*x,25,-10,-0.031567333098014495,-0.004055252089515838,-0.010711429830301336,0.006585282969546466,4448.762,634.235,15619.9128,204.5248,0.39682443952900903,0.05365965233302845,0.6918733360554408,0.023659906326062477,207755.72,5985.34,811810.08,5792.36,((((7)*(3))*((x)*(7)))*((2)-((x)*((x)*(x))))),((((x)*(7))*((2)*((x)*(0))))*((1)*((x)+((x)-(x))))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,AddRandomSubTreeR,SkipD,26,26,27,27,1
27,x*x*x*x,25,-10,-0.03162299249472779,0.0007669934781052648,-0.013625034284230716,0.006287282708142725,5310.032200000001,240.2029,17747.324,206.3488,0.6157793123951221,0.27954515749575215,0.7997043295400847,0.13226009322948962,324640.02,5613.240000000001,1274434.24,4409.76,((((x)*(x))*((0)-(8)))+((x)*((x)*((x)*(x))))),((((3)-(8))+((4)*((1)+(8))))*((x)*((x)+((7)-(x))))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,AddRandomSubTreeR,SkipD,27,27,28,28,1
28,x*x*x*x,25,-10,-0.035896873293084025,-0.0037396175722704188,-0.025175713666389165,0.0027649980394719646,2231.3356,358.00919999999996,8147.647999999999,227.90800000000002,0.34483469139271333,0.25548294340609073,0.6650680661593082,0.12637881470249698,192277.26,5713.25,747390,4557.04,((((x)*(x))*((3)*(8)))*((7)*((9)-((x)*(x))))),((((8)+(4))+((3)*(x)))*((x)*((8)-(x)))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|SkipD|SkipD,AddTreeWithMult,SkipD,28,28,29,29,1
29,x*x*x*x,25,-10,-0.03752142571232519,-0.002877602625951331,-0.03156365017644752,0.002385701215527384,1213.6686,353.27020000000005,4130.9768,230.2296,-0.26364037380734545,0.11302444124950989,0.3618628910789184,0.09346566119532511,94782.02,6087.19,360568.8,5429,((((x)*(4))-((x)*(6)))*((9)+((1)*((x)*(x))))),((((x)*(4))-((x)+((1)*(9))))+(((1)*(x))*((2)+((2)-(x))))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,AddTreeWithSub,SkipD,29,29,30,30,1
30,x*x*x*x,25,-10,-0.03811224594824206,-0.0029182490290723556,-0.03480232485949549,0.0008806038426349511,924.3651999999998,318.4626,2545.1144000000004,239.442,-0.7124999999999999,0.025081688668148024,0.13021736500149217,0.014295373547908241,45483.14,6090.719999999999,140778.4,5967.28,((((x)*(x))*((9)+(3)))*((x)*((2)*(x)))),((((x)-(7))*((x)*((7)-(1))))+((1)*((x)*((x)-(x))))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,AddTreeWithAdd|AddTreeWithAdd|SubXD|SkipD|SkipD,AddRandomSubTreeR,SkipD,30,30,31,31,1
31,x*x*x*x,25,-10,-0.028600742788202044,-0.0010727321206922527,-0.008498259073684405,0.005866030584237355,15176.739400000002,833.0885,53493.425599999995,208.9272,0.8965974359853695,0.34922232387923147,0.9337249732113545,0.19240831551753784,1344767.82,5738.76,4735511.2,3983.28,((((x)*(3))*((9)*(7)))*((8)*((8)*((7)*(x))))),((((x)+(3))*((8)*(x)))*((0)+((5)-(x)))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,AddRandomSubTreeR,SkipD,31,31,32,32,1
32,x*x*x*x,25,-10,-0.03398500909112436,-0.002967553211157434,-0.018423244441872943,0.01820696640961966,2945.9721999999997,705.1828,10567.9512,133.3908,0.022738946219188604,0.39850346359952954,0.5003191175908607,0.18630855398831822,133594.7,5312.549999999999,501057.52,3681.64,((((x)*(x))-((7)*(6)))*((2)*((x)*((x)*(x))))),((((1)+(0))*((4)*(2)))*((x)*((x)*((x)-(x))))),AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,ReplaceBranchR,SkipD,32,32,33,33,1
33,x*x*x*x,25,-10,-0.03895034676839629,0.0007080873876272157,-0.03713311168474709,0.012906548163638742,513.9774000000001,249.78339999999997,1403.812,165.83360000000002,-0.8430886485426742,0.5488302182721213,0.07323017992404496,0.2599359600464252,23084.559999999998,4898.91,76833.84,2761.52,((((4)*(6))*((x)*(x)))*((2)+((4)*(x)))),((((5)+(7))*((x)*(4)))+((8)*((x)-(x)))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,AddTreeWithSub,SkipD,33,33,34,34,1
34,x*x*x*x,25,-10,-0.03511915805152798,-0.002252035084629581,-0.028567406287931287,0.0003229643188168252,2399.4754000000003,313.63809999999995,5636.140799999999,242.8552,0.08431037761126307,0.007469611815449003,0.5309677960363812,0.003782355359314664,220320.34000000003,6105.04,534748.88,6075.08,((((x)*(x))*((2)-(x)))-((1)*((8)*((x)*(x))))),(((9)*((x)+(2)))+((3)-(x))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|ReplaceBranchXR|SkipD,AddRandomSubTreeR,ReplaceBranchXR,34,34,35,35,1
35,x*x*x*x,25,-10,-0.038680338762906816,-0.004408520857571058,-0.0362316249509868,0.004949156972944714,646.1905999999999,3119.5875,1845.2375999999997,214.5392,-0.7356624950986799,0.22066396549470663,0.1256244705692699,0.01407396948751427,37168.119999999995,6083.790000000001,129436.56,4770.16,((((x)*(8))*((4)*(x)))*((x)-((6)*(x)))),((((8)-(5))+((0)*(x)))*((0)-((x)*((x)-(x))))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,AddRandomSubTreeR,SkipD,35,35,36,36,1
36,x*x*x*x,25,-10,-0.043368062292751614,-0.014525256875054966,-0.02468823074204292,0.004508168866814797,NaN,NaN,13297.930400000001,217.2384,0.3230633044415731,0.3914651679519018,0.6531189073127142,0.19072183748994476,187035.9,5473.4400000000005,723352.72,3724.72,((((1)*(x))*((x)+(5)))*((8)*((x)*((x)*(x))))),((((x)*(8))*((6)+(2)))-((2)*((x)+((5)-(x))))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|SkipD|SkipD,MultXD,SkipD,36,36,37,37,1
