avgA,avgP,topA,topP,topAEquation,topPEquation
-0.9242387337108425,0.23017838769275153,-0.8760468392033935,0.4170244771653625,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.8742512521819252,0.08292376818240714,-0.8105067513419624,0.27852747072080997,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9725496055081078,-0.021704684573390965,-0.9692990254377915,0.07207510985157957,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.8637230212530401,-0.027227058194837152,-0.8162199333136282,0.08676104275452941,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9226072469237895,-0.05084325728734074,-0.8659155375722669,0.15985370834888857,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.893095808632496,0.01680390238945828,-0.8102279831803856,0.267590535100971,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9013553595118088,-0.011401556645984407,-0.8470837641487318,0.04461247064789879,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9654879862439912,0.11259117174890523,-0.9508433786811032,0.34986783059250015,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9285813386743698,0.11279098962460266,-0.9082781767422203,0.18182905237707586,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
-0.9354078591619868,0.12462448252413676,-0.9063996015865236,0.255876280353417,((((((((((5)*(x))*((x)*(x)))+((2)*((x)-((0)*(9)))))*(x))*(x))+((3)+(2)))*(x))*(x))*((x)*(5))),((((((((((((8)+(8))+((5)*(3)))+((9)-(9)))-(((((4)+(3))*(6))+((1)-(2)))-((((4)*(4))-(x))*((x)+((x)-(x))))))*(x))+(x))/(x))*(x))*(x))*(x))/(x))
