gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
55,x*x*x*x*3*x+1,25,-10,-0.0384,0.000002356217749464822,-0.0384,0.000006285551467216006,8451.128,8450.6302,8451.128,8449.8,-0.96,0.00023854803761118413,0,0.00010702519787113885,211278.2,211260.8,211278.2,211227.8,(0),(((7)*((x)-(0)))*((4)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,DeleteNonTerminalR,ReplaceBranchR,55,55,56,56,2
56,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000047123827434548785,-0.0384,0.000017508668665298694,8451.128,8450.1324,8451.128,8447.4288,-0.96,0.0012131871627077803,0,0.000562639139967649,211278.2,211199.7,211278.2,211021.88,(0),(((5)*((x)*(8)))+((0)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,56,56,57,57,2
57,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000011596189964923576,-0.0384,0.0000024801422958015303,8451.128,8450.883,8451.128,8450.604,-0.96,0.00006342348619035605,0,0.00001656583594521347,211278.2,211270.05,211278.2,211264.8,(0),(((9)-((0)*(1)))+((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SkipD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,ReplaceBranchR,57,57,58,58,2
58,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000021795914266137295,-0.0384,0.000007179159989059505,8451.128,8450.6675,8451.128,8449.6112,-0.96,0.00023854803761118413,0,0.00010963908744369864,211278.2,211262.28999999998,211278.2,211227.8,(0),(((7)+((0)*(3)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchR,MultXD,58,58,59,59,2
59,x*x*x*x*3*x+1,25,-10,-0.0384,0.000002135100671318614,-0.0384,0.000008099273848416616,8451.128,8450.676899999999,8451.128,8449.416799999999,-0.96,0.00032715159443815996,0,0.00014358100796155407,211278.2,211254.34,211278.2,211209.08,(0),(((5)*((2)-(0)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MutateTerminalR|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|FellTreeD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,59,59,60,60,2
60,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000013584890198221618,-0.0384,0.000005399515898946247,8451.128,8450.841,8451.128,8449.9872,-0.96,0.0001499444807842083,0,0.00006642794124613833,211278.2,211267.08,211278.2,211246.52,(0),(((4)*((x)+(0)))*((7)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,SubXD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,60,60,61,61,2
61,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000014293957130948455,-0.0384,0.000003316953665833697,8451.128,8450.826000000001,8451.128,8450.4272,-0.96,0.0001499444807842083,0,0.00005902358571007294,211278.2,211265.21,211278.2,211246.52,(0),(((4)-((0)*(8)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,61,61,62,62,2
62,x*x*x*x*3*x+1,25,-10,-0.0384,0.000002175331043802622,-0.0384,0.000006868668892486472,8451.128,8450.6684,8451.128,8449.6768,-0.96,0.0002976170754957428,0,0.0001394443443936868,211278.2,211259.28,211278.2,211215.32,(0),(((9)+((0)*(6)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateNonTerminalR,ReplaceBranchR,62,62,63,63,2
63,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000011809098456001064,-0.0384,0.0000024915017261635217,8451.128,8450.878499999999,8451.128,8450.6016,-0.96,0.00006399145770845561,0,0.000029503758026254805,211278.2,211269.15999999997,211278.2,211264.68,(0),(((x)-((0)+(6)))*((2)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,63,63,64,64,2
64,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000030045711376889256,-0.0384,0.000013086063777523642,8451.128,8450.493199999999,8451.128,8448.3632,-0.96,0.00038622063232271865,0,0.00017350439312858863,211278.2,211251.4,211278.2,211196.6,(0),(((x)-((0)*(2)))*((6)+(x))),FellTreeD|MutateTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,MultXD,64,64,65,65,2
65,x*x*x*x*3*x+1,25,-10,-0.0384001065514568,0.0000023286835362265998,-0.0384,0.0000056797151812188,8450.565200000001,8450.636,8451.128,8449.928,-0.96,0.00026808255655346347,0,0.00010940203009272812,211278.2,211255.91,211278.2,211221.56,(0),(((8)-((0)*(4)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateNonTerminalR,ReplaceBranchR,65,65,66,66,2
66,x*x*x*x*3*x+1,25,-10,-0.0384,0.000001985533767676622,-0.0384,0.000005018974981804387,8451.128,8450.708499999999,8451.128,8450.0676,-0.96,0.00021223202393822746,0,0.00009591645968976222,211278.2,211262.65999999997,211278.2,211233.36,(0),(((5)+((6)*(x)))-((0)+(x))),FellTreeD|MutateTerminalR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,MultXD,66,66,67,67,2
67,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000012850562037429168,-0.0384,0.000005708113757126534,8451.128,8450.8565,8451.128,8449.921999999999,-0.96,0.00023854803761118413,0,0.00010412811165562751,211278.2,211260.8,211278.2,211227.8,(0),(((x)*((7)+(3)))*((0)+(x))),AddRandomSubTreeR|MutateTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,ReplaceBranchR,67,67,68,68,2
68,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000014062029463462822,-0.0384,0.000002783060438799444,8451.128,8450.8309,8451.128,8450.539999999999,-0.96,0.0000904967952208247,0,0.000029399651519171865,211278.2,211266.33000000002,211278.2,211259.08,(0),(((1)*((2)+(0)))*((x)+(x))),FellTreeD|MutateTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,ReplaceBranchR,68,68,69,69,2
69,x*x*x*x*3*x+1,25,-10,-0.0384,0.000000014904239397127085,-0.0384,0.000001650903879343106,8451.128,8451.1249,8451.128,8450.779199999999,-0.96,0.000033320995729839374,0,0.000001514590714955132,211278.2,211271.63999999998,211278.2,211271.16,(0),(((6)+((2)-(0)))*((8)+(x))),FellTreeD|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchXR,ReplaceBranchR,69,69,70,70,2
70,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000005491515156239032,-0.0384,0.0000036728824838546953,8451.128,8451.011999999999,8451.128,8450.351999999999,-0.96,0.00012040996184179118,0,0.00005697483828046583,211278.2,211270.24,211278.2,211252.76,((0)*(x)),(((x)*((0)+(3)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MultXD,MultXD,70,70,71,71,2
71,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000017905503156261548,-0.0384,0.000004468042609224391,8451.128,8450.7497,8451.128,8450.184000000001,-0.96,0.000209013518668767,0,0.00010483618493466107,211278.2,211256.08000000002,211278.2,211234.04,(((2)-(1))*((0)*(x))),(((x)*((0)+(6)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,71,71,72,72,2
72,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000022131956822833703,-0.0384,0.000006815658217462009,8451.128,8450.6604,8451.128,8449.688,-0.96,0.0002976170754957428,0,0.00012368913201535821,211278.2,211254.31,211278.2,211215.32,(((x)*((x)*(x)))*((x)*((0)*(x)))),(((x)*((9)-(7)))*((0)+(x))),FellTreeD|MutateTerminalR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,MultXD,72,72,73,73,2
73,x*x*x*x*3*x+1,25,-10,-0.03840478322893701,0.0000033969448980164134,-0.0384,0.000012495373398678056,8425.8632,8450.4103,8451.128,8448.488,-0.96,0.00032715159443815996,0,0.0001378499450832443,211278.2,211245.08,211278.2,211209.08,((((0)*(4))+((0)*(5)))*((7)-((9)+((1)*(x))))),(((x)+((0)+(9)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|MultXD|DivXD|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,ReplaceBranchR,73,73,74,74,2
74,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000019670749423570923,-0.0384,0.000005132569285429809,8451.128,8450.7124,8451.128,8450.043599999999,-0.96,0.00026883985191097546,0,0.00012933161520241478,211278.2,211261.21000000002,211278.2,211221.4,(((0)*(5))*((0)*(x))),(((x)*((2)-(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,ReplaceBranchR,74,74,75,75,2
75,x*x*x*x*3*x+1,25,-10,-0.03831908132500182,0.000005889411977314647,-0.03807537383412013,0.000020371245116630696,8878.5368,8449.8837,10165.788799999998,8446.824,-0.9275373834120131,0.00161606829289535,0.016247221319133396,0.0008150849553491021,254019.08000000002,211194.44,382744.28,210936.76,((((4)*(7))*((x)*((1)*(x))))*(((3)*(x))+((1)*((x)-(x))))),(((9)*((6)+(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|MultXD|ReplaceBranchR|SubXD,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,ReplaceBranchR,75,75,76,76,2
76,x*x*x*x*3*x+1,25,-10,-0.038444030666675504,0.0000027617617779337904,-0.03839979628754883,0.000008947444648812152,8218.56,8450.5445,8452.204,8449.2376,-0.96,0.00026808255655346347,0,0.00011513608567043973,211278.2,211252.63999999998,211278.2,211221.56,(0),(((8)-((9)*(0)))*((x)+(x))),AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,ReplaceBranchR,76,76,77,77,2
77,x*x*x*x*3*x+1,25,-10,-0.03846131135157342,0.0000072970341900367954,-0.03840002423345144,0.000030022974447909724,8127.284200000002,8449.586299999999,8451.000000000002,8444.7848,-0.96,0.0023726063550333107,0,0.0011661960630984047,211278.2,211146.47999999998,211278.2,210776.92,((0)*(x)),(((9)*((9)-(0)))*((x)+(x))),AddRandomSubTreeR|ReplaceBranchXR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchXR,MultXD,77,77,78,78,2
78,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000013556710713569678,-0.0384,0.000004295757915394888,8451.128,8450.8416,8451.128,8450.2204,-0.96,0.00017947899972648766,0,0.00007467993575849648,211278.2,211263.93,211278.2,211240.28,((0)*(x)),(((5)+((0)*(8)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|MultXD|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,DeleteNonTerminalR,ReplaceBranchR,78,78,79,79,2
79,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000019732277158770063,-0.0384,0.0000045399856681887205,8451.128,8450.7111,8451.128,8450.1688,-0.96,0.000209013518668767,0,0.00008868840178586798,211278.2,211262.13999999998,211278.2,211234.04,((((4)*(4))*((x)*((6)*(x))))*((3)*((0)*((8)*(9))))),(((6)+((0)*(6)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|MultXD|AddToLeafR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,79,79,80,80,2
80,x*x*x*x*3*x+1,25,-10,-0.0384,0.00000356035412777211,-0.0384,0.000020301195296063244,8451.128,8450.3758,8451.128,8446.8388,-0.96,0.0007447999840968691,0,0.00038698832669277846,211278.2,211241.09,211278.2,211120.84,(((0)*(1))*((6)+(3))),(((x)*((6)-(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|SkipD|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|AddTreeWithAdd|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchR,ReplaceBranchR,80,80,81,81,2
81,x*x*x*x*3*x+1,25,-10,-0.0384,0.00001083453001776993,-0.0384,0.000038404340816990264,8451.128,8448.838899999999,8451.128,8443.014000000001,-0.96,0.0018682476469413368,0,0.000887038120761167,211278.2,211163.52,211278.2,210883.48,(0),(((7)*((x)*(9)))+((0)+(x))),AddRandomSubTreeR|MutateTerminalR|SkipD|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|AddTreeWithDiv|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchR,ReplaceBranchR,81,81,82,82,2
82,x*x*x*x*3*x+1,25,-10,-0.03840926448635022,0.0000020390177500597426,-0.0384,0.000004983003452322912,8402.1934,8450.6972,8451.128,8450.0752,-0.96,0.00038622063232271865,0,0.00017441876776746394,211278.2,211251.85,211278.2,211196.6,(((0)*((x)*(x)))*((x)-(6))),(((6)*((2)-(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|SkipD|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,ReplaceBranchR,82,82,83,83,2
83,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004998925584917635,-0.0384,0.000002476355819013281,8451.128,8004.6230000000005,8451.128,8450.6048,-0.96,0.0000632341623509436,0,1.000005554081431,211278.2,166648.64,211278.2,211264.84,((((x)*(x))*((0)*(1)))+((9)*((9)*(4)))),(((7)*((0)+(8)))+((x)+(x))),AddRandomSubTreeR|MutateTerminalR|SkipD|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,83,83,84,84,2
84,x*x*x*x*3*x+1,25,-10,-0.0384,0.000002402519521657239,-0.0384,0.000006317736519909233,8451.128,8450.6204,8451.128,8449.7932,-0.96,0.0002976170754957428,0,0.00012405247436313846,211278.2,211254.34999999998,211278.2,211215.32,(0),(((9)-((0)*(7)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|SkipD|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,ReplaceBranchR,84,84,85,85,2
85,x*x*x*x*3*x+1,25,-10,-0.0384,0.00000425221343233967,-0.0384,0.000013663501487613115,8451.128,8450.229599999999,8451.128,8448.2412,-0.96,0.0007701693785729013,0,0.0003744031145506893,211278.2,211234.03000000003,211278.2,211115.48,(((0)*((3)*(4)))*((6)+(1))),(((5)*((5)+(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddXD,ReplaceBranchR,ReplaceBranchR,85,85,86,86,2
86,x*x*x*x*3*x+1,25,-10,-0.0384,0.000002605626680326452,-0.0384,0.000008095487371629744,8451.128,8450.5775,8451.128,8449.4176,-0.96,0.0002976170754957428,0,0.0001433796467851723,211278.2,211244.57,211278.2,211215.32,((0)*((9)-(7))),(((9)+((2)*(0)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,86,86,87,87,2
87,x*x*x*x*3*x+1,25,-10,-0.038400848965960514,0.0000017394128001470257,-0.0384,0.000004786106659372545,8446.643800000002,8450.760499999999,8451.128,8450.1168,-0.96,0.000209013518668767,0,0.00008936085218441895,211278.2,211262.36,211278.2,211234.04,(((0)*((8)+(2)))*((x)+(1))),(((0)*((0)+(6)))*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,AddRandomSubTreeR,MultXD,87,87,88,88,2
88,x*x*x*x*3*x+1,25,-10,-0.0384,0.000011775143175789304,-0.0384,0.000053760397428604824,8451.128,8448.6402,8451.128,8439.769600000001,-0.96,0.0021204270009873238,0,0.001101203883196737,211278.2,211176.97,211278.2,210830.2,(0),(((x)*((9)*(8)))-((0)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR,SkipD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddXD,AddToLeafR,ReplaceBranchR,88,88,89,89,2
