gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x*3*x+1,25,-10,-0.0384,-0.02998672437853849,-0.0384,0.00010041904728247298,8451.128,5770.655155555554,8451.128,8429.911644444444,-0.96,0.004667674079851945,0,1.002333837039926,211278.2,77148.25555555556,211278.2,210292.02222222224,(0),((((x)+(0))+((x)*(x)))-((2)/((9)*(x)))),AddTreeWithAdd|FellTreeD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|DeleteTerminalR|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,FellTreeD,ReplaceBranchXR,21,21,22,22,4
22,x*x*x*x*3*x+1,25,-10,-0.0384,0.00021122724409845768,-0.0384,0.0011347957337766053,8451.128,8406.517742857144,8451.128,8211.3704,-0.96,0.0400578952300806,0,0.01997992551806086,211278.2,209146.76571428572,211278.2,202814.84,(0),((((x)+((9)*(9)))+((x)-((9)/(1))))-(((x)+(4))*((x)-((x)*(x))))),AddTreeWithAdd|DeleteTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,AddTreeWithAdd,SubXD,22,22,23,23,4
23,x*x*x*x*3*x+1,25,-10,-0.0384,-0.014940352476026719,-0.0384,0.00036278234100820846,8451.128,7099.6927000000005,8451.128,8374.48,-0.96,0.015598391126013028,0,1.003546350472054,211278.2,165533.08,211278.2,207982.6,(0),((((x)*(7))-((x)*(x)))-((x)+((8)*(x)))),AddTreeWithAdd|FellTreeD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,FellTreeD,ReplaceBranchXR,23,23,24,24,4
24,x*x*x*x*3*x+1,25,-10,-0.0384,-0.009983056553934035,-0.0384,0.00005853277810962376,8451.128,7554.992222142858,8451.128,8438.7613,-0.96,0.0008782259598956137,0,1.000139865991802,211278.2,166606.1025,211278.2,211092.65,(0),(((x)/((8)*(x)))*((3)-((x)*(x)))),AddTreeWithAdd|FellTreeD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,FellTreeD,SubXD,24,24,25,25,4
25,x*x*x*x*3*x+1,25,-10,-0.0384,-0.01000751446259656,-0.0384,0.000004181027668734368,8451.128,7560.162026666667,8451.128,8450.244639999999,-0.96,0.000209013518668767,0,1.0000197082840063,211278.2,166644.16,211278.2,211234.04,(0),((0)+((7)*(x))),AddTreeWithAdd|DeleteTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,AddTreeWithAdd,SubXD,25,25,26,26,4
26,x*x*x*x*3*x+1,25,-10,-0.0384,-0.020000247007149176,-0.0384,0.00002856006914106942,8451.128,6666.07227,8451.128,8445.09388,-0.96,0.0011429101535322093,0,1.155004619899169,211278.2,121966.982,211278.2,211036.728,(0),((((6)+(4))+((1)-(2)))/((5)*((x)-((x)*(x))))),AddTreeWithAdd|FellTreeD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,FellTreeD,SubXD,26,26,27,27,4
27,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004824259847961827,-0.0384,0.001173824369953931,8451.128,7967.730033730159,8451.128,8203.1245,-0.96,0.053635822342295685,0,1.0098960378519062,211278.2,163607.46,211278.2,199946.12,(0),((((x)*((6)+(0)))-((x)*((x)-(4))))/(((8)-(6))*((9)-((5)-((x)*(x)))))),AddTreeWithAdd|DeleteTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,AddTreeWithAdd,SubXD,27,27,28,28,4
28,x*x*x*x*3*x+1,25,-10,-0.0384,-0.009898004967930293,-0.0384,0.0003872429839585884,8451.128,7537.025283333334,8451.128,8369.312,-0.96,0.0020924070727600685,0,1.0006019781964395,211278.2,166459.74444444446,211278.2,210836.12,(0),((8)*((9)*(x))),AddTreeWithAdd|DeleteTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,AddTreeWithAdd,ReplaceBranchXR,28,28,29,29,4
29,x*x*x*x*3*x+1,25,-10,-0.0384,-0.014960938844288972,-0.0384,0.00015149734196091418,8451.128,7104.041356349207,8451.128,8419.119914285715,-0.96,0.0009227643931083327,0,1.1552105614141894,211278.2,121929.28,211278.2,211083.24,(0),((((5)+(3))*((x)-(0)))*((x)-((x)*((5)/(5))))),ReplaceBranchR|FellTreeD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,FellTreeD,SubXD,29,29,30,30,4
30,x*x*x*x*3*x+1,25,-10,-0.0384,-0.005006538796066974,-0.0384,0.000003888711660740796,8451.128,8006.235033333332,8451.128,8450.3064,-0.96,0,0,0.9995532927332766,211278.2,166792.53999999998,211278.2,211278.2,(0),(((x)*((7)*(0)))/((4)+(7))),ReplaceBranchXR|FellTreeD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,FellTreeD,SubXD,30,30,31,31,4
