gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
85,x*x*x*x,25,-10,-0.03772290811658607,0.012352470265324796,-0.03568823421774932,0.017756128984073048,348.44059999999996,236.915,659.7864,190.6104,-0.6888234217749314,0.5313030976342963,0.13559482420598618,0.1215203011265845,16493.16,5555.960000000001,47616.24,4016.32,((((4)*(x))*((x)*(x)))*((8)+((8)+((7)+(x))))),(((7)*((6)*(x)))-((0)*(x))),AddToLeafR|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult|AddXD,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,85,85,86,86,1
86,x*x*x*x,25,-10,-0.038272489217095806,0.010840442841900009,-0.03735140243105477,0.01527307354780888,264.3437,249.8964,405.2884,211.888,-0.8583947196444909,0.6095561737961425,0.05659754341760622,0.1707023099759575,8788.55,5522.459999999999,21668.44,3345.76,((((x)*(7))*((4)*(3)))-((x)-((5)*((x)+(x))))),(((x)*((7)-(4)))*((9)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|AddXD,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddXD,AddTreeWithMult,86,86,87,87,1
87,x*x*x*x,25,-10,-0.038489248464253036,0.01132954142315664,-0.038332688537446084,0.0126575424314282,231.17520000000002,245.68060000000006,255.132,234.3008,-0.9532176186119461,0.31516888548649113,0.003403999477192554,0.014884980729095582,6377.32,6058.9400000000005,7158.64,5868.4,((((x)*(x))*((4)*(5)))+((0)*((x)+((x)+(x))))),(((7)*((9)-(8)))*((4)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|AddXD|AddXD,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddXD,AddTreeWithMult,87,87,88,88,1
88,x*x*x*x,25,-10,-0.03843799437981963,0.01088492167223706,-0.038400512351326625,0.01904550292212036,239.01809999999998,249.4906,244.7536,179.5616,-0.9600000000000001,0.653173254663256,0.000022872827081410474,0.06518443423887924,6119.05,5670.26,6120.8,2972,(((0)*(3))+((0)*(x))),(((9)*((x)*(9)))-((6)*(x))),AddToLeafR|DeleteMaliciousR|FellTreeD|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,88,88,89,89,1
89,x*x*x*x,25,-10,-0.038407263102862375,0.011771057004686598,-0.038400000000000004,0.01587056780626249,243.7206,241.8972,244.832,206.768,-0.9600000000000001,0.501241667755849,0.000025356162593082043,0.10666293011091729,6118.860000000001,5621.78,6120.8,4273.92,(((6)+(8))*((x)*(0))),(((8)*((x)*(5)))-((9)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,89,89,90,90,1
90,x*x*x*x,25,-10,-0.038423904718337475,0.010721030864312793,-0.038400000000000004,0.013054502679388316,241.17410000000004,250.895,244.832,230.89919999999998,-0.9600000000000001,0.36282838844595483,0,0.03984757795971059,6120.8,5926.62,6120.8,5460,(((0)*((x)*(x)))*((5)+(2))),(((2)*((7)*(x)))-((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddRandomSubTreeR|MultXD,AddToLeafR,FellTreeD,90,90,91,91,1
91,x*x*x*x,25,-10,-0.03824355378381911,0.011559109920271862,-0.037772735590118935,0.014064641410086454,268.77139999999997,243.7134,340.816,222.2432,-0.8972735590118938,0.3816494575872435,0.03137594897332604,0.05995222892331234,8517.48,6023.94,15719.2,5298.72,(((x)*((x)*(9)))+((4)*((6)*(5)))),(((9)-((6)*(x)))*((5)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,91,91,92,92,1
92,x*x*x*x,25,-10,-0.038476983400862634,0.010201117500980269,-0.038400000000000004,0.0130854976940456,233.05200000000005,255.3502,244.832,230.6336,-0.9600000000000001,0.31179864443490124,0,0.010091150004397064,6120.8,5997.42,6120.8,5897.28,(((0)*(x))*((3)+(2))),((4)*((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,AddRandomSubTreeR,AddTreeWithMult,92,92,93,93,1
93,x*x*x*x,25,-10,-0.03841099202718599,0.01172498459585115,-0.03840013070186904,0.012976174916444165,243.15,242.292,244.812,231.57039999999998,-0.9600000000000001,0.34400731930466616,0,0.02273984798443691,6120.8,5895.719999999999,6120.8,5621.28,(((x)*((x)*(0)))+((1)+((x)*(0)))),((9)*((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,AddRandomSubTreeR,AddTreeWithMult,93,93,94,94,1
94,x*x*x*x,25,-10,-0.03834170369886289,0.011282885523834423,-0.038164736635733894,0.01212138469294397,253.7525,246.0804,280.832,238.89519999999996,-0.9364736635733891,0.3375655843307132,0.011771203454765563,0.022582359590773548,7018.98,5965.639999999999,9720.8,5676.48,((((x)*(5))+((x)*(x)))*((1)+((0)-(7)))),((8)*((x)*(x))),AddToLeafR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,AddRandomSubTreeR,AddTreeWithMult,94,94,95,95,1
95,x*x*x*x,25,-10,-0.0384228290419553,0.01153469667830536,-0.03822327538883807,0.011741882480348043,241.33870000000002,243.9226,271.87440000000004,242.1472,-0.9594510521500458,0.29195063203689536,0.0002842498826935489,0.002968119391491805,6139.63,6093.639999999999,6204.8,6067.36,(((5)+(9))*((3)-(9))),((6)*((5)*(x))),AddToLeafR|AddTreeWithSub|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,DeleteNonTerminalR,AddTreeWithMult,95,95,96,96,1
96,x*x*x*x,25,-10,-0.03840535158802771,0.011768512986164277,-0.038345492092536924,0.012407901861568052,244.01309999999998,241.91899999999998,253.1728,236.43999999999997,-0.9585748268200235,0.3311238493567601,0.0007125865899882955,0.020381166403260403,6175.32,5991.24,6338.88,5731.68,(((0)+((8)*(x)))*((4)-((6)-(9)))),((x)*((7)*(x))),AddToLeafR|AddTreeWithSub|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,96,96,97,97,1
97,x*x*x*x,25,-10,-0.03816808717814665,0.011731753085497697,-0.03733870082342178,0.012212782642791796,280.31929999999994,242.234,407.23199999999997,238.11199999999997,-0.9215736505032023,0.3375655843307132,0.019224135019919684,0.02398712333432714,7588.29,5982.4,12000.8,5676.48,((((7)+(8))*((x)*(2)))-((9)-((0)*(x)))),((x)*((8)*(x))),ReplaceBranchXR|AddTreeWithSub|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,ReplaceBranchXR,AddTreeWithMult,97,97,98,98,1
98,x*x*x*x,25,-10,-0.03851708665533917,0.01177416117407622,-0.03840050712325187,0.01248277536083052,226.9154,241.87059999999997,244.75440000000003,235.79840000000004,-0.9600000000000001,0.3375655843307132,0,0.023456035168714598,6120.8,5975.379999999999,6120.8,5676.48,(((x)*(4))+((6)*(0))),((8)*((x)*(x))),AddToLeafR|AddTreeWithSub|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,98,98,99,99,1
99,x*x*x*x,25,-10,-0.03842080643053196,0.011785294172563812,-0.038400000000000004,0.012514703960266636,241.6482,241.7752,244.832,235.52480000000003,-0.9600000000000001,0.3375655843307132,0,0.023456035168714598,6120.8,5975.379999999999,6120.8,5676.48,(((x)*(4))+((6)*(0))),((8)*((x)*(x))),AddToLeafR|AddTreeWithSub|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,99,99,99,99,1
