gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.04890462082454208,-0.0004342489857532139,-0.03840012883469948,0.011523610359056708,NaN,NaN,244.8122857142857,244.01760000000002,-0.9599579886849525,0.28757211942416494,0.00004418524763050968,0.0008596450046041308,6120.607142857143,6111.27,6127.228571428573,6104.88,(((4)/(7))-((7)+(0))),((9)+((6)+(7))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,21,21,22,22,1
22,x*x*x*x,25,-10,-0.04360866424090221,0.0026810861594441316,-0.038399808876524076,0.011493679631047297,NaN,NaN,244.86124571428576,244.27408,-0.9600000000000001,0.28918255316765323,0.00014400784514672767,0.002148832513356651,6101.309714285715,6107.299999999999,6120.8,6091.08,((((x)*(x))*((x)*(4)))/((2)*((x)+(0)))),((5)*((3)*(3))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,22,22,23,23,1
23,x*x*x*x,25,-10,-0.04621297718370666,0.011442003379576902,-0.03838413475362698,0.011482766024982731,196.94023134920636,244.7169,247.2597,244.3676,-0.95832701607633,0.28782885523834423,0.0014941798708297896,0.0009810962961216518,6108.090634920634,6109.67,6376.8,6102.68,(((x)*((x)*(3)))/((7)-((5)+(0)))),((7)-((x)*(7))),AddXD|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,23,23,24,24,1
24,x*x*x*x,25,-10,-0.05151263252080338,0.011435818380417127,-0.03840031433799504,0.011536447149765674,151.08697166666667,244.76989999999998,244.7839,243.90760000000003,-0.9599869298130964,0.2945273260264766,0.519997821781525,0.004408956256009373,4590.1,6101.610000000001,6122.8,6045.28,(((4)/(2))-((6)+(x))),((8)+((9)*(8))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,24,24,25,25,1
25,x*x*x*x,25,-10,-0.040024389362942496,0.011438117332935005,-0.03446513909375888,0.011494482513957096,378.8179396825397,244.75019999999998,846.9444158730158,244.2672,-0.5665128741341001,0.2883376589428087,0.614238333560744,0.0009822652922456402,19635.02,6109.110000000001,66332.2,6098.32,((((x)*(x))*((x)*(x)))*((x)+((9)/(5)))),((x)*((4)*(3))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR,ReplaceBranchXR,FellTreeD,25,25,26,26,1
26,x*x*x*x,25,-10,-0.046351742535989685,0.011604167055660326,-0.03840040778983139,0.012445992120544466,175.70635714285717,243.3273,244.7696,236.11360000000002,-0.9599738596261927,0.3311238493567601,0.00313187356403461,0.02088499483536967,5880.4400000000005,5986.950000000001,6124.8,5731.68,((((x)*(7))/((6)*(0)))*((x)+((x)-(6)))),((7)*((x)*(x))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,26,26,27,27,1
27,x*x*x*x,25,-10,-0.04881341534019829,0.01145862118864014,-0.038400650350716686,0.011617809063241035,181.57118464285716,244.5745,244.73248333333333,243.21040000000002,-0.9599616063259705,0.29269749985996235,0.00005123820798169189,0.00361699422683495,6117.9815,6107.09,6126.675,6060.96,((1)/((8)-(6))),((x)+((2)*(x))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddXD|MutateNonTerminalR|ReplaceBranchXR,AddRandomSubTreeR,FellTreeD,27,27,28,28,1
28,x*x*x*x,25,-10,-0.05140060970606601,0.011528675056481884,-0.03839858558794058,0.011702298485725491,168.22870277777776,243.9742,245.04843333333335,242.4864,-0.9600098026401779,0.2987658009223818,0.00009806696905240893,0.005887322976723141,6110.95,6077.620000000001,6119.3,6008.96,(((x)/(4))-((1)+(x))),((x)+((x)*(x))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddXD|MutateNonTerminalR|ReplaceBranchXR,DeleteTerminalR,AddXD,28,28,29,29,1
29,x*x*x*x,25,-10,-0.04573120342838264,0.011491343335138267,-0.03640681682859176,0.011778479003678326,270.6612513888889,244.2941,549.8288888888889,241.83360000000002,-0.7623196967716639,0.3041432492484643,0.09949236377056722,0.013032284182809497,13534.433333333332,6090.97,36369.84,5962.88,((((x)*(x))*((9)*(x)))*((5)/((5)+(7)))),(((x)*(2))*((9)*(6))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchXR,AddTreeWithMult,29,29,30,30,1
30,x*x*x*x,25,-10,-0.04619015928512302,0.011534229885915943,-0.038294564544939666,0.011714014974699856,200.43182619047622,243.9266,260.9657333333333,242.386,-0.9496285452881976,0.3041432492484643,0.005185727355901226,0.008570268438006812,6517.5599999999995,6072.96,7707.84,5962.88,(((x)*((x)*(x)))*((7)/((1)*(3)))),(((9)*(6))*((x)+(x))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteTerminalR,AddTreeWithMult,30,30,31,31,1
