gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
37,x*x*x*x,25,-10,-0.03839208338779245,0.011465564725432718,-0.03836952816625278,0.01151861568048995,246.0434,244.51500000000004,249.4948,244.06040000000002,-0.9570377728401517,0.28995276061019115,0.0014745784864723668,0.001776639776850521,6235.620000000001,6106.85,6574.08,6084.48,(((3)-((x)*(9)))+((0)*((x)-(x)))),((8)*(7)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|DeleteNonTerminalR,AddToLeafR,DeleteNonTerminalR,37,37,38,38,3
38,x*x*x*x,25,-10,-0.03849934518363613,0.01147654601639375,-0.038398954385047715,0.011583359784902068,229.6302,244.42090000000005,244.99200000000002,243.50560000000002,-0.9599607894392891,0.2905129114774913,0.000013070186903663128,0.002358907832706561,6123.8,6104.280000000001,6126.8,6079.68,((2)-((6)-(x))),((8)*(8)),AddToLeafR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,ReplaceBranchXR,38,38,39,39,3
39,x*x*x*x,25,-10,-0.03840303555090838,0.011445305935732026,-0.038399019735982226,0.011475950856097246,244.3675,244.6886,244.982,244.42600000000002,-0.9599607894392891,0.2869746251657114,0.000012370732248063662,0.00035752305305018875,6124.05,6113.2300000000005,6126.8,6110,((2)-((6)-(x))),((6)+(8)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteNonTerminalR,DeleteNonTerminalR,39,39,40,40,3
40,x*x*x*x,25,-10,-0.03839362174879101,0.011443088671882295,-0.03835113841327931,0.01147109621524731,245.808,244.70759999999999,252.30879999999996,244.46759999999998,-0.9572448046007058,0.28771215714099,0.0013547353807955057,0.0007287183387777315,6231.450000000001,6111.93,6542.4,6103.68,(((9)*((x)*(5)))-((x)-(x))),((6)*(4)),AddToLeafR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,40,40,41,41,3
41,x*x*x*x,25,-10,-0.038404865377074895,0.011458306103777287,-0.038377710103254484,0.01152249005732211,244.0875,244.5772,248.2428,244.02720000000002,-0.9578951771010326,0.28883245887559056,0.0010462165850723066,0.001557186458225773,6202.82,6109.35,6442.88,6094.08,(((x)*((x)*(5)))-((6)*((x)-(x)))),((5)*(8)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult,DeleteNonTerminalR|MultXD|AddTreeWithDiv|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,41,41,42,42,3
42,x*x*x*x,25,-10,-0.038399402692458506,0.011446041133745359,-0.03839901973598223,0.011475997535336187,244.92340000000004,244.68230000000003,244.982,244.4256,-0.9599477192523854,0.2882723080082903,0.000019605280355494692,0.000941983302253627,6124.3,6110.97,6128.8,6098.88,((0)-((6)-(x))),((4)*(8)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MultXD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchXR,42,42,43,43,3
43,x*x*x*x,25,-10,-0.03839944974513136,0.011486243628283887,-0.038399004051757946,0.011599230726142244,244.9162,244.33780000000002,244.9844,243.3696,-0.9599477192523854,0.29224937916612215,0.000019605280355494692,0.002717403673342271,6124.3,6099.65,6128.8,6064.8,((x)-((8)-(x))),((x)*(x)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,43,43,44,44,3
44,x*x*x*x,25,-10,-0.03839871716115541,0.011450253935059844,-0.03839626192654556,0.011487760703549493,245.02829999999997,244.64620000000002,245.40399999999997,244.32480000000004,-0.9597307541497844,0.28772149298877836,0.00013002070575293228,0.0005360936668653598,6132.18,6114.1,6162,6103.6,(((5)-((8)*(6)))+((0)*((x)-(x)))),((x)*(9)),SubXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MultXD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,DeleteNonTerminalR,44,44,45,45,3
45,x*x*x*x,25,-10,-0.038434107306234484,0.011452331161192748,-0.03839875833224416,0.011542655488544917,239.6129,244.6284,245.02200000000002,243.85440000000003,-0.9599673245327409,0.2905129114774913,0.000018656976478924387,0.0023760955359704385,6122.5599999999995,6110.1,6125.8,6079.68,((5)-((8)-(x))),((8)*(8)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteMaliciousR|MultXD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteMaliciousR,DeleteMaliciousR,45,45,46,46,3
46,x*x*x*x,25,-10,-0.03838982224545811,0.011469964243702972,-0.03836083910599922,0.01153579364042049,246.3894,244.47729999999996,250.8244,243.9132,-0.9578951771010326,0.28918255316765323,0.0010519805445113283,0.0016203949992449492,6201.450000000001,6103.84,6442.88,6091.08,(((0)-((x)*(x)))*((x)-(x))),((5)*(9)),AddToLeafR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithSub|SubXD,AddTreeWithSub|MultXD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,FellTreeD,46,46,47,47,3
