gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
105,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((x)*(x)),(((x)*(x))*((x)+(x))),0.10280814318869962,0.0000029820242847080793,-0.9517593272019591,0.024147758963769462,0.019480621444453266,0.10543658701426556,0.000007984213498439336,0.00010537441567513126,-0.1439179557075281,0.3831269838335223,-0.3492406803871728,1.2393461512107078,-0.944973556730744,0.05445309817103139,-0.9361150957943566,0.6087934318916176,563.6493956436225,605.4181969579137,654.3887903142052,250.45156994694383,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,ReplaceBranchR,0,0,5,4,2
106,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((0)+((5)-(9)))*((x)*((9)*(x)))),(((x)*(x))*((9)/(x))),0.1401968956838963,0.000002703296978046183,-0.9377260871123743,-0.041620190854980386,0.014506019061722825,0.005752486403217305,0.0000005530983631855187,0.000672215233236721,2.2514982522745806,-0.6210255802762864,7.157108800218742,0.49694217668820917,-0.9345296046027485,0.001572835088559435,-0.8469717056125875,0.0663947881260173,670.6293666417595,639.0743813829177,1567.5064664052338,592.9738377215492,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddTreeWithMult,0,0,2,5,2
107,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((4)*((x)*(9)))-((x)*(x))),((((0)+(9))*((7)-((2)*(x))))/((7)/((8)-((x)+(x))))),0.10682438180137448,0.000008810697045838645,-0.9370024627096354,-0.17037900152285496,0.034631339528250676,0.24376724234223884,0.0000022078454365567026,0.0030811375983982115,1.517405803470266,-0.38756386385478436,3.65617706329857,-0.7047166611681521,-0.9308255551891721,-0.06378817733805316,-0.7005653348306534,0.3947251697416962,708.5708560304245,2648.965687860832,3067.182940238305,387.4986869994578,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,DeleteTerminalR,0,0,4,1,2
108,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((4)*((x)/(1)))+((2)/((9)*(x)))),((((7)*(9))*((7)/(8)))/((x)+((x)+(x)))),0.004591906892921544,0.0000006192795868626425,-0.9486986275700862,-0.1632757105382266,0.016950337238856177,0.29548462878524956,0.000009332311594871216,0.0019489385738240008,0.023963384077398613,-1.082342638114976,-0.7322513534810482,2.2030151570845677,-0.9424525478270787,-0.08871049628155081,-0.9305468233760732,0.4318739310376619,589.4727100455741,NaN,711.4259745637282,363.71594318422297,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,ReplaceBranchXR,0,0,4,6,2
109,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((8)*((9)*(5)))-((9)*(9))),((((8)*((7)-(5)))*(((5)/(2))+((0)+(4))))*(((x)+(x))+((x)*((7)-((x)*(9)))))),-0.0811128127593416,-0.000004140393014063772,-0.9368685578423468,-0.18420482760840023,0.058495422614388955,0.38108211975451073,0.0000016915971954052264,0.001540306876809116,2.9814124211830775,-0.048457936448632465,11.800360032403221,-0.8007307582326422,-0.93022164283863,-0.1107113175413312,-0.46980054781307135,0.5936488410386419,714.7568788074956,4660.1111034515725,5430.963424865078,260.147180564302,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,DeleteTerminalR,0,0,1,1,2
110,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)/((2)-(8)))*((x)-((x)-(x)))),((((5)*(x))+((7)/(x)))*((8)-((0)-(x)))),-0.13895860717033326,-0.000010179244588874125,-0.9402695161103461,-0.09328240469771759,0.0012829522921714589,0.1305200767304176,0.000003263142083857592,0.001644463394435474,-0.660570674643254,-0.23081092588959962,1.2133768177164934,-0.14278285541134617,-0.9365170437871492,-0.011245048262328272,-0.9316545793257511,0.2740076353355152,650.2715381394805,1139.1193547401717,700.078957848486,445.29123567380174,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchR,0,0,1,6,2
111,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((4)*((3)*(4))))*(((x)+((2)*(x)))*((x)/((3)*(x)))))*((((x)+(1))/((2)*((9)/(x))))-(((x)-(x))-((x)/((x)-((x)+(x))))))),(((8)*(x))-((4)/(8))),-0.061554677969281,-0.00001326984822759883,-0.9626598756538067,-0.09234363796497028,0.20723314091106143,0.17536821267657032,0.000057515324688897466,0.0008080276242778651,2.2064326970455217,-0.25271383777604184,6.180456882421783,-0.32045250644055345,-0.9317401054148807,-0.03153056369004442,0.48334172269232806,0.06639174696951439,NaN,NaN,22125.856880933177,597.6986884896286,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchXR,0,0,2,1,2
112,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((7)+((x)+(9))))+(((4)+(9))*((x)*((8)*(8)))))*((((x)*(0))+((5)+(x)))-(((x)-(0))*((x)*((5)-(0)))))),((x)*(9)),0.2290778149946269,0.000031570507442736354,-0.7252441884035209,0.002100827831786537,0.7579648444930096,0.02201237746428556,0.004894512901151067,0.00000388049906685316,0.60240549665301,0.18622825772182308,0.7864888521069666,-0.39784363182078364,-0.5050114504457991,0.007142839116955539,0.9999910260801121,0.07377034044034662,35962454.68254262,635.6493738445072,1141446117.344433,592.9748917300143,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,AddXD,0,0,1,2,2
113,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((7)+(8))*((4)*(x)))*(((x)+(2))/((1)/(5))))+(((x)-((x)*(6)))*(((8)-(0))*((x)+((4)+(x)))))),(((x)*((x)+(x)))+((1)*(x))),-0.10455987646215238,-0.0001337538746560184,-0.9047526498358383,-0.05104282526790385,0.43234181940800037,0.2968840783338536,0.0011539615058423528,0.001418049198908324,0.473705532180213,0.5129556937470834,-0.6787070663084478,-0.23760504844553898,-0.82140092978207,0.03957661239591265,0.9676728392052916,0.8088004252403622,10234.736951676372,706.8725310455563,316861.9130626519,122.40651761877533,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,AddXD,0,0,1,1,2
114,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*((x)*(6)))*((x)-((7)*(3))))*(((x)*(7))-((5)-((6)-(0))))),((((0)+(x))*((x)/(1)))+((8)*((3)+((x)*(x))))),-0.04491645058808321,-0.000014364217998694544,-0.9443435169843692,0.02547210580146355,0.29956619842656085,0.21588246843330183,0.00008561234520311083,0.0011945840764739982,2.97026969925218,-0.2807309444649884,11.828491019830137,0.5304009366090829,-0.8959269347366183,0.12232788718971194,0.9443672690024552,0.7495237559661405,3732.175498586608,1053.752488288127,184122.65279134508,160.35561175781228,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,DeleteTerminalR,0,0,5,2,2
115,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((9)*((x)*(x))),(((2)*(x))*((x)*(x))),0.10544647370318641,0.0000018065030849540009,-0.9413260205888736,-0.010376822094448351,0.008071494953933715,0.17455109760100948,0.00000097834216710964,0.0003000008748370734,0.015789455592443446,0.10220563909321002,-0.26706643832144605,-0.07816064315512827,-0.9391320592087646,0.039780378406201994,-0.9170735237990815,0.7986383143367062,623.485291847313,627.423969867888,849.4362967416818,128.91233024380907,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,AddXD,0,0,1,2,2
116,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((x)*((5)*(9)))*(((x)+(6))-((9)*(1))))-(((4)-(x))*((x)+((5)-((x)/(x)))))),((((7)+((8)-(0)))-(((4)*(7))+((x)*(x))))*(((x)+((x)*(x)))-((1)/((3)*((x)+(x)))))),0.08577094195738709,0.00008603293626694428,-0.9202538371418613,-0.0993026825885257,0.3660943987967834,0.18904946263277203,0.0005981231221128538,0.0016821260635711442,1.2504893390251315,-0.9391366834803779,1.8851938198666844,2.8980104668591076,-0.841472541091546,-0.010572772365443815,0.9119869832150115,0.7983459889368587,3532.7450550652775,NaN,116383.30769094055,72.31021135819384,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchR,0,0,5,2,2
117,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),(((7)-((3)-(x)))*((x)*(x))),NaN,0,-0.9374999999999999,-0.08103127060792392,0,0.25826764671574914,0,0.0014679290224505815,NaN,0.17861019579406961,NaN,0.024526153995612532,-0.9374999999999999,0.014029238175168272,-0.9374999999999999,0.8199964946191888,640.2028758309526,690.8968148450665,640.2028758309526,115.23876180444766,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,ReplaceBranchXR,0,0,3,2,2
118,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),(((x)*(x))*((x)+(1))),NaN,0,-0.9374999999999999,0.004104233216404917,0,0.12653614812416897,0,0.00013022680336107493,NaN,-0.3887848493830788,NaN,0.795777882990047,-0.9374999999999999,0.0311660129871543,-0.9374999999999999,0.6003702166322727,640.2028758309526,621.1633519047527,640.2028758309526,255.84413657971962,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchR,0,0,2,2,2
119,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((5)+(4))*((x)+(2)))*(((x)+(x))*((7)*((7)*(9)))))*(((x)+((0)*(x)))-(((x)-(x))/((x)+((x)+(x)))))),((((x)*(1))-((7)+(0)))/((4)*((5)*((x)*(x))))),-0.14666335163960095,-0.0002317963792257798,-0.9186185921747174,-0.5208021120787126,0.39397262375941344,0.49647791097214505,0.0008468516907853984,0.0029495972897698192,0.8142298622225633,-0.2500888841182627,0.08265369222452179,-0.5701504983790815,-0.8407218283342722,-0.42058071412918496,0.8351465494505462,0.6065993743431447,NaN,NaN,142150.05267816666,251.85621189921486,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddXD,0,0,8,9,2
120,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((4)*(8))*((5)+((7)*(6))))*((4)*((8)*((x)+(x))))),((((1)+((9)/(4)))/((2)+((x)-(4))))/(((2)*(x))*((x)*((x)+((x)/(x)))))),0.005960344783914708,0.000011130599207519444,-0.8730472795398395,-0.3136299465754958,0.44964745034191544,0.412324698849359,0.0009895421120565766,0.0035241959106714735,0.5270055893302782,0.1551141801686392,-0.39607474113000984,-0.4969341309030706,-0.795241242219517,-0.16224251840263362,0.963151376192084,0.5380578551862707,7917.483555710665,5758.150190874195,277981.77936552285,257.462668882414,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,DeleteTerminalR,0,0,11,2,2
121,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((4)*(6))+((0)*(x)))+(((x)-(2))+((4)+((x)*(7)))))+(((9)*((x)*(x)))*(((7)*(x))*((7)+((3)*(8)))))),(((8)*((9)*(x)))-((4)*((5)/(1)))),-0.05904094864255692,-0.00014714305261706413,-0.8732228353560374,-0.29310103337803395,0.5726290549237194,0.3751360949509494,0.002029617168452192,0.003060262929824245,0.5504223218240338,-0.12473284753672541,0.24092561180289396,-0.3883981502876206,-0.7266000302152317,-0.1830250475595118,0.9996106169931415,0.5195764928621895,NaN,NaN,26306350.90097162,307.56851088641844,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddXD,0,0,1,1,2
122,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((x)*(x)),((((5)+(x))*((x)/((1)/(5))))*((3)-((x)*((x)-(x))))),-0.04508094810604945,-0.00000025258429491421353,-0.9375393249684951,-0.1923016123840366,0.0003856813545344499,0.2971841520942458,0.000000010871578628931942,0.002887579790919458,-0.46951809831055763,0.1388736424374716,-0.22307189466641963,0.0730375250530444,-0.9373275750821843,-0.06636825460270662,-0.9361150957943566,0.9125049518681843,641.969066682961,3144.596963567183,654.3887903142052,56.01458143495605,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,AddTreeWithMult,AddXD,0,0,4,1,2
123,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)*(x)))+(((0)*(x))*((3)*((0)-(x)))))*(((1)-((8)*(x)))-(((7)+(5))-((x)-((x)+(x)))))),(((x)*(9))/((1)/(9))),-0.06897706517236539,-0.00003815132971609642,-0.9469957295905302,-0.1055814436585359,0.3163365896001939,0.12564197137671165,0.00018474777574080346,0.00165588707394614,1.9110604110788225,-0.22286628619124307,3.5717293621346413,0.1506015729115875,-0.8929253626930057,-0.015001031204916016,0.9985341581474134,0.555261194414619,NaN,1141.8321272133755,6987961.21506565,284.7230623293839,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,AddXD,0,0,1,2,2
124,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)+((9)*(8))),((((2)*(8))+((8)+((1)+(x))))*((x)+((x)*((x)+(x))))),-0.09437382148576576,-0.0000003923420167943305,-0.9375391394472679,-0.09819639281686263,0.00033367501342864596,0.19669756161014956,0.000000009461816617869255,0.0018266360778778582,-0.21272701546548184,-0.7942991515277132,-0.3453447728643675,1.2212535962846203,-0.937340144635352,-0.01337975796526587,-0.9362570518205551,0.6069560333060395,641.8403136575866,1632.7989832382323,652.934699814784,251.62787780547865,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchXR,0,0,4,5,2
125,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((4)*(2))-((7)*(x))),((x)*(9)),-0.09909860125957524,-0.000000029703380329530125,-0.9374936600590288,0.016454080263888088,0.0018593692033505613,0.02407409714316949,0.000000011756176210406451,0.000007642063040759423,0.21581036354145333,0.6050527329389254,1.7224394746145433,0.18509724404729422,-0.9371422403818384,0.023244445254733792,-0.9270279064013073,0.07377034044034662,643.8674956134051,625.3265201921607,747.4711068366158,592.9748917300143,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,ReplaceBranchXR,ReplaceBranchR,0,0,1,6,2
126,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((x)*(x))*((x)+(5)))-(((0)+(x))*((7)-((2)*(x)))))/(((3)-((5)-(0)))*(((x)*(3))+((x)*((x)/(x)))))),(0),NaN,0,-0.9448485954032687,0,0.16521287131204346,0,0.00005449345049030401,0,1.8178512166047718,NaN,3.5643370725018406,NaN,-0.9186443011676503,0,0.10201089866884931,0,837.4795960662161,640.2028758309526,11552.690878343257,640.2028758309526,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,AddXD,0,0,2,7,2
127,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((6)+(2))*((x)*((x)*(x))))*((x)*((6)+((x)-(x))))),(((x)*(x))+((x)*(x))),-0.07927736017820065,-0.000010493482725936897,-0.935142095109123,0.0911090490987227,0.2344614014756605,0.18876484582587633,0.00003520880601066316,0.0004976106257651952,3.0918266125070875,0.3913114157211472,9.787199965390146,0.04810500747899882,-0.9084365177749705,0.15125195024270421,0.9378966011318756,0.5757682168867164,3204.910739538069,544.5323075796493,164938.57341120124,271.5944075680171,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult|AddXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchR,AddXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DivXD|ReplaceBranchR|AddTreeWithSub|AddToLeafX|ReplaceBranchXR|SubXD|SkipD|ReplaceBranchR|AddXD|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR,FellTreeD,ReplaceBranchXR,0,0,1,17,2
