gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
28,(x),20,-10,0.017341379596755864,0,0.01999999998111028,0,63548603.00494,0.1,5293884609.1,0.1,1,1,0.278140867043384,0,4938493165999426000,0,493849239288983800000,0,(((((((x)-(0))*((x)-((3)+(0))))+(((x)*(3))*((5)*((6)*(2)))))*((((1)*(9))*((8)*((2)*(2))))*(((6)+((8)+(8)))+((7)+((x)+(5))))))+(((((4)+(3))+((8)*((2)+(6))))*(((4)*((x)+(7)))*((7)*((2)-(1)))))*((((5)*(6))+((2)*((5)-(7))))-(((3)+((3)-(3)))+((8)-((7)+(1)))))))*((((((6)+(x))*((1)-((1)*(9))))-(((0)*(2))+((4)*((3)+(x)))))*((((4)*(9))+((5)*((x)-(6))))*(((1)+(3))*((x)*((3)+(9))))))+(((((2)*(9))*((5)*((7)*(1))))-(((3)-(5))-((6)-((9)-(9)))))-((((0)-(6))-((9)*((5)*(9))))*(((7)+((9)*(5)))-((2)-((7)-((2)-(4))))))))),((0)+(x)),AddTreeWithSub|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd,FellTreeD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|SubXD|SubXD|MultXD|SkipD|FellTreeD|DivXD|FellTreeD|FellTreeD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,26,27,29,29,7
29,(x),20,-10,0.017763632153311,0.009383000801124959,0.019999999478920033,0.02,5083923.74798,0.05802887459905467,191909124.276,0,1,1,0.39531466351329075,0,1361071230777013000000,0,136107008361051600000000,0,(((((((5)-(x))-((7)-((1)-(2))))+(((2)+((8)-(7)))-((8)+((6)*(6)))))*((((2)-((9)-(7)))*((7)+((7)*(9))))*(((4)*((6)+(9)))+((1)*((5)-(x))))))-(((((5)*((5)*(1)))+((5)*((2)-(3))))*(((2)*((3)*(9)))*((3)*((7)*(0)))))+((((5)*((1)*(8)))*((8)+((0)+(8))))-(((1)*((1)*(1)))+((x)*((5)-(x)))))))-((((((3)+(1))*((0)+((7)-(6))))-(((7)*((5)*(x)))+((4)+((4)+(0)))))-((((6)*((4)*(3)))*((8)*((2)*(2))))*(((8)*((4)-(8)))+((1)-((5)*(8))))))*(((((1)-(7))*((6)-((4)*(x))))+(((9)-((0)*(3)))-((6)*((x)*(1)))))*((((1)*((6)*(3)))*((8)*((8)+(3))))+(((3)-((9)-(7)))*((7)-((8)+((9)-(1))))))))),((0)+(x)),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithMult,DivXD|FellTreeD|FellTreeD|DivXD|SkipD|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|DivXD|DivXD|AddTreeWithDiv|FellTreeD|AddXD,AddRandomSubTreeR,DivXD,24,28,30,30,7
30,(x),20,-10,0.018927617836381586,0.017300764473151334,0.019999999982954545,0.02,110962794.43261997,0.026873702272492833,5866666113.516999,0,1,1,0.3345735664057932,0,4004736872174083600000,0,400473684109546100000000,0,(((((((5)-((1)-(9)))-((6)-((7)-(7))))-(((9)+((2)+(0)))+((1)*((3)*(5)))))*((((3)*((6)*(4)))*((8)*((5)*(6))))-(((x)+((8)+(0)))*(((x)-(2))+((2)*(4))))))*(((((1)*((7)-(4)))+((3)-((5)+(6))))-(((x)*((7)*(7)))*((1)*((9)+(9)))))*((((8)*((7)*(7)))*((8)*((4)*(7))))*(((9)-((8)*(9)))+(((2)*(9))*((x)*(7)))))))+((((((8)*((1)*(0)))*((1)-((3)-(1))))*(((2)*((6)+(6)))*((x)*((9)*(5)))))+((((1)-((9)*(7)))-((8)*((3)*(4))))*(((x)*((0)-(9)))-((7)*((7)-(1))))))+(((((2)*((8)-(2)))*((x)*((6)*(9))))-(((6)*((9)*(1)))+((7)*((x)+(1)))))+((((7)+((3)-(2)))+((1)+((8)-(0))))+(((6)+((7)*(3)))+((x)*((7)+((1)-(6))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,FellTreeD|FellTreeD|MultXD|SubXD|MultXD|SubXD|AddTreeWithDiv|SkipD|FellTreeD|MultXD|FellTreeD|FellTreeD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,30,29,31,31,7
31,(x),20,-10,0.017238089126177084,0,0.019999999946828592,0.02,21305283.58535,0.1,1880709992.84,0,1,1,0.3382577292978884,0,1035613574597930500000,0,103561163716760750000000,0,(((((((x)-(4))-((4)+((3)*(8))))+(((8)-((1)+(x)))+((8)-((0)*(8)))))-((((5)-(4))+((3)*((0)*(8))))+(((x)-((4)-(3)))-((7)-((5)+(x))))))-(((((6)+(x))*((3)*((3)+(8))))*(((9)*((9)+(6)))*((4)+((1)*(0)))))-((((4)*(6))-((2)*((0)-(2))))-(((x)*((0)-(5)))+((8)*((7)+(8)))))))*((((((3)+(2))*((1)+((7)-(9))))-(((9)*(1))*((4)+((6)*(1)))))*((((2)*(3))*((7)*((6)*(6))))*(((9)*((6)*(8)))*((2)-((0)*(1))))))*(((((6)+(3))*((2)*((2)-(3))))-(((6)*((2)-(9)))+((8)*((9)-(7)))))*((((2)*(3))*((7)*((3)*(3))))*(((2)*((7)*(7)))+((8)-((8)*((4)-(4))))))))),((0)+(x)),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,DivXD|FellTreeD|FellTreeD|AddXD|MultXD|SubXD|DivXD|SkipD|FellTreeD|SkipD|DivXD|SubXD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,29,26,32,32,7
32,(x),20,-10,0.01706909834801857,0.02,0.019999999859548964,0.02,10605021.978840003,0,711991903.462,0,1,1,0.3093617403969184,0,367105131248265400000,0,36710080949715443000000,0,(((((((2)*(6))*((5)*((8)*(8))))*(((2)*((4)*(4)))+((x)+((x)*(0)))))*((((5)+(9))+((9)*((5)-(5))))-(((5)*((1)*(1)))*((x)*((x)*(5))))))*(((((x)*(x))*((x)*((x)*(9))))*(((7)-((5)-(8)))-((7)*((3)-(5)))))+((((4)*((9)+(9)))*((6)+((5)-(7))))*(((4)-((x)-(9)))+((x)+((3)+(7)))))))*((((((9)+(5))*((2)-((5)+(0))))+(((9)-((4)-(6)))*((8)+((7)+(6)))))+((((x)+(x))+((x)-((6)+(0))))-(((8)*((7)*(1)))*((7)*((6)+(5))))))-(((((4)-(8))-((3)-((2)-(8))))+(((9)*((6)*(9)))-((2)-((6)-(1)))))-((((7)-(7))-((7)*((1)*(8))))+(((x)+((x)*(9)))-((3)*((8)-((0)-(2))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|DeleteNonTerminalR|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,DivXD|FellTreeD|FellTreeD|DivXD|SkipD|DivXD|MultXD|SkipD|DivXD|SkipD|DivXD|DivXD|AddTreeWithDiv|FellTreeD|FellTreeD,AddToLeafR,DivXD,28,30,33,33,7
33,(x),20,-10,0.018180827661759543,0.02,0.019999999894011865,0.02,16729217.615220001,0,943501830.886,0,1,1,0.26318757188267433,0,1085650803013803000000,0,108565071388817610000000,0,(((((((9)-(8))-((9)-((4)*(7))))*(((0)+(4))+((x)+((x)*(8)))))+((((5)*(5))-((2)*((5)*(4))))*(((x)*(3))*((4)*((9)*(7))))))*(((((1)*(9))-((4)-((2)+(3))))*(((3)-(4))+((x)-((5)*(6)))))*((((1)*(5))-((4)*((x)+(6))))+(((1)*(1))*((1)-((9)*(5)))))))*((((((7)*(0))-((x)*(7)))+(((7)*(x))+((8)*((6)*(9)))))*((((8)*(8))*((6)*((1)*(3))))+(((2)-(1))-((8)-((1)*(0))))))-(((((9)-(3))-((5)-((7)+(8))))-(((8)-(5))*((1)-((5)+(2)))))-((((5)*(x))+((6)-((7)*(3))))*(((7)*(8))*((8)*((9)*((3)*(5))))))))),((0)+(x)),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,DivXD|FellTreeD|FellTreeD|AddXD|MultXD|SubXD|DivXD|SkipD|FellTreeD|SkipD|DivXD|SubXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,33,26,34,34,7
34,(x),20,-10,0.018478385423984733,0.02,0.019999999941454644,0.02,41710473.76489,0,1708077427.228,0,1,1,0.4039493114522001,0,327228164730579800000000,0,32722816421719280000000000,0,(((((((3)-(5))-((5)-((5)-(x))))-(((x)-(1))+((5)*((2)*(2)))))*((((1)-(8))-((1)+((3)-(4))))-(((0)-((x)+(4)))*((x)*((9)-(5))))))*(((((x)+(8))+((8)*((0)-(2))))+(((3)*((4)+(9)))*((3)*((8)+(8)))))*((((5)*(x))+((3)+((x)-(2))))-(((4)+((4)-(9)))*((6)+((5)+(2)))))))+((((((8)+(8))*((4)-((x)*(9))))*(((3)+(9))+((7)-((5)+(2)))))+((((9)-(5))*((7)*((0)+(4))))+(((7)+((5)-(7)))*((9)*((9)*(4))))))+(((((9)*(3))-((9)*((4)*(3))))*(((7)*(6))*((x)*((7)*(7)))))*((((8)*(4))*((8)*((x)*(2))))*(((6)*((2)+(3)))+((2)-((9)-((2)-(7))))))))),((0)/((x)+(x))),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|DeleteNonTerminalR|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,FellTreeD|SubXD|FellTreeD|DivXD|SkipD|SubXD|MultXD|SkipD|FellTreeD|DivXD|MultXD|FellTreeD|DivXD|SkipD|FellTreeD,AddToLeafR,FellTreeD,28,29,35,35,7
35,(x),20,-10,0.018451196511790807,0,0.019999999818452838,0.02,10773563.70111,0.1,550821061.32,0,1,1,0.22293372517695811,0,198051264292605820000,0,19805119022533000000000,0,(((((((2)+(1))*((2)-((7)*(3))))-(((7)+((x)-(7)))+((x)*((5)+(1)))))-((((8)-((3)-(0)))*((2)*((4)*(2))))*(((8)*((5)*(x)))*((9)*((4)*(8))))))*(((((6)*(4))-((1)*((4)*(5))))*(((x)*((6)*(6)))*((x)*((6)-(6)))))-((((4)-((8)*(x)))*((5)*((3)*(7))))*(((9)*((8)+(5)))*((x)+((7)-(6)))))))+((((((3)+(8))+((0)+((1)+(7))))+(((3)+((3)*(6)))+((2)-((3)+(6)))))*((((x)+(8))*((9)-((8)+(0))))+(((5)+((6)*(1)))+((2)-((6)*(8))))))+(((((5)*(x))-((3)*((0)*(3))))+(((0)-((7)*(4)))*((7)*((5)-(x)))))+((((2)-(0))-((5)-((x)-(x))))*(((2)*((7)-(7)))+((8)*((x)-((8)-(0))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult,SubXD|AddXD|FellTreeD|SubXD|MultXD|DivXD|MultXD|MultXD|AddTreeWithDiv|SkipD|DivXD|DivXD|MultXD|FellTreeD|AddXD,AddToLeafR,MultXD,33,34,36,36,7
36,(x),20,-10,0.016851069053205697,-0.019603960396039607,0.019999999798906817,-0.019603960396039604,22080101.8209,5.05,497281897.438,5.05,1,1,0.33401573457121325,0,1117733730937225300000,0,111773025074844000000000,0,(((((((x)-((9)+(0)))-((4)+((x)*(7))))-(((4)*((0)+(0)))-((3)-((3)*(0)))))*((((0)+((3)+(6)))-((2)-((4)+(1))))-(((3)-((9)*(1)))-((6)*((6)*(x))))))*(((((5)-((9)+(1)))*((3)*((0)+(6))))+(((x)+((6)+(3)))*((6)+((1)*(1)))))-((((9)+((9)*(7)))*((8)*((1)+(0))))+(((x)*((4)+(1)))*((3)*((5)*(0)))))))+((((((2)*(1))-((2)-((8)*(7))))+(((2)+((2)+(2)))-((0)*((7)+(4)))))*((((0)-((2)-(9)))*((9)*((8)+(9))))-(((8)*((4)+(7)))+((x)-((x)-(4))))))*(((((3)-((6)+(9)))-((9)+((2)*(2))))*(((4)*((2)*(x)))*((4)*((2)*(1)))))*((((1)*((6)-(3)))*((9)*((5)*(x))))*(((7)*((3)*(5)))*((7)*((8)*((3)*(6))))))))),((0)+(x)),AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,FellTreeD|FellTreeD|FellTreeD|AddTreeWithDiv|FellTreeD|SubXD|AddTreeWithDiv|MultXD|FellTreeD|DivXD|FellTreeD|FellTreeD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,36,35,37,37,7
37,(x),20,-10,0.01761772907223994,0,0.019999999946977685,0,62038070.31115,0.1,1885998353.625,0.1,1,1,0.27347145848857657,0,16612154467869010000,0,1659630812201812000000,0,(((((((4)+(5))+((2)+((3)*(8))))+(((6)*((2)-(0)))*((2)*((8)+(9)))))-((((4)+((6)-(5)))+((8)*((x)-(2))))-(((1)-((5)*(6)))*((5)*((4)*(7))))))*(((((6)*(7))*((9)+((9)+(0))))-(((2)+((3)+(x)))-((0)*((2)*(1)))))*((((4)*((x)*(2)))*((8)*((6)*(3))))+(((2)-((0)-(4)))-((7)*((3)*(0)))))))-((((((2)-(x))-((x)-((6)*(x))))*(((0)+((8)+(6)))*((1)*((5)+(5)))))+((((5)+(9))*((5)-((7)*(x))))*(((8)*((4)-(1)))-((1)*((9)-(x))))))*(((((9)*(5))-((4)-((7)*(5))))*(((2)*((9)-(7)))*((0)-((7)-(3)))))-((((8)-(9))-((0)-((6)-(7))))*(((1)*((3)+(4)))*((0)*((7)+((6)-(3))))))))),(((0)*(x))/((x)+(x))),AddTreeWithSub|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,FellTreeD|AddXD|FellTreeD|DivXD|SkipD|MultXD|AddXD|MultXD|FellTreeD|DivXD|FellTreeD|FellTreeD|MultXD|DivXD|AddXD,AddToLeafR,FellTreeD,37,35,38,38,7
38,(x),20,-10,0.018941416105692457,-0.01,0.01999999998502121,-0.01,76222660.04577,0.2,6676107583.178,0.2,1,1,0.3394715352328074,0,2162637445596688700000000,0,216263742533273830000000000,0,(((((((8)-((2)-(9)))-((x)-((4)-(0))))+(((0)+((0)+(x)))-((9)-((1)-(7)))))-((((4)-((7)+(2)))+((6)*((1)+(x))))+(((6)*((5)*(2)))*(((4)+(6))+((0)*(3))))))-(((((8)+((2)-(4)))*((7)*((8)*(2))))*(((1)*((7)*(5)))*((9)+((1)-(5)))))*((((5)-((x)-(x)))*((3)-((4)*(7))))-(((2)+((5)*(1)))-(((9)+(8))*((4)*(9)))))))*((((((2)*((6)*(5)))*((7)*((x)*(9))))*(((1)+((9)*(2)))*((0)-((2)-(7)))))-((((3)+((2)+(4)))+((9)+((3)+(5))))+(((4)+((6)*(8)))*((x)*((7)*(x))))))*(((((2)-((7)-(9)))-((2)+((1)+(9))))+(((3)-((1)*(7)))*((4)+((0)*(3)))))*((((3)-((3)+(4)))-((6)+((x)-(9))))*(((1)*((x)*(2)))*(((x)*(6))*((9)*((9)-(3))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddTreeWithAdd,DivXD|SubXD|FellTreeD|AddTreeWithDiv|MultXD|DivXD|MultXD|DivXD|AddTreeWithDiv|DivXD|MultXD|SkipD|SkipD|FellTreeD|AddXD,AddToLeafR,DivXD,37,35,39,39,7
39,(x),20,-10,0.01777813776631918,0.017912937556273545,0.019999999758319113,0.02,10987589.494760001,0.017136675548213368,413768757.17,0,1,1,0.4132855864459733,0,3716407304736234500000,0,4139532929596263000,0,(((((((3)*(1))+((1)*((3)*(4))))+(((0)+((8)+(0)))-((3)+((7)-(1)))))-((((4)+((2)-(x)))-((5)+((3)-(1))))-(((x)-((2)*(6)))-((9)-((1)+(1))))))*(((((5)+((9)-(6)))+((5)-((2)-(9))))*(((1)+((1)+(6)))-((7)+((0)*(9)))))*((((x)+((8)-(1)))*((2)-((4)*(2))))*(((1)+((5)+(3)))+((3)-((7)*(3)))))))+((((((2)*(3))-((1)+((1)*(7))))*(((4)*((6)*(2)))*((2)*((9)*(2)))))*((((3)*(5))*((9)*((7)*(3))))*(((8)*((3)-(7)))*((6)*((x)*(8))))))+(((((6)*(6))+((7)*((2)*(1))))*(((0)+((1)+(2)))*((3)*((x)-(7)))))-((((0)-((8)*(8)))-((x)+((x)*(2))))-(((2)+((7)*(9)))-((7)+((4)*((8)-(0))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult,DivXD|SubXD|FellTreeD|AddTreeWithDiv|MultXD|DivXD|MultXD|DivXD|AddTreeWithDiv|DivXD|MultXD|SkipD|SkipD|FellTreeD|AddXD,AddToLeafR,DivXD,37,35,40,40,7
40,(x),20,-10,0.017559769193468504,-0.01,0.01999999995052881,0.02,61828259.949760005,0.2,2021378546.51,0,1,1,0.1959148806053125,0,474658833510495750000,0,47465431362148600000000,0,(((((((7)-(1))-((6)-(0)))-(((2)-(6))+((9)*((1)*(2)))))+((((9)-(2))+((6)*((6)+(1))))+(((8)+(3))*((7)-((4)*(4))))))-(((((7)*(x))*((x)+(8)))-(((x)*(8))*((4)*((0)+(7)))))*((((8)*(4))*((3)*((5)*(2))))*(((9)*(5))*((1)*((3)*(9)))))))*((((((x)*(2))*((3)*(9)))*(((8)-(6))*((1)*((6)-(3)))))+((((x)+(1))+((0)-(x)))+(((1)+(4))*((2)+((5)*(9))))))+(((((6)*(7))*((x)*(9)))*(((7)-(9))-((7)-((4)*(8)))))*((((4)+(7))+((6)*(4)))*(((6)+(5))+((9)-((1)*((0)*(1))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,AddTreeWithDiv|SubXD|MultXD|AddTreeWithDiv|SkipD|DivXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|SkipD|FellTreeD|DivXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,38,34,41,41,7
41,(x),20,-10,0.017955788881157116,0,0.019999999994034727,0.02,255513155.95535997,0.1,16763690577.542,0,1,1,0.44369164166699515,0,17372414591526294000,0,820309555015752900000,0,(((((((4)-((5)-(9)))-((3)+((3)+(7))))*(((x)+((4)+(7)))+((7)-((8)-(7)))))+((((9)*((0)-(9)))*((x)*((7)*(4))))*(((x)*((2)*(3)))*((7)+((9)+(x))))))+(((((4)+((7)+(5)))+((x)+((6)+(6))))*(((6)*((7)*(5)))*((6)+((5)*(1)))))*((((6)*((8)-(5)))-((2)*((1)*(3))))-(((4)+((0)+(3)))-(((6)-(1))+((3)-(3)))))))*((((((4)*((9)+(8)))+((1)*((4)*(1))))*(((4)+((6)+(0)))-((8)*((x)-(x)))))+((((x)+((x)-(9)))-((1)*((3)-(2))))+(((5)-((5)+(6)))*((6)*((0)-(1))))))*(((((6)-((5)-(3)))-((1)+((4)*(7))))+(((9)+((5)*(2)))*((4)*((8)*(9)))))*((((x)*((0)-(x)))*((0)-((2)-(2))))+(((0)-((8)+(3)))*((9)-((4)-((6)-(6))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,DivXD|SkipD|FellTreeD|DivXD|MultXD|DivXD|MultXD|MultXD|FellTreeD|DivXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,DivXD,39,40,42,42,7
42,(x),20,-10,0.01865917447569015,0.016879145005772915,0.01999999990680247,0.02,34381082.71383,0.17595165944329058,1072989823.4,0,1,1,0.34039411985587426,0,53198644130343035000,0,5318480290394789000000,0,(((((((4)+(0))-((9)-((7)-(5))))-(((2)+((2)-(x)))+((9)*((0)*(4)))))-((((7)-(5))-((2)*((5)-(8))))+(((9)*((6)*(5)))*((9)-((7)*(5))))))+(((((6)+(6))+((8)*((8)*(4))))*(((5)*((7)*(6)))*((2)*((3)*(3)))))-((((7)*((0)-(0)))+((4)+((3)*(5))))*(((7)*((5)*(8)))*((9)*((9)*(9)))))))*((((((2)*(1))+((3)+((0)+(8))))*(((8)*(0))+((9)*((7)*(6)))))*((((8)*(6))*((1)-((x)*(x))))*(((1)*((6)*(4)))+((5)-((9)+(3))))))-(((((6)-(8))-((x)*((1)*(2))))-(((2)*((3)*(4)))*((7)-((2)-(6)))))-((((4)-(9))-((6)-((5)*(2))))+(((2)-((7)*(0)))+((6)-((7)-((x)-(4))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,DivXD|SubXD|FellTreeD|SubXD|MultXD|DivXD|MultXD|SkipD|FellTreeD|MultXD|MultXD|DivXD|DivXD|FellTreeD|AddXD,AddToLeafR,MultXD,40,40,43,43,7
43,(x),20,-10,0.019232167942898278,0.02,0.01999999990248155,0.02,30382419.10517,0,1025446959.287,0,1,1,0.28681202336006356,0,8860080885437077000000,0,886008048194582500000000,0,(((((((8)-(0))-((3)-((3)+(x))))+(((x)+(9))+((2)-((x)*(0)))))*((((2)-(3))*((x)*((9)*(7))))*(((5)*((4)*(4)))*((9)-((6)+(8))))))*(((((5)+(8))-((6)*((5)*(x))))+(((8)+(0))*((2)-((8)*(8)))))-((((6)*(5))-((2)-((7)*(6))))*(((2)*((9)*(x)))*((4)*((x)*(7)))))))+((((((6)-(1))+((7)+((3)-(7))))-(((5)*(x))*((9)*((x)*(9)))))*((((8)*(6))*((9)*((7)-(7))))*(((4)+(9))-((9)-((0)-(9))))))-(((((1)-(8))*((7)*((x)-(5))))*(((3)*(8))+((3)-((2)-(5)))))*((((8)+(2))*((9)+((6)+(9))))*(((2)*((8)+(7)))*((9)+((5)*((7)+(4))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult,FellTreeD|FellTreeD|AddXD|AddTreeWithDiv|FellTreeD|DivXD|DivXD|SkipD|SkipD|SkipD|DivXD|SubXD|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,40,40,44,44,7
44,(x),20,-10,0.01716091472945885,-0.01,0.01999999993558501,-0.01,18268521.344590005,0.2,1552433688.2,0.2,1,1,0.1124422781012943,0,40274598964834070000000,0,5623461067026990000,0,(((((((8)-((6)*(1)))*((4)*((7)*(9))))+(((8)-((x)-(3)))*(((3)-(8))*((3)*(2)))))*((((9)*((x)*(7)))*((8)*((3)*(2))))-(((x)+((9)+(6)))-(((3)-(6))*((2)+(2))))))+(((((3)+((2)*(5)))+((1)-((6)*(8))))*(((4)*((4)*(8)))*(((7)*(7))*((1)*(4)))))-((((x)-((3)*(0)))*(((4)+(7))-((8)*(0))))-(((5)+((1)-(9)))-(((2)-(9))*((4)*(x)))))))+((((((9)+((5)*(7)))*((1)-((6)*(9))))-(((0)*((0)+(2)))*(((9)+(4))-((2)-(0)))))-((((5)+((4)+(8)))-((9)*((1)*(5))))+(((1)-((4)-(6)))-(((2)*(2))+((9)*(6))))))+(((((7)-((8)-(4)))+((x)*((7)*(6))))*(((3)*((6)*(x)))*(((6)*(9))-((3)*(7)))))+((((1)-((3)+(x)))*((8)+((4)*(1))))+(((x)-((0)-(2)))-(((1)-(6))-((1)-((0)-(2))))))))),((0)+(x)),AddTreeWithSub|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult,FellTreeD|FellTreeD|AddXD|AddTreeWithDiv|FellTreeD|DivXD|DivXD|SkipD|SkipD|SkipD|DivXD|SubXD|MultXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,43,40,45,45,7
