gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
25,0.4303092159173872,0.08360450161671394,0.91398476630171,0.2893583212275943,MultXD,DivXD,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|DivXD,24,24,7180452,7180452,(((((((((5)*(x))*(((9)*(9))*(x)))+(((2)-(2))*((x)+(7))))*(x))*((5)+(2)))+(x))+(x))*(x)),(((((((7)-((8)+(0)))*((7)-(7)))+((((3)+(8))*(((0)*(5))-(x)))+(((1)/(0))*((4)-((x)*(x))))))/(x))-(x))/(x)),5*x*x*x+2*x+7,3
26,0.44244906619715607,0.11332937498887696,0.8267090904090149,0.521894826630408,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,25,21,9003182.1,9003182.1,(((((((((5)*(x))*((x)*(x)))+((2)*(((0)*(9))-((0)+(7)))))*(x))*(x))*(x))-(x))*(x)),((((((5)*((x)*(0)))*(((2)*(x))+((6)+(((2)/(5))*(7)))))*((((0)/(0))*((6)+(4)))*((x)+((x)-((0)*(6))))))/(x))-(x)),5*x*x*x+2*x+7,3
27,0.3925403366322926,0.029884518805561956,0.5994430964184224,0.1912362415347342,MultXD,AddTreeWithDiv,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,26,26,25252067.1,25252067.1,(((((((((5)*(4))*((x)*(x)))+((2)*((x)+(7))))*(x))*(x))+((0)+(1)))*(x))*((8)*(7))),((((((3)-((6)*(2)))*((x)+((7)*((2)/(9)))))*(((x)+((1)+(0)))*((x)*((x)-(((2)*(3))+((8)/(0)))))))/(x))-(x)),5*x*x*x+2*x+7,3
28,0.2939702554185826,0.08968291944775304,0.8725954538214348,0.21018923874710946,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,27,26,11845011.9,11845011.9,(((((((((5)*((0)+(x)))*(((5)+(8))*((9)*(8))))-((2)*((x)+(7))))*(x))*(x))+(x))-(x))*(x)),((((x)+(2))/((1)+((4)/(0))))-(x)),5*x*x*x+2*x+7,3
29,0.2028371826241478,-0.003466811710226586,0.5181517855916711,0.4651850838581929,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,28,28,2221844.5,2221844.5,(((((((((5)*((5)*(4)))*((x)*(x)))+((2)*(((7)*(5))-((4)+(6)))))*(x))*(x))+(x))-(x))*(x)),((((((5)*(((x)*(7))*(x)))*(((x)-(2))+((9)+(8))))*(((9)*(3))-(7)))/(((7)/(0))+(x)))-(x)),5*x*x*x+2*x+7,3
30,0.3086862819856989,0.12788399821252405,0.6251012335707166,0.4390994326425014,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,28,29,4640079,4640079,(((((((((5)+(6))*((x)*(x)))+((2)*((x)+(7))))*((1)+(4)))*(x))*((8)*(4)))-(x))*(x)),((((((5)*((x)*((x)*(8))))*((((5)/(0))+(4))*((6)+(x))))*((x)+(8)))/((x)+(1)))-((x)/(4))),5*x*x*x+2*x+7,3
31,0.5366144768940196,0.18932636474564585,0.7040355417283827,0.43322671015725633,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,30,30,8302193.5,8302193.5,(((((((((5)*(x))*((x)*(x)))+((2)*((x)+(((4)+(4))*(7)))))*(x))*(x))+(x))-(x))*((8)*(9))),(((((3)-((8)/(0)))+(((7)*(((5)+(5))*(7)))+((9)*((6)-((x)*((8)*(8)))))))/(x))-((0)/(1))),5*x*x*x+2*x+7,3
32,0.33929512799518324,0.12008740180993091,0.7678744728386558,0.6033461583447906,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,31,30,1006504277.5,1006504277.5,((((((((((4)*(3))*((x)*(7)))*((x)*((8)+(9))))*((2)*((x)+(7))))*(x))*(x))+(x))-(x))*(x)),((((((((x)*(5))*(x))*((4)*(x)))*((((6)+(7))+((x)/(0)))*((9)-(2))))*(((7)*((x)*(x)))+((x)-((x)*((4)*(4))))))/((2)/(8)))-(x)),5*x*x*x+2*x+7,3
33,0.43411943825889737,0.17294304790929677,0.7131574537405406,0.35660896972293743,MultXD,AddTreeWithDiv,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,32,32,1293133499.5,1293133499.5,(((((((((5)*((x)-(0)))*((x)*(x)))*(((9)*(9))*((x)+(7))))*(x))*(x))+((4)+(3)))-(x))*(x)),((((((7)+(3))*(((x)+(1))*((1)*(x))))+((((4)+(4))-((x)*(x)))+((x)-(2))))/((0)/(4)))-(x)),5*x*x*x+2*x+7,3
34,0.39950569493382326,0.10748451123077907,0.7711904688094883,0.43258654631022536,MultXD,ReplaceBranchR,AddRandomSubTreeR|MultXD|MultXD|AddXD|SkipD|AddTreeWithAdd|SubXD|MultXD|AddTreeWithMult|MutateNonTerminalR,MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|DivXD|SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv,33,32,9060180.4,9060180.4,(((((((((5)*(x))*((x)*(x)))+((2)*((3)+(1))))*(x))*(x))+((4)*(8)))*(x))*(x)),((((((((9)+(4))/(0))*((1)*((x)*(0))))*(((2)*(9))+((2)*(6))))-(((2)-(x))+((6)+((0)-((x)+(x))))))/((x)/(x)))-(x)),5*x*x*x+2*x+7,3
