gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
27,(x),20,-10,0.017323338958359386,0,0.019999999999949822,0.02,50322595841.23353,0.1,1992860628580.854,0,1,1,0.2767653268618585,0,126083870327940340000000000,0,106381263610688620000,0,(((((((x)*((0)-(x)))+((4)-((x)*(2))))*(((3)+((9)+(8)))+((0)*((5)+(1)))))*((((7)*((5)-(0)))*((8)-((2)+(2))))*(((0)-((1)+(8)))*(((0)-(4))*((5)+(1))))))-(((((2)-((6)*(8)))*((7)*((5)*(1))))*(((7)*((1)*(6)))*(((0)+(4))*((6)*(1)))))*((((0)*((6)*(x)))*((1)*((3)-(8))))+(((4)+((5)+(5)))+(((1)+(7))+((3)+(2)))))))-((((((5)*((6)-(3)))*((8)-((x)+(1))))-(((8)+((8)-(7)))*((3)+((x)+(9)))))+((((x)+((4)+(5)))+((3)+((0)+(2))))*(((2)+((x)-(5)))*(((2)*(9))*((1)-(9))))))*(((((7)*((2)*(1)))+((2)*((2)+(2))))-(((7)*((2)+(6)))*((1)+((6)+(6)))))+((((9)+((x)+(1)))+((7)+((7)*(4))))+(((2)-((8)-(7)))+(((9)+(6))+((8)-((3)*(3))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|SkipD|AddXD|FellTreeD|AddTreeWithDiv|MultXD|DivXD|SubXD|SkipD|FellTreeD|AddXD,AddToLeafR,AddXD,27,25,28,28,7
28,(x),20,-10,0.016500437616334775,-0.01,0.01999999999873288,0.02,1624802189.63024,0.2,78919087173.18599,0,1,1,0.3399609297803704,0,10927079112959691000000,0,1092681136995653000000000,0,(((((((x)-((3)-(x)))*((3)*((2)*(5))))+(((3)*((2)-(x)))-((x)+((1)*(8)))))+((((1)*((4)*(8)))+((9)+((2)-(6))))-(((6)+((8)*(9)))*(((9)+(2))+((0)*(9))))))-(((((8)+((x)*(6)))-((2)*((2)+(0))))+(((3)+((9)+(4)))+(((2)+(9))+((x)-(9)))))-((((x)*((9)-(0)))+((3)+((1)+(9))))+(((2)*((4)+(7)))*(((3)-(4))+((9)-(0)))))))*((((((5)*((6)*(5)))*((3)*((7)*(6))))*(((x)*((x)*(3)))+((1)*((2)*(3)))))*((((9)+((2)*(4)))*((7)+((x)-(x))))-(((5)-((x)-(8)))*((5)+((5)*(2))))))+(((((x)*((3)*(x)))*((7)-((9)+(9))))-(((x)+((5)*(7)))-((8)-((5)-(x)))))*((((3)-((2)+(2)))+((3)-((4)*(3))))+(((0)-((8)*(1)))+(((x)+(4))+((5)*((5)-(6))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddToLeafR,AddXD|DivXD|DivXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|SubXD|DivXD|DivXD|MultXD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,28,27,29,29,7
29,(x),20,-10,0.016898468864165038,0.009643091356102456,0.019999999999973365,0.02,37734172825.16681,0.22875247400639792,3754411930130.428,0,1,1,0.32286966196559236,0,3394348480326852300000000,0,339434846519820200000000000,0,(((((((2)-((5)*(4)))*((5)*((0)*(2))))-(((2)+((9)-(6)))*(((5)+(8))+((5)*(1)))))+((((7)+((8)+(0)))+((9)+((5)+(3))))+(((9)*((3)+(6)))*(((3)+(9))+((2)*(3))))))*(((((5)+((1)+(4)))*((x)-((6)*(x))))-(((0)+((x)*(9)))*(((8)*(8))*((6)+(x)))))+((((3)-((7)-(5)))-((x)-((2)+(x))))+(((8)+((2)-(1)))*(((2)-(2))+((6)*(1)))))))+((((((7)*((8)*(1)))*((x)-((7)*(x))))*(((3)*((2)*(7)))*((7)*((7)*(6)))))+((((2)*((1)*(8)))*((x)-((0)-(0))))+(((3)-((8)*(7)))-(((8)-(x))-((3)*(2))))))+(((((7)+((4)-(8)))-((3)-((8)-(7))))-(((6)-((3)+(3)))+((8)*((7)+(6)))))*((((7)*((4)-(7)))-((5)-((x)+(9))))+(((6)-((0)*(7)))+(((8)*(2))-((4)*((6)+(4))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SubXD|FellTreeD|AddTreeWithDiv|SubXD|DivXD|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddXD|FellTreeD|SkipD|AddXD,AddToLeafR,AddTreeWithDiv,28,28,30,30,7
30,(x),20,-10,0.018758725852812706,0,0.0199999999995138,0,3569214204.2594395,0.1,205675349796.88,0.1,1,1,0.3721010334993652,0,210134310903049100000000,0,21013431083366624000000000,0,(((((((x)-((4)-(5)))-((8)-((5)-(x))))*(((x)-((9)*(7)))*((2)*((x)*(0)))))+((((9)+((8)-(x)))+((4)*((9)+(6))))+(((9)+((9)+(x)))+((1)+((7)+(1))))))+(((((6)+((6)*(3)))+((2)+((0)-(2))))-(((0)*((1)+(4)))*((x)+((7)-(1)))))-((((x)*((4)*(9)))*((3)+((6)-(6))))*(((0)+((5)*(2)))*((2)+((7)*(0)))))))*((((((0)*(4))*((6)+((6)+(7))))+(((1)+((3)+(1)))*((4)*((x)*(9)))))*((((3)*((2)*(7)))*((7)*((5)*(9))))+(((2)*((2)*(7)))-((5)*((0)+(5))))))+(((((3)*(7))*((4)*((9)+(0))))-(((8)+((2)+(x)))+((2)*((7)*(4)))))-((((2)*((8)+(2)))*((8)*((7)*(6))))-(((x)*((7)-(7)))*((x)*((9)*((2)*(2))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|AddXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|SubXD|FellTreeD|DivXD|MultXD|DivXD|FellTreeD|DivXD|FellTreeD|AddXD,AddToLeafR,AddXD,30,29,31,31,7
31,(x),20,-10,0.0187168858835501,0,0.019999999999010545,0,1649800522.3873,0.1,101065871844.539,0.1,1,1,0.3069745333082833,0,451167192695529200000000,0,6884085045677724000,0,(((((((x)+((4)*(2)))*((8)+((9)+(3))))-(((5)*((8)+(6)))-(((9)*(0))-((0)-(8)))))*((((1)+((6)+(0)))-((8)*((3)*(6))))+(((5)+((8)-(0)))-(((5)*(1))-((3)*(5))))))*(((((x)-((1)+(x)))+((6)*((2)+(6))))*(((8)+((7)-(9)))+(((6)+(7))+((3)+(0)))))*((((8)-((2)*(x)))-((5)+((4)+(4))))*(((4)*((7)*(0)))*(((5)*(5))*((1)*(8)))))))+((((((6)*((2)*(4)))-((3)+((1)-(9))))*(((6)-((3)*(5)))-((2)-((4)*(5)))))*((((6)+((7)+(3)))+((7)+((4)+(7))))+(((4)+((6)*(4)))*(((4)+(7))-((8)*(7))))))+(((((7)*((6)+(8)))+((8)*((8)+(2))))-(((2)*((7)*(2)))-((0)+((x)+(x)))))*((((1)+((x)+(0)))+((1)+((5)+(x))))+(((0)+((5)+(0)))+(((3)-(9))*((0)-((5)*(2))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DivXD|DivXD|DivXD|FellTreeD|AddTreeWithDiv|FellTreeD|SubXD|FellTreeD|DivXD|MultXD|DivXD|AddTreeWithDiv|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,31,30,32,32,7
32,(x),20,-10,0.018487490390684255,0.01920000002104215,0.019999999999947827,0.02,28886843415.9044,78219.4502149429,1916744153337.1682,0,1,1,0.23739158283212333,0,5171026084545482000000,0,508886803927925940000000,0,(((((((x)*(2))*((9)*((3)*(6))))*(((9)*((4)*(2)))*((4)*((9)+(8)))))+((((6)-((8)-(0)))*((9)*((1)-(x))))*(((7)+((4)*(5)))+((3)-((4)+(6))))))+(((((3)*((3)+(x)))*((0)-((0)+(8))))+(((4)+((x)+(9)))+((5)+((x)+(6)))))-((((2)*((1)*(0)))-((5)-((5)*(9))))*(((9)*((4)-(2)))+((x)+((8)+(2)))))))-((((((3)*(4))+((6)+((5)-(8))))*(((0)*((8)-(9)))+((5)*((4)+(7)))))*((((3)*(0))+((5)*((3)*(4))))*(((7)*((1)*(5)))*((2)*((6)*(4))))))*(((((x)*(2))-((6)*((4)*(3))))+(((3)+((5)+(4)))+((9)+((5)+(2)))))+((((0)-((5)+(4)))-((5)+((9)-(2))))-(((3)*((1)*(6)))-((1)-((5)*((2)-(7))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,AddXD|DivXD|DivXD|SkipD|AddTreeWithDiv|SkipD|SubXD|FellTreeD|DivXD|MultXD|MultXD|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,32,31,33,33,7
33,(x),20,-10,0.016903500992007593,-0.01,0.019999999999638293,-0.01,10315189767.148922,0.2,276467348736.10803,0.2,1,1,0.36686272056298913,0,6639874179935324000000,0,609526650602043900000000,0,(((((((x)*((9)-(8)))+((1)+((5)*(5))))*(((8)*((8)-(4)))*(((x)-(0))*((5)+(x)))))-((((5)-((x)*(3)))*((8)*((x)*(1))))*(((9)+((9)*(1)))+(((x)-(1))+((x)*(8))))))-(((((7)+((8)+(9)))+((0)*((4)*(6))))*(((1)-((9)+(1)))*(((7)*(1))*((7)+(4)))))+((((2)+((3)+(4)))-((4)*((0)-(5))))-(((9)+((7)-(9)))-(((7)*(7))+((0)*(1)))))))-((((((7)*((3)*(4)))+((8)+((5)-(1))))*(((2)+((6)+(1)))+((4)+((8)+(4)))))+((((4)+((0)+(x)))+((0)*((8)-(9))))*(((3)-((0)-(8)))-(((x)-(3))-((0)-(5))))))*(((((7)+((7)+(1)))*((7)-((4)+(0))))-(((1)*((x)-(9)))*((6)-((3)*(x)))))*((((8)*((0)-(9)))-((9)+((4)-(7))))*(((5)+((7)+(5)))+(((6)+(7))+((7)+((0)+(x))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|AddXD|SkipD|AddTreeWithDiv|FellTreeD|SubXD|FellTreeD|DivXD|MultXD|AddTreeWithDiv|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,AddXD,33,32,34,34,7
34,(x),20,-10,0.016559095937201642,0.008159610945253599,0.01999999999971265,0.02,3550745423.24346,0.08994617561807129,348007649076.096,0,1,1,0.43116580299913887,0,153632703324978640000000,0,5262259356704615000,0,(((((((x)*((5)*(5)))+((5)-((1)+(7))))+(((7)*((2)*(6)))*((3)*((6)*(8)))))*((((9)*((5)*(9)))*((4)*((5)+(4))))+(((x)*((1)*(6)))+(((6)*(9))-((2)+(7))))))-(((((8)-((4)-(2)))*((1)*((6)*(8))))-(((8)*((1)-(3)))+(((6)*(7))-((4)*(7)))))*((((5)+((0)-(6)))*((7)*((1)*(7))))*(((5)+((4)-(4)))*(((4)*(2))*((0)*(3)))))))*((((((7)+((9)-(3)))*((6)+((0)*(3))))*(((8)*((x)-(4)))-((0)*((x)*(2)))))+((((1)-((6)-(8)))*((x)+((5)*(9))))*(((9)*((2)*(8)))*((5)*((3)*(x))))))*(((((0)+((8)-(9)))+((4)-((9)*(4))))+(((x)+((x)+(3)))+((7)+((5)+(5)))))+((((x)+((0)+(9)))+((8)+((x)-(x))))+(((3)*((0)+(0)))*(((0)*(x))-((0)*((1)-(1))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,AddXD|AddTreeWithDiv|DivXD|SkipD|FellTreeD|FellTreeD|SubXD|DivXD|DivXD|MultXD|AddTreeWithDiv|MultXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,31,33,35,35,7
35,(x),20,-10,0.018203313730723206,0.02,0.019999999999841377,0.02,8121291968.341959,0,630433956084.01,0,1,1,0.1678230788127506,0,9540548289947186000000000,0,954054828990708100000000000,0,(((((((x)+((7)-(x)))+((2)-((5)*(1))))-(((9)*((4)*(1)))*((3)+((7)-(6)))))*((((6)*((5)-(2)))-((x)-((5)+(x))))*(((8)+((2)*(6)))*((4)*((x)*(x))))))+(((((6)+((4)*(7)))+((6)*((0)-(2))))*(((3)-((2)-(5)))*((3)-((2)+(4)))))+((((6)-((x)-(5)))-((9)*((x)-(7))))*(((7)-((1)-(0)))*(((8)*(x))*((6)*(4)))))))-((((((6)*(7))-((3)+((0)*(3))))-(((x)*((4)-(9)))*((9)+((9)*(8)))))+((((5)*((8)-(8)))-((7)-((4)*(6))))-(((6)*((2)*(8)))+((5)+((5)*(x))))))+(((((8)+((5)+(2)))+((0)+((0)+(9))))+(((2)+((7)+(4)))+((8)*((6)+(2)))))-((((5)*((5)+(9)))*((3)*((9)*(9))))*(((6)-((1)+(x)))*((2)*((7)*((0)+(5))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|SubXD|DivXD|DivXD|MultXD|DivXD|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,DivXD,35,34,36,36,7
36,(x),20,-10,0.01696920295183102,0.02,0.01999999999970591,0.02,6693358605.608609,0,340033444429.062,0,1,1,0.22097820846552443,0,704373331569969700000000,0,70437329996613660000000000,0,(((((((x)+((5)+(5)))+((6)*((4)+(0))))-(((x)-((9)+(3)))+((2)*((7)-(9)))))*((((2)-((7)-(1)))-((1)*((x)*(6))))-(((0)-((9)-(x)))*(((5)+(0))+((x)*(8))))))*(((((9)*((4)*(9)))*((5)*((8)*(x))))*(((9)*((5)+(4)))*((3)*((8)*(3)))))*((((0)-((9)+(3)))*((9)+((9)+(8))))+(((4)-((0)-(3)))*(((8)*(6))-((5)+(4)))))))+((((((0)-((3)*(4)))-((1)+((x)-(x))))+(((9)+((7)+(6)))+((x)+((3)+(4)))))+((((7)+((1)*(1)))-((1)+((5)+(3))))*(((6)*((2)+(2)))+((6)+((7)*(3))))))+(((((0)*((x)-(5)))-((8)+((2)*(x))))-(((9)-((9)-(0)))+((x)-((6)+(x)))))+((((3)+((7)+(6)))+((3)-((4)-(x))))-(((3)*((x)*(5)))*(((2)+(7))+((3)+((3)*(3))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SkipD|AddTreeWithDiv|SkipD|SubXD|FellTreeD|DivXD|MultXD|DivXD|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,FellTreeD,36,35,37,37,7
37,(x),20,-10,0.018893468524320806,0.02,0.01999999999985757,0.02,10833055884.643318,0,702101114744.173,0,1,1,0.3259194055103372,0,131681723701204200000000000,0,13167867483792996000000000000,0,(((((((x)*((4)-(9)))*((0)*((8)+(9))))-(((6)-((1)*(x)))+((9)*((1)*(0)))))-((((6)-((0)*(8)))-((x)+((5)*(7))))+(((4)-((0)*(2)))*(((9)*(5))*((5)+(8))))))+(((((2)*((9)+(6)))+((8)+((3)-(6))))+(((8)+((8)+(5)))+(((2)-(1))*((4)*(4)))))*((((0)-((8)-(7)))+((0)-((8)*(2))))+(((8)+((3)-(8)))*(((7)+(9))-((2)*(8)))))))*((((((3)-((4)-(5)))+((1)*((2)*(8))))-(((3)+((9)+(5)))-((6)+((x)*(7)))))*((((6)*((5)*(3)))*((5)*((8)*(9))))*(((3)*((9)-(0)))+((0)*((x)+(0))))))-(((((5)-((8)+(5)))*((7)*((4)*(4))))-(((0)*((3)*(4)))*((9)+((2)*(7)))))*((((9)+((7)*(6)))-((6)*((x)-(2))))+(((9)*((5)+(9)))*(((9)*(6))*((5)*((5)+(x))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR,AddXD|DivXD|AddTreeWithDiv|SkipD|SubXD|AddTreeWithDiv|AddXD|DivXD|DivXD|MultXD|DivXD|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,AddXD,37,36,38,38,7
38,(x),20,-10,0.018127935782885407,0.018842042595000857,0.019999999999626067,0.02,6766225305.82908,0.02291715786918347,267427590938.308,0,1,1,0.2986467335343129,0,887654012825643700000000,0,88765400926659640000000000,0,(((((((x)*((2)+(2)))*((x)-((6)-(x))))*(((8)+((0)-(1)))-((0)*((0)+(2)))))-((((6)-((6)*(1)))-((8)*((0)+(9))))*(((8)-((2)+(4)))*(((7)*(9))*((6)+(3))))))+(((((2)*((2)*(8)))-((5)*((8)*(x))))-(((4)-((4)*(5)))+(((x)*(3))+((1)-(7)))))+((((4)*((4)-(4)))+((2)+((4)-(3))))*(((9)*((9)*(x)))*(((6)*(7))+((3)+(2)))))))-((((((3)*((9)+(5)))+((6)*((0)-(6))))-(((3)*((6)*(x)))+((0)-((2)*(0)))))*((((6)*((x)-(5)))+((x)+((3)*(5))))*(((1)-((5)*(9)))*(((2)*(3))+((1)*(x))))))*(((((3)+((2)-(5)))*((2)+((8)+(8))))+(((2)+((6)+(6)))+((0)+((6)*(8)))))*((((x)+((9)-(8)))*((2)+((6)*(8))))*(((5)-((1)*(1)))+(((3)*(6))-((7)-((0)+(x))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SubXD|FellTreeD|SkipD|FellTreeD|MultXD|DivXD|MultXD|AddTreeWithDiv|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,FellTreeD,38,37,39,39,7
39,(x),20,-10,0.018719674627993198,0.02,0.01999999999996627,0.02,43435770404.77943,0,2964597866329.0767,0,1,1,0.3251741860053408,0,1859161511550864000000000,0,17471596175711721000,0,(((((((0)-((8)-(3)))*((4)-((x)*(1))))-(((9)+((9)+(x)))+((0)-((6)*(2)))))+((((3)+((2)+(8)))-((4)-((4)+(3))))*(((1)-((x)-(3)))-((6)*((9)+(0))))))+(((((1)*((9)-(4)))-((0)+((4)+(1))))*(((6)*((6)+(0)))*((1)-((7)-(8)))))*((((5)*((6)-(9)))*((8)*((3)-(4))))*(((4)-((x)*(7)))+(((9)*(8))*((0)+(5)))))))*((((((9)*(4))*((2)-((4)-(2))))-(((1)*((7)*(0)))*((1)*((8)*(x)))))*((((6)*((4)*(9)))-((7)+((5)+(2))))+(((4)+((6)+(5)))+((3)+((1)*(6))))))+(((((8)+((3)-(9)))+((4)-((1)+(8))))-(((6)*((9)*(8)))-((4)-((1)-(6)))))-((((0)+((9)-(5)))*((6)+((3)-(0))))+(((4)+((7)+(4)))+((2)*((5)+((2)+(1))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DivXD|AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|FellTreeD|SubXD|FellTreeD|DivXD|MultXD|MultXD|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,DivXD,39,38,40,40,7
40,(x),20,-10,0.018953359235138672,0.015832090818318385,0.019999999999779444,0.02,5558620485.84668,0.11152097094031327,453395700213.86,0,1,1,0.2823641485056002,0,3394511542291698000000000,0,145874003153609900000,0,(((((((7)-((8)*(2)))+((8)+((2)*(x))))*(((0)+((2)+(9)))+((7)*((1)+(5)))))+((((x)*((4)-(7)))*((6)-((0)+(2))))*(((1)*((6)-(6)))*((0)*((5)+(0))))))*(((((3)-((2)-(5)))+((9)+((5)+(0))))-(((4)-((9)-(4)))+((8)-((6)-(5)))))+((((4)*((1)*(8)))*((6)*((7)-(8))))+(((2)+((x)+(6)))*((x)*((5)*(3)))))))*((((((7)*(2))*((5)*((0)-(8))))*(((3)*((7)*(6)))*((9)*((x)*(3)))))*((((2)*((2)-(x)))-((6)*((4)+(4))))-(((x)-((5)-(7)))*((3)-((3)*(9))))))*(((((4)-(5))+((x)+((5)+(8))))+(((6)+((4)+(6)))+((9)*((9)*(3)))))*((((6)+((2)*(9)))*((9)-((3)-(2))))-(((5)*((x)*(4)))-((3)+((9)+((1)*(9))))))))),((0)+(x)),MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,AddXD|AddTreeWithDiv|DivXD|SkipD|SkipD|DivXD|SubXD|DivXD|DivXD|MultXD|SkipD|SubXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,DivXD,40,39,41,41,7
41,(x),20,-10,0.019265591393477513,0,0.019999999999915728,0,12685557582.405048,0.1,1186627358914.416,0.1,1,1,0.4707864349182998,0,17724184585282735000000,0,2935706705738387500,0,(((((((1)-(8))+((0)-(8)))*(((3)+(7))-((6)+(7))))*((((8)*(x))-((8)-(5)))*(((x)*(1))-((9)-((1)*(1))))))*(((((1)*(x))*((x)*(x)))+(((x)*(5))*((9)-((6)+(3)))))+((((x)*(4))*((0)-(9)))+(((3)-(8))+((4)-((3)*(5)))))))-((((((0)*(5))-((3)*(3)))+(((9)*(1))*((9)*(5))))*((((5)*(8))*((4)*(3)))*(((9)+(8))*((2)-((1)*(6))))))*(((((7)-(5))*((x)+(8)))+(((0)+(1))+((x)+(1))))+((((0)+(x))*((2)*(6)))+(((5)-(x))-((1)+((3)*((0)+(4))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|DeleteNonTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|SubXD|AddTreeWithDiv|SkipD|SubXD|DivXD|DivXD|MultXD|MultXD|AddXD|FellTreeD|FellTreeD|AddXD,AddToLeafR,DivXD,41,40,42,42,7
42,(x),20,-10,0.017933253679611717,0,0.019999999998520167,0.02,1428811442.3595397,0.1,67575260734.545,0,1,1,0.29317908884855287,0,1456384188372831400000,0,145636642692744320000000,0,(((((((x)*((8)*(9)))-((7)*((6)*(x))))+(((7)+((8)*(4)))*((0)*((5)*(4)))))*((((x)*((3)*(9)))-((x)+((5)*(2))))+(((4)-((3)*(1)))+(((1)-(8))-((9)-(3))))))*(((((0)+((6)+(x)))+((4)+((3)+(4))))+(((3)+((x)+(0)))-(((1)*(3))*((4)*(8)))))+((((6)+((0)*(2)))*((8)+((7)-(8))))+(((0)-((5)-(9)))+(((7)*(4))-((5)+(8)))))))+((((((5)+((6)*(0)))*((9)-((7)*(0))))*(((4)+((x)+(0)))*((x)-((7)-(5)))))+((((7)-((0)*(5)))+((x)-((2)-(8))))-(((4)+((2)*(5)))*(((5)*(2))*((9)*(x))))))*(((((7)*((x)*(1)))*((x)*((9)*(6))))*(((x)*((x)*(4)))*((7)-((x)-(3)))))+((((8)*((7)+(x)))+((2)-((1)+(3))))*(((1)+((5)*(3)))+(((3)-(8))+((3)+((3)+(3))))))))),((0)+(x)),ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,AddTreeWithDiv|DivXD|FellTreeD|SkipD|AddTreeWithDiv|FellTreeD|SubXD|SubXD|DivXD|MultXD|AddTreeWithDiv|AddXD|DivXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,42,41,43,43,7
