gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
28,(x),20,-10,0.01562287337284831,0.01442496505041808,0.019999999999852063,0.02,28276889045.57513,294.83362198374215,675960116214.478,0,1,1,0.46640794444885714,0,47247294946049710000000,0,4724729484546931000000000,0,(((((((x)+((0)-(7)))*((x)+((6)-(5))))+(((3)-((4)*(6)))+((9)+((3)-(0)))))-((((6)-((6)-(3)))*((6)*((1)-(0))))+(((0)+((x)-(6)))+((x)*((8)+(6))))))-(((((4)+((1)*(x)))+((4)*((x)*(4))))-(((1)+((5)*(9)))*((8)*((4)*(4)))))*((((7)*((7)+(5)))+((7)+((1)*(7))))*(((x)*((3)*(6)))*(((x)*(6))*((5)*(x)))))))+((((((0)+((0)*(0)))*((1)-((4)*(2))))-(((5)*((4)*(9)))+((5)*((7)-(3)))))-((((5)*((7)*(8)))-((7)-((4)-(3))))*(((6)-((5)-(9)))*((x)+((7)*(6))))))+(((((6)-((0)-(8)))*((x)*((8)+(8))))*(((x)*((2)-(4)))-((8)*((9)*(1)))))*((((6)+((5)+(x)))*((2)+((7)+(7))))+(((1)+((8)*(x)))-((6)-((4)+((5)*(0))))))))),((0)*((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR,FellTreeD|AddTreeWithDiv|DivXD|AddXD|AddXD|DivXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|MultXD|MultXD|FellTreeD|MultXD|AddXD,AddToLeafR,AddXD,28,28,29,29,1
29,(x),20,-10,0.01840296655691711,0.008501016883819034,0.019999999999972103,0.02,55754932709.292725,1.151841524270847,3584435816067.12,0,1,1,0.28724021810924844,0,3366440190886277000000000,0,11717394384846774000,0,(((((((x)+(x))-((0)*((3)*(x))))+(((1)-((2)*(0)))*((0)-((1)-(0)))))*((((3)*(5))*((8)+((6)*(x))))*(((2)*((6)*(x)))*((7)*((8)*(1))))))+(((((0)-(2))*((2)+((8)+(3))))-(((3)+((3)-(3)))+((5)+((6)+(2)))))*((((2)*((x)+(3)))-((x)+((5)+(6))))-(((1)*((8)+(7)))+((1)+((x)+(7)))))))+((((((4)+(5))+((3)*((2)-(2))))-(((6)-((5)*(8)))*((1)-((3)+(8)))))*((((0)*(x))+((5)*((0)+(3))))-(((9)*((3)*(9)))-((0)-((5)*(6))))))*(((((2)*(x))*((5)*((x)*(6))))*(((9)*((x)*(9)))+((8)+((8)*(0)))))*((((7)*(3))*((2)*((x)*(6))))*(((2)*((5)*(2)))*((1)*((6)*((6)*(4))))))))),((0)*((x)+(x))),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult,MultXD|MultXD|MultXD|MultXD|AddTreeWithDiv|MultXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|SubXD|SkipD|MultXD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,29,28,30,30,1
30,(x),20,-10,0.017966628731620162,0.018400015897267752,0.01999999999970044,0.02,8612371327.996,21243960612.805668,333825874184.08,0,1,1,0.31445077905608654,0,144117259968940520000000,0,2500310345271254000,0,(((((((9)+((2)+(8)))*((8)-((3)-(5))))+(((6)*((2)+(0)))*((7)+((8)-(4)))))+((((x)*((4)+(6)))*((x)+((5)-(7))))+(((9)-((8)*(2)))+((5)*((9)-(9))))))*(((((7)+((6)-(6)))+((9)*((9)*(8))))*(((1)+((3)*(7)))*((3)-((x)-(6)))))-((((5)-((0)+(0)))+((0)*((1)+(2))))-(((7)+((3)+(8)))+((5)+((0)*(2)))))))*((((((5)-(0))-((2)+((6)+(x))))+(((3)+((2)+(x)))+((3)*((3)*(2)))))*((((x)*((9)*(8)))*((8)*((5)*(7))))-(((x)*((x)+(7)))*((8)-((6)+(7))))))-(((((5)*(x))+((4)*((9)+(6))))-(((5)-((x)*(2)))-((2)*((x)*(4)))))*((((7)*((3)*(5)))+((1)*((1)*(9))))*(((x)*((x)*(9)))*((5)*((5)*((2)*(1))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,MultXD|AddTreeWithDiv|DivXD|MultXD|AddXD|DivXD|SubXD|AddTreeWithDiv|FellTreeD|SkipD|SkipD|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,SkipD,30,29,31,31,1
31,(x),20,-10,0.019238099398653494,-0.01701492537313433,0.019999999999932575,-0.01701492537313433,19079643765.710064,0.67,1483144791215.568,0.67,1,1,0.27546521408705277,0,2012294002563587600000000,0,201227731077801700000000000,0,(((((((x)+((8)*(2)))-((7)*((0)*(2))))-(((7)*((3)-(7)))+(((6)+(4))+((0)+(2)))))+((((x)+((7)*(9)))*((7)*((3)-(5))))-(((x)-((6)+(6)))*(((9)-(0))+((8)+(0))))))+(((((2)+((8)*(3)))*((2)*((2)+(6))))*(((8)*((6)*(2)))*(((6)*(6))*((5)*(8)))))*((((9)-((0)+(5)))*((0)-((0)*(x))))*(((3)-((4)*(4)))+(((2)-(9))+((x)+(5)))))))*((((((5)+((x)*(9)))+((4)-((0)*(9))))+(((1)+((0)+(9)))-((4)-((9)*(8)))))-((((2)*((9)+(2)))-((x)*((8)*(0))))*(((4)+((6)+(9)))-(((1)+(7))+((x)-(9))))))+(((((7)-((6)-(3)))-((4)+((4)-(3))))+(((6)-((4)-(9)))*((x)+((x)-(4)))))*((((x)+((3)-(5)))+((4)*((4)*(6))))-(((4)*((7)*(9)))-(((0)-(5))-((1)-((8)*(0))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR,MultXD|AddTreeWithDiv|DivXD|MultXD|AddXD|DivXD|MultXD|DivXD|AddXD|SubXD|FellTreeD|MultXD|FellTreeD|SkipD|AddXD,AddToLeafR,MultXD,31,30,32,32,1
32,(x),20,-10,0.018191590365700026,0.015600172228615988,0.01999999999994013,0.02,28614362565.991947,11245235259.999863,1670291309159.242,0,1,1,0.42801927713113774,0,6833961132003084000000000,0,4833256514224254000,0,(((((((x)+((3)+(0)))+((4)+((8)+(3))))*(((8)+((9)*(6)))-((x)+((1)-(x)))))*((((1)*((9)*(2)))*((6)*((4)*(4))))*(((2)*((1)-(3)))*(((0)-(3))-((7)+(0))))))*(((((4)*((6)-(0)))*((x)*((1)*(9))))*(((3)*((x)*(8)))*((0)*((1)*(3)))))*((((2)*((1)*(x)))*((9)*((1)-(6))))*(((3)*((2)*(3)))-(((4)+(3))-((1)*(9)))))))*((((((9)*((4)*(8)))+((x)+((9)*(3))))+(((8)*((7)-(6)))+((x)*((5)*(7)))))-((((8)*((7)*(x)))*((6)-((3)*(7))))+(((7)-((2)-(1)))*((6)+((0)-(6))))))-(((((4)*((2)-(4)))-((x)+((6)+(0))))*(((0)+((2)+(6)))+((2)+((4)+(0)))))+((((3)+((4)*(4)))-((7)+((x)+(x))))+(((3)+((2)+(8)))+((7)+((8)+((4)+(6))))))))),(((0)+(x))-((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddTreeWithMult,FellTreeD|AddTreeWithDiv|DivXD|AddXD|AddXD|DivXD|MultXD|AddTreeWithDiv|DivXD|FellTreeD|FellTreeD|AddXD|SubXD|SkipD|AddXD,AddToLeafR,AddXD,32,31,33,33,1
33,(x),20,-10,0.018168103368947256,0.010793332449132623,0.01999999999923251,0.02,2787784698.2946205,4.1910603504747685,130294993476.659,0,1,1,0.4485148992759539,0,242734978430410340000000000000,0,8682220212245359000,0,(((((((x)+((9)+(6)))+((6)+((2)+(2))))+(((8)+((9)+(9)))*((7)-((3)+(7)))))-((((6)*((1)*(5)))*((0)*((5)*(3))))*(((7)*((5)*(5)))*(((7)-(x))+((4)+(4))))))+(((((7)*((2)+(x)))*((6)*((7)+(1))))*(((4)*((8)+(x)))+((1)+((8)+(4)))))+((((0)*((x)-(9)))-((4)-((4)-(6))))+(((0)*((6)-(7)))+(((5)*(3))+((8)+(7)))))))*((((((4)*((5)-(9)))+((4)*((8)-(5))))*(((6)+((6)+(1)))+((3)-((x)*(3)))))+((((4)+((0)-(4)))*((6)+((8)+(1))))*(((2)-((0)+(x)))-((4)-((9)*(7))))))*(((((6)*((4)*(9)))*((x)*((1)*(4))))*(((5)+((8)*(4)))*((4)*((8)*(1)))))*((((x)*((2)*(7)))*((1)*((7)-(2))))*(((8)*((7)*(0)))-((5)-((7)-((4)+(4))))))))),(((0)+(x))-((x)+(x))),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult,FellTreeD|AddTreeWithDiv|DivXD|AddXD|AddXD|DivXD|MultXD|AddTreeWithDiv|DivXD|FellTreeD|FellTreeD|AddXD|SubXD|SkipD|AddXD,AddToLeafR,AddXD,33,32,34,34,1
34,(x),20,-10,0.017523191923499253,0.011461870385022055,0.019999999999508827,0.02,4530520432.37681,1.120020651882311,203593547717.77,0,1,1,0.28758709646508257,0,151442025086170460000000,0,547112362816654600000,0,(((((((x)+(3))+((3)+((8)+(9))))*(((3)-((2)+(4)))+((9)*((5)+(4)))))*((((4)*((4)*(4)))*((2)-((5)*(1))))+(((0)-((1)-(7)))-((6)+((5)+(0))))))*(((((1)*(3))*((3)*((8)*(1))))*(((4)+((7)*(9)))-((3)-((6)*(9)))))*((((9)*((8)*(x)))*((6)*((5)*(3))))*(((9)+((x)+(5)))+((6)-((8)*(7)))))))-((((((0)*(0))*((5)*((9)*(7))))*(((0)*((2)*(x)))+((8)*((8)+(6)))))+((((7)-(6))-((0)*((9)+(2))))+(((8)-((5)+(7)))*((6)*((x)*(2))))))*(((((8)*(x))*((1)-((7)*(x))))*(((3)-((4)+(1)))+((4)-((9)*(8)))))*((((1)*(0))+((x)*((1)*(2))))-(((2)+((5)-(7)))*((2)*((2)+((x)-(5))))))))),((0)*((x)+(x))),MutateTerminalR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,FellTreeD|AddTreeWithDiv|DivXD|MultXD|AddXD|MultXD|MultXD|AddTreeWithDiv|AddXD|AddTreeWithDiv|MultXD|AddXD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,33,32,35,35,1
35,(x),20,-10,0.016824038475733372,-0.0196116504854369,0.019999999997960195,-0.019611650485436893,714602042.1777899,5.15,49024345049.881,5.15,1,1,0.23798883616413233,0,117109459228136980000000000,0,11710945922769909000000000000,0,(((((((x)-(4))*((2)*((7)+(2))))-(((x)-((x)*(1)))+((3)-((7)*(4)))))*((((7)-((x)+(2)))*((1)*((9)*(6))))-(((7)*((6)+(7)))*((4)-((0)+(8))))))*(((((4)-(5))-((4)-((5)*(0))))*(((6)*((7)*(8)))+((0)+((8)+(3)))))+((((4)-((5)*(5)))-((x)*((7)+(7))))+(((7)-((x)+(x)))+((9)+((0)+(x)))))))+((((((5)*(x))*((x)+((0)-(9))))-(((4)-((2)*(6)))-((1)-((0)-(8)))))*((((0)+(5))+((5)*((4)*(8))))*(((7)*((2)*(5)))*((x)*((x)*(7))))))*(((((x)*(1))*((4)*((x)*(8))))*(((2)*((5)*(2)))*((7)+((6)+(6)))))-((((3)+(5))+((x)*((7)+(4))))*(((3)*((8)*(5)))*((3)*((x)+((5)*(7))))))))),((0)*((x)+(x))),AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,FellTreeD|SubXD|DivXD|MultXD|AddTreeWithDiv|DivXD|SubXD|MultXD|AddTreeWithDiv|SubXD|AddXD|MultXD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,35,34,36,36,1
36,(x),20,-10,0.018369216655058196,0.001068568252413732,0.019999999995270235,0.02,442469075.7678201,5.286810870517604,21142708494.52,0,1,1,0.3290315617191187,0,97147412353520140000000,0,9714741235060450000000000,0,(((((((2)+((5)+(3)))+((3)+((7)+(8))))*(((8)-((6)+(3)))+((9)-((9)-(1)))))+((((4)-((1)+(0)))+((x)*((9)+(6))))-(((7)+((3)-(8)))*((9)+((0)+(x))))))-(((((6)*((1)*(3)))*((x)*((7)-(8))))*(((9)*((0)*(5)))*((4)*((8)+(7)))))+((((8)+((5)*(9)))*((6)*((2)*(1))))*(((6)*((8)*(9)))*((9)-((6)-(7)))))))-((((((3)-(x))-((3)-((8)-(x))))*(((6)+((2)+(7)))-((2)*((6)*(7)))))*((((3)*((4)*(7)))*((7)*((9)*(7))))*(((1)-((x)*(5)))*((8)-((3)-(8))))))*(((((5)*(2))*((4)*((x)*(x))))-(((3)-((x)*(3)))-((6)*((9)*(7)))))-((((4)*((6)*(7)))*((9)*((4)+(x))))*(((0)*((1)+(5)))*((1)*((7)-((9)+(2))))))))),((0)+(x)),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,FellTreeD|SubXD|DivXD|MultXD|AddTreeWithDiv|DivXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|SkipD|MultXD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,34,35,37,37,1
37,(x),20,-10,0.01916461529048653,0.018435337275196292,0.01999999974472939,0.02,14509540.563119998,2898.462692526042,391741142.04,0,1,1,0.22193766115402294,0,138020055228609430000000000,0,13802005522860734000000000000,0,(((((((9)+((6)+(4)))+((x)-((0)-(9))))-(((2)-((7)-(2)))-((7)*((3)*(7)))))*((((4)*((7)*(x)))*((x)*((x)-(7))))-(((1)*((1)-(8)))+((x)*((x)*(7))))))+(((((5)-((7)*(x)))+((9)-((6)-(2))))+(((1)-((1)*(1)))-((4)-((7)+(8)))))*((((x)+((1)*(6)))+((4)-((6)*(3))))*(((5)+((7)*(x)))-((7)*((8)*(x)))))))-((((((0)*(9))+((6)-((2)*(2))))*(((9)*((4)-(5)))*((8)*((7)*(9)))))*((((1)*((3)*(3)))*((x)+((4)*(8))))*(((x)*((8)*(x)))*((1)*((4)*(5))))))-(((((2)+(1))*((7)*((3)+(7))))*(((4)+((4)*(3)))-((3)+((1)+(4)))))-((((7)-((1)+(0)))+((2)*((6)*(0))))+(((9)+((4)+(8)))+((8)+((4)+((4)+(x))))))))),(((0)+((x)-(x)))*((x)+(x))),AddTreeWithAdd|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithSub|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,FellTreeD|AddTreeWithDiv|DivXD|MultXD|SkipD|DivXD|DivXD|AddTreeWithDiv|AddXD|FellTreeD|FellTreeD|AddXD|SubXD|MultXD|AddXD,AddToLeafR,DivXD,37,35,38,38,1
38,(x),20,-10,0.017965751449391894,0.01069396356108664,0.019999999991454555,0.02,197003966.31167,4.382558743100037,11702138846.164,0,1,1,0.3903360748621845,0,11845416325123481000000,0,1184540321993873700000000,0,(((((((x)+((3)+(7)))+((5)*((1)+(2))))-(((1)-((3)*(2)))+((9)+((x)+(7)))))*((((5)*((6)*(4)))*((4)+((9)+(0))))+(((1)+((2)+(8)))+((1)+((x)+(6))))))+(((((0)-((1)*(4)))+((8)-((3)-(4))))*(((7)*((8)-(8)))+((2)+((5)*(6)))))+((((4)*((8)-(3)))*((6)*((4)*(9))))*(((0)*((8)*(3)))*(((6)*(4))*((3)+(1)))))))-((((((6)-(6))+((6)+((8)*(5))))*(((1)+((2)+(9)))*((4)*((9)*(7)))))+((((1)+((4)*(3)))+((3)*((6)+(3))))-(((3)+((7)*(x)))*((2)-((1)*(0))))))*(((((9)+((9)*(8)))*((9)*((4)+(x))))*(((1)+((7)*(3)))-((x)*((8)*(3)))))-((((x)*((8)*(0)))-((8)*((7)+(4))))+(((7)+((2)+(x)))-((4)*((7)*((1)+(3))))))))),(((0)+(x))-((x)+(x))),AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,FellTreeD|AddTreeWithDiv|FellTreeD|MultXD|AddXD|AddXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|SubXD|SkipD|AddXD,AddToLeafR,FellTreeD,38,37,39,39,1
39,(x),20,-10,0.01752519603518825,0.013297538432475681,0.019999999968277858,0.02,94034936.81573999,113.57459759421747,3152372302.408,0,1,1,0.31744956146594905,0,921255777772556400000000000,0,92125577776636430000000000000,0,(((((((x)+((x)*(6)))+((4)*((3)+(1))))*(((7)+((7)+(1)))-((2)*((3)*(7)))))*((((8)+((3)*(x)))+((7)-((5)+(3))))*(((5)+((5)*(6)))*(((6)-(4))-((5)*(x))))))*(((((3)-((1)+(5)))*((7)-((3)-(7))))*(((1)+((4)*(2)))*((6)*((3)*(6)))))*((((x)*((8)*(1)))*((3)*((x)-(5))))+(((2)*((1)+(5)))+(((8)*(7))-((4)*(1)))))))+((((((5)*((6)+(5)))-((5)-((3)-(4))))+(((3)+((1)-(7)))-((0)*((8)-(x)))))-((((8)-((8)*(8)))*((8)+((3)*(0))))-(((4)*((5)-(x)))*((8)+((9)*(1))))))*(((((8)-((3)+(0)))-((7)-((2)*(6))))+(((8)-((1)*(1)))-((7)*((9)*(4)))))*((((7)*((5)*(9)))*((6)*((1)*(4))))*(((7)-((5)*(8)))*((4)-((6)-((6)+(1))))))))),((0)+(x)),AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithMult,FellTreeD|SubXD|MultXD|AddXD|SkipD|DivXD|MultXD|AddTreeWithDiv|AddXD|FellTreeD|AddTreeWithDiv|SkipD|DivXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,38,38,40,40,1
40,(x),20,-10,0.01873126072771638,0.015436964253375172,0.01999999999001845,0.02,187746634.20310998,0.03476538781683197,10018484969.854,0,1,1,0.20431209654977658,0,741273618710570600000,0,74127323728132570000000,0,(((((((6)+(1))+((2)*((8)-(6))))-(((4)*(8))+((3)*((1)+(7)))))+((((5)-(8))-((0)+((x)*(4))))-(((0)-((3)-(x)))*((x)+((8)-(8))))))*(((((4)*(3))*((x)-((3)*(8))))*(((7)*((9)*(8)))*((5)*((1)*(4)))))*((((4)*(7))*((2)*((6)*(8))))*(((2)*((5)*(x)))*((9)-((6)+(6)))))))+((((((4)*(6))+((6)-((7)-(8))))-(((3)-(4))-((x)*((3)+(3)))))*((((x)*(x))*((x)-((3)-(6))))+(((1)*(5))*((6)*((5)*(5))))))*(((((x)+(9))*((9)-((2)+(9))))-(((5)+(1))-((9)-((8)*(x)))))*((((5)*(x))*((9)*((1)+(0))))-(((2)*((7)+(2)))-((x)+((2)*((7)-(9))))))))),((0)+(x)),AddTreeWithAdd|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,SkipD|SubXD|MultXD|AddXD|AddXD|MultXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MultXD|AddXD|FellTreeD|SkipD|AddXD,AddToLeafR,AddXD,40,39,41,41,1
41,(x),20,-10,0.01844083092316072,0.005481287692528176,0.0199999999992264,0.02,2507831085.69285,0.3663377257956571,129265959018.812,0,1,1,0.4703373567648608,0,75601307016487170000000000000,0,14528339604348615000,0,(((((((x)+(4))+((4)+((4)-(2))))*(((4)*(8))+((2)-((3)*(1)))))-((((4)+(9))+((3)+((3)*(3))))+(((2)+((2)-(1)))-((5)-((9)-(5))))))*(((((x)*(0))*((1)-((2)-(6))))-(((9)+((4)+(2)))*((9)+((7)-(4)))))*((((4)-(3))+((6)-((8)*(x))))*(((x)*((1)*(4)))*((8)*((5)*(9)))))))-((((((0)-(3))-((6)*((x)+(8))))*(((x)*(9))*((4)+((7)*(5)))))*((((x)+(8))*((9)*((3)+(7))))-(((5)*(x))*((3)*((0)*(1))))))*(((((8)*(4))*((4)*((9)*(3))))+(((8)-(x))-((7)-((7)*(5)))))*((((5)+(6))+((4)-((6)+(0))))+(((9)-((1)-(8)))+((5)-((8)-((3)*(x))))))))),(((0)+(x))-((x)+(x))),ReplaceBranchR|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|MultXD|FellTreeD|AddXD|DivXD|MultXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|SubXD|SkipD|AddXD,AddToLeafR,FellTreeD,40,40,42,42,1
42,(x),20,-10,0.01899716742090275,0.01007601238216431,0.01999999990664815,0.02,37029190.00557999,11.024637062508868,1071216042.4360001,0,1,1,0.2794259470464124,0,17863087799902230000000,0,25265688801288626000,0,(((((((9)+((5)+(6)))+((8)+((5)+(3))))+(((2)+((x)+(4)))+((5)-((0)+(7)))))*((((7)*((7)-(5)))-((3)+((5)+(5))))+(((8)+((7)*(5)))-((3)*((7)*(x))))))+(((((0)*((2)*(8)))-((4)*((2)+(3))))+(((0)-((2)-(6)))+((6)*((3)+(1)))))+((((8)*((8)-(9)))+((1)+((2)*(6))))-(((7)-((1)+(0)))+((8)+((3)+(1)))))))+((((((0)+(2))*((6)-((6)*(6))))-(((1)*((7)*(2)))*((6)*((7)*(5)))))*((((5)*((5)*(3)))*((1)*((2)-(4))))+(((0)*((3)-(x)))-((5)*((3)*(1))))))*(((((x)*((1)*(6)))-((2)+((9)+(6))))*(((x)*((8)*(4)))*((6)*((4)*(3)))))*((((5)*((8)*(1)))*((x)*((2)*(5))))*(((5)*((6)*(4)))*((6)+((3)+((6)+(9))))))))),((0)*((x)+(x))),AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,FellTreeD|AddTreeWithDiv|DivXD|AddXD|AddXD|DivXD|SubXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|FellTreeD|MultXD|AddXD,AddToLeafR,AddXD,42,40,43,43,1
43,(x),20,-10,0.018290862084624656,0.02,0.01999999999906282,0.02,1082908938.67088,0,106703081361.979,0,1,1,0.31075152236119663,0,4177508918536020000000000,0,417750891823310950000000000,0,(((((((x)+(1))*((9)-((7)+(4))))+(((7)*(9))*((8)*((9)*(3)))))*((((6)*(9))*((1)*((5)+(4))))*(((9)-((1)*(8)))-((4)*((5)*(8))))))-(((((1)*(6))-((6)*((6)-(0))))+(((7)*((3)*(0)))+((6)*((9)*(7)))))*((((5)*(7))*((5)*((4)*(9))))-(((3)+((7)-(6)))*((4)+((6)*(0)))))))+((((((6)+(1))-((9)-((9)-(5))))*(((x)-(2))-((7)-((4)-(2)))))*((((3)-(1))*((x)+((5)-(9))))-(((1)*(8))*((1)+((1)*(0))))))+(((((5)+(8))*((8)*((2)+(9))))-(((8)*(x))-((0)*((x)-(5)))))-((((4)*(7))+((5)-((9)*(0))))+(((x)+((0)+(4)))*((9)*((0)+((6)+(9))))))))),((0)+(x)),AddTreeWithAdd|MutateTerminalR|AddToLeafR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|MultXD|MultXD|AddXD|MultXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddXD|DivXD|FellTreeD|AddXD|AddXD,AddToLeafR,AddXD,43,42,44,44,1
44,(x),20,-10,0.018881392375632088,0.016571835309424562,0.01999999999605746,0.02,338795765.5321199,0.1107418238886205,25364354349.328,0,1,1,0.19628798281939283,0,2645117901510888000000000,0,264511790118667300000000000,0,(((((((x)-(x))*((2)*((8)+(4))))*(((5)*(7))*((9)*((6)-(5)))))+((((0)*(3))+((5)*((4)-(4))))*(((4)*((9)*(4)))*((0)*((3)+(3))))))*(((((8)-(x))*((4)-((0)-(2))))*(((5)+((9)*(2)))-((8)*((2)-(8)))))-((((7)+(7))+((4)*((4)-(9))))-(((5)*((1)*(9)))*((5)*((2)-(8)))))))*((((((5)*(9))*((7)*((6)+(4))))*(((7)*(6))-((6)*((0)*(1)))))*((((x)*(8))*((8)*((5)*(6))))*(((0)-(6))-((5)*((9)-(3))))))*(((((x)-(5))*((9)*((3)*(4))))*(((7)*(x))*((2)*((5)*(2)))))+((((0)+(9))+((7)+((7)+(2))))+(((0)+((5)+(x)))-((2)*((9)+((5)*(4))))))))),((0)*((x)+(x))),AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR,AddXD|AddTreeWithDiv|DivXD|MultXD|AddXD|MultXD|MultXD|AddTreeWithDiv|FellTreeD|FellTreeD|FellTreeD|MultXD|FellTreeD|MultXD|AddXD,AddToLeafR,MultXD,44,43,45,45,1
