gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
12,0.17098231936958078,0.14106180998492038,0.4023401984394111,0.5861369132604703,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,11,11,16155449.166666668,16155449.166666668,((((((((5)*((7)/((6)+((0)*(2)))))*((x)*(x)))*((2)*((x)*(7))))*(x))*(x))*(x))+(x)),((((((x)-(8))/((((0)-(2))*(0))-((1)*(1))))*(((((x)*(6))/(7))+(((7)*((2)/(0)))+(6)))*((x)*((x)*(((0)/(x))+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
13,-0.04408322271139607,0.03630945340799165,0.20392163268148603,0.27903132573307066,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,12,12,3241264,3241264,((((((((5)*((7)+(9)))*(((8)+(8))*(x)))+(((5)/(x))*((x)-(7))))*(x))*(x))*(x))+(x)),(((((((8)/(0))*((x)-(x)))*((x)*(7)))+((((2)*(8))+((6)+((6)*(3))))*((x)*((x)*((x)-(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
14,0.1759553138576429,0.027449701268496003,0.5674018908436043,0.23358350124652655,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,13,12,179755115.9375,179755115.9375,((((((((5)*(x))*((x)*(x)))*((((4)*(8))*(6))-((x)+((x)/(8)))))*(x))*(x))*(x))+(x)),((((((((0)/(0))*((4)-(3)))+((6)*(x)))*((((8)/(2))*(3))/((7)-(2))))+(((9)*(4))+(0)))-(x))/(x)),5*x*x*x+2*x+7,3
15,-0.04173770920660473,0.10372886409417999,0.3998111971420246,0.3625578916382546,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,13,14,1885293.3333333335,1885293.3333333335,((((((((5)*((((3)+(0))+(8))/(9)))*((x)*(x)))*((2)-((x)+(7))))*(x))*(x))*(x))+(x)),((((((4)-(((x)*(0))*(9)))*((((9)*(8))-(3))*((x)+((2)/(6)))))*(((x)+(((6)/(0))/((3)/((x)-(4)))))+((x)*((x)*((x)+(x))))))-(x))/(x)),5*x*x*x+2*x+7,3
16,-0.016822487483833238,0.19320266753929957,0.4220488510694465,0.4342819871879768,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,14,15,2772300.333333333,2772300.333333333,(((((((((7)*(2))*(x))*((x)*(x)))+((2)*((x)-((5)/((2)+(1))))))*(x))*(x))*(x))+(x)),((((((4)/((2)+(5)))*(((x)*(6))*((4)+(5))))+((((9)/((0)*((5)*(8))))-((x)+((6)/(4))))*((x)*((x)*(x)))))-(x))/(x)),5*x*x*x+2*x+7,3
17,-0.024241859832010753,0.19384389349156145,0.16898075956723174,0.45824509192390694,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,16,16,77480990,77480990,((((((((5)*((7)-(4)))*((x)*(x)))*((2)*((x)+((9)*((4)+(8))))))*(x))*(x))*(x))+(x)),(((((((x)/(x))/((5)+(x)))-(((x)*(0))*(((x)*(2))+((6)/(0)))))*(((9)+(((4)-(5))+(((x)*(3))/(9))))*((x)+(0))))-(x))/(x)),5*x*x*x+2*x+7,3
18,0.02154135685612608,0.12153413575046594,0.38606009663880936,0.3137731464274564,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddToLeafR,17,17,20574718.6,20574718.6,(((((((((((2)+(5))+(6))*(8))*(x))*((x)*(x)))+((2)*((x)-(7))))*(x))*(x))*(x))+(x)),((((((5)*((9)/(7)))+(((4)-(x))*((x)+((3)/((0)*((6)/(4)))))))+((x)-((3)*(9))))-(x))/(x)),5*x*x*x+2*x+7,3
19,0.001206743957198647,0.2625939341132328,0.5554655178310497,0.43349623321031683,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,16,18,21397175.1,21397175.1,((((((((5)*(x))*((x)*((6)*(5))))*((2)-((x)+((3)/((2)-(8))))))*(x))*(x))*(x))+(x)),((((((5)*((x)*(x)))+(((3)/(9))+((x)+((7)/(9)))))-(((4)*((x)+((6)*(2))))*((x)*(((1)/((7)/(0)))*(((0)*(5))+((x)-(0)))))))-(x))/(x)),5*x*x*x+2*x+7,3
20,-0.03393903162732208,0.18277333420633637,0.44898743877395153,0.3881757036595196,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,19,18,43692455,43692455,((((((((5)*((5)+(x)))*((x)+((6)*(9))))*((2)*((x)+((x)/(1)))))*(x))*(x))*(x))+(x)),((((((5)*((x)*((1)/(0))))-((x)+(0)))*(((5)-(((2)*(3))*(1)))*((x)*((x)*((x)+((6)-(3)))))))-(x))/(x)),5*x*x*x+2*x+7,3
21,0.021519629180783095,0.0730181143009799,0.291957210401251,0.2668461382695389,MultXD,AddTreeWithDiv,MutateNonTerminalR|AddTreeWithDiv|AddToLeafR|AddToLeafR|MultXD|SkipD|MutateNonTerminalR|MultXD|MultXD|AddXD,AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|DivXD|ReplaceBranchXR|AddTreeWithMult,20,20,71221055,71221055,((((((((5)*(x))*(((9)*(8))*(x)))*((((8)-(7))/(7))*((x)*(7))))*(x))*(x))*(x))+(x)),((((((5)-((0)*(8)))*(((x)*(x))+((x)*(0))))*(((3)/((0)*(7)))*((x)*((4)*(2)))))-(x))/(x)),5*x*x*x+2*x+7,3
