gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.015225039188104108,0.01142857142857143,0.017596491008040435,0.01142857142857143,31281.688200000004,244.832,97439.9736,244.832,0.9353858427307373,0.28571428571428575,1.032592602851751,0,2240408.52,6120.8,7578277.28,6120.8,((((x)*(x))*((9)*(x)))*((x)*((x)-((x)*(x))))),(0),SkipD|AddTreeWithMult|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,21,21,22,22,4
22,x*x*x*x,25,-10,-0.013919869355748586,-0.011428571428571429,0.006670309830444219,0.01142857142857143,15420.845999999998,511.29400000000004,28822.7968,244.832,0.6412556053811659,0.28571428571428575,0.5638829374669192,0,869401.32,6120.8,1364938.4,6120.8,((((x)*(1))*((7)*(4)))*((8)*((x)*((x)*(x))))),(0),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,22,22,23,23,4
23,x*x*x*x,25,-10,-0.01280285228261926,0.01142857142857143,0.006113609361788463,0.01142857142857143,45013.43,244.832,133999.5848,244.832,0.952682738301451,0.28571428571428575,0.8876463381699509,0,3358848.42,6120.8,10348527.84,6120.8,((((x)*(x))*((x)*(x)))*((7)*((3)*((7)*(x))))),(0),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|AddXD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,23,23,24,24,4
24,x*x*x*x,25,-10,-0.015341393235778301,0.01142857142857143,0.00866314310691304,0.01142857142857143,81908.10919999999,244.832,238114.82559999998,244.832,0.9780461031833151,0.28571428571428575,0.9184547335749116,0,7585933.52,6120.8,22304195.2,6120.8,((((x)*(x))*((x)*(5)))*((9)*((9)*((9)*(x))))),(0),DeleteMaliciousR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,24,24,25,25,4
25,x*x*x*x,25,-10,-0.015901004314889753,0.01142857142857143,0.006172057690569399,0.01142857142857143,35005.3632,244.832,57784.73919999999,244.832,0.8878465416439985,0.28571428571428575,0.9318270074201191,0,2987433.46,6120.8,4366017.84,6120.8,((((x)*(6))*((9)*(4)))*((x)*((4)*((9)*(x))))),(0),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,25,25,26,26,4
26,x*x*x*x,25,-10,-0.022209105844177658,0.011435526635173743,0.014560719153677563,0.011464607801034414,28088.952999999994,244.77239999999998,104225.9904,244.5232,0.9304952215464813,0.28751610433743496,0.9069827967338533,0.0007732145051098922,1861647.0599999998,6114.84,7045040.8,6105.36,((((8)*(4))*((4)*(9)))*((x)*((x)*((x)*(x))))),((0)+((x)*(8))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,AddTreeWithMult,AddTreeWithDiv,26,26,27,27,4
27,x*x*x*x,25,-10,0.0008686122980369948,0.011459496424370299,0.02539349701490412,0.011535746961181547,128883.3108,244.567,283257.6472,243.9136,0.9637023593466425,0.2910730623447916,1.124460153538563,0.0023713191214375447,6191637.66,6098.62,13490243.2,6074.88,((((7)*(x))*((7)*(x)))*((x)*((9)*((5)*(x))))),((0)+((8)*(9))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,27,27,28,28,4
28,x*x*x*x,25,-10,-0.017661806999177028,0.011457337509569246,0.013659966799087257,0.011506339040648284,27665.007999999998,244.5855,86650.16880000001,244.1656,0.9141002415713178,0.2872920439905149,0.9732435690095566,0.000257780435541956,1633674.8199999998,6110.46,5700411.84,6107.28,((((9)*(x))*((1)*(x)))*((x)*((9)*((x)*(x))))),((0)+((9)*(2))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,28,28,29,29,4
29,x*x*x*x,25,-10,-0.013401603177764869,0.01146778198928245,0.03216613316340459,0.011524543943835543,39335.8548,244.49599999999998,139950.6024,244.00959999999998,0.9237368922783603,0.29044289261907885,0.9556184461391802,0.0019546969625572905,1609770.4,6104.43,6420719.2,6080.28,((((5)*(x))*((5)*(x)))*((x)*((6)*((7)*(x))))),((0)+((7)*(9))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,29,29,30,30,4
30,x*x*x*x,25,-10,-0.017273380136089655,0.011439984502492673,0.01430113662454437,0.011491495042664827,42479.2894,244.7342,133477.02079999997,244.29280000000003,0.9166179540311653,0.28813227029146526,1.0688014874516676,0.0010461531532191379,2107478.66,6112.9800000000005,5872535.2,6100.08,((((9)*(8))*((x)*(6)))*((3)*((9)*((9)*(x))))),((0)+((6)*(5))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,30,30,31,31,4
31,x*x*x*x,25,-10,-0.0058714191286660935,0.011442423492727376,0.017929206570898946,0.011467455234609856,127563.70539999998,244.7133,276827.4032,244.49880000000002,0.9728341172454876,0.2867972440577329,0.9433931602814223,0.00031565199505290554,8405283.86,6115.32,18024961.84,6111.52,((((x)*(x))*((4)*(8)))*((8)*((x)*((x)*(x))))),((0)+((3)*(4))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,FellTreeD,31,31,32,32,4
32,x*x*x*x,25,-10,-0.00614683891581866,-0.0025797278733520534,0.013046576941686532,0.01150923315346267,54779.83699999999,448.18919999999997,147886.4472,244.1408,0.9231174299486274,0.28946262860130334,0.30497125910790485,0.0021353847149916715,2824451.84,6115.77,6368985.84,6088.68,((((x)*(9))*((7)*(x)))*((5)*((9)*((4)*(x))))),((0)+((7)*(7))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,DeleteMaliciousR,32,32,33,33,4
33,x*x*x*x,25,-10,-0.009878627756990575,0.011458364452825965,0.020468233483301762,0.011510680209869863,234198.06200000003,244.57670000000002,876167.2384,244.12839999999997,0.9932641887622049,0.28995276061019115,0.8569254464786066,0.0019226048431491027,18526413.82,6108.94,72695623.84,6084.48,((((x)*(x))*((x)*(7)))*((x)*((x)*((x)*(x))))),((0)+((7)*(8))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,FellTreeD,33,33,34,34,4
34,x*x*x*x,25,-10,-0.016783826551574663,0.01147413036577852,0.0027423384674792285,0.01152029613309185,48123.236600000004,244.4416,113972.25839999999,244.046,0.9073168099896028,0.2905129114774913,0.9313869538450542,0.0020549590602172356,3120931.58,6097.71,5283201.84,6079.68,((((7)*(7))*((4)*(x)))*((x)*((8)*((6)*(x))))),((0)+((8)*(8))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,34,34,35,35,4
35,x*x*x*x,25,-10,-0.003931222912551448,0.011461281905259817,0.03392100857187095,0.0115090464365069,56912.692200000005,244.5517,170839.5936,244.1424,0.9420311942599668,0.28883245887559056,1.014240194160312,0.0014899984553707398,2388722.66,6108.87,8447025.84,6094.08,((((6)*(5))*((4)*(x)))*((x)*((x)*((x)*(x))))),((0)+((5)*(8))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,35,35,36,36,4
36,x*x*x*x,25,-10,-0.004420262629588876,0.01146296235786172,0.020269585059826793,0.011533693074668117,57264.650200000004,244.5373,172903.9248,243.9312,0.964711071901191,0.28813227029146526,0.7300472917835777,0.0012232120663005833,3979279.78,6110.469999999999,13875853.6,6100.08,((((x)*(4))*((9)*(7)))*((9)*((x)*((x)*(x))))),((0)+((6)*(5))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,36,36,37,37,4
37,x*x*x*x,25,-10,0.0000068738663068862446,0.01147354687529175,0.037957320658807484,0.01156450137236963,144920.38780000003,244.44659999999996,476782.4527999999,243.6672,0.9753010188329732,0.28995276061019115,0.6802901729132022,0.001260814078390783,5407726.8,6108.57,19825271.2,6084.48,((((9)*(8))*((5)*(9)))*((x)*((x)*((x)*(x))))),((0)+((7)*(8))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,37,37,38,38,4
38,x*x*x*x,25,-10,-0.012423476972958527,0.011461982093843946,0.02862448749851281,0.011596710047239394,138115.0908,244.54569999999995,444244.84719999996,243.39120000000003,0.9806833064479787,0.2917032320705044,0.9571495694251092,0.002728116660748944,6364643.32,6103.709999999999,25349265.84,6069.48,((((x)*(8))*((9)*(5)))*((x)*((x)*((x)*(x))))),((0)+((9)*(9))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,38,38,39,39,4
39,x*x*x*x,25,-10,-0.015264578082706464,0.011449927180387252,0.019737546162225474,0.01149373564613403,94527.96180000002,244.649,318054.0928,244.27360000000002,0.9833972014486815,0.28771215714099,0.9746871635851777,0.0008849492009459563,8686410.6,6109.950000000001,29492859.2,6103.68,((((x)*(x))*((x)*(x)))*((7)*((x)*((5)*(x))))),((0)+((4)*(6))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,39,39,40,40,4
40,x*x*x*x,25,-10,-0.007993637289890531,0.011474223724256404,0.02035763471935959,0.01150097092816999,82901.9112,244.44080000000002,236000.74880000003,244.2116,0.9588265568708183,0.2885523834419405,0.905874168167927,0.0006588059798173068,4318224.4,6104.02,11892714.4,6096.48,((((9)*(3))*((8)*(x)))*((9)*((x)*((x)*(x))))),((0)+((6)*(6))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,DeleteMaliciousR,40,40,41,41,4
41,x*x*x*x,25,-10,-0.0008320664203365758,0.01146793369680901,0.036668610843563584,0.011506012285975696,123208.01,244.49470000000002,386016.98079999996,244.16839999999996,0.9602977667493796,0.2879222137162276,0.8857854996667739,0.0005574342908290781,4423732.38,6108.24,12333412,6101.88,((((x)*(x))*((6)*(8)))*((7)*((6)*((x)*(x))))),((0)+((3)*(9))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithDiv,41,41,42,42,4
42,x*x*x*x,25,-10,-0.019055585132976834,0.0026253477566974505,0.009343482392974329,0.011756236346322614,64120.944,2895.8963499999995,222429.872,242.02419999999998,0.9691238903898108,0.2917032320705044,1.086233753495335,0.003057279908711914,4619462.4,6108.719999999999,15858992.8,6069.48,((((x)*(6))*((x)*(8)))*((6)*((9)*((x)*(x))))),((0)+((9)*(9))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|MultXD|AddRandomSubTreeR,AddTreeWithMult,MultXD,42,42,43,43,4
43,x*x*x*x,25,-10,0.008160248599820698,0.01143446468248782,0.03736475407995226,0.011463020706910396,158022.8624,244.78150000000002,343607.2208,244.5368,0.9678020438853071,0.2865311723957653,0.9711067926554611,0.0007733119562724575,8675667.46,6118.01,15207921.84,6113.8,((((x)*(x))*((9)*(x)))*((8)*((3)*((x)*(x))))),((0)+((0)+(9))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithMult|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,AddTreeWithMult,43,43,44,44,4
44,x*x*x*x,25,-10,0.01364491322014425,0.011454034953414122,0.031546750679560184,0.011486266967903358,211988.78739999997,244.61379999999997,574529.2952,244.33759999999998,0.9844781494006167,0.2877821759994026,0.7201933042709373,0.0007130511587267909,10311463.18,6109.49,31546753.84,6103.08,((((x)*(8))*((7)*(8)))*((x)*((x)*((x)*(x))))),((0)+((5)*(5))),SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MultXD,AddTreeWithDiv|FellTreeD|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,DeleteTerminalR,44,44,45,45,4
45,x*x*x*x,25,-10,-0.013967655612736949,0.005742095843369372,0.021680000015628854,0.011507821106484684,35152.6738,311.20919166666664,116198.4904,244.15290000000002,0.8434442270058709,0.28981272289336596,0.808832030738149,0.002020217206027218,1188102.8599999999,6109.88,3127728.8,6085.68,((((x)*(4))*((8)*(4)))*((4)*((x)*((x)*(x))))),((0)+((6)*(9))),SkipD|AddTreeWithMult|AddTreeWithMult|SubXD|MultXD,AddTreeWithDiv|DeleteMaliciousR|FellTreeD|DeleteMaliciousR|AddRandomSubTreeR,AddTreeWithMult,DeleteMaliciousR,45,45,46,46,4
