gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
22,x*x*x*x,25,-10,-0.039499927501307014,0.011605859178071963,-0.03949981620049667,0.012012341990776186,244.8675,243.31279999999998,244.922,239.8296,-0.9874959155665927,0.3086664675019139,0.000002042216703690425,0.010655610333988949,6122.3,6049.799999999999,6122.8,5924.12,(((x)*((x)*(0)))*((0)-(x))),(((6)*((x)*(x)))-((9)-((1)*(3)))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,22,22,23,23,3
23,x*x*x*x,25,-10,-0.039499973042739514,0.011549283940474638,-0.03949983662266371,0.011738428216666359,244.84520000000003,243.79760000000002,244.912,242.17680000000001,-0.9874959155665927,0.2990458763560319,0.000002042216703690425,0.004916119515382836,6121.3,6066.32,6122.8,6006.56,(((0)*((x)*(x)))*((0)-(x))),((7)*((8)*(4))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,23,23,24,24,3
24,x*x*x*x,25,-10,-0.03949994894458241,0.0116086716022182,-0.03949991831133185,0.012136742162555786,244.857,243.28869999999998,244.872,238.7636,-0.9874959155665927,0.306733947009728,0.000002042216703690425,0.009772992834702595,6122.3,6064.61,6122.8,5940.68,((0)*((0)-(x))),(((7)*(9))*((7)-(0))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,24,24,25,25,3
25,x*x*x*x,25,-10,-0.03949991831133185,0.012241922157701141,-0.03949983662266371,0.01786293108277163,244.872,237.8623,244.912,189.6952,-0.9874959155665927,0.5958978284818045,0,0.1499050995536078,6122.8,5376.3,6122.8,3462.8,((0)*((x)-(x))),((((0)-(x))*((2)-(x)))*((6)*((3)*(8)))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,25,25,26,26,3
26,x*x*x*x,25,-10,-0.03949992852241537,0.011107913950092769,-0.03949983662266371,0.0176974065014844,244.86700000000002,248.6022,244.912,191.11360000000002,-0.9874959155665927,0.5850028941128145,0.000002042216703690425,0.1473757989241357,6122.3,5450.38,6122.8,3556.16,(((x)*((x)*(0)))*((0)-(x))),((((x)*(x))*((9)*(x)))+((7)*((5)-(0)))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,26,26,27,27,3
27,x*x*x*x,25,-10,-0.03949992852241537,0.000060729689863137096,-0.03949983662266371,0.011765175420579945,244.86700000000002,377.5426,244.912,241.94760000000002,-0.9874959155665927,0.29620777862837727,0.000002042216703690425,0.004984142084605685,6122.3,6093.4400000000005,6122.8,6030.88,(((x)*((x)*(0)))*((x)-(x))),((6)*((9)*(x))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,27,27,28,28,3
28,x*x*x*x,25,-10,-0.03949994894458241,0.011617739044382623,-0.039499877466997776,0.012024758668334674,244.857,243.21099999999998,244.892,239.7232,-0.9874959155665927,0.32468211438280714,0.000002042216703690425,0.017308284761165558,6122.3,6003.74,6122.8,5786.88,(((x)*((0)*(0)))*((x)-(x))),((x)*((6)*(x))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,28,28,29,29,3
29,x*x*x*x,25,-10,-0.03949991831133185,0.01152974867897754,-0.03949983662266371,0.011875711858393865,244.872,243.96500000000003,244.912,241.0004,-0.9874959155665927,0.3029109173404038,0.000002042216703690425,0.008598315813059032,6122.3,6083.96,6122.8,5973.44,((0)*((x)-(x))),((6)*((9)*(6))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,29,29,30,30,3
30,x*x*x*x,25,-10,-0.039499959155665926,0.011480408723416175,-0.039499877466997776,0.011700804750079357,244.852,244.3878,244.892,242.49920000000003,-0.9874959155665927,0.29308960546707247,0.000002358148727238434,0.0034943643028471074,6121.8,6076.040000000001,6122.8,6057.6,(((x)*((x)*(0)))*((0)-(x))),((6)*((2)*(9))),MultXD|SubXD|DeleteTerminalR|MultXD|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,30,30,31,31,3
31,x*x*x*x,25,-10,-0.03949990810024834,0.011661780906324106,-0.03949983662266371,0.012138329256679802,244.877,242.83360000000002,244.912,238.75,-0.9874959155665927,0.31179864443490124,0.000002042216703690425,0.013042179360307743,6122.3,6064.92,6122.8,5897.28,(((0)*((x)*(x)))*((x)-(x))),((x)*((4)*(x))),MultXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MultXD,DeleteNonTerminalR,31,31,32,32,3
