gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03690902823160371,-0.002263914258821905,-0.032743915827996344,0.0009017121944843843,472.9805,344.4257,1110.326,239.31279999999998,-0.3944373284537969,0.023447915305188936,0.27775461008526503,0.01074088998289354,29009.440000000002,6071.85,92663.2,5977.28,(((x)*((4)*(7)))*((7)*((9)*(x)))),(((4)*(4))*((6)*(x))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SubXD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,MultXD,21,20,22,22,0
22,x*x*x*x,25,-10,-0.03833664815056856,0.00031801575775077965,-0.038137689190955434,0.0018223108090445702,254.5261,242.8861,284.9708,233.678,-0.9398261665141813,0.07967585936478896,0.01021125899292431,0.04030631640686505,6865.09,6000.5,9207.8,5633.12,((((4)+(6))-((3)*(0)))-((7)*((9)*(7)))),((((2)-(9))*((x)*(5)))-((6)+((x)-((x)*(x))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SubXD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,SubXD,22,20,23,23,0
23,x*x*x*x,25,-10,-0.03847522872827081,-0.0027869898041175413,-0.038296319435367925,0.0028694288328323103,233.32049999999998,321.5451,260.69719999999995,227.2688,-0.9594771925238532,0.24249117762383998,0.0002630833072247827,0.11779493474960903,6140.5,5715.74,6200.8,4636.56,((((x)*(x))-((6)*(x)))*((3)+((8)-(6)))),((((x)*(9))*((3)-(0)))-((3)+((x)*(x)))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,AddXD,23,23,24,24,0
24,x*x*x*x,25,-10,-0.03841689975166645,0.000258107086200497,-0.038391619396157366,0.0011951378904718343,242.24599999999998,243.2776,246.1144,237.5168,-0.9599053718468175,0.04671284799372632,0.00007822697034212065,0.020863787101615693,6120.71,6005.96,6135.28,5834.88,(((x)+(0))*((0)-(7))),((((x)-(3))*((2)*(7)))-((8)*((x)+((x)*(x))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MultXD|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,AddXD,23,23,25,25,0
25,x*x*x*x,25,-10,-0.03844395765259443,-0.00004591126415932748,-0.038362851914782385,0.005733237485296041,238.10559999999998,252.4111,250.5164,209.74,-0.9569739903280617,0.4886420075807084,0.0015906428344638454,0.24266936807288936,6221.3,5357.6,6583.84,3129.92,(((x)*((7)*(3)))-((2)*((x)*(x)))),((((x)*(6))-((1)*((x)-(2))))*((7)+((6)+((x)*(x))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MultXD|AddToLeafR|ReplaceBranchR,AddRandomSubTreeR,AddToLeafR,25,24,26,26,0
26,x*x*x*x,25,-10,-0.03846549078551823,-0.0033025928107384985,-0.03837705920794667,0.0053323748529603985,234.81059999999997,506.6456,248.34239999999997,212.1936,-0.9577059207946674,0.23264932688537446,0.001349174392995081,0.11209662713805621,6176.92,5725.219999999999,6471.84,4696.8,(((3)-((x)*(x)))*((3)+(4))),((((x)*(0))-((9)*((x)-(3))))*((5)-((6)+((x)*(x))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,26,26,27,27,0
27,x*x*x*x,25,-10,-0.03844644883021827,-0.00331457157916155,-0.038370199973859626,0.012028100901842895,237.72440000000003,301.13228571428573,249.392,171.21040000000002,-0.9584315775715594,0.5783427003006143,0.0007789176212952528,0.2845829444226367,6182.05,5188.99,6360.8,2580.88,(((4)-(9))*((8)*(6))),((((x)*(0))+((9)*(6)))+((x)+((x)-((8)*(x))))),AddToLeafR|SubXD|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddToLeafR,AddTreeWithSub,27,26,28,28,0
28,x*x*x*x,25,-10,-0.0384629852306888,0.0020475656474483682,-0.03838385831917397,0.017639393543327667,235.19400000000002,239.49019999999996,247.30200000000002,136.8648,-0.9599869298130964,0.5570382956476277,0.000058704396855111835,0.2676439200071089,6117,5157.49,6122.8,2711.28,((1)*((0)-(2))),((((x)*(5))+((5)*((x)*(4))))+((5)+((1)-((6)*(x))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,28,26,29,29,0
29,x*x*x*x,25,-10,-0.03744027512743433,0.0008813980447057837,-0.03437437981963142,0.005571036465821462,391.68910000000005,239.4551,860.8324,210.7328,-0.55832021957914,0.21837668278656389,0.2029061038903325,0.10801190562380102,21043.04,5775.74,67585.84,4784.16,(((7)*((5)*(x)))*((8)*((5)*(8)))),((((3)*(9))-((7)*(x)))*((4)+((x)*(x)))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,29,26,30,30,0
30,x*x*x*x,25,-10,-0.03813328715200628,0.00146116109091314,-0.03702603581231212,0.005522938178015945,285.6444,235.89680000000004,455.0760000000001,211.02720000000002,-0.8292040256175663,0.47802901581492613,0.06681167678770825,0.23636474692405798,10825.580000000002,5364.75,26135.2,3194.88,(((2)*((9)*(4)))*((8)*((x)*(x)))),((((x)*(9))+((1)*(x)))-((8)*((8)+((x)*(x))))),AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddToLeafR,AddTreeWithSub,30,26,31,31,0
31,x*x*x*x,25,-10,-0.03813960135929943,-0.0020988879618605875,-0.03712740818193701,0.0011713501503071509,284.6782,270.3236,439.564,237.6624,-0.8324977127172919,0.027395111750098074,0.06649189284826672,0.0031491895919897534,10541.24,6076.0599999999995,25631.2,5953.12,((((3)*(9))*((x)*(3)))*((7)-((0)*(x)))),((x)*((3)*(x))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,31,26,32,32,0
32,x*x*x*x,25,-10,-0.038479634688276046,0.0018944662700811422,-0.03829577832963011,0.013616390014377207,232.6463,233.32940000000002,260.78,161.4888,-0.9598300875702523,0.5373480590772448,0.00025956925020889816,0.2783866602422583,6107.51,5384.530000000001,6146.8,2831.8,(((8)+((0)+(5)))*((x)-(4))),((((x)*(x))*((2)-(1)))*((9)*((9)+((9)-(x))))),AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,32,26,33,33,0
33,x*x*x*x,25,-10,-0.03823867010848256,-0.0003862710931620952,-0.03773275650241799,0.00046850084956214904,269.5187,247.5625,346.9336,241.96439999999998,-0.9169206639654948,0.022748660305842338,0.021490773310586145,0.010388358259628229,7780.110000000001,6046.28,12712.8,5981.56,(((x)*((x)+(9)))*((x)*((0)-(8)))),((((7)*(7))*((2)*(3)))*((1)+((5)-(4)))),MultXD|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddXD|SkipD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,33,26,34,34,0
