gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
88,x*x*x*x,25,-10,-0.03801883675336557,0.00013130643190050687,-0.03756477846033199,0.00047869559534701345,303.1576,244.02830000000003,372.63759999999996,241.90200000000002,-0.8768804077898313,0.03876617435629325,0.04573145602047528,0.019383087178146623,11992.539999999999,6061.48,18839.76,5883.52,((((0)-(8))*((8)*(3)))*((8)+((4)*(x)))),(((7)/((2)*(4)))*((8)*((6)-(0)))),MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddToLeafR|DeleteMaliciousR,MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,87,88,89,89,4
89,x*x*x*x,25,-10,-0.038236580839106,0.00010609639863251759,-0.03777776499803947,0.00045072539537315557,269.8384,244.18490000000006,340.0464,242.07319999999999,-0.9254988890341131,0.03488432884590257,0.016276048437756683,0.018806841808711287,7832.639999999999,6075.54,11400.16,5907.28,((((x)*(3))+((3)+(7)))*((0)-((x)*(x)))),((((0)+(9))*((x)+(9)))*((x)/((3)-(0)))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithAdd,DeleteNonTerminalR,89,88,90,90,4
90,x*x*x*x,25,-10,-0.03831683440073193,0.00002452205967969305,-0.03772454319696772,0.00011534439942491236,257.55800000000005,244.6821,348.1904,244.12599999999998,-0.9312978695595348,0.0030910992027186105,0.013938933191461486,0.0013146357469377334,7339.42,6113.83,10512.8,6101.88,(((9)*((x)*(x)))*((0)-((3)-(x)))),((3)*(9)),MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddToLeafR|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,MutateNonTerminalR,DeleteNonTerminalR,90,88,91,91,4
91,x*x*x*x,25,-10,-0.03839707423866162,0.000049012513264363436,-0.038149611815448965,0.00025310416938962535,245.27970000000002,244.53329999999997,283.14639999999997,243.28279999999998,-0.9365170565939093,0.020389491569729475,0.011968400742291989,0.009807248310521344,6970.5,6085.719999999999,9714.16,5996,((((x)*(x))*((x)*(5)))-((0)+((7)-(8)))),(((8)-((x)-(0)))*((1)+((x)*(x)))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithSub,DeleteNonTerminalR,89,88,92,92,4
92,x*x*x*x,25,-10,-0.03827847470918835,0.00013021207058167567,-0.03776541105737812,0.0004685662004966689,263.4278,244.035,341.9368,241.96400000000003,-0.9220912299045876,0.04058293033590389,0.020216257333000257,0.020136500871330763,7331.200000000001,6057.219999999999,11921.6,5872.4,((((x)*(x))*((x)*(6)))-((x)+((5)+(0)))),((((2)+(4))*((x)+(3)))-((4)*((0)*(x)))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MultXD|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,89,92,93,93,4
93,x*x*x*x,25,-10,-0.03802295843680564,-0.004950678199428463,-0.0365832021957914,0.00022519932035028122,302.52689999999996,311.145625,522.8384000000001,243.4536,-0.8541377597699648,0.00997255260750228,0.052665048723654316,0.004788891927279753,10452.32,6097.66,22319.84,6059.76,((((7)*(8))-((9)*(x)))*((x)*((0)+(x)))),((5)*((7)*(x))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MultXD|AddTreeWithDiv|AddTreeWithSub|DeleteNonTerminalR|SkipD,AddTreeWithAdd,SkipD,89,93,94,94,4
94,x*x*x*x,25,-10,-0.03842101555352242,-0.000042438672237511997,-0.03809040909685009,0.00005273820415632051,241.61619999999996,245.09609999999998,292.2056,244.5092,-0.9494675205855443,0.0033851784080512768,0.0049736111398936906,0.0018370930075292274,6635.719999999999,6113.719999999999,7732.48,6100.08,((((3)*(0))-((3)+(2)))*((x)*((x)*(x)))),((5)*(6)),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithDiv|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,94,94,95,95,4
95,x*x*x*x,25,-10,-0.03827324924846425,-0.0056301429220359574,-0.037842242844072664,0.0006297216050189527,264.2274,317.5016,330.18,240.97760000000002,-0.926690890079728,0.0009410534570644716,0.01693216939162899,0.0005036730516276014,7445.84,6119.610000000001,11217.76,6115.04,((((x)*(x))*((5)*(2)))+((x)*((5)-(0)))),(((9)-((2)+(5)))+((8)-(x))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithDiv|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteTerminalR|ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,94,95,96,96,4
96,x*x*x*x,25,-10,-0.040818795364440386,-0.00997162750376653,-0.03730190563325056,0.00011429878447261802,257.2579333333333,377.8894,412.86240000000004,244.13240000000002,-0.8504650372500328,0.004267416024049126,0.0551372317514643,0.0019459153194065154,10227.96,6109.3099999999995,22881.84,6094.68,((((5)+(1))*((x)*(x)))*((x)*((8)-(0)))),(((9)*((5)-(6)))-((0)-((0)-(0)))),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteMaliciousR|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,96,96,97,97,4
97,x*x*x*x,25,-10,-0.03837222585282969,-0.0000006277876489541858,-0.03783491831133186,0.00006365181022088622,249.08199999999997,244.83737083333332,331.30080000000004,244.44240000000002,-0.9286315514311856,0.0028100901842896056,0.02090406741663462,0.0014371374255963086,6590.32,6110.9087500000005,10920.8,6103.6,((((5)+(x))+((0)*(0)))-((8)*((x)*(x)))),((x)*(9)),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteMaliciousR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,97,96,98,98,4
98,x*x*x*x,25,-10,-0.03833347144164162,-0.004971194766286018,-0.038093399555613645,0.00011423343353810268,255.0122,311.2715875,291.748,244.13279999999997,-0.9343824336688016,0.002502940792053427,0.012808783165599247,0.0010472253615025457,7100.799999999999,6114.2300000000005,10040.8,6105.48,((((0)-(7))*((4)+(1)))*((x)*((2)*(x)))),((3)*(7)),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|MultXD|DeleteNonTerminalR|ReplaceBranchR,AddRandomSubTreeR,MultXD,98,96,99,99,4
99,x*x*x*x,25,-10,-0.03814382433668802,0.00003101115240671186,-0.037375297346752066,0.00008783165599268401,284.032,244.6422,401.63199999999995,244.29439999999994,-0.9343824336688016,0.002502940792053427,0.012808783165599247,0.0010472253615025457,7100.799999999999,6114.2300000000005,10040.8,6105.48,((((0)-(7))*((4)+(1)))*((x)*((2)*(x)))),((3)*(7)),AddTreeWithSub|AddRandomSubTreeR|SkipD|AddTreeWithAdd|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|MultXD|DeleteNonTerminalR|ReplaceBranchR,AddRandomSubTreeR,MutateNonTerminalR,98,96,99,99,4
