generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
42,0.9999256084294106,0.00007439157058935536,0.9999999999562784,0.0010800103178716083,0.9999999999562784,0.0010800103178716083,StrategySkip,StrategyAddTreeWithMult,42,42,(((1)0((0)0((8)+(1))))*(((5)-((5)+(5)))*((7)*(x)))),((((1)0((x)-(6)))0((0)*((9)+(5))))*((((x)+(2))*(0))+((8)*(((8)*((7)*(7)))-(4))))),10000*x*x*x,2
43,0.9997195753716621,0.0002804246283378091,0.9999999999394579,0.0033534203037444105,0.9999999999394579,0.0033534203037444105,StrategySkip,StrategyReplaceBranch,43,43,(((1)0((0)0(x)))*(((0)-(((9)+(6))+(x)))*((x)*(x)))),((((x)+(0))-(1))*((x)-(6))),10000*x*x*x,2
44,0.9992020894080526,0.0007979105919473717,0.9999999998594896,0.019533233026849322,0.9999999998594896,0.019533233026849322,StrategySkip,StrategySkip,44,44,((((3)+(9))0((0)0((5)+(8))))*((x)*((x)*((5)-(4))))),((((1)0(0))0(((0)*(0))+((6)-((x)+(5)))))+(((x)-(5))*((x)*((x)*(x))))),10000*x*x*x,2
45,0.9990602854669564,0.0009397145330436249,0.9999999999325834,0.026983144920966463,0.9999999999325834,0.026983144920966463,StrategySkip,StrategyAddRandomSubTreeX,45,45,(((1)0(((2)+(6))0((2)+(8))))*((x)*(((0)-(0))*(x)))),((((1)0(0))-((2)0((0)*((7)*(4)))))+((3)+((((x)*(5))+(8))*((x)*((x)-(8)))))),10000*x*x*x,2
46,0.9986312402403961,0.0013687597596040138,0.999999999943056,0.029700189769889633,0.999999999943056,0.029700189769889633,StrategyAddTreeWithAdd,StrategyReplaceBranch,46,46,(((1)0(((5)+(x))0(0)))*((x)*(((9)-(4))*((5)+(x))))),((((1)-(9))0(((x)-(0))0(((9)+((4)*(9)))+(8))))*((3)-((x)+(x)))),10000*x*x*x,2
47,0.9993906149601155,0.0006093850398845472,0.9999999999463759,0.006636225465711735,0.9999999999463759,0.006636225465711735,StrategyAddTreeWithAdd,StrategyAddRandomSubTree,47,47,((((3)+(7))0(((0)-((5)+(8)))0(0)))*((x)*((x)*(0)))),(((x)-(x))+((0)*((x)*((x)*((8)*(8)))))),10000*x*x*x,2
48,0.9987111330318889,0.0012888669681113826,0.9999999999631061,0.023340290643594417,0.9999999999631061,0.023340290643594417,StrategySkip,StrategyReplaceBranch,48,48,(((1)0((0)0(0)))*((x)*((x)*(((6)+(5))-((3)+(0)))))),(((x)*(6))0((0)*((x)*((8)+(9))))),10000*x*x*x,2
49,0.9983023796288676,0.0016976203711322124,0.9999999999330059,0.02996999418522356,0.9999999999330059,0.02996999418522356,StrategySkip,StrategyAddRandomSubTreeX,49,49,(((1)0(((1)-((8)+(3)))0(0)))*(((3)+(7))*((x)*(5)))),((((3)*(2))-(x))*((4)*((x)+(x)))),10000*x*x*x,2
50,0.9999975929254448,0.005714540316181166,0.9999999999330059,0.02996999418522356,0.9999999999330059,0.02996999418522356,StrategySkip,StrategyAddRandomSubTreeX,49,49,((((1)0(1))-((8)+((3)0(0))))*((3)+((7)*((x)*(5))))),(((3)*((2)-(x)))*((4)*((x)+(x)))),10000*x*x*x,2
1,0.9912443195298447,0.00875568047015529,0.9999999831923031,0.05997052757662982,0.9999999831923031,0.05997052757662982,StrategyAddSubX,StrategySkip,1,1,((((x)*(2))0((0)0((7)-(8))))*((5)*(((x)*((x)-(x)))*(x)))),((((x)-(7))0((x)*(((x)+(x))*((5)+(3)))))0(((0)*(x))*((2)+((0)+(2))))),10000*x*x*x,3
