gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
41,x*x*x*x*3*x+1,25,-10,-0.053628999578608824,-0.024139673731415033,-0.03692265577365257,0.0034381755511316346,NaN,NaN,16254.393723076924,7724.717951648352,-0.8772944563139974,0.3440597278848457,0.0412427931792621,0.17198031832265362,321370.79000000004,193089.40000000002,648125.16,138585.88,((((x)+(7))-((2)*((x)*(x))))*(((x)*(3))*((x)+((4)*(6))))),((((x)*((8)+(9)))*((8)+((1)*(0))))*(((x)-(0))*((x)+((1)*(x))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddXD|ReplaceBranchR,AddTreeWithMult|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,DeleteMaliciousR,41,41,42,42,2
42,x*x*x*x*3*x+1,25,-10,-0.037974522122963934,0.000039259367280798295,-0.03662794522104031,0.00010477181270950031,10698.483,8442.833400000001,17811.0416,8428.992,-0.7871935902520942,0.009763809044189152,0.08645359296580175,0.004799581202086298,439069.22,210497.46000000002,1124033.88,209215.32,((((x)*(x))*((x)*((8)+(3))))*(((3)*(8))+((8)+((8)*(7))))),((((x)+(5))*((3)*((x)+(0))))*(((x)-(4))+((0)*((7)*(x))))),AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchR,AddTreeWithMult|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,DeleteMaliciousR,41,41,43,43,2
43,x*x*x*x*3*x+1,25,-10,-0.03759894433027165,0.00007329013364070297,-0.03509177666223964,0.00033082069044511065,12682.268,8435.6434,25925.0148,8381.2328,-0.7234384086952653,0.02575902293752979,0.11829147092573451,0.012877052140511831,523570.56999999995,209916.84000000003,1460785.88,205835.88,((((x)*(x))*((x)*((x)*(5))))*(((4)-(5))*((9)*((x)-(5))))),((((0)*((x)*(0)))-(((6)*(0))-((x)*(5))))*(((2)+(6))+((3)-((7)*((8)*(x)))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddXD|ReplaceBranchR,AddTreeWithMult|DeleteTerminalR|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithMult,41,43,44,44,2
44,x*x*x*x*3*x+1,25,-10,-0.036457498180124594,-0.004971053773699195,-0.030598655687146144,0.00021562092066290014,18711.335199999998,7998.734299999999,49657.4776,8405.572,-0.1798643570420423,0.0016660497864900402,0.39006710079210594,1.0002593905888517,1241444.2499999998,166568.3,4331919.56,210926.2,((((x)*(x))*((x)*((0)-(9))))*((9)*((8)*((x)+(1))))),((((6)+(2))+((5)*((0)*(x))))+((x)/((3)+((x)*(x))))),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR,AddTreeWithDiv|DeleteTerminalR|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithMult,MultXD,43,44,45,45,2
45,x*x*x*x*3*x+1,25,-10,-0.03843829767576589,0.000006496647548114383,-0.038391038469657544,0.000026588640001666487,8248.8414,8449.7554,8498.4624,8445.510400000001,-0.959130503762338,0.0021204270009873238,0.000795504118984905,0.0010301009714017498,211169.34000000003,211155.16,215870.84,210830.2,((((x)*(x))*((4)-(9)))*((7)*((3)*(1)))),(((7)+((2)+(9)))*((6)*(x))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR,ReplaceBranchXR|DeleteTerminalR|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,AddTreeWithAdd,45,45,46,46,2
46,x*x*x*x*3*x+1,25,-10,-0.038242356191978154,-0.00099688758527321,-0.03785205591490272,0.00468977111694439,9283.7955,11599.3218,11345.344,7460.281599999999,-0.9137320556498493,0.16098206061960013,0.021826967327027647,0.08055066020690534,289993.73000000004,202794.09999999998,455663.4,177266.2,((((x)*((3)*(8)))*((1)*((6)*(x))))*(((7)+(4))*((x)+((0)-(6))))),((((x)*((9)-(4)))+((1)*((x)*(x))))*(((1)-(9))*((0)+((0)-((x)*(x)))))),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|SkipD,AddTreeWithSub,SubXD,43,46,47,47,2
47,x*x*x*x*3*x+1,25,-10,-0.03838119724609543,-0.001274058600865827,-0.038172239180379236,0.0007733500190743774,8550.4433,9136.7582,9654.1504,8287.736,-0.9506932035581522,0.07650576349098014,0.004653425989083064,0.03711383739433868,223567.5,206804.3,260436.28,195114.2,((((x)*(x))*((5)*((0)*(9))))-((6)*((x)*((x)*(2))))),((((9)*(x))*((0)+(5)))*((6)-((0)*((8)+(5))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|SkipD,DeleteMaliciousR,AddToLeafR,47,46,48,48,2
48,x*x*x*x*3*x+1,25,-10,-0.03648630577125326,-0.007070767961171517,-0.030321054230867173,0.002917745418126434,18559.1748,181449.7992,51123.755999999994,7834.672,-0.3210433863976502,0.1458872709063217,0.3202999831480147,0.07294369808504644,1048568.6,203572.5,3586218.28,180455.4,((((x)*(x))*((x)*((8)*(x))))-(((3)*(3))*((5)*((5)+(1))))),((((1)+((8)-(1)))*(((7)-(2))*((1)*(3))))*(((x)*(3))*((3)+((8)-((0)*(x)))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|SkipD,AddTreeWithSub,AddToLeafR,47,46,49,49,2
49,x*x*x*x*3*x+1,25,-10,-0.03825163224601497,-0.002443297259042637,-0.03770908407966369,0.00007689212636925346,9234.7998,30979.135,12100.514799999999,8434.8824,-0.8909087487492794,0.0039042362155679317,0.03454579476158571,0.0020883698251212652,302511.07999999996,211110.04,576215.08,210453.32,((((x)*(8))*((5)*((x)*(x))))*((3)*((x)*((8)-(7))))),((((6)*((8)*(4)))-(((7)*(x))+((1)*(0))))+(((1)*((x)*(3)))*((2)-((6)-((x)*(x)))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR,AddTreeWithMult|SubXD|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,MultXD,49,48,50,50,2
50,x*x*x*x*3*x+1,25,-10,-0.03685671623480321,-0.008893163286122297,-0.03206435253613482,0.004566177721797359,16602.6834,217323.2555,41915.732800000005,7496.176799999999,-0.327593688321843,0.5174750636838065,0.31520096010744864,0.2587971617390085,1054785.3,183964.3,3551619.88,101947,((((x)*(2))*((9)+((9)*(x))))*(((x)*(8))*((2)*((x)+(1))))),((((0)-((9)*(8)))*((x)*((4)*(0))))-(((x)+(1))-((3)+((x)*(x))))),AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR,AddToLeafR|SubXD|MultXD|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithSub,AddToLeafR,47,50,51,51,2
