gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.06180477681085886,-0.03499772626302828,-0.05919995229039248,-0.019790239441015052,NaN,NaN,NaN,NaN,-0.96,0.019874191153338758,0.0000017432219760970174,1.0000863363173569,211272.86,166687.26416666666,211278.2,207079.21666666667,((9)*(0)),((((5)/((6)*(x)))*(((x)*(x))-((3)*(x))))+(((8)/(9))+((7)-((0)-((x)*(x)))))),AddToLeafR|FellTreeD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithMult,MutateNonTerminalR|MutateTerminalR|MultXD|AddTreeWithDiv|AddTreeWithAdd,AddTreeWithMult,MutateNonTerminalR,0,0,1,1,1
21,x*x*x*x*3*x+1,25,-10,-0.03842674545693782,0.0000010389145685663748,-0.03839771766325158,0.0000036009394248931217,8309.859699999999,8450.908499999998,8463.183200000001,8450.3672,-0.96,0.00023854803761118413,0.00000009202514917463116,0.0001166465847827547,211277.78,211264.74,211278.2,211227.8,((((0)*(1))*((x)*(x)))*((3)*((5)+((0)*(3))))),((x)*(8)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR,DeleteTerminalR,21,21,22,22,1
22,x*x*x*x*3*x+1,25,-10,-0.03840931494115342,0.000000968864747998236,-0.03839384636938406,0.000002328683224301885,8401.926899999999,8450.9233,8483.631199999998,8450.636,-0.9593846369384064,0.0001499444807842083,0.0003043984907577649,0.00006516884800925408,212118.03,211265.84,214528.52,211246.52,((((0)+(6))*((x)*(4)))+((3)*((3)*((0)-(x))))),((5)*(x)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|DeleteTerminalR,DeleteMaliciousR,DeleteTerminalR,21,21,23,23,1
23,x*x*x*x*3*x+1,25,-10,-0.03840002951558656,0.0000001670782882487611,-0.03840000833024893,0.00000040704625465546956,8450.972099999999,8451.092700000001,8451.084,8451.042,-0.96,0.000010980782683717415,0,0.00000336682520840899,211278.2,211276.89,211278.2,211275.88,((2)*(0)),((6)*(8)),ReplaceBranchR|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|MutateTerminalR,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,DeleteTerminalR,AddXD,23,23,24,24,1
24,x*x*x*x*3*x+1,25,-10,-0.03840029523159512,0.0000008382312988308595,-0.03840001317693922,0.0000013328398291949524,8449.5686,8450.9509,8451.0584,8450.8464,-0.96,0.00003029181429992911,0,0,211278.2,211271.8,211278.2,211271.8,((((x)*(8))*((4)*(x)))*((0)*((0)*(3)))),((0)+(x)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|FellTreeD,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,ReplaceBranchR,AddXD,24,23,25,25,1
25,x*x*x*x*3*x+1,25,-10,-0.03839982165694331,0.0000012116725719971644,-0.03839927110321841,0.0000012116725719971644,8452.07,8450.872,8454.978000000001,8450.872,-0.9599282386919237,0.00003029181429992911,0.00003611653661107477,0,211371.13,211271.8,211657.24,211271.8,((((x)+(0))*((1)-(6)))*((3)*((x)+(0)))),((0)+(x)),ReplaceBranchR|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|MutateTerminalR,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,DeleteMaliciousR,AddXD,23,23,26,26,1
26,x*x*x*x*3*x+1,25,-10,-0.038417637560335144,-0.000034582241425339933,-0.0384,0.0000012438576246903917,8357.967200000001,8458.543399999999,8451.128,8450.865199999998,-0.96,0.00003029181429992911,0.00000006815658215586495,0,211278.02000000002,211271.8,211278.2,211271.8,((7)*(0)),((0)+(x)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|FellTreeD,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,DeleteTerminalR,FellTreeD,24,23,27,27,1
27,x*x*x*x*3*x+1,25,-10,-0.038403617580990375,0.0000012116725719971644,-0.0384,0.0000012116725719971644,8432.020100000002,8450.872,8451.128,8450.872,-0.96,0.00003029181429992911,0,0,211278.2,211271.8,211278.2,211271.8,(0),((0)+(x)),ReplaceBranchR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|FellTreeD,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,ReplaceBranchR,AddToLeafR,24,26,28,28,1
28,x*x*x*x*3*x+1,25,-10,-0.03840017877850152,0.0000012116725719971644,-0.03840000037864768,0.0000012116725719971644,8450.183700000001,8450.872,8451.126,8450.872,-0.96,0.00003029181429992911,0,0,211278.2,211271.8,211278.2,211271.8,(((6)*(8))*((0)-(0))),((0)+(x)),ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|MutateTerminalR,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,ReplaceBranchXR,AddToLeafR,27,26,29,29,1
29,x*x*x*x*3*x+1,25,-10,-0.038398771212552925,0.0000012116725719971644,-0.038395058647792336,0.0000012116725719971644,8457.618400000001,8450.872,8477.228000000001,8450.872,-0.9595058647792342,0.00003029181429992911,0.00024729650674466575,0,211928.88999999998,211271.8,213888.2,211271.8,((((x)+(4))*((0)-(9)))*((5)*((x)+(1)))),((0)+(x)),ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,ReplaceBranchR,AddToLeafR,29,26,30,30,1
30,x*x*x*x*3*x+1,25,-10,-0.03840337058910953,0.0000012116725719971644,-0.0383999027632761,0.0000012116725719971644,8433.324700000001,8450.872,8451.641599999999,8450.872,-0.96,0.00003029181429992911,0.00000046643902486983067,0,211276.5,211271.8,211278.2,211271.8,(((0)-((0)*(3)))*((x)+(2))),((0)+(x)),ReplaceBranchR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR,AddToLeafR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddXD,ReplaceBranchR,AddXD,29,29,31,31,1
