gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.0395,-0.02498778229529253,-0.0395,0.00006648731465749216,244.832,577.8347611111111,244.832,244.42504444444444,-0.9875,0.0036727225199321123,0,1.0004567875503232,6120.8,12778.18,6120.8,6098.32,(0),((6)*((2)*(x))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|DivXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,DeleteNonTerminalR,10,10,12,12,4
12,x*x*x*x,25,-10,-0.0395,-0.014941312076644859,-0.0395,0.00023460985492092595,244.832,444.3193,244.832,243.396,-0.9875,0.021147562410142547,0,0.010343992595750083,6120.8,6086.32,6120.8,5991.36,(0),(((6)*(6))*((7)+(8))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,11,11,13,13,4
13,x*x*x*x,25,-10,-0.0395,-0.019937033307602683,-0.0395,-0.019870409096850082,244.832,510.9086,244.832,510.5008,-0.9875,0.011691282185335316,0,0.003949779251974102,6120.8,6085.37,6120.8,6049.24,(0),(((5)*(5))*((5)+(2))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult,FellTreeD,AddTreeWithMult,11,11,14,14,4
14,x*x*x*x,25,-10,-0.0395,0.000054306217862746525,-0.0395,0.00015455496013593053,244.832,244.50010000000003,244.832,243.886,-0.9875,0.005397987191216828,0,0.00226495047842322,6120.8,6107.79,6120.8,6087.76,(0),((6)*((3)*(x))),SubXD|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,SubXD,FellTreeD,13,13,15,15,4
15,x*x*x*x,25,-10,-0.0395,0.000053397623454393496,-0.0395,0.0001651418115279062,244.832,244.50529999999998,244.832,243.82119999999998,-0.9875,0.004463468827604336,0,0.0028584965993622043,6120.8,6108.2699999999995,6120.8,6093.48,(0),((7)*((7)-(8))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithDiv,DeleteNonTerminalR,14,15,16,16,4
16,x*x*x*x,25,-10,-0.0395,0.00021781331859230756,-0.0395,0.0008665533917135039,244.832,243.4989,244.832,239.528,-0.9875,0.08161024702653255,0,0.040366981264544126,6120.8,5991.85,6120.8,5621.28,(0),((x)*((x)*(9))),SubXD|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,FellTreeD,AddRandomSubTreeR,15,13,17,17,4
17,x*x*x*x,25,-10,-0.0395,0.00008804464691805207,-0.0395,0.00024924846425303796,244.832,244.29310000000004,244.832,243.3064,-0.9875,0.011619396157365031,0,0.0053922280017669735,6120.8,6097.950000000001,6120.8,6049.68,(0),((7)*((2)*(9))),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,SkipD,15,17,18,18,4
18,x*x*x*x,25,-10,-0.0395,0.00007670565939093085,-0.0395,0.000134426872304275,244.832,244.3625,244.832,244.0092,-0.9875,0.0051496536400471235,0,0.0021372986250868505,6120.8,6106.84,6120.8,6089.28,(0),((6)*((7)+(6))),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,AddTreeWithAdd,15,17,19,19,4
19,x*x*x*x,25,-10,-0.0395,0.00003359110293481535,-0.0395,0.00015501241667755867,244.832,244.62699999999998,244.832,243.8832,-0.9875,0.006718076068487761,0,0.002922326293429281,6120.8,6105.57,6120.8,6079.68,(0),((8)*((8)*(1))),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,FellTreeD,15,17,20,20,4
20,x*x*x*x,25,-10,-0.0395,0.000018245114377503097,-0.0395,0.0001012285975689453,244.832,244.72080000000003,244.832,244.2124,-0.9875,0.00436544242582673,0,0.0026376717582880004,6120.8,6110.780000000001,6120.8,6094.08,(0),((8)*((9)-(4))),AddToLeafR|AddToLeafR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,FellTreeD|AddTreeWithAdd|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,FellTreeD,19,20,21,21,4
