gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03839967324532741,0.00005894881011277344,-0.03839947719252386,0.0002300352895046402,244.882,244.47120000000004,244.912,243.424,-0.9599869298130964,0.009149130832570905,0,0.0038536886991267713,6122.8,6099.6,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,AddRandomSubTreeR,19,13,22,22,2
22,x*x*x*x,25,-10,-0.03839972160501895,0.00005047292517676491,-0.038398792314730104,0.0002143510652202323,244.8746,244.5231,245.0168,243.52,-0.9599869298130964,0.009149130832570905,0,0.004604136613847619,6122.8,6106.05,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,19,13,23,23,2
23,x*x*x*x,25,-10,-0.03839947719252386,-0.0000012733481555033407,-0.03839947719252386,0.00006476277610769887,244.912,244.83990000000003,244.912,244.43560000000002,-0.9599869298130964,0.0028100901842896056,0,0.0017541033619722095,6122.8,6118.33,6122.8,6103.6,((0)-(x)),((x)*(9)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteNonTerminalR,AddTreeWithAdd,22,23,24,24,2
24,x*x*x*x,25,-10,-0.03839947719252386,0.000022271731822700158,-0.03839947719252386,0.00005241144948372898,244.912,244.6957,244.912,244.5112,-0.9599869298130964,0.0025225460724089188,0,0.0013741381408137424,6122.8,6114.86,6122.8,6105.36,((0)-(x)),((x)*(8)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,SubXD,AddRandomSubTreeR,19,13,25,25,2
25,x*x*x*x,25,-10,-0.03839947719252386,0.00004139661021792984,-0.03839947719252386,0.0001666448830218272,244.912,244.57870000000003,244.912,243.812,-0.9599869298130964,0.009149130832570905,0,0.004102249732264833,6122.8,6102.39,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,AddXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,AddXD,24,25,26,26,2
26,x*x*x*x,25,-10,-0.048799607894392895,0.00007780195481223474,-0.048799607894392895,0.00022689844464775862,183.68400000000003,244.35580000000002,183.68400000000003,243.4432,-0.9599869298130964,0.009149130832570905,0,0.004761765248869403,6122.8,6090.040000000001,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|AddXD|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,25,26,27,27,2
27,x*x*x*x,25,-10,-0.03839947719252386,0.0000541269782343198,-0.03839947719252386,0.00022376159979087707,244.912,244.5007,244.912,243.4624,-0.9599869298130964,0.009149130832570905,0,0.004166439848363015,6122.8,6102.969999999999,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|AddXD|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,26,26,28,28,2
28,x*x*x*x,25,-10,-0.03839947719252386,0.00003629283937515369,-0.03839947719252386,0.00012233694941837835,244.912,244.60989999999998,244.912,244.0832,-0.9599869298130964,0.009149130832570905,0,0.004103439853986225,6122.8,6101.549999999999,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv,ReplaceBranchXR,ReplaceBranchXR,26,28,29,29,2
29,x*x*x*x,25,-10,-0.03839947719252386,-0.004954641233302489,-0.03839947719252386,0.00013285844987583422,244.912,311.16987500000005,244.912,244.0188,-0.9599869298130964,0.009149130832570905,0,0.0037432396917483762,6122.8,6099.0599999999995,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,26,29,30,30,2
30,x*x*x*x,25,-10,-0.03839947719252386,0.000013240565385641411,-0.03839947719252386,0.00005966540321526817,244.912,244.75100000000003,244.912,244.46679999999998,-0.9599869298130964,0.0012220624754934767,0,0.0004507793585408842,6122.8,6115.92,6122.8,6113.32,((0)-(x)),((x)+(7)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,29,27,31,31,2
31,x*x*x*x,25,-10,-0.03839947719252386,0.00004494823887450902,-0.03839947719252386,0.00010410403868775514,244.912,244.55689999999998,244.912,244.1948,-0.9599869298130964,0.006620049666710305,0,0.0024930674896409557,6122.8,6097.52,6122.8,6080.28,((0)-(x)),((9)*(7)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|AddTreeWithMult,ReplaceBranchXR,ReplaceBranchXR,26,31,32,32,2
32,x*x*x*x,25,-10,-0.03840003659652333,0.00004937589708229731,-0.03839960789439289,0.0001451444255652873,244.8264,244.5298,244.892,243.94359999999998,-0.9599869298130964,0.009149130832570905,0,0.003969702160261566,6122.8,6100.92,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,26,32,33,33,2
33,x*x*x*x,25,-10,-0.03839947719252386,0.000051242666431801184,-0.03839947719252386,0.00021670369886289426,244.912,244.51839999999996,244.912,243.5056,-0.9599869298130964,0.009149130832570905,0,0.004068582058608735,6122.8,6100.63,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,26,32,34,34,2
34,x*x*x*x,25,-10,-0.03839947719252386,0.000022662370646716604,-0.03839947719252386,0.00006280224807214975,244.912,244.69330000000002,244.912,244.4476,-0.9599869298130964,0.0022088615867207613,0,0.0009778266653182497,6122.8,6114.65,6122.8,6107.28,((0)-(x)),((x)*(7)),FellTreeD|SkipD|ReplaceBranchXR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,33,32,35,35,2
35,x*x*x*x,25,-10,-0.03839947719252386,0.000056189866736955096,-0.03839947719252386,0.00023317213436152177,244.912,244.48809999999997,244.912,243.4048,-0.9599869298130964,0.009149130832570905,0,0.004486725229671275,6122.8,6105.360000000001,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|DivXD|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,34,32,36,36,2
36,x*x*x*x,25,-10,-0.03839947719252386,0.00006997591367824686,-0.03839947719252386,0.0002206247549339955,244.912,244.40370000000001,244.912,243.4816,-0.9599869298130964,0.009149130832570905,0,0.004303882292023045,6122.8,6102.48,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|SkipD|DivXD|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,34,35,37,37,2
37,x*x*x*x,25,-10,-0.03839947719252386,0.000009143192801477776,-0.03839947719252386,0.00006358645928636939,244.912,244.7761,244.912,244.44280000000003,-0.9599869298130964,0.0018951771010326042,0,0.0009348138784528577,6122.8,6117.17,6122.8,6109.2,((0)-(x)),((x)*(6)),FellTreeD|SkipD|DivXD|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,35,35,38,38,2
38,x*x*x*x,25,-10,-0.03839947719252386,0.00004535641588154648,-0.03839947719252386,0.0002300352895046402,244.912,244.55440000000002,244.912,243.42399999999998,-0.9599869298130964,0.009149130832570905,0,0.004556449446392432,6122.8,6106.09,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,37,37,39,39,2
39,x*x*x*x,25,-10,-0.03839947719252386,0.00003867321583817128,-0.03839947719252386,0.0000909685008495626,244.912,244.59529999999998,244.912,244.27519999999996,-0.9599869298130964,0.0018951771010326042,0,0.0005344245568047481,6122.8,6112.99,6122.8,6109.2,((0)-(x)),((x)*(6)),FellTreeD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,MultXD|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|SkipD,FellTreeD,DeleteMaliciousR,37,39,40,40,2
40,x*x*x*x,25,-10,-0.03839947719252386,0.00003491853751981919,-0.03839947719252386,0.0001271729185727358,244.912,244.6183,244.912,244.05360000000002,-0.9599869298130964,0.009149130832570905,0,0.004284833664972917,6122.8,6102.6900000000005,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|DeleteTerminalR|DivXD|DeleteNonTerminalR|SubXD,DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,DeleteMaliciousR,39,40,41,41,2
41,x*x*x*x,25,-10,-0.03839947719252386,0.000019610480141491873,-0.03839947719252386,0.00009475885505162723,244.912,244.71200000000002,244.912,244.252,-0.9599869298130964,0.009149130832570905,0,0.004729183822738092,6122.8,6107.8,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|DeleteTerminalR|DivXD|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,40,41,42,42,2
42,x*x*x*x,25,-10,-0.03839947719252386,0.000016803989455774236,-0.03839947719252386,0.00005933864854267518,244.912,244.7292,244.912,244.4688,-0.9599869298130964,0.0018951771010326042,0,0.0005622079784081361,6122.8,6112.139999999999,6122.8,6109.2,((0)-(x)),((x)*(6)),FellTreeD|DeleteTerminalR|DivXD|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteTerminalR,ReplaceBranchXR,41,42,43,43,2
43,x*x*x*x,25,-10,-0.03839947719252386,0.00003035797574455038,-0.03839947719252386,0.00007005620180368598,244.912,244.6462,244.912,244.4032,-0.9599869298130964,0.0028100901842896056,0,0.0011650976893120993,6122.8,6113.07,6122.8,6103.6,((0)-(x)),((x)*(9)),FellTreeD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteTerminalR,ReplaceBranchXR,42,43,44,44,2
44,x*x*x*x,25,-10,-0.048799607894392895,0.00003084904197823464,-0.048799607894392895,0.0000818193700169926,183.68400000000003,244.6432,183.68400000000003,244.3312,-0.9599869298130964,0.0028100901842896056,0,0.0012573473636474726,6122.8,6114.280000000001,6122.8,6103.6,((0)-(x)),((x)*(9)),FellTreeD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,42,44,45,45,2
45,x*x*x*x,25,-10,-0.03839947719252386,0.00001652251559093759,-0.03839947719252386,0.000054633381257352807,244.912,244.7309,244.912,244.49759999999998,-0.9599869298130964,0.0014703960266631813,0,0.0006779588595772076,6122.8,6116.370000000001,6122.8,6111.8,((0)-(x)),((x)+(9)),FellTreeD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|DivXD|ReplaceBranchR|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,44,45,46,46,2
46,x*x*x*x,25,-10,-0.03839947719252386,-0.01494782654922143,-0.03839947719252386,0.00013266239707227932,244.912,444.3592,244.912,244.02,-0.9599869298130964,0.009149130832570905,0,0.004499297938736655,6122.8,6088.23,6122.8,6064.8,((0)-(x)),((x)*(x)),FellTreeD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,SubXD,ReplaceBranchXR,44,46,47,47,2
47,x*x*x*x,25,-10,-0.03839956214873873,0.00003986407005620269,-0.0383992811397203,0.00007829041955300122,244.899,244.58800000000002,244.942,244.3528,-0.9599869298130964,0.0022088615867207613,0,0.00040496492967795724,6122.8,6110.16,6122.8,6107.28,((0)-(x)),((x)*(7)),FellTreeD|DeleteTerminalR|FellTreeD|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,46,46,48,48,2
48,x*x*x*x,25,-10,-0.03839947719252386,0.000016003573272000704,-0.03839947719252386,0.000051496536400471244,244.912,244.73410000000004,244.912,244.5168,-0.9599869298130964,0.0013462292510782548,0,0.0004356347737426608,6122.8,6115.26,6122.8,6112.56,((0)-(x)),((x)+(8)),FellTreeD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|SkipD|FellTreeD|ReplaceBranchXR,SubXD,ReplaceBranchXR,45,48,49,49,2
49,x*x*x*x,25,-10,-0.03839947719252386,0.00003771155642650437,-0.03839947719252386,0.00013893608678604245,244.912,244.60120000000003,244.912,243.9816,-0.9599869298130964,0.009149130832570905,0,0.004595425086677411,6122.8,6106.34,6122.8,6064.8,((0)-(x)),((x)*(x)),DivXD|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SubXD,ReplaceBranchXR|DeleteMaliciousR|AddTreeWithAdd|FellTreeD|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,48,47,50,50,2
