gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
82,x*x*x*x,25,-10,-0.015110973710215905,0.0032154947065743044,0.011191599804089451,0.012404652986537708,6570.071800000001,225.15060000000003,16021.38,168.90560000000002,0.7844827586206897,0.43272774800679653,0.9106038888923608,0.1964283805430173,281559.18,5017.0599999999995,710012.8,3472.16,((((x)*(9))*((x)*((9)+(4))))*((x)-((x)+((x)*(x))))),((((9)*(x))+((2)*(9)))*((0)*((x)*(x)))),AddToLeafR|SubXD|AddXD|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|AddTreeWithDiv,AddToLeafR,SkipD,82,82,83,83,3
83,x*x*x*x,25,-10,-0.009584336816283075,-0.012842493470575566,0.012096474173612983,0.00602195791399817,9114.1662,431.47790000000003,23966.680799999995,207.97279999999998,0.8878923766816144,0.3099725526075022,0.7875216761384152,0.16880390887393104,459050.5,5229.72,1364938.4,4223.52,((((4)*(8))*((x)*((7)*(x))))*((x)-((x)+((x)*(x))))),((((4)*(9))+((0)-(7)))-((8)*((x)*(x)))),AddToLeafR|SubXD|AddXD|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD|AddXD|MutateTerminalR|MutateNonTerminalR|SkipD|MultXD,AddXD,MultXD,83,83,84,84,3
84,x*x*x*x,25,-10,-0.017968768908176346,0.0013543318439764405,0.020155567856163185,0.011791399817017385,6517.0078,278.92620000000005,21737.153599999998,172.65919999999997,0.8329124296030868,0.5540713632204941,0.8588762199005674,0.4367145538843779,242736.1,5517.68,915807.2,2729.44,((((7)*(7))*((0)+((6)*(8))))*((7)*((x)-((x)*(x))))),((((3)*(8))-((4)*(1)))+((x)*((x)*((4)*(x))))),AddToLeafR|SubXD|AddToLeafR|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD|AddXD|MutateTerminalR|MutateNonTerminalR|SkipD|MultXD,AddToLeafR,MultXD,84,83,85,85,3
85,x*x*x*x,25,-10,-0.020560348185091684,-0.017885750804976976,0.007436751293092954,-0.008796235786171742,3610.9761,536.9512,9804.054,442.718,0.4693493964204839,0.34382433668801465,0.583775923640007,0.17071210097860723,133251.97,5255.280000000001,288363,4016.32,((((7)-(1))*((x)*((x)*(7))))+((x)*((x)-((x)*(x))))),(((9)*((0)+(6)))*((7)*((x)*(x)))),AddToLeafR|DeleteNonTerminalR|ReplaceBranchXR|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,ReplaceBranchXR,SkipD,85,85,86,86,3
86,x*x*x*x,25,-10,-0.027493444730927196,-0.0009407329028342134,-0.001447860743078807,0.018295778329630114,4550.0742,457.6152,16444.532799999997,132.84720000000002,0.8803814660219887,0.14243889687622535,0.8881842583260224,0.06723946780876415,333469.56,5819.360000000001,1279233.2,5248.96,((((x)*(x))*((x)*((6)*(5))))*((7)-((3)+((4)*(x))))),(((x)+((5)+(5)))*((x)*(x))),AddToLeafR|SubXD|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddTreeWithMult,SkipD,86,84,87,87,3
87,x*x*x*x,25,-10,-0.010002503199148421,-0.003501108374612089,0.02411582342607221,0.015553064958828912,10230.063,1189.5073000000002,25409.384799999996,149.63479999999998,0.9049396588612241,0.3793229643183898,0.884072605796646,0.3056654248532811,655448.24,5825.66,1609714.4,3799.04,((((x)*(6))*((8)+((4)*(9))))*((x)*((x)-((x)*(x))))),((((2)*(4))+((6)*(x)))*((x)+((x)*(x)))),AddToLeafR|SubXD|AddTreeWithAdd|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD|AddXD|MutateTerminalR|MutateNonTerminalR|SkipD|MultXD,SubXD,MultXD,87,83,88,88,3
88,x*x*x*x,25,-10,-0.0148674730670992,-0.0068820061545805,0.0006092422858854685,0.030019866684093587,11953.943800000001,1354.8839,33807.6032,61.086400000000005,0.9456010248479673,0.9908508691674291,0.8350792352341171,0.6896381382745698,951302.6200000001,14798.249999999998,2812920.64,56,((((x)*(x))*((7)+((1)*(x))))*((5)*((x)-((x)*(x))))),((((2)*(0))*((4)+((9)+(x))))*((x)*((x)+((x)*(x))))),AddToLeafR|SubXD|AddTreeWithAdd|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddToLeafR,SkipD,88,87,89,89,3
89,x*x*x*x,25,-10,-0.016093448668931018,-0.0056165060950600166,0.0017039807789477445,0.02844255652855836,5834.4602,589.3108,14823.638400000002,70.7408,0.8551701182278258,0.9908508691674291,0.6046264790380925,0.37106370194013527,379067.96,9589.92,1056549.92,56,((((x)*(7))*((5)*((6)+(x))))*((7)*((6)-((x)*(x))))),((((7)*(7))-((8)+((1)+(x))))*((x)*((x)+((x)*(x))))),AddToLeafR|SubXD|AddTreeWithAdd|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD|AddXD|MutateTerminalR|MutateNonTerminalR|SkipD|MultXD,AddToLeafR,MultXD,88,88,90,90,3
90,x*x*x*x,25,-10,-0.029270484439379338,-0.010912072328113205,-0.014646112375214373,0.03253208730884852,1648.1906,5004.187,3905.0924000000005,45.7096,-0.189597961050843,0.45618873349888905,0.35948657956533947,0.4862827808171723,68277.73999999999,8056.220000000001,124007.72,3328.56,((((x)*(x))*((x)*((5)+(7))))*((x)*((3)-((5)+(4))))),((((1)*(2))+((7)+((0)+(1))))*((x)*((x)+((6)*(x))))),AddToLeafR|SubXD|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD|AddXD|MutateTerminalR|MutateNonTerminalR|SkipD|MultXD,AddTreeWithMult,MultXD,86,90,91,91,3
91,x*x*x*x,25,-10,-0.028629593426589172,-0.012018009884306654,-0.009143570412669574,0.016116602203828215,1830.3436,4301.4712,5083.4268,146.2392,0.38218589429702104,0.38362305580969813,0.6508084668571451,0.20806322065777824,71964.68,5474.219999999999,247679.68,3772.72,((((6)+(8))*((8)*((4)*(x))))*((x)*((x)-((6)*(3))))),((((8)+(5))*((x)+((5)-(9))))+((x)*((x)+((7)*(x))))),AddToLeafR|SubXD|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD|AddXD|MutateTerminalR|MutateNonTerminalR|SkipD|MultXD,AddTreeWithMult,MultXD,90,91,92,92,3
