gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
22,x*x*x*x,25,-10,-0.0395,0.01142857142857143,-0.0395,0.01142857142857143,244.832,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(((4)*(2))+((8)*(0))),(0),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,MutateTerminalR,20,18,23,23,2
23,x*x*x*x,25,-10,-0.039500064534047835,0.01142857142857143,-0.0395,0.01142857142857143,244.8004,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,((x)*((x)*(0))),(0),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|SubXD|FellTreeD|DeleteNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,MutateTerminalR,22,21,24,24,2
24,x*x*x*x,25,-10,-0.039500067597372894,0.01142857142857143,-0.0395,0.01142857142857143,244.7989,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,((x)*((0)*(0))),(0),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,AddTreeWithMult|SubXD|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithMult,23,23,25,25,2
25,x*x*x*x,25,-10,-0.03950091205397987,0.01142857142857143,-0.0395,0.01142857142857143,244.3854,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,((x)*((0)*(0))),(0),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,AddTreeWithMult|SubXD|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddXD,24,23,26,26,2
26,x*x*x*x,25,-10,-0.03950005289341262,0.01142857142857143,-0.0395,0.01142857142857143,244.80609999999996,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,((9)*((3)*(0))),(0),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|DeleteNonTerminalR,MutateTerminalR|SubXD|FellTreeD|DeleteNonTerminalR|DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,25,24,27,27,2
27,x*x*x*x,25,-10,-0.03950003573879232,0.011430321900031744,-0.0395,0.011433239352465601,244.8145,244.817,244.832,244.792,-0.9875,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(0),((0)-((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddTreeWithAdd|DeleteNonTerminalR,AddTreeWithMult|SubXD|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithMult,25,23,28,28,2
28,x*x*x*x,25,-10,-0.03950004043589073,0.011430321900031744,-0.0395,0.011437907276359769,244.81219999999996,244.817,244.832,244.752,-0.9875,0.2859476819089942,0,0.00011669809735423421,6120.8,6120.3,6120.8,6118.8,(0),((0)-((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,AddTreeWithMult|SubXD|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddXD,28,23,29,29,2
29,x*x*x*x,25,-10,-0.039500060858057774,0.011430905390518515,-0.0395,0.011435573314412684,244.8022,244.812,244.832,244.77200000000002,-0.9875,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(0),(((0)+(0))-((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,AddTreeWithMult|SubXD|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,DeleteNonTerminalR,27,23,30,30,2
30,x*x*x*x,25,-10,-0.03950007229447131,0.011430321900031744,-0.0395,0.011437907276359769,244.79660000000004,244.817,244.832,244.752,-0.9875,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(0),(((0)*((0)*(0)))-((8)-((0)+(x)))),AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithMult,29,30,31,31,2
31,x*x*x*x,25,-10,-0.03950115140177755,0.011430321900031744,-0.0395,0.011435573314412684,244.2682,244.817,244.832,244.77200000000002,-0.9875,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(0),(((0)+((0)*(2)))*((0)+(x))),AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,29,30,32,32,2
32,x*x*x*x,25,-10,-0.0395,0.011430321900031744,-0.0395,0.011435573314412684,244.832,244.817,244.832,244.77200000000002,-0.9875,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(0),((0)+(x)),AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithMult,29,30,33,33,2
33,x*x*x*x,25,-10,-0.0395,0.011433239352465598,-0.0395,0.011435573314412684,244.832,244.792,244.832,244.77200000000002,-0.9875,0.2859476819089942,0,0.00011669809735423421,6120.8,6119.3,6120.8,6118.8,(0),((0)*((0)+(x))),AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithMult,29,32,34,34,2
34,x*x*x*x,25,-10,-0.0395,0.011435923408704746,-0.0395,0.011445375954590437,244.832,244.76899999999998,244.832,244.688,-0.9875,0.2859476819089942,0,0,6120.8,6118.8,6120.8,6118.8,(0),((1)*((0)+(x))),AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,DeleteNonTerminalR,29,34,35,35,2
35,x*x*x*x,25,-10,-0.0395,0.011431488881005284,-0.0395,0.011435573314412684,244.832,244.80700000000002,244.832,244.77200000000002,-0.9875,0.2859476819089942,0,0.00013475135584276854,6120.8,6119.8,6120.8,6118.8,(0),((0)*((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|FellTreeD,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteTerminalR,AddTreeWithMult,34,34,36,36,2
36,x*x*x*x,25,-10,-0.0395,0.011430321900031744,-0.0395,0.011437907276359769,244.832,244.817,244.832,244.752,-0.9875,0.2859476819089942,0,0.00011669809735423421,6120.8,6120.3,6120.8,6118.8,(0),((0)+(x)),DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|FellTreeD,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteTerminalR,AddTreeWithMult,34,35,37,37,2
37,x*x*x*x,25,-10,-0.0395,0.01143382284295237,-0.0395,0.011437907276359769,244.832,244.787,244.832,244.752,-0.9875,0.2859476819089942,0,0.00011669809735423421,6120.8,6119.3,6120.8,6118.8,(0),((0)*((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|FellTreeD,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteTerminalR,DeleteNonTerminalR,34,37,38,38,2
38,x*x*x*x,25,-10,-0.0395,0.01143382284295237,-0.0395,0.011435573314412684,244.832,244.787,244.832,244.77200000000002,-0.9875,0.2859476819089942,0,0.00011669809735423421,6120.8,6119.3,6120.8,6118.8,(0),((7)*((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithMult,37,37,39,39,2
39,x*x*x*x,25,-10,-0.0395,0.01143382284295237,-0.0395,0.011437907276359769,244.832,244.787,244.832,244.752,-0.9875,0.2859476819089942,0,0.00011669809735423421,6120.8,6119.3,6120.8,6118.8,(0),((0)*((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithSub,38,38,40,40,2
40,x*x*x*x,25,-10,-0.0395,0.01142857142857143,-0.0395,0.011430905390518515,244.832,244.832,244.832,244.812,-0.9875,0.2859476819089942,0,0.00011669809735423421,6120.8,6120.3,6120.8,6118.8,(0),((2)*((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,38,40,41,41,2
41,x*x*x*x,25,-10,-0.044562500000000005,0.011434989823925911,-0.0395,0.011437907276359769,214.22800000000004,244.77700000000002,244.832,244.752,-0.9875,0.2859476819089942,0,0,6120.8,6118.8,6120.8,6118.8,(0),((0)*((0)+(x))),DeleteTerminalR|SubXD|DeleteNonTerminalR|DeleteTerminalR|DivXD,ReplaceBranchXR|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteTerminalR,ReplaceBranchXR,40,41,42,42,2
42,x*x*x*x,25,-10,-0.05975,0.0000034776033011574282,-0.05975,0.011437813917881885,NaN,NaN,NaN,244.75279999999998,-0.9875,0.2861717422559143,0,0.00021940897532314387,6120.8,6119.32,6120.8,6116.88,(0),((x)+((0)+(x))),MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,ReplaceBranchXR|AddTreeWithSub|AddXD|DeleteNonTerminalR|DeleteMaliciousR,DeleteNonTerminalR,AddTreeWithSub,42,41,43,43,2
43,x*x*x*x,25,-10,-0.05975,0.000006033291633215088,-0.05975,0.011456392254980678,NaN,NaN,122.416,244.5936,-0.9875,0.28757211942416494,0,0.0011000358246058678,6120.8,6118.110000000001,6120.8,6104.88,(0),(((9)*((2)-(5)))-((9)+(0))),MultXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|DeleteNonTerminalR,ReplaceBranchXR|AddTreeWithSub|AddXD|AddRandomSubTreeR|DeleteMaliciousR,DeleteNonTerminalR,ReplaceBranchXR,42,43,44,44,2
