gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
10,x*x*x*x*3*x+1,25,-10,-0.046200020409109886,-0.00000008753881051853073,-0.03839983263772599,0.0000009939501567141853,6866.4337,8451.1465,8452.011999999999,8450.918,-0.9599952290392477,0.00003294234805115225,0.000002385480376121407,0.00002591343446070411,211284.5,211277.97,211303.4,211271.24,((((0)*((6)*(0)))*((x)+((0)-(8))))*(((2)*(x))*((0)*((x)-((x)*(x)))))),(((x)+(6))-((0)+(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,SubXD,10,10,11,11,4
11,x*x*x*x*3*x+1,25,-10,-0.046199927280713295,0.0000012443874072445217,-0.038399756832460705,0.000005126889570244681,6866.9256000000005,8450.8651,8452.4124,8450.044800000001,-0.9599952290392477,0.000209013518668767,0.000002385480376121407,0.0001087687221336529,211284.5,211268.28999999998,211303.4,211234.04,((((5)-((8)+(2)))*(((x)*(x))*((4)-(0))))*(((0)/(6))-((3)*((0)-((x)*(x)))))),(((x)*(8))-((1)+(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,AddRandomSubTreeR,11,11,12,12,4
12,x*x*x*x*3*x+1,25,-10,-0.043527254189026594,0.00000021157091526272235,-0.03810812473790481,0.0000008955017602403801,7778.977100000001,8451.0833,9992.8,8450.9388,-0.9308220914415213,0.000025369394476169968,0.014604147964117385,0.000012783090976821194,249687.5,211276.27,365394.6,211272.84,((((0)+((2)-(6)))*(((4)*(1))+((x)*(x))))*(((8)/(4))-((0)*((x)-((x)*(x)))))),(((x)-(8))-((4)+(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,SubXD,12,12,13,13,4
13,x*x*x*x*3*x+1,25,-10,-0.040999963812641343,-0.0000019956666151908885,-0.038399296896698284,0.0000014275017488818865,7923.123640000001,8451.5498,8454.84176,8450.826399999998,-0.9599406280439724,0.00005263202734605107,0.000030325644933116455,0.000007198154029454047,211351.9,211278.85,211591.8,211267.08,(((0)-(x))*((7)*(7))),(((x)+(x))-((6)+(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithSub,SubXD,13,13,14,14,4
14,x*x*x*x*3*x+1,25,-10,-0.04360004721736553,-0.0000006463891551703222,-0.03839990306619424,0.0000006058362859985822,7394.4876,8451.2646,8451.64,8451,-0.959990306619424,0.0000240441276005584,0.0000060736079134826775,0.000016654927809268938,211284.7,211277.75,211329.4,211273.12,(((0)-((9)-(1)))*((x)+(0))),(((x)-(7))+((0)+(2))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,AddRandomSubTreeR,14,14,15,15,4
15,x*x*x*x*3*x+1,25,-10,-0.046199988810961094,0.0000000015149474715098856,-0.038399855356586715,0.000002010619174153731,6866.600600000001,8451.127700000001,8451.892,8450.7032,-0.9599940173666758,0.0001499444807842083,0.0000029913166620931797,0.00007474936708848373,211286.1,211265.03999999998,211309.8,211246.52,((((0)*((3)*(0)))-(((0)-(0))+((x)-(0))))*(((2)/(9))-((7)-((1)-((x)*(x)))))),(((x)*(1))+((4)-(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,SubXD,15,15,16,16,4
16,x*x*x*x*3*x+1,25,-10,-0.04620008191605628,-0.00000002650431651731572,-0.03839981900640956,0.0000003502491028455132,6866.108823076923,8451.133600000001,8452.084,8451.053999999998,-0.96,0.000002839857590635573,0.000015380428208877497,0.0000011606544772365442,211207.63999999998,211277.89,211278.2,211277.6,((0)*(x)),(((4)+(2))-((1)-(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|AddToLeafR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,SubXD,16,16,17,17,4
17,x*x*x*x*3*x+1,25,-10,-0.041000135177221314,0.00000013633947444399242,-0.0384,0.000002156398530472381,7922.218499999999,8451.099199999999,8451.128,8450.6724,-0.96,0.0001499444807842083,0,0.00006948588990475781,211278.2,211268.19999999998,211278.2,211246.52,((0)*(0)),(((5)+(0))-((0)*(x))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,AddRandomSubTreeR,17,17,18,18,4
18,x*x*x*x*3*x+1,25,-10,-0.053999977129680195,0.0000008922500195634813,-0.03839990458078495,0.000003990946534004227,5282.0758,8450.9395,8451.632,8450.2848,-0.9599952290392477,0.0002101494617051039,0.5200007951649891,0.00009350240401180276,158464.95,211259.02000000002,211303.4,211233.8,((((0)*(x))-((1)/((4)+(0))))-(((0)*(x))-((3)-((x)*(x))))),(((x)*(x))+((3)-(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,SubXD,18,18,19,19,4
19,x*x*x*x*3*x+1,25,-10,-0.043600065316724584,-0.0000016275551961851908,-0.03839991518291996,0.00000040893959663564473,7394.392000000001,8451.472000000002,8451.576000000001,8451.041599999999,-0.96,0.00004202989234102078,0,0.00002071027355470583,211278.2,211275.82,211278.2,211269.32,(0),(((x)-(7))*((2)+(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,AddRandomSubTreeR,19,19,20,20,4
