gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
22,x*x*x*x,25,-10,-0.038400000000000004,-0.05122744800006876,-0.038400000000000004,-0.03352800354228739,244.832,975.8790492063491,244.832,771.2630857142857,-0.9600000000000001,0.31607579641450106,0,1.1487197860889125,6120.8,12708.024920634922,6120.8,5860.628571428571,(0),(((9)*((3)*(9)))+((9)/((7)*(x)))),AddToLeafR|AddToLeafR|AddToLeafR|FellTreeD|MutateNonTerminalR,AddToLeafR|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,18,22,23,23,4
23,x*x*x*x,25,-10,-0.038400000000000004,-0.00932504554560028,-0.038400000000000004,0.022468553752699617,244.832,493.26863428571437,244.832,150.22906666666668,-0.9600000000000001,0.6457792632148925,0,1.214473580150428,6120.8,12016.248666666666,6120.8,3035.36,(0),(((8)/((1)*(9)))*((x)*((1)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddToLeafR|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,22,22,24,24,4
24,x*x*x*x,25,-10,-0.038400000000000004,-0.0057272189554969846,-0.038400000000000004,0.014378883823820998,244.832,444.78933031746027,244.832,219.55041904761907,-0.9600000000000001,0.5345270770705356,0,0.11833840197744426,6120.8,5506.778888888889,6120.8,3988.693333333333,(0),(((x)/((6)*(8)))*((8)*((4)*(x)))),AddToLeafR|AddToLeafR|SubXD|MutateTerminalR|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|AddTreeWithSub|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,23,23,25,25,4
25,x*x*x*x,25,-10,-0.038400000000000004,-0.004526878128064712,-0.038400000000000004,0.01743936366861475,244.832,434.5034619047619,244.832,193.32480000000004,-0.9600000000000001,0.5240491439027579,0,0.11487187286348126,6120.8,5544.52,6120.8,4078.48,(0),(((x)*((9)*(9)))*((3)/((6)*(x)))),AddToLeafR|AddToLeafR|SubXD|MutateTerminalR|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,23,25,26,26,4
26,x*x*x*x,25,-10,-0.038400000000000004,-0.010647254605018062,-0.038400000000000004,0.014804857441604273,244.832,504.59880238095235,244.832,215.90020000000004,-0.9600000000000001,0.4284313908546035,0,0.07786696048144755,6120.8,5879.335238095238,6120.8,4897.84,(0),(((x)*((8)*(x)))/((3)*((6)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|AddTreeWithSub|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,25,23,27,27,4
27,x*x*x*x,25,-10,-0.038400000000000004,-0.011150752435989423,-0.038400000000000004,0.01257155927329761,244.832,508.9133357142857,244.832,235.03760000000003,-0.9600000000000001,0.3722389230165992,0,0.04463902072841097,6120.8,5917.768571428572,6120.8,5379.36,(0),(((x)*((1)*(9)))*((9)/((6)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,25,27,28,28,4
28,x*x*x*x,25,-10,-0.038400000000000004,0.0012433357606537604,-0.038400000000000004,0.016847408679848887,244.832,367.4087066666667,244.832,198.39733333333334,-0.9600000000000001,0.53953731538361,0,0.1227870232281603,6120.8,5522.360000000001,6120.8,3945.76,(0),(((x)*((7)*(1)))/((1)*((x)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddToLeafR|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,25,22,29,29,4
29,x*x*x*x,25,-10,-0.038400000000000004,0.0011903200836165966,-0.038400000000000004,0.015255638852064157,244.832,367.86300436507935,244.832,212.0374,-0.9600000000000001,0.5218645555202869,0,0.11647192187405521,6120.8,5593.9,6120.8,4097.2,(0),(((8)*((x)/(1)))*((5)+((1)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddToLeafR|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,28,29,30,30,4
30,x*x*x*x,25,-10,-0.038400000000000004,0.007732162890316241,-0.038400000000000004,0.02223509531900592,244.832,294.15606833333334,244.832,152.2296,-0.9600000000000001,0.6866982840711766,0,0.19208704982429237,6120.8,5147.76,6120.8,2684.72,(0),(((x)*((9)/(4)))*((7)*((6)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddToLeafR|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,29,30,31,31,4
31,x*x*x*x,25,-10,-0.038400000000000004,-0.0064516395738820256,-0.038400000000000004,0.019762309315308927,244.832,465.2479,244.832,173.4192,-0.9600000000000001,0.4357226879772953,0,0.07338312577195269,6120.8,5775.379999999999,6120.8,4835.36,(0),(((6)*((4)*(x)))-((0)/((8)*(x)))),DeleteMaliciousR|AddToLeafR|ReplaceBranchR|FellTreeD|MutateNonTerminalR,AddToLeafR|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,DeleteMaliciousR,AddTreeWithMult,30,31,32,32,4
