gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
20,x*x*x*x,25,-10,-0.038400032675467266,0.011793381350710461,-0.038400000000000004,0.01281233078775884,244.827,241.7059,244.832,232.97440000000003,-0.9600000000000001,0.417797860223687,0,0.06474334762292117,6120.8,5820.48,6120.8,4988.96,(0),(((x)*((3)*(7)))*((x)+(0))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteNonTerminalR,MutateTerminalR,18,20,21,21,2
21,x*x*x*x,25,-10,-0.038400000000000004,0.011503946729652522,-0.038400000000000004,0.012104066695296602,244.832,244.1861,244.832,239.0436,-0.9600000000000001,0.34400731930466616,0,0.029638999919846996,6120.8,6001.49,6120.8,5621.28,(0),(((x)*(0))+((9)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|SubXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,DeleteMaliciousR,18,20,22,22,2
22,x*x*x*x,25,-10,-0.038400000000000004,0.011426820957111117,-0.038400000000000004,0.011469929234273767,244.832,244.84699999999998,244.832,244.4776,-0.9600000000000001,0.2879268816401218,0,0.0011833501638345084,6120.8,6116.9,6120.8,6101.84,(0),(((0)+(7))+((3)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,MutateTerminalR,DeleteMaliciousR,18,21,23,23,2
23,x*x*x*x,25,-10,-0.038400000000000004,0.011376909180872717,-0.038400000000000004,0.011842943032656799,244.832,245.27470000000002,244.832,241.28119999999998,-0.9600000000000001,0.32468211438280714,0,0.01941310849364637,6120.8,6036.360000000001,6120.8,5786.88,(0),(((x)*(4))+((2)*(x))),FellTreeD|DeleteTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,MutateTerminalR,20,23,24,24,2
24,x*x*x*x,25,-10,-0.038400000000000004,0.011502768078869243,-0.038400000000000004,0.011732686670276528,244.832,244.19619999999998,244.832,242.22600000000003,-0.9600000000000001,0.29269749985996235,0,0.0030078784616945175,6120.8,6095.139999999999,6120.8,6060.96,(0),(((x)+(8))-((6)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchXR|DeleteTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteTerminalR,DeleteMaliciousR,23,24,25,25,2
25,x*x*x*x,25,-10,-0.03840013070186904,0.011467408555370914,-0.038400000000000004,0.011664021509793308,244.812,244.49920000000003,244.832,242.81439999999998,-0.9600000000000001,0.2985324047276734,0,0.006532840790308674,6120.8,6094.540000000001,6120.8,6010.96,(0),(((x)*(2))-((1)*(x))),DeleteTerminalR|DeleteTerminalR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteTerminalR,DeleteMaliciousR,25,25,26,26,2
26,x*x*x*x,25,-10,-0.038400000000000004,0.011475250667513119,-0.038400000000000004,0.01156706873051142,244.832,244.43200000000002,244.832,243.64520000000002,-0.9600000000000001,0.2914324924846426,0,0.0025398636035011265,6120.8,6100.05,6120.8,6071.8,(0),(((x)+((1)*(x)))-((9)-(0))),DeleteTerminalR|DeleteTerminalR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteTerminalR,DeleteMaliciousR,25,26,27,27,2
27,x*x*x*x,25,-10,-0.04880000000000001,0.011575365965233307,-0.04880000000000001,0.01189531713874937,183.62400000000002,243.57409999999996,183.62400000000002,240.83239999999998,-0.9600000000000001,0.3187538510372127,0,0.014626911776992645,6120.8,6024.54,6120.8,5837.68,(0),(((x)-((8)*(5)))-((x)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|MutateTerminalR|MultXD|MultXD|SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|MultXD|AddRandomSubTreeR,DeleteTerminalR,MutateTerminalR,26,25,28,28,2
28,x*x*x*x,25,-10,-0.038400000000000004,0.01193927731202271,-0.038400000000000004,0.01365349067348806,244.832,240.4557,244.832,225.7664,-0.9600000000000001,0.36282838844595483,0,0.03777931808072878,6120.8,5938.24,6120.8,5460,(((x)*((0)*(0)))*((x)*(1))),(((4)*((3)-(0)))*((x)*(x))),DeleteTerminalR|DeleteTerminalR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddXD|MutateTerminalR|MultXD|MultXD|SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|MultXD|AddRandomSubTreeR,DeleteTerminalR,MultXD,25,28,29,29,2
29,x*x*x*x,25,-10,-0.038400000000000004,0.010329713556341404,-0.038400000000000004,0.013287152006273693,244.832,259.5765,244.832,228.90559999999996,-0.9600000000000001,0.4058479750546148,0,0.05520244883067643,6120.8,5742.49,6120.8,5091.36,(0),(((x)*((3)*(6)))+((x)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|MutateTerminalR|MultXD|MultXD|SubXD|DivXD|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|MultXD|AddRandomSubTreeR,DeleteTerminalR,MutateTerminalR,28,29,30,30,2
