gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03839951705659392,0.000013070186903672723,-0.03839934649065482,0.000013070186903672723,244.9059,244.752,244.93200000000002,244.752,-0.9599869298130964,0.0003267546725918181,0,0,6122.8,6118.8,6122.8,6118.8,((0)-((0)-(x))),(((5)*((0)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|MutateTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,AddXD,21,21,22,22,3
22,x*x*x*x,25,-10,-0.038399705920794676,0.000013070186903672723,-0.03839947719252386,0.000013070186903672723,244.877,244.752,244.912,244.752,-0.9599869298130964,0.0003267546725918181,0.000006535093451831564,0,6122.3,6118.8,6122.8,6118.8,((0)-((0)-(x))),(((6)*((2)*(0)))-((x)+((x)+(x)))),FellTreeD|MultXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddXD|AddXD,DeleteTerminalR,DeleteMaliciousR,22,22,23,23,3
23,x*x*x*x,25,-10,-0.03839977127172919,0.000009802640177754542,-0.03839960789439289,0.000013070186903672723,244.86700000000002,244.77200000000002,244.892,244.752,-0.9599869298130964,0.0003267546725918181,0.000006535093451831564,0,6122.3,6118.8,6122.8,6118.8,((0)-((0)-(x))),(((0)*((0)*(x)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,AddXD,23,23,24,24,3
24,x*x*x*x,25,-10,-0.03839927460462685,0.000013070186903672723,-0.03839560057508823,0.000013070186903672723,244.94299999999998,244.752,245.5052,244.752,-0.9595882891125344,0.0003267546725918181,0.00019694250555138062,0,6138.8099999999995,6118.8,6183.8,6118.8,(((0)-(0))-((9)*(7))),(((0)*((0)*(3)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|FellTreeD|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,24,24,25,25,3
25,x*x*x*x,25,-10,-0.04099915397769355,0.000013070186903672723,-0.03839771271729186,0.000013070186903672723,229.65945833333336,244.752,245.18200000000002,244.752,-0.959843157757156,0.0003267546725918181,0.00007267384358302895,0,6128.3,6118.8,6144.8,6118.8,(((0)-(0))-((6)*(4))),(((0)*((2)*(0)))-((x)+((x)+(x)))),AddTreeWithSub|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,25,25,26,26,3
26,x*x*x*x,25,-10,-0.03856533132923801,0.000013070186903672723,-0.03841881584106653,0.000013070186903672723,219.53300000000002,244.752,241.95280000000002,244.752,-0.9597647366357339,0.0003267546725918181,0.00012482247468043097,0,6128.1900000000005,6118.8,6156.8,6118.8,(((0)-(0))-((4)*(9))),(((0)*((0)*(8)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,26,26,27,27,3
27,x*x*x*x,25,-10,-0.038401678865507785,0.000013070186903672723,-0.038398954385047715,0.000013070186903672723,244.57509999999994,244.752,244.99200000000002,244.752,-0.9599673245327409,0.0003267546725918181,0.00001468734690311469,0,6123.29,6118.8,6125.8,6118.8,(((0)-(3))+((0)-(x))),(((6)*((0)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,27,27,28,28,3
28,x*x*x*x,25,-10,-0.03839775650241799,0.000013070186903672723,-0.038392484642530395,0.000013070186903672723,245.1753,244.752,245.982,244.752,-0.9595294732714679,0.0003267546725918181,0.00024137559121988322,0,6137.610000000001,6118.8,6192.8,6118.8,(((0)-(9))*((0)+(8))),(((0)*((0)*(8)))-((x)+((x)+(x)))),FellTreeD|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,28,28,29,29,3
29,x*x*x*x,25,-10,-0.038399334727486606,0.000013070186903672723,-0.03839810482289897,0.000013070186903672723,244.93380000000002,244.752,245.122,244.752,-0.9599281139720299,0.0003267546725918181,0.000025310308104852788,0,6127.3,6118.8,6131.8,6118.8,(((0)-(9))+((x)-(0))),(((x)*((0)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,29,29,30,30,3
30,x*x*x*x,25,-10,-0.03839926153443994,0.000013070186903672723,-0.03839797412102994,0.000013070186903672723,244.945,244.752,245.142,244.752,-0.9599281139720299,0.0003267546725918181,0.00003146885569941723,0,6124.860000000001,6118.8,6131.8,6118.8,(((0)-(x))-((9)+(0))),(((4)*((0)*(x)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,30,30,31,31,3
