gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
78,x*x*x*x,25,-10,-0.037754055025486864,0.010805977185234256,-0.03559111750098027,0.017029286554512017,343.67449999999997,280.9699,674.6472,196.83879999999996,-0.6800130701869037,0.5724881901525478,0.14008446667993743,0.13292830579174159,16810.86,5342.67,48964.4,3663.4,((((1)+(8))*((x)*(x)))*((x)*((x)-(x)))),((((9)*(1))+((1)*((5)*(6))))+((x)+((9)+((0)*(x))))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|MutateNonTerminalR,AddRandomSubTreeR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,AddRandomSubTreeR,77,78,79,79,2
79,x*x*x*x,25,-10,-0.03755390014377205,0.004747400738411086,-0.035597176839628805,0.01510474821218515,374.3022000000001,681.3270000000001,673.72,213.3304,-0.68,0.2960584050637639,0.1362810255183973,0.03714573697923599,21246.960000000003,6207.92,48966.4,6032.16,((((x)*(x))*((x)*(9)))*((x)+((3)*(0)))),(((6)*((3)-(0)))*((9)+((x)*(x)))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|MutateNonTerminalR,AddRandomSubTreeR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,ReplaceBranchXR,AddRandomSubTreeR,77,78,80,80,2
80,x*x*x*x,25,-10,-0.03850463207423867,0.010216204982680936,-0.03838608809305973,0.012493885019698643,228.82119999999998,255.5133,246.9608,235.7032,-0.9587029146516796,0.34400731930466616,0.0013071453691932372,0.028593564167377447,6105.1,5891.51,6319.28,5621.28,((((4)*(4))-((0)*(x)))*((1)-((6)-(x)))),(((x)*(8))+((x)*(x))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,ReplaceBranchXR,MutateTerminalR,80,80,81,81,2
81,x*x*x*x,25,-10,-0.038146524637302316,0.008632167770702233,-0.03688832048098288,0.014862669679033555,283.6188,292.3589,476.14920000000006,215.4048,-0.8119027578094367,0.32188136004630585,0.07444649681388811,0.013542605386697238,11695.630000000001,5981.120000000001,28782.64,5810.88,((((x)*(7))*((8)*(x)))+((1)*((x)-(x)))),((((x)+(1))*((x)-((x)*(5))))-((3)-((x)+((x)*(x))))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|MutateNonTerminalR,AddRandomSubTreeR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithMult,AddRandomSubTreeR,81,78,82,82,2
82,x*x*x*x,25,-10,-0.03507392140994157,-0.005437629534888061,-0.024759110028735053,0.012959277031947275,849.3295999999999,442.3078,2714.3251999999998,231.7152,0.3902390428721486,0.3297608155796629,0.678156907256042,0.0183660913028631,66642.59,5966.51,250950.8,5743.36,((((x)*(x))*((x)*(7)))*((6)*((x)-(x)))),((((4)+(3))*((x)+(3)))-((7)+((x)*(x)))),AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithMult,MultXD,82,81,83,83,2
83,x*x*x*x,25,-10,-0.03855216703698863,0.006925752772214815,-0.038358826297216056,0.0120448307410796,221.5474,566.5714,251.13240000000002,239.5512,-0.9599869298130964,0.3064772111955487,0.000021835689147109618,0.010755029017247899,6120.18,6080.96,6122.8,5942.88,((x)-((0)-(4))),(((7)-((2)*(8)))*((2)+((x)*(x)))),AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithMult,MultXD,82,83,84,84,2
84,x*x*x*x,25,-10,-0.038450948242059864,0.010279626962192052,-0.03835326362566985,0.01350056948671509,237.0359,260.7755,251.9836,227.0768,-0.9570722781335774,0.47090016244375155,0.0016134166453477285,0.08637581232969412,6198.780000000001,5506.72,6568.8,4533.92,(((x)*((7)+(x)))*((5)-((6)*(x)))),((((x)+(4))-((8)*(x)))*((8)*((2)+((x)*(x))))),AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithMult,ReplaceBranchR,82,81,85,85,2
85,x*x*x*x,25,-10,-0.03832556332505555,0.01291220101947458,-0.03782787086655339,0.01889650279141849,256.2223,232.11860000000001,332.37919999999997,180.8384,-0.9027630375114364,0.5347106820770394,0.028615597465324428,0.12193201522038047,8311.18,5553.799999999999,14879.2,3987.12,(((x)*((5)*(5)))*((5)*((3)*(x)))),((((5)*(9))*((x)+((7)-(5))))*((x)-((6)+((x)*(x))))),AddRandomSubTreeR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,MutateNonTerminalR,ReplaceBranchR,85,85,86,86,2
86,x*x*x*x,25,-10,-0.0383454613775977,0.012751577758276232,-0.038105698601490004,0.01530658924136901,253.1775,233.495,289.866,211.6008,-0.9305894654293556,0.4738129469537129,0.015340298091926935,0.08674575008888366,7115,5518.24,10621.2,4508.96,(((x)-((x)+(x)))*((7)*((9)*(x)))),((((1)*(2))+((x)*(6)))-((2)*((7)+((x)*(x))))),SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,SubXD,MultXD,86,86,87,87,2
87,x*x*x*x,25,-10,-0.038375827996340345,0.013180641652818497,-0.03827681610247027,0.018520968314132608,248.53080000000003,229.81830000000002,263.6816,184.0564,-0.9480543719775193,0.5546193774856695,0.0059927220959938125,0.13062300263947016,6573.24,5366.51,7948.72,3816.52,(((x)-((6)*(4)))*((7)*((x)*(x)))),((((2)*(5))*((4)*((0)-(6))))-((7)-((x)+((x)*(x))))),SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddTreeWithMult,MutateTerminalR,86,87,88,88,2
