gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
49,x*x*x*x,25,-10,-0.033122190427086556,0.011433764493903693,-0.02060191815848345,0.011569262654741681,2479.2902,244.7875,8675.685600000003,243.6264,0.8198081841516552,0.2892525720260658,0.8477552536693413,0.0017402129420726162,230294.98,6105.7699999999995,849206.16,6090.48,((((x)*(0))-((6)*(x)))+((x)*((x)*((x)*(x))))),((6)*((9)-(8))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,MutateTerminalR,DeleteMaliciousR,49,48,50,50,3
50,x*x*x*x,25,-10,-0.03824223108090446,0.011429808428403387,-0.037746705005881585,0.011480151987601996,268.9738,244.82139999999998,344.7992,244.39,-0.9181534439942491,0.2872920439905149,0.021300042944390023,0.0007764905843303026,7636.639999999999,6116.299999999999,12524.16,6107.28,((((x)*(7))+((8)*(3)))-((x)-((3)*(x)))),((x)*((7)*(1))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,AddToLeafR,DeleteMaliciousR,49,50,51,51,3
51,x*x*x*x,25,-10,-0.03629980525421514,0.011474095356349315,-0.03264362828388446,0.011603618574602766,566.2038,244.44189999999998,1125.672,243.332,-0.4862475493399556,0.28995276061019115,0.23065124394816425,0.0015290491134315807,34696.54,6103.29,78614.4,6084.48,((((x)*(x))-((x)*(0)))+((3)*((x)*((x)*(x))))),((4)+((3)*(8))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MultXD,DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub,AddTreeWithSub,DeleteMaliciousR,51,51,52,52,3
52,x*x*x*x,25,-10,-0.038471893870082347,0.011462507235282037,-0.0383110861325317,0.011604272083947946,233.8308,244.5412,258.4376,243.3264,-0.9523147301006405,0.29620777862837727,0.0038156490470182248,0.00523640145139109,6421.18,6097.110000000001,7296.8,6030.88,(((x)*((x)*(7)))*((5)-((0)-(8)))),((x)*((6)*(9))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,AddTreeWithSub,ReplaceBranchXR,49,52,53,53,3
53,x*x*x*x,25,-10,-0.03781175663311986,0.01149803013611666,-0.03583438504770618,0.011633399929047558,334.845,244.23680000000004,637.4224,243.0768,-0.8276643576003136,0.2958623522602088,0.06690528971347282,0.004528340916166628,11020.9,6090.780000000001,26370.8,6033.84,((((2)-(7))*((x)*(8)))+((1)*((9)*(x)))),((9)+((9)*(9))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR,AddRandomSubTreeR,DeleteMaliciousR,52,53,54,54,3
54,x*x*x*x,25,-10,-0.03824536400470527,0.011447126426050754,-0.037698815841066526,0.011624997666038054,268.4944,244.67300000000003,352.1272,243.14880000000002,-0.9090173833485818,0.3026168381350711,0.02561543971951923,0.009013886640808265,8043.18,6090.530000000001,13922.16,5975.96,((((x)-(8))*((6)*(x)))*((6)*((9)+(9)))),((9)*((7)*(5))),AddTreeWithDiv|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR,AddToLeafR,DeleteMaliciousR,53,54,55,55,3
55,x*x*x*x,25,-10,-0.043386067180760685,0.011477164516309726,-0.037561552738204156,0.011618182497152567,246.96400000000003,244.41559999999998,373.13120000000004,243.2072,-0.8763643968108744,0.29401385439811795,0.041137994409142856,0.0036505500231944488,9488.28,6092.21,18918.72,6049.68,((((x)*(7))-((1)-(x)))*((4)*((x)*(8)))),((7)*((2)*(9))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR,AddToLeafR,ReplaceBranchXR,55,54,56,56,3
56,x*x*x*x,25,-10,-0.04347137629068096,0.011427031013686355,-0.03789805254215135,0.011457745952909985,233.91,244.84520000000003,321.64,244.582,-0.9160841720036598,0.2863958026028344,0.021872167973607564,0.00042440259874149594,7820.799999999999,6117.49,12840.8,6114.96,((((x)*(6))-((9)+(0)))*((5)*((8)*(x)))),((x)*((8)-(5))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR,AddRandomSubTreeR,DeleteMaliciousR,55,54,57,57,3
57,x*x*x*x,25,-10,-0.038181546203110706,0.011435433276695859,-0.037609797412103,0.011499057079373381,278.25980000000004,244.7732,365.74879999999996,244.22799999999998,-0.9073010064043917,0.2872220251321023,0.026357959693089076,0.0006008444946440359,8134.860000000001,6115.110000000001,14184.8,6107.88,((((x)*(0))+((9)*(x)))*((8)*((0)-(2)))),((2)*((8)+(1))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR,AddRandomSubTreeR,DeleteMaliciousR,56,57,58,58,3
58,x*x*x*x,25,-10,-0.03780100967193831,0.011280259816643951,-0.03579400339824859,0.011879866310659674,336.48949999999996,246.1029,643.6016000000001,240.96479999999997,-0.7172186642268985,0.28684392329667463,0.12096281833306644,0.0008280095280443223,15507.42,6115.2,43271.2,6111.12,((((3)-(0))*((7)*(6)))*((7)*((x)*(x)))),((8)-((3)*(x))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MutateTerminalR,DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR,MutateTerminalR,DeleteMaliciousR,56,57,59,59,3
