gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x,25,-10,0.025696269887989745,0.011456100509737293,0.03837277274179535,0.011499897305674333,105194.2697,244.59609999999998,259830.0224,244.22079999999997,0.9840168763736326,0.2885523834419405,0.023244351505001887,0.0007390666573189767,4534416.48,6105.16,9573848.24,6096.48,((((x)*(x))*((8)*((x)*(x))))*((9)+((8)*((x)+(x))))),((9)*(4)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,FellTreeD,31,28,32,32,4
32,x*x*x*x,25,-10,0.007305601013893142,0.011453124708254759,0.036888393153368663,0.011498310211550315,110484.81210000001,244.62160000000003,357022.44639999996,244.2344,0.9935141958578574,0.2885523834419405,0.9116022143646455,0.001519557408386435,6326379.640000001,6110.79,23593065.2,6096.48,((((x)*(x))*((7)*((4)*(x))))*((x)*((x)*((x)+(x))))),((4)*(9)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,32,32,33,33,4
33,x*x*x*x,25,-10,0.015200073678264193,0.011472729988610266,0.03668421019104837,0.011553391713501506,62054.41380000001,244.45359999999997,154710.96719999998,243.76239999999999,0.9670501573005077,0.28981272289336596,0.09750069389704502,0.0015840639453775394,2653414.93,6105.82,4644028.24,6085.68,((((x)*(x))*((x)*((x)*(6))))*((7)+((4)*((x)+(x))))),((6)*(9)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,33,33,34,34,4
34,x*x*x*x,25,-10,0.001928295506740345,0.011473266799858097,0.018053764836634886,0.011582006086972761,42163.9711,244.44899999999998,124775.8492,243.5172,0.9744985258941388,0.29044289261907885,0.9315940729128004,0.002184975679431661,2066956.2200000002,6107.74,6000437.44,6080.28,((((x)*(x))*((x)*((6)*(3))))+((x)*((x)*((x)+(x))))),((7)*(9)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,34,34,35,35,4
35,x*x*x*x,25,-10,0.006400268086609273,0.01139652613103796,0.032514775437852486,0.011769890023713057,59948.956900000005,245.10660000000004,164651.7192,241.9072,0.9834546693621867,0.29195063203689536,1.108173413189575,0.0032035382752689254,2901259.2,6108.4400000000005,9248530.8,6067.36,((((x)*(x))*((x)*((7)*(6))))*((x)*((9)*((4)+(x))))),((5)*((6)*(x))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,35,35,36,36,4
36,x*x*x*x,25,-10,0.02244582646699158,0.011556449203652189,0.038553118431606526,0.011703698862893743,190196.7324,243.7362,572547.8880000002,242.47439999999997,0.995964783886831,0.30330302294751393,0.9719220025152416,0.00904651639275689,12905807.340000002,6042.94,37921141.2,5970.08,((((x)*(9))*((x)*((5)*(x))))*((x)*((x)*((x)+(x))))),(((6)*(7))*((8)-(0))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|AddTreeWithSub|DeleteMaliciousR|AddToLeafR,MultXD,AddTreeWithSub,36,36,37,37,4
37,x*x*x*x,25,-10,0.0148599993929425,0.011442831936068116,0.03583358555206373,0.011473383497955451,34497.769499999995,244.7098,70309.62800000001,244.44799999999998,0.9403341754083222,0.2872920439905149,0.0778913595079855,0.0007444460580010535,1405063.2,6116.43,2564617.2,6107.28,((((x)*(5))*((2)*((x)*(x))))*((6)*((7)*((x)+(x))))),((6)*(3)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,37,35,38,38,4
38,x*x*x*x,25,-10,0.000942402432688555,0.011455902122971788,0.03733405716293961,0.011542048658438673,67261.7208,244.59779999999998,235007.44159999996,243.85960000000003,0.9857934529754715,0.2946113486565715,0.8400692466569135,0.0045709717674005616,2741491.32,6102.82,10771090.24,6044.56,((((x)*(x))*((x)*((x)*(x))))*((9)*((8)+((9)+(x))))),((9)*((5)*(x))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,37,38,39,39,4
39,x*x*x*x,25,-10,0.014468167102416607,0.011487375599828223,0.03873251139669052,0.011612487630001684,90290.26380000002,244.3281,237457.8992,243.25600000000003,0.9817324587528898,0.2987658009223818,0.9580011948454541,0.006070562190438144,3431731.18,6086.62,8376606.24,6008.96,((((x)*(9))+((8)*((7)*(x))))*((x)*((x)*((x)+(x))))),((x)*((2)*(x))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,38,37,40,40,4
40,x*x*x*x,25,-10,-0.0066247357956920674,0.01147226319622085,0.03858361708081003,0.011562914278245611,138593.59050000002,244.4576,543007.0352,243.6808,0.9942510296592979,0.28981272289336596,0.9534500043837687,0.0017636739083380414,6664945.96,6106.35,26616940.24,6085.68,((((x)*(x))*((x)*((x)*(x))))*((6)*((7)*((9)+(x))))),((9)*(6)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,38,40,41,41,4
41,x*x*x*x,25,-10,0.01394956320206694,0.011459379726272945,0.03807348029484664,0.011491915155815303,58153.000700000004,244.56799999999998,161207.5104,244.28920000000002,0.9768304055336174,0.2885523834419405,0.5856642837035757,0.0012299160111340058,2356346.67,6110.9,6604345.2,6096.48,((((5)*(9))*((x)*((x)*(x))))*((3)*((8)*((x)+(x))))),((4)*((9)*(1))),DeleteTerminalR|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,40,39,42,42,4
42,x*x*x*x,25,-10,-0.01407901369102181,0.011452167783856455,0.004304606580996865,0.011588914614336133,88400.1955,244.62980000000005,318989.7848,243.45800000000003,0.9950999611135066,0.2927815224900574,0.1483323162924843,0.0033865908490950483,8653155.66,6103.68,31228323.6,6060.24,((((x)*(x))*((9)*((9)*(x))))*((9)*((7)*((x)+(x))))),((x)*((x)+(6))),DeleteTerminalR|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,40,39,43,43,4
43,x*x*x*x,25,-10,-0.023804676984962792,0.011453393113878673,-0.01884934115847632,0.011491775118098478,125673.96620000002,244.6193,310721.3964,244.2904,0.9950724192458199,0.2877821759994026,0.9737795271219231,0.0007967839808773318,12549197.39,6111.57,31053778.24,6103.08,((((x)*(7))*((9)*((x)*(x))))*((7)*((x)*((x)+(x))))),((5)*((5)+(0))),MultXD|MultXD|AddXD|DeleteMaliciousR|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,43,39,44,44,4
44,x*x*x*x,25,-10,-0.0021308925690182506,0.011444745784864728,0.03661389965710765,0.011477351233265496,32523.253300000004,244.6934,90049.25280000002,244.41400000000002,0.9546790066453336,0.28670855350374375,0.545259502090783,0.00042153704753401854,1576909.0500000003,6115.74,3376360.24,6112.28,((((x)*(x))*((x)*((x)*(4))))*((6)+((6)*((x)+(x))))),((5)+(6)),MultXD|MultXD|AddXD|DeleteMaliciousR|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,43,44,45,45,4
45,x*x*x*x,25,-10,-0.010220833071624993,0.011460149933715483,0.003758327454724847,0.0115261777171985,118851.8098,244.5614,364271.0064,243.99560000000002,0.9956884377840829,0.29000877569692113,0.8493163082603248,0.0013761452114891349,11418699.56,6097.83,35490616.24,6084,((((x)*(x))*((x)*((x)*(x))))*((9)*((8)*((7)+(x))))),((x)-((9)*(x))),MultXD|MultXD|AddXD|DeleteMaliciousR|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,43,45,46,46,4
46,x*x*x*x,25,-10,-0.001278754228385821,0.01148878764680621,0.03817523572182447,0.011537520772261332,48798.68329999999,244.31600000000003,144796.3184,243.8984,0.9653878267100083,0.2910730623447916,0.93091079149893,0.001596675633109287,1936146.0799999998,6088.08,4420987.92,6074.88,((((x)*(x))*((x)*((x)*(5))))+((x)*((4)*((x)+(x))))),((8)*(9)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,45,46,47,47,4
47,x*x*x*x,25,-10,-0.02032635770002162,0.011454571764661952,-0.010823024038118466,0.011485753496275002,49196.23441944444,244.6092,114090.77040000001,244.342,0.9849051857448164,0.2882723080082903,0.9488569470214212,0.0015462246886394952,4163294.76,6112.54,10137256.24,6098.88,((((8)*(x))*((x)*((x)*(6))))*((3)*((x)*((x)+(x))))),((8)*(4)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,47,46,48,48,4
48,x*x*x*x,25,-10,0.017443063553286127,0.01148822749593891,0.03845370174598774,0.011633399929047558,76779.564,244.32080000000002,200320.4768,243.0768,0.9773532125576498,0.2910730623447916,0.06999366380509706,0.0021624078717185796,2829477.88,6102.62,6756808.24,6074.88,((((2)*(6))*((8)*((x)*(x))))*((x)*((x)*((x)+(x))))),((8)-((0)*(9))),MultXD|MultXD|MutateTerminalR|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,48,48,49,49,4
49,x*x*x*x,25,-10,0.019363839896252993,0.01142796459846519,0.03752760119407446,0.01149457587243498,75303.4901,244.83720000000002,178490.5448,244.2664,0.9741147664576444,0.2885523834419405,0.06092795518582021,0.00100531375234455,3578688.3600000003,6109.16,5911478.44,6096.48,((((2)*(7))*((x)*((6)*(x))))*((x)*((x)*((x)+(x))))),((4)*(9)),MultXD|MultXD|MutateTerminalR|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,48,49,50,50,4
50,x*x*x*x,25,-10,0.019402513198446245,0.011449425378568629,0.038256269078309035,0.011501391041320464,58661.1299,244.65330000000003,141158.2624,244.208,0.9536178388786417,0.2893926097428908,0.9398232517668309,0.0017398038688914074,1814818.2,6111.51,3299113.2,6089.28,((((x)*(x))*((x)*((6)*(5))))*((9)*((2)*((x)+(x))))),((0)+((6)*(8))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,SubXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,47,50,51,51,4
51,x*x*x*x,25,-10,0.020729355288664167,0.011448981925798685,0.039679740165636995,0.011500784211214223,363505.5496,244.65709999999999,1009608.0952,244.2132,0.9954602900397019,0.28771215714099,0.7119875004000633,0.0009474726118162663,15163668.840000002,6114.65,33706999.2,6103.68,((((x)*(5))*((8)*(x)))*((x)*((x)*((x)*(x))))),((4)+((0)*(6))),MultXD|MultXD|MutateTerminalR|AddTreeWithMult|AddToLeafR,SubXD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,48,50,52,52,4
52,x*x*x*x,25,-10,0.014291820751136101,0.011470827809623394,0.019100532587535256,0.01156459473084751,181038.24470000004,244.46990000000005,586632.594,243.66640000000004,0.9971178356489457,0.2937244431166795,0.20508652010825987,0.003930154219021955,14562045.200000001,6098.21,53092045.2,6052.16,((((x)*(9))*((7)*((x)*(x))))*((x)*((x)*((x)+(x))))),((x)*((5)*(8))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,AddXD|DivXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,51,52,53,53,4
53,x*x*x*x,25,-10,0.009593619711108498,0.010081713849962391,0.035241294693253725,0.011546296469182371,57121.6848,258.49440000000004,124344.7552,243.82319999999999,0.9654796702464338,0.2893926097428908,0.031185712807779296,0.002115643921228396,2563345.12,6108.49,4432750.24,6089.28,((((7)*(6))+((3)*((x)*(x))))*((x)*((x)*((x)+(x))))),((6)*(8)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,AddXD|DivXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,AddXD,53,52,54,54,4
54,x*x*x*x,25,-10,0.011053262407189518,0.011450043878484606,0.03763726061794281,0.01149457587243498,76010.2723,244.64800000000002,203964.232,244.2664,0.9891445955480044,0.2885523834419405,0.9410638658635868,0.0012488964734633581,4964952.92,6112.11,14096204.4,6096.48,((((8)*(6))*((x)*((x)*(x))))*((x)*((6)*((8)+(x))))),((0)+((6)*(6))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,AddXD|DivXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,54,52,55,55,4
