gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
24,x*x*x*x,25,-10,-0.038400000000000004,0.011664488302182726,-0.038400000000000004,0.01279608641260713,244.832,242.81040000000002,244.832,233.11360000000002,-0.9600000000000001,0.34841383946076143,0,0.031076573378195953,6120.8,5982.93,6120.8,5583.52,(0),(((7)*((x)-(4)))*((2)*((x)-(4)))),DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|SubXD|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,DeleteMaliciousR,AddTreeWithMult,22,21,25,25,1
25,x*x*x*x,25,-10,-0.038400000000000004,0.01149089988236832,-0.038400000000000004,0.011778945796067744,244.832,244.2979,244.832,241.8296,-0.9600000000000001,0.3052822226786415,0,0.009848311576586867,6120.8,6079.63,6120.8,5953.12,(((0)*(0))*((5)+(4))),(((x)*(3))*((x)-(0))),DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|SkipD|DivXD,DeleteMaliciousR,AddTreeWithMult,22,25,26,26,1
26,x*x*x*x,25,-10,-0.038400000000000004,0.012364233433538102,-0.038400000000000004,0.018694941837668278,244.832,236.81419999999997,244.832,182.5656,-0.9600000000000001,0.6390574528072894,0,0.17663271844754647,6120.8,5363.34,6120.8,3092.96,(0),(((x)*((x)*(7)))*((x)+(3))),AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|SkipD|DivXD,DeleteNonTerminalR,ReplaceBranchXR,24,25,27,27,1
27,x*x*x*x,25,-10,-0.043597168997516665,-0.01112383768695035,-0.03838867599006666,-0.010287637470358681,NaN,NaN,246.5648,501.5172,-0.9588675990066658,0.3760946281531827,0.000566200496667113,0.044956648927771584,6164.120000000001,5924.16,6294.08,5346.32,(((0)-(9))*((8)*(x))),(((x)+((9)*(9)))*((x)+(4))),AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,27,27,28,28,1
28,x*x*x*x,25,-10,-0.03838098157103646,0.011756866516048323,-0.03832392628414586,0.01261109658868122,247.74219999999997,242.01880000000006,256.4728,234.69879999999998,-0.9523926284145863,0.391340067591538,0.003803685792706901,0.051108645096552656,6411.82,5871.900000000001,7284.88,5215.68,(((4)-((x)*(0)))+((3)*((8)*(x)))),(((x)+((6)*(x)))*((x)+(4))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddToLeafR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR,AddToLeafR,ReplaceBranchXR,28,28,29,29,1
29,x*x*x*x,25,-10,-0.038401457325839765,0.010384569256903824,-0.038390024833355116,0.01246424370297067,244.609,255.2484,246.3584,235.9572,-0.9600000000000001,0.3574882835110257,0,0.03583505217763899,6120.8,5966.37,6120.8,5505.76,(0),((((x)*(x))*((x)-(0)))-((x)+((0)-((x)-(3))))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,28,29,30,30,1
30,x*x*x*x,25,-10,-0.03843973859626193,0.00582541731239614,-0.038400000000000004,0.012284108519894693,238.75120000000004,310.49519999999995,244.832,237.50079999999997,-0.9600000000000001,0.3266519782661464,0,0.02046884627593032,6120.8,6033.1,6120.8,5770,(((x)*((8)+(0)))*((x)*(0))),(((x)+((4)*(x)))-((3)*(x))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,29,29,31,31,1
31,x*x*x*x,25,-10,-0.038400048359691547,0.01149630300427582,-0.038400000000000004,0.011912915211830388,244.8246,244.25160000000002,244.832,240.6816,-0.9600000000000001,0.29379912989898616,0,0.003554033737468696,6120.8,6095.5,6120.8,6051.52,(((8)-((3)*(0)))+((5)*(0))),(((x)+((0)+(x)))+((6)*(x))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,MutateTerminalR,ReplaceBranchXR,30,31,32,32,1
32,x*x*x*x,25,-10,-0.038400000000000004,0.011656307765558194,-0.038400000000000004,0.012263382937804584,244.832,242.88049999999998,244.832,237.6784,-0.9600000000000001,0.3452116436693617,0,0.029847194841751003,6120.8,5994.59,6120.8,5610.96,(((x)*((9)+(3)))*((0)*(0))),(((9)*((8)*(4)))-((2)*((x)+(8)))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,31,31,33,33,1
33,x*x*x*x,25,-10,-0.038400000000000004,0.012408158597382233,-0.038400000000000004,0.015377775080755085,244.832,236.43779999999998,244.832,210.9908,-0.9600000000000001,0.6727972067143417,0,0.19333658650056526,6120.8,5288.91,6120.8,2803.84,(0),(((x)*((x)+(8)))*((5)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,31,33,34,34,1
