generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
24,-0.9489764044482343,0.15116942707388614,-0.6075412068776267,0.23339917355371903,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,23,22,164862.5,164862.5,((((((5)*((9)*(4)))*(((3)*(8))*(x)))+((4)+(5)))*(x))+(x)),(((((3)+((6)+(5)))*((6)+((5)*(2))))+(x))*(x)),5*x*x*x,8
25,-0.9527656164020819,0.15648607761644034,-0.7997037190082644,0.2429296570722903,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,23,24,51106,51106,(((((((9)+(x))*(x))*((x)*(x)))+(x))*(((0)+(2))*(5)))+(x)),(((((x)*(9))*(4))+(x))*(x)),5*x*x*x,8
26,-0.9036950003517414,0.1495966976549976,-0.4955212606175463,0.2864710868977475,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,25,25,1811716.5,1811716.5,(((((((((9)*(x))*(x))+(9))*(x))*((9)*(x)))+(x))*(x))+(x)),(((((x)-((7)*(2)))/((0)*((4)+(4))))+((6)*(4)))+(x)),5*x*x*x,8
27,-0.9067904814402068,0.13469565718114712,-0.5368426511174171,0.257052220892156,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,25,26,424125.9,424125.9,(((((((7)*(x))*(x))*(((8)+((8)*(2)))*(x)))+(x))*(x))+(x)),(((((9)*(4))+(((x)+(7))*((7)*((1)+(2)))))+((x)*(0)))*(x)),5*x*x*x,8
28,-0.9222444275429575,0.15155226164211816,-0.5897106129850697,0.2577603305785124,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,27,27,685008.5,685008.5,(((((((7)*(x))*(x))*(((0)+(4))*(x)))+(x))*((9)*(9)))+(x)),((((x)+((6)+(9)))*((1)/((x)*(0))))+(x)),5*x*x*x,8
29,-0.9309115001235977,0.14613212082454696,-0.7071589278012479,0.2587220880642758,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategySkipD,28,28,114691.5,114691.5,(((((((2)+(6))*(x))*((x)*((8)*((2)*(3)))))+(x))*(x))+(x)),((((((5)*(x))*((0)+((8)+(3))))+((((9)+(0))+((6)+((3)*(3))))*((6)*((1)+((3)-(5))))))+(x))*(x)),5*x*x*x,8
30,-0.9598500596339317,0.1817360269536271,-0.8739803723627444,0.2856946384884401,StrategyAddXD|StrategyAddToLeafR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,29,28,111688.5,111688.5,((((((8)+((5)+(2)))*(((7)*(7))*(4)))*((x)*(x)))+(x))+(x)),((((((8)+(3))*((1)*((3)*(5))))+((7)/(((4)+(1))*((8)-(8)))))+(x))*(x)),5*x*x*x,8
31,-0.9444492723320245,0.1735922796154576,-0.7800605088774191,0.36356888060651843,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,30,29,89801.8,89801.8,((((((6)*(x))*(((6)*(x))*(x)))+((7)+((x)+(6))))*(x))+(x)),((((((5)+(5))*((3)-((0)/(0))))+((5)+(4)))+((8)*(8)))*(x)),5*x*x*x,8
32,-0.9668228779539241,0.1420264621781353,-0.923769173553719,0.23675389159945567,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,31,30,36333,36333,((((((9)-(3))*((x)*(7)))+(x))*(((5)*(4))*(8)))+(x)),(((((((2)*((4)+(5)))*((x)+((7)+(5))))+(((4)/(2))+((3)/((8)-(9)))))-(x))+(x))*(x)),5*x*x*x,8
33,-0.959725223007404,0.16812310166930905,-0.8589521776133555,0.3017483134514167,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,32,32,216331.5,216331.5,((((((5)*(x))*((9)*(((2)*(8))*(x))))+(x))*(x))+(x)),((((((0)*(2))*((2)*(7)))/((4)/((8)*(0))))+(x))*((x)*(6))),5*x*x*x,8
